Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,Vel,10thVel,90thVel,MxVel,VelRange,HorzBrk,VertBrk,IndVertBrk,Spin,MxSpin,RelX,RelZ,Extension,EffectVel,HorzRelAngle,VertRelAngle,PlateVel,HorzApprAngle,VertApprAngle,PVX,PVZ
332,1984231284,A. Kelly,Aiden Kelly,Kelly,Aiden,P,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,14,1255,85.2,75.9,92.0,95.0,16.1,-1.3,-32.9,7.1,2276.1,2552.3,-21.6,66.4,5.74,83.9,-1.84,-0.16,77.7,-2.06,-6.20,4.0,-12.1
333,1227145728,B. Gomez,Brandon Gomez,Gomez,Brandon,P,Santa Clara University,SCU,730297600,Santa Clara,BBC,L,L,15,1288,85.2,79.7,90.0,93.0,10.3,-6.7,-29.2,9.4,2167.4,2634.1,17.6,66.8,6.15,85.2,2.16,-1.11,77.8,0.74,-6.56,-1.6,-12.9
334,1232208640,L. McCollough,Luke McCollough,McCollough,Luke,P,Villanova University,VILL,730278400,Villanova,BBC,R,R,13,1219,85.2,78.5,90.9,93.0,12.3,8.9,-33.0,7.3,2220.3,2725.6,-20.2,71.4,5.28,83.6,-2.77,-0.55,77.4,-1.19,-6.61,2.1,-13.0
335,1162317568,K. Johnson,Keegan Johnson,Johnson,Keegan,P,Ball State University,BALL,730195456,Ball State,BBC,L,L,14,1289,85.2,78.0,90.7,93.0,12.7,-1.7,-31.0,8.8,2367.9,2800.5,17.3,70.0,5.30,83.8,1.76,-1.37,77.8,1.54,-6.96,-2.9,-13.7
336,1097108340,C. Bagwell,Cam Bagwell,Bagwell,Cam,P,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,15,1264,85.2,79.2,92.6,96.2,13.4,3.0,-31.9,6.9,2212.6,2773.9,-13.9,76.9,6.09,84.9,-1.61,-1.24,77.8,-1.06,-7.17,1.9,-14.1
337,1311169536,M. Patel,Mason Patel,Patel,Mason,P,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,23,957,85.2,80.9,90.4,92.2,9.5,12.7,-31.4,7.7,2071.2,2851.2,-24.9,63.4,5.86,84.5,-3.46,-0.51,77.6,-1.19,-6.33,2.2,-12.5
338,1112928512,S. Gonzalez,Sebastian Gonzalez,Gonzalez,Sebastian,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,L,18,895,85.2,77.0,89.4,90.9,12.4,-8.2,-29.3,11.2,1957.9,2413.8,36.6,64.2,5.61,83.7,3.95,-0.57,76.8,2.49,-6.00,-4.7,-11.6
339,1371725069,M. Tripure,Max Tripure,Tripure,Max,P,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,14,1118,85.2,76.9,90.1,91.9,13.2,3.5,-29.0,10.4,2237.9,2527.0,-15.7,69.9,5.66,84.4,-1.84,-1.03,77.6,-1.22,-6.40,2.3,-12.5
340,1597386236,L. Cooley,Luke Cooley,Cooley,Luke,P,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,L,16,1136,85.2,80.4,89.5,91.5,9.2,-8.8,-34.4,5.4,1962.9,2696.5,24.1,69.3,5.19,83.5,3.01,-0.89,78.3,1.45,-7.15,-2.7,-14.3
341,1611658868,M. Rabayda,Mike Rabayda,Rabayda,Mike,P,Fordham University,FOR,730324992,Fordham,BBC,R,R,15,1382,85.1,77.9,90.8,94.0,13.0,2.1,-30.9,10.4,2141.8,2371.2,-6.2,78.4,4.95,83.0,-0.86,-1.72,77.0,-0.48,-7.36,0.8,-14.3
342,1324687616,J. Skapinetz,Joe Skapinetz,Skapinetz,Joe,P,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,12,1121,85.1,77.7,89.6,91.8,11.9,1.3,-28.3,9.6,2207.4,2578.7,-25.5,62.1,6.81,86.0,-2.74,-0.42,77.5,-2.49,-5.78,4.8,-11.4
343,1747080880,G. Smith,Griffin Smith,Smith,Griffin,P,Washington State University,WSU,4505,Washington State,BBC,R,R,16,1338,85.1,80.0,89.0,92.0,9.0,8.6,-28.6,10.0,2096.2,2486.6,-12.2,63.8,6.11,84.7,-1.96,-0.73,77.8,-0.41,-6.06,0.7,-12.0
344,1120472520,J. Romero,Jorge Romero,Romero,Jorge,P,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,19,718,85.1,78.6,89.2,91.3,10.6,6.2,-30.9,9.0,2237.7,2633.2,-31.2,63.8,5.63,83.8,-3.46,-0.15,77.3,-2.34,-5.86,4.4,-11.5
345,1115419904,J. Bergman,Jackson Bergman,Bergman,Jackson,P,University of Toledo,TOL,5388,Toledo,BBC,L,R,16,978,85.1,79.4,89.4,92.9,10.0,11.1,-39.4,-0.6,2099.6,2775.3,-32.7,64.8,6.03,84.9,-3.83,0.29,77.6,-1.83,-7.00,3.4,-13.9
346,1271444225,R. Hunsaker,Riely Hunsaker,Hunsaker,Riely,P,Lamar University,LAM,730162432,Lamar,BBC,R,R,14,1135,85.1,77.2,91.9,94.2,14.7,3.0,-29.3,10.6,2256.7,2721.9,-36.0,69.0,5.69,84.1,-3.69,-1.20,77.6,-3.15,-6.62,6.0,-13.0
347,1262862080,C. Morgan,Chase Morgan,Morgan,Chase,P,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,L,L,13,1066,85.1,78.8,90.4,93.3,11.6,-9.8,-29.8,8.9,2097.1,2550.2,7.9,75.6,6.28,85.2,1.72,-1.61,77.4,-0.06,-7.18,0.3,-14.1
348,1370357953,M. Yusypchuk,Michael Yusypchuk,Yusypchuk,Michael,P,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,15,1130,85.1,77.7,91.2,103.0,13.5,3.2,-30.4,9.7,2426.4,3431.5,-19.1,71.5,5.67,83.8,-2.03,-0.86,77.0,-1.45,-6.49,2.7,-12.6
349,1121725952,J. Sheets,Joe Sheets,Sheets,Joe,P,Columbia University,CLMB,730319104,Columbia,BBC,R,R,14,1169,85.0,78.8,90.2,91.7,11.4,6.6,-31.9,8.7,2023.0,3372.4,-8.8,78.4,5.14,83.3,-1.22,-1.63,77.3,-0.03,-7.46,-0.1,-14.6
350,1268530176,R. Easterly,Reid Easterly,Easterly,Reid,P,Duke University,DUKE,730336256,Duke,BBC,L,L,37,1110,85.0,77.8,90.1,92.8,12.3,-3.8,-34.5,5.1,1829.5,3466.3,21.4,58.7,5.81,84.3,2.33,0.28,77.0,1.64,-6.12,-3.1,-12.0
351,1229117952,Z. Willingham,Zach Willingham,Willingham,Zach,P,University of South Alabama,USA,730298880,South Alabama,BBC,L,L,14,1232,85.0,77.9,90.0,91.7,12.1,-4.9,-30.3,9.0,2276.7,2708.5,30.0,63.3,5.91,84.4,3.08,-0.52,77.6,2.19,-6.13,-4.2,-12.1
352,1084034304,E. Rodriguez,Esteban Rodriguez,Rodriguez,Esteban,P,University of Richmond,RICH,730171904,Richmond,BBC,R,R,14,1044,85.0,77.6,90.2,92.1,12.6,2.6,-29.0,10.8,2147.9,2517.9,-14.0,73.6,5.69,84.1,-1.48,-1.33,77.4,-1.02,-6.69,1.9,-13.1
353,1290508544,J. Bennett,Jack Bennett,Bennett,Jack,P,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,14,986,85.0,79.4,89.7,92.8,10.3,9.2,-31.1,7.5,2218.7,2752.3,-22.3,65.7,6.26,84.9,-2.97,-0.54,77.8,-1.31,-6.34,2.4,-12.6
354,1257441536,K. Montgomery,Kellan Montgomery,Montgomery,Kellan,P,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,14,1257,85.0,79.7,90.1,106.0,10.4,10.0,-31.5,8.0,2072.1,2644.3,-21.3,66.0,5.82,84.3,-2.82,-0.40,77.3,-1.03,-6.23,1.8,-12.3
