Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,Vel,10thVel,90thVel,MxVel,VelRange,HorzBrk,VertBrk,IndVertBrk,Spin,MxSpin,RelX,RelZ,Extension,EffectVel,HorzRelAngle,VertRelAngle,PlateVel,HorzApprAngle,VertApprAngle,PVX,PVZ
466,1099159040,N. Lawson,Nathan Lawson,Lawson,Nathan,P,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,22,1011,83.8,75.3,90.6,93.3,15.4,0.4,-36.1,5.2,2189.0,2721.5,-27.6,68.3,5.91,83.0,-2.41,-0.15,75.8,-2.34,-6.82,4.3,-13.0
467,1340724736,R. Rivera,Reagan Rivera,Rivera,Reagan,P,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,15,1388,83.8,76.3,90.6,93.6,14.3,-1.8,-36.6,5.4,2279.2,2773.0,-20.7,68.8,5.35,81.9,-1.43,-0.29,76.1,-1.74,-6.99,3.2,-13.4
468,1139725824,J. Raab,JT Raab,Raab,JT,P,Georgetown University,GTWN,2330,Georgetown,BBC,R,R,14,1112,83.8,77.8,89.2,91.0,11.4,2.6,-28.8,11.4,1985.0,3576.1,-16.3,75.8,6.23,83.6,-1.91,-1.42,76.1,-1.43,-6.81,2.7,-13.1
469,1462207411,A. Johnson,Andrew Johnson,Johnson,Andrew,P,University of Southern California,USC,5047,USC,BBC,S,R,22,1049,83.8,75.3,89.7,92.9,14.4,4.5,-31.0,9.2,2295.5,2621.7,-21.6,71.0,6.21,83.7,-2.49,-1.00,76.5,-1.68,-6.76,3.1,-13.0
470,1099378432,B. Gillespie,Blake Gillespie,Gillespie,Blake,P,UNC Charlotte,CHAR,730214400,Charlotte,BBC,S,R,15,1405,83.8,78.8,91.3,94.8,12.5,2.6,-34.1,7.6,2380.2,2807.1,-25.4,75.1,5.22,82.2,-2.63,-1.35,76.3,-2.17,-7.58,4.1,-14.7
471,1227047936,T. Kent,Tommy Kent,Kent,Tommy,P,Monmouth University,MONM,4164,Monmouth,BBC,L,L,14,1044,83.8,75.5,88.7,90.5,13.3,-9.1,-32.3,9.7,1750.6,2409.3,13.7,65.6,5.47,82.0,2.10,-0.71,75.3,0.47,-6.69,-0.7,-12.8
472,1330098688,M. Negrete,Mikiah Negrete,Negrete,Mikiah,P,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,L,L,15,1330,83.7,79.0,88.6,90.7,9.6,-4.3,-28.6,12.9,2325.4,2912.0,9.6,71.7,5.15,82.1,1.23,-1.39,76.1,0.47,-6.67,-0.8,-12.9
473,1656682756,N. Finarelli,Nick Finarelli,Finarelli,Nick,P,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,16,1419,83.7,78.6,88.0,90.1,9.5,6.2,-29.9,10.8,2069.5,2653.9,-10.6,77.1,5.50,82.8,-1.66,-1.76,76.8,-0.56,-7.26,1.0,-14.2
474,1084443136,C. Katskee,Cooper Katskee,Katskee,Cooper,P,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,16,1294,83.7,76.3,90.8,92.7,14.4,1.2,-36.2,5.1,2205.5,2647.4,-19.5,74.9,5.75,82.9,-1.96,-0.86,76.0,-1.74,-7.54,3.2,-14.5
475,1132735744,C. Ingram,Chase Ingram,Ingram,Chase,P,UAB,UAB,730345984,UAB,BBC,R,R,15,911,83.7,75.6,89.5,91.2,13.9,-0.2,-32.5,7.3,2285.0,2662.1,-4.0,75.4,6.36,83.8,-0.24,-1.34,76.9,-0.27,-7.38,0.4,-14.3
476,1192664576,R. DeSanto,Ryan DeSanto,DeSanto,Ryan,P,Penn State University,PSU,5326,Penn State,BBC,L,L,15,1229,83.7,74.5,89.4,92.9,14.8,-11.1,-27.5,12.8,2380.9,2760.2,38.9,68.0,6.50,84.1,4.41,-0.75,76.0,2.45,-5.92,-4.5,-11.3
477,1191087360,M. Alduino,Matt Alduino,Alduino,Matt,P,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,L,L,20,1004,83.7,77.7,87.2,88.6,9.4,-9.0,-25.9,13.6,1560.6,2042.4,14.9,67.4,6.67,84.3,2.75,-0.82,75.9,1.11,-5.74,-2.0,-11.0
478,1257460992,T. Grenn,Tyler Grenn,Grenn,Tyler,P,U.S. Naval Academy,NAVY,508,Navy,BBC,L,R,13,1144,83.7,77.6,87.0,88.5,9.5,12.0,-29.6,11.3,2097.7,2337.8,-23.3,67.0,5.83,83.0,-3.27,-0.93,75.5,-1.13,-6.47,1.9,-12.4
479,1130372096,C. Harris,Connor Harris,Harris,Connor,P,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,15,1161,83.7,72.9,91.3,93.7,18.4,-1.2,-34.8,5.8,2131.0,3088.4,-10.5,82.4,6.40,83.8,-0.82,-1.54,76.6,-1.03,-8.00,1.9,-15.3
480,1311043840,P. Consigli,Peyton Consigli,Consigli,Peyton,P,Canisius College,CAN,730218752,Canisius,BBC,L,R,13,1014,83.7,77.7,89.7,91.7,12.0,4.4,-32.9,8.1,1978.7,2368.4,-13.9,74.3,6.28,83.3,-1.70,-1.48,75.2,-0.90,-7.65,1.6,-14.6
481,1297342720,R. Prager,Ryan Prager,Prager,Ryan,P,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,L,15,1339,83.7,77.7,89.4,91.5,11.7,-3.2,-25.2,15.2,1933.7,2340.3,20.1,79.1,5.99,83.2,1.80,-2.12,76.5,1.22,-6.84,-2.3,-13.2
482,1217549824,R. Reyes,Randy Reyes,Reyes,Randy,P,Grambling State University,GRAM,5378,Grambling State,BBC,L,L,14,872,83.6,75.7,91.0,93.0,15.3,-3.3,-40.7,2.8,2077.9,2439.7,17.2,63.9,5.99,80.7,1.82,0.57,73.9,1.22,-6.95,-2.2,-13.1
483,1229631744,R. Rembisz,Ryan Rembisz,Rembisz,Ryan,P,University of Portland,PORT,730360320,Portland,BBC,L,L,15,1115,83.6,78.4,88.9,91.1,10.5,-6.7,-31.4,9.2,2034.3,2359.3,30.3,70.0,5.76,82.8,3.20,-0.96,76.5,2.00,-6.77,-3.8,-13.2
484,1660995022,N. Schutte,Nic Schutte,Schutte,Nic,P,Murray State University,MURR,730188032,Murray State,BBC,R,R,18,1671,83.6,73.6,89.4,91.9,15.7,6.0,-39.0,3.2,2298.1,2982.4,-28.1,55.5,5.73,82.2,-3.10,0.94,75.2,-2.02,-6.26,3.6,-11.9
485,1311052288,D. Rogers,Dylan Rogers,Rogers,Dylan,P,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,14,1005,83.5,77.0,88.5,90.8,11.5,-5.4,-34.9,5.1,2380.4,2725.1,-17.2,65.2,5.88,83.1,-1.11,-0.47,77.5,-2.08,-6.90,4.1,-13.6
486,1179093504,D. Purser,Daxton Purser,Purser,Daxton,P,University of New Mexico,UNM,730153472,New Mexico,BBC,L,L,17,1283,83.5,76.1,89.9,92.0,13.8,-4.6,-28.4,12.8,2015.4,2585.0,-0.4,79.0,5.71,82.6,0.23,-2.00,76.4,-0.60,-7.25,1.2,-14.0
487,1279505152,A. Petraitis,AJ Petraitis,Petraitis,AJ,P,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,14,1060,83.5,78.7,86.9,88.3,8.3,7.6,-28.4,11.7,2126.0,3511.8,-19.5,73.2,6.26,83.7,-2.59,-1.12,75.7,-1.21,-6.47,2.2,-12.5
488,1449071722,C. Walls,Cooper Walls,Walls,Cooper,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,15,943,83.5,74.3,90.3,92.0,16.0,-1.7,-37.9,4.5,2327.4,2659.8,-8.8,76.2,5.49,81.9,-0.50,-0.99,75.6,-0.79,-7.93,1.4,-15.2
489,1238136064,K. Barr,Kurt Barr,Barr,Kurt,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,16,1181,83.5,76.6,89.4,92.1,12.7,7.7,-33.4,7.5,2113.8,2712.8,-19.5,76.6,5.81,82.7,-2.49,-1.38,76.3,-1.11,-7.55,2.0,-14.6
490,1730428818,K. Fabian,Kenney Fabian,Fabian,Kenney,P,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,15,1131,83.5,75.5,88.9,90.3,13.3,4.5,-32.1,9.6,2053.6,2677.8,-12.2,61.6,5.27,81.9,-1.62,-0.07,76.5,-0.82,-5.95,1.4,-11.6
491,1341830144,D. Gutierrez,Diego Gutierrez,Gutierrez,Diego,P,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,14,1350,83.4,76.0,91.0,93.5,15.0,11.6,-29.9,11.4,2204.0,2775.1,-22.6,68.4,5.84,82.7,-3.02,-0.90,75.8,-0.93,-6.47,1.6,-12.4
492,1536897735,B. Treichel,Bryson Treichel,Treichel,Bryson,P,University of North Florida,UNF,730296832,North Florida,BBC,R,R,15,1018,83.4,76.0,90.6,92.0,14.6,10.8,-35.4,5.2,1846.2,2338.3,-17.6,69.7,6.10,83.5,-2.39,-0.70,76.1,-0.45,-7.27,0.7,-14.1
493,1176403456,T. Santana,Thomas Santana,Santana,Thomas,P,Columbia University,CLMB,730319104,Columbia,BBC,R,R,14,1102,83.4,77.5,89.7,92.1,12.2,-0.3,-28.8,12.6,2185.4,2476.1,-18.3,67.5,5.72,82.6,-1.74,-0.71,75.5,-1.78,-6.08,3.3,-11.6
494,1100603904,T. Beard,Trey Beard,Beard,Trey,P,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,L,L,16,1429,83.4,74.0,92.0,94.4,18.0,-8.0,-30.8,12.7,1970.4,2296.6,4.1,80.1,5.05,81.0,0.98,-1.95,75.4,-0.44,-7.60,0.9,-14.4
495,1207806720,L. Fladda,Luc Fladda,Fladda,Luc,P,Tulane University,TULN,730354176,Tulane,BBC,L,L,15,1214,83.4,79.1,88.0,91.0,8.9,-8.9,-28.8,12.7,2191.0,3535.6,19.6,69.5,5.39,81.9,2.27,-1.23,76.0,0.69,-6.55,-1.2,-12.7
496,1192573184,M. Barnett,Michael Barnett,Barnett,Michael,P,UCLA,UCLA,5048,UCLA,BBC,R,R,19,1391,83.4,78.2,89.1,91.5,10.9,6.8,-31.6,8.7,1854.0,3047.7,-26.0,69.4,6.31,83.4,-3.08,-0.92,75.8,-1.85,-6.83,3.4,-13.2
497,1210179584,J. Gutierrez,Jacob Gutierrez,Gutierrez,Jacob,P,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,17,1098,83.4,78.3,87.9,89.8,9.7,11.5,-32.0,9.1,2195.1,2505.9,-21.2,67.1,5.87,82.6,-3.21,-0.45,75.4,-1.15,-6.41,2.1,-12.3
498,1210662144,M. Mariano,Matthew Mariano,Mariano,Matthew,P,University at Albany,ALBY,730280448,Albany,BBC,R,R,20,1063,83.4,77.4,87.9,90.4,10.5,5.1,-27.8,14.8,2124.2,2418.1,-6.4,78.5,4.97,81.4,-1.11,-1.75,75.4,-0.21,-6.87,0.3,-13.1
499,1116316672,K. Lesler,Kyle Lesler,Lesler,Kyle,P,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,14,961,83.4,74.4,88.7,90.1,14.3,3.6,-29.2,11.5,2163.9,2400.4,-13.8,60.3,6.25,83.3,-1.72,-0.02,75.5,-1.05,-5.51,1.9,-10.5
500,1317943808,R. Ramos,Rigo Ramos,Ramos,Rigo,P,Lipscomb University,LIP,730307072,Lipscomb,BBC,L,L,15,1108,83.4,75.2,87.9,90.3,12.6,0.6,-27.2,13.3,2055.1,3236.1,11.0,79.2,6.38,83.4,1.13,-1.96,75.7,1.24,-7.07,-2.3,-13.5
501,1117508864,A. Ortiz,Angel Ortiz,Ortiz,Angel,P,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,14,1128,83.4,78.7,88.2,90.1,9.5,8.6,-35.7,5.1,2147.8,2634.2,-20.3,61.1,5.82,82.6,-2.70,0.08,76.1,-1.15,-6.52,2.1,-12.7
502,1099400192,H. Tarsia,Hayden Tarsia,Tarsia,Hayden,P,Binghamton University,BING,730155776,Binghamton,BBC,R,R,18,1137,83.3,75.5,90.3,92.5,14.8,6.9,-31.4,10.2,2291.3,2791.0,-16.4,70.9,5.94,82.9,-2.21,-0.82,75.7,-0.96,-6.66,1.6,-12.7
503,1250079232,J. Schaaf,Jason Schaaf,Schaaf,Jason,P,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,19,1089,83.3,76.2,89.6,92.0,13.4,-2.4,-37.5,4.3,2577.5,3172.3,-13.2,66.4,5.24,81.7,-0.99,-0.43,76.4,-1.40,-7.25,2.6,-14.1
504,1661534629,S. Lavin,Sam Lavin,Lavin,Sam,P,George Mason University,GMU,730265088,George Mason,BBC,L,R,16,1116,83.3,75.2,89.9,92.3,14.7,-1.1,-32.7,7.9,2059.3,2495.0,2.3,74.8,6.17,83.2,-0.11,-1.09,76.2,-0.31,-7.17,0.5,-13.8
505,1310308608,A. Berg,Andrew Berg,Berg,Andrew,P,Army West Point,ARMY,4744,Army,BBC,R,R,15,1223,83.3,76.2,88.4,90.3,12.2,-3.7,-32.5,8.4,2303.2,2734.1,-16.8,69.2,6.05,82.9,-1.65,-0.92,75.9,-2.31,-6.96,4.4,-13.4
506,1188623261,E. DeRossi,Eli DeRossi,DeRossi,Eli,P,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,14,1040,83.3,76.1,88.5,90.6,12.4,3.3,-30.2,9.9,2308.7,2811.5,-17.0,68.1,6.50,83.6,-1.87,-0.75,75.8,-1.25,-6.40,2.3,-12.3
507,1138165504,C. Aoki,Caden Aoki,Aoki,Caden,P,University of Southern California,USC,5047,USC,BBC,R,R,17,1472,83.3,78.1,89.2,91.3,11.1,5.0,-38.3,2.8,1890.6,3448.7,-16.4,70.2,5.70,82.4,-2.21,-0.72,76.3,-1.31,-7.74,2.4,-15.0
508,1310530560,J. Core,Joel Core,Core,Joel,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,15,1225,83.3,79.0,89.0,92.0,10.0,9.5,-31.7,9.7,2063.7,2425.0,-18.1,69.3,5.48,82.1,-2.37,-1.10,75.9,-0.68,-6.95,1.2,-13.5
509,1231134895,B. Roberson,Brooks Roberson,Roberson,Brooks,P,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,R,R,16,1165,83.3,78.5,89.4,92.4,10.9,10.5,-35.3,6.1,1930.2,2560.2,-17.1,76.3,5.64,82.3,-2.44,-1.32,75.9,-0.55,-7.82,0.9,-15.1
510,1885727262,M. Vallone,Michael Vallone,Vallone,Michael,P,Purdue University,PUR,730353152,Purdue,BBC,L,L,21,927,83.2,76.0,87.0,89.3,11.1,-8.3,-29.7,10.5,1984.5,2326.0,31.2,55.7,6.42,83.4,3.40,0.26,75.7,1.89,-5.33,-3.4,-10.2
511,1184713472,C. Fang,Callan Fang,Fang,Callan,P,Harvard University,HARV,5450,Harvard,BBC,L,R,11,1045,83.2,71.2,91.6,93.9,20.5,3.5,-34.6,7.9,2197.0,3179.3,-7.3,70.5,5.74,82.7,-1.31,-0.73,75.2,-0.67,-7.12,1.1,-13.3
512,1200236800,H. Boncal,Hudson Boncal,Boncal,Hudson,P,Ohio University,OHIO,730298368,Ohio,BBC,R,R,14,1363,83.2,73.1,90.3,93.1,17.2,-1.4,-36.8,4.7,2128.1,2539.2,-10.5,71.8,6.21,83.0,-0.76,-0.49,75.4,-1.01,-7.34,1.8,-13.9
513,1202718208,E. Dempsey,Evan Dempsey,Dempsey,Evan,TWP,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,L,R,15,1125,83.2,74.7,90.3,93.0,15.6,-1.1,-36.7,5.8,2631.9,3233.9,-23.5,63.5,5.47,81.8,-2.07,0.28,75.3,-2.26,-6.46,4.1,-12.2
514,1133388800,R. Packard,Ryan Packard,Packard,Ryan,P,Binghamton University,BING,730155776,Binghamton,BBC,R,R,17,1077,83.1,75.0,89.6,92.6,14.6,6.2,-30.9,10.4,2059.8,2585.8,-25.2,74.2,6.09,82.9,-2.90,-1.27,75.5,-1.78,-7.03,3.3,-13.4
515,1172966144,P. Hampton,Parker Hampton,Hampton,Parker,P,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,13,700,83.1,77.2,87.0,87.9,9.8,13.2,-30.4,11.4,1919.7,2411.0,-17.8,68.3,5.45,81.9,-2.32,-0.94,75.5,0.03,-6.56,-0.2,-12.6
516,1521413935,C. Linn,Conner Linn,Linn,Conner,P,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,L,15,1073,83.1,75.6,89.0,92.0,13.4,-5.0,-29.8,10.7,2098.8,2598.8,17.1,71.0,5.75,83.0,1.95,-1.05,76.2,1.06,-6.61,-1.9,-12.7
517,1226973184,N. Vidmar,Nathan Vidmar,Vidmar,Nathan,P,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,12,901,83.1,76.8,86.5,86.9,9.7,-,-,-,-,-,0.0,0.0,-,-,-,-,-,-,-,-,-
518,1945290525,J. Hibbard,Jack Hibbard,Hibbard,Jack,P,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,12,827,83.1,77.9,88.9,91.9,11.0,10.4,-30.0,11.1,2013.2,2549.2,-15.8,65.8,5.85,82.4,-2.56,-1.09,75.8,-0.68,-6.68,1.2,-12.8
519,1279144448,J. Francis,Jake Francis,Francis,Jake,P,Villanova University,VILL,730278400,Villanova,BBC,R,R,18,1010,83.1,76.0,88.0,90.7,12.0,5.0,-32.7,9.3,2016.7,2670.1,-19.9,67.5,5.43,81.8,-2.53,-0.34,75.3,-1.64,-6.38,3.0,-12.2
520,1142659328,K. Sivley,Kros Sivley,Sivley,Kros,P,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,L,22,1093,83.1,75.4,89.1,91.6,13.7,-1.9,-35.8,5.7,2085.3,2815.3,18.3,62.7,5.80,82.4,1.75,0.42,75.7,1.39,-6.20,-2.6,-11.9
521,1142086912,M. Gienger,Murphy Gienger,Gienger,Murphy,P,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,14,1298,83.1,76.1,88.8,90.8,12.7,3.5,-37.0,4.8,2179.1,2489.9,-36.4,64.5,5.75,82.0,-4.08,0.46,75.8,-3.45,-6.34,6.5,-12.2
522,1080063269,C. OBrien,Cole OBrien,OBrien,Cole,P,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,17,1013,83.1,77.0,88.3,90.0,11.3,-0.9,-31.9,8.9,2217.5,2666.0,-14.7,69.5,6.21,82.9,-1.12,-0.89,75.7,-1.26,-6.84,2.3,-13.1
523,1334909196,N. Balcom,Nick Balcom,Balcom,Nick,P,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,17,1094,83.1,78.6,87.9,89.8,9.2,3.3,-27.6,13.4,2176.7,2674.0,-16.5,71.1,6.08,82.7,-1.84,-1.29,75.2,-1.25,-6.47,2.3,-12.4
524,1483854437,B. Hamlin,Brendan Hamlin,Hamlin,Brendan,P,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,18,866,83.1,74.7,89.2,91.7,14.5,3.2,-34.2,7.7,1997.3,2539.8,-20.7,64.6,5.85,82.2,-2.06,-0.25,75.3,-1.49,-6.58,2.7,-12.5
525,1349689556,R. Mealy,Ryan Mealy,Mealy,Ryan,P,Monmouth University,MONM,4164,Monmouth,BBC,R,R,15,985,83.1,76.9,88.7,91.0,11.7,9.7,-30.4,12.5,2130.8,2663.7,-8.1,73.8,5.31,81.2,-1.70,-1.06,74.9,0.03,-6.67,-0.2,-12.6
526,1176554496,B. Morgan,Blake Morgan,Morgan,Blake,P,Old Dominion University,ODU,3090,Old Dominion,BBC,L,L,15,1342,83.0,75.5,91.4,93.4,16.0,-7.0,-32.8,8.3,2146.4,2498.9,9.2,71.1,6.23,82.9,1.52,-0.94,75.6,0.25,-7.06,-0.3,-13.5
527,1248493824,J. Pease,Jaxson Pease,Pease,Jaxson,P,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,14,1121,83.0,76.2,89.0,90.9,12.8,2.7,-36.7,5.0,2295.1,2596.3,-11.5,70.2,5.60,82.0,-1.23,-1.05,75.9,-0.75,-7.79,1.3,-15.0
528,1436932267,C. White,Carter White,White,Carter,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,L,L,19,861,83.0,77.7,86.8,88.3,9.0,-11.1,-30.8,11.1,1969.9,2348.2,20.8,68.5,5.27,81.6,2.83,-1.28,75.8,0.87,-6.94,-1.6,-13.4
529,1320362240,J. Kim,Justin Kim,Kim,Justin,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,19,865,83.0,74.8,90.3,92.4,15.5,-2.8,-36.7,5.2,2334.4,2780.6,-15.6,60.4,5.81,82.3,-1.33,0.40,75.5,-1.82,-6.36,3.4,-12.0
530,1248451072,W. Taylor,William Taylor,Taylor,William,P,Marist College,MRST,730374656,Marist,BBC,R,L,15,1172,83.0,78.1,87.7,89.1,9.6,-11.0,-31.5,11.6,2067.5,2779.8,16.3,72.2,4.82,81.0,2.43,-0.99,74.9,0.50,-6.78,-0.8,-12.9
531,1239369472,K. Reed,Kevin Reed,Reed,Kevin,P,University of Evansville,EVAN,730327808,Evansville,BBC,L,L,14,1221,83.0,76.5,88.4,90.6,11.9,-4.9,-34.6,8.2,2271.7,3336.6,12.9,77.0,4.90,80.9,1.68,-1.20,75.7,0.82,-7.49,-1.4,-14.4
532,1279379456,I. Magdaleno,Isaiah Magdaleno,Magdaleno,Isaiah,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,24,842,83.0,73.5,90.3,92.1,16.8,4.5,-30.7,11.0,1850.0,2308.4,-22.5,75.2,6.24,82.6,-2.43,-1.61,75.1,-1.60,-7.35,2.9,-13.9
533,1490865642,K. Dove,Kamar Dove,Dove,Kamar,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,16,778,83.0,74.0,87.2,88.4,13.2,8.9,-29.5,12.0,1720.7,1972.2,-6.7,73.2,6.10,82.7,-0.97,-1.99,75.0,0.64,-7.52,-1.4,-14.3
534,1907374041,J. Nichols,James Nichols,Nichols,James,P,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,13,792,83.0,77.5,87.5,88.5,10.0,6.9,-30.4,11.4,1923.4,2281.3,-18.6,69.8,5.74,81.9,-2.25,-0.83,75.2,-1.01,-6.48,1.8,-12.4
535,1489292894,V. Borghese,Vincent Borghese,Borghese,Vincent,P,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,15,1154,83.0,77.6,87.7,91.0,10.1,2.9,-33.4,6.9,2338.3,2516.3,-18.0,75.0,5.68,83.1,-2.02,-1.79,77.1,-1.50,-7.92,2.8,-15.5
536,1100455936,T. Charlton,Tyler Charlton,Charlton,Tyler,P,Missouri State University,MOSU,5382,Missouri State,BBC,L,L,16,1057,83.0,75.4,89.2,91.3,13.7,-4.3,-31.7,9.8,2118.3,2734.2,26.1,64.4,5.87,82.4,2.59,-0.06,75.5,1.81,-5.96,-3.3,-11.3
537,1250615738,J. Leary,Jack Leary,Leary,Jack,P,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,22,1221,82.9,76.1,88.6,91.8,12.5,-1.0,-38.9,3.1,2365.4,3038.2,-20.5,69.8,5.50,81.7,-1.57,-0.18,75.7,-1.74,-7.30,3.3,-14.1
538,1521776654,G. Kuzniewski,Gavin Kuzniewski,Kuzniewski,Gavin,P,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,18,1027,82.9,74.4,89.3,91.5,14.9,-0.3,-36.1,4.5,2258.4,2716.2,-10.9,66.2,6.48,83.2,-1.12,-0.09,75.7,-1.17,-6.83,2.2,-13.0
539,1332975104,D. Cohen,Daniel Cohen,Cohen,Daniel,P,Yale University,YALE,730334464,Yale,BBC,R,R,13,1019,82.9,77.6,87.5,90.9,9.9,-1.3,-30.1,10.9,2292.5,2602.5,-32.7,70.0,6.14,82.8,-3.01,-1.27,75.5,-3.23,-6.89,6.1,-13.2
540,1463788430,N. Stein,Nathan Stein,Stein,Nathan,P,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,L,L,15,1033,82.9,78.4,86.6,88.5,8.2,-10.9,-37.7,4.5,1851.5,2426.1,25.6,57.7,5.53,81.5,2.95,0.77,75.3,1.08,-6.11,-1.9,-11.8
541,1911067757,J. Savinon,Jordan Savinon,Savinon,Jordan,P,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,L,L,18,936,82.9,76.2,87.6,89.6,11.3,-3.3,-33.1,7.9,2133.4,2324.5,14.3,73.2,5.78,82.2,1.84,-0.81,76.3,1.25,-6.92,-2.3,-13.4
542,1080345600,N. Valdez,Noel Valdez,Valdez,Noel,P,UC Davis,UCD,730153984,UC Davis,BBC,R,R,21,1293,82.9,75.3,88.9,91.5,13.5,5.2,-24.9,17.2,2001.4,2372.4,-7.0,77.0,5.60,81.8,-0.80,-2.34,75.6,-0.45,-6.99,-0.1,-13.3
543,1311366656,S. Hliboki,Sam Hliboki,Hliboki,Sam,P,Northwestern University,NW,730247680,Northwestern,BBC,L,R,20,1359,82.9,75.3,88.0,90.5,12.7,2.3,-29.5,11.8,2202.6,2566.9,-29.6,64.5,6.08,82.6,-2.91,-0.37,75.3,-2.49,-5.90,4.6,-11.2
544,1102896128,J. Gonzalez,Jonathan Gonzalez,Gonzalez,Jonathan,P,Stetson University,STET,730261504,Stetson,BBC,L,L,15,1419,82.9,77.1,89.0,92.5,11.9,-15.5,-37.5,4.2,2014.7,2574.1,24.8,66.8,5.82,82.2,3.29,-0.59,75.6,0.52,-7.51,-0.8,-14.4
545,1114455808,J. Toporek,Jake Toporek,Toporek,Jake,P,Wagner College,WAG,730192640,Wagner,BBC,S,L,15,1063,82.8,76.5,86.9,88.3,10.4,-15.7,-30.4,11.0,2036.6,2484.0,16.5,67.0,5.28,81.8,2.91,-0.40,76.6,0.13,-5.98,-0.1,-11.6
546,1318951936,B. Cleaver,Ben Cleaver,Cleaver,Ben,P,University of Kentucky,UK,5362,Kentucky,BBC,L,L,15,1361,82.8,70.2,89.8,92.1,19.6,-3.0,-32.9,8.2,2090.3,2715.5,29.4,70.7,6.70,83.4,2.94,-0.70,75.5,2.39,-6.88,-4.4,-12.9
547,1279513344,A. Rubayo,Andrew Rubayo,Rubayo,Andrew,P,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,23,891,82.8,77.0,87.4,90.5,10.5,9.3,-31.4,8.6,1881.7,2204.1,-17.8,72.4,6.78,83.6,-2.36,-1.44,75.5,-0.65,-7.37,1.1,-14.2
548,1515769016,E. Smith,Ethan Smith,Smith,Ethan,P,Lindenwood University,LU,730322176,Lindenwood,BBC,L,L,14,1046,82.8,78.8,86.8,89.2,8.0,-7.4,-31.6,7.8,2048.0,2520.9,16.9,68.3,5.92,84.1,2.29,-0.86,77.2,0.96,-6.72,-1.8,-13.3
549,1281671425,R. Bertram,Reid Bertram,Bertram,Reid,P,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,L,L,17,994,82.8,76.1,88.0,90.0,11.9,-8.4,-36.9,5.8,2041.5,2443.1,31.8,64.9,5.46,80.8,3.32,0.06,75.2,1.82,-6.70,-3.3,-12.8
550,1195467264,M. Martinez,Mason Martinez,Martinez,Mason,P,Grambling State University,GRAM,5378,Grambling State,BBC,R,R,16,1000,82.8,76.0,88.0,90.0,12.0,4.2,-35.9,6.4,2251.5,2458.9,-28.4,63.7,6.72,81.3,-3.23,-0.28,73.7,-2.46,-7.03,4.5,-13.2
