Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,InZone%,InZoneMdl%,Swing%,Miss%,Chase%,CallStrk%,SwStrk%,CompLoc%,NonCompLoc%
268,1736924719,M. Delgado,Matthew Delgado,Delgado,Matthew,C,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,51,1922,7343,47.9%,47.3%,42.5%,20.2%,22.3%,32.3%,8.6%,78.7%,21.3%
269,1760558112,L. Lively,Lenox Lively,Lively,Lenox,C,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,L,R,40,1594,5699,48.1%,47.3%,45.6%,19.3%,23.5%,28.7%,8.8%,76.7%,23.3%
270,1072428669,D. Davis,Diego Davis,Davis,Diego,2B,University of the Pacific,PAC,730386944,Pacific,BBC,R,R,12,293,1085,48.4%,47.3%,44.1%,21.8%,20.6%,29.3%,9.6%,75.5%,24.5%
271,1300163072,N. DeLisi,Nick DeLisi,DeLisi,Nick,C,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,28,847,3193,51.6%,47.3%,44.9%,22.6%,22.6%,30.3%,10.1%,76.1%,23.9%
272,1334298368,T. Burkhalter,Trenton Burkhalter,Burkhalter,Trenton,C,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,11,365,1439,43.0%,47.2%,39.6%,21.6%,21.1%,31.8%,8.6%,77.4%,22.6%
273,1298785792,R. Peterson,Ryan Peterson,Peterson,Ryan,C,Virginia Military Institute,VMI,730173440,VMI,BBC,L,R,52,2087,7846,44.8%,47.2%,43.7%,22.7%,25.1%,30.3%,9.9%,77.6%,22.4%
274,1341312001,J. Cortez,Jacob Cortez,Cortez,Jacob,C,Sacramento State University,SAC,730293760,Sacramento State,BBC,R,R,30,914,3395,44.8%,47.2%,45.2%,20.8%,26.6%,34.3%,9.4%,79.9%,20.1%
275,1180853248,J. Powell,Joe Powell,Powell,Joe,C,Mississippi State University,MSST,5080,Mississippi State,BBC,R,R,34,1171,4495,44.2%,47.2%,44.8%,31.7%,27.7%,31.1%,14.2%,77.1%,22.9%
276,1306896896,N. Miller,Noah Miller,Miller,Noah,C,University of Michigan,MICH,2290,Michigan,BBC,R,R,35,837,3136,44.5%,47.2%,41.9%,20.9%,22.7%,31.3%,8.7%,76.2%,23.8%
277,1878616487,C. Lane,Connor Lane,Lane,Connor,C,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,38,1288,5120,44.5%,47.2%,42.6%,26.1%,23.5%,31.0%,11.1%,78.5%,21.5%
278,1097643008,B. Williams,Brody Williams,Williams,Brody,C,Kent State University,KENT,730315008,Kent State,BBC,R,R,48,1766,6423,48.4%,47.2%,44.3%,22.6%,23.3%,31.9%,10.0%,77.5%,22.5%
279,1294968064,E. Carmichael,Easton Carmichael,Carmichael,Easton,C,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,45,1638,6375,44.4%,47.2%,45.6%,28.0%,27.8%,31.6%,12.8%,78.2%,21.8%
280,1004169216,N. Vargas,Nate Vargas,Vargas,Nate,C,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,L,R,41,1541,6076,46.0%,47.2%,44.7%,29.7%,26.5%,33.7%,13.3%,76.9%,23.1%
281,1298788096,J. Cauthron,Jackson Cauthron,Cauthron,Jackson,C,Ohio University,OHIO,730298368,Ohio,BBC,L,R,38,1573,5720,52.4%,47.2%,41.2%,16.9%,17.1%,31.1%,6.9%,78.4%,21.6%
282,1528976272,M. Wray,Mason Wray,Wray,Mason,C,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,35,1044,3869,50.7%,47.2%,45.4%,22.5%,21.5%,29.6%,10.2%,77.9%,22.1%
283,1030419949,T. DePerno,Ty DePerno,DePerno,Ty,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,35,1294,4886,44.6%,47.2%,40.7%,22.4%,22.9%,32.3%,9.1%,77.4%,22.6%
284,1901925793,M. Urbaniak,Mikey Urbaniak,Urbaniak,Mikey,C,Longwood University,LONG,730219264,Longwood,BBC,L,R,31,1313,4837,44.8%,47.2%,39.7%,20.2%,19.8%,31.7%,8.0%,76.0%,24.0%
285,1250235648,D. Schramm,Dagen Schramm,Schramm,Dagen,C,South Dakota State University,SDST,730323200,South Dakota State,BBC,L,R,31,1048,3847,52.3%,47.2%,42.2%,18.9%,19.5%,30.4%,8.0%,78.3%,21.7%
286,1145241856,C. Reisdorph,Chance Reisdorph,Reisdorph,Chance,C,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,R,R,38,1022,3806,53.5%,47.2%,45.1%,21.5%,21.0%,29.3%,9.7%,78.0%,22.0%
287,1437754977,G. Duncan,Gunnar Duncan,Duncan,Gunnar,C,Butler University,BUT,730283520,Butler,BBC,R,R,19,520,1984,44.4%,47.2%,39.3%,22.2%,22.3%,28.9%,8.7%,77.0%,23.0%
288,1258112768,J. Jones,JD Jones,Jones,JD,C,Rutgers University,RUTG,730229248,Rutgers,BBC,R,R,27,833,3254,44.1%,47.2%,41.9%,22.5%,21.0%,26.8%,9.4%,77.8%,22.2%
289,1205259520,A. Diaz,Alex Diaz,Diaz,Alex,C,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,16,415,1406,45.3%,47.1%,39.2%,14.5%,16.1%,26.5%,5.7%,76.0%,24.0%
290,1047639637,M. Soliz Jr.,Max Soliz Jr.,Soliz Jr.,Max,C,University of Kansas,KU,730360064,Kansas,BBC,R,R,11,304,1192,49.2%,47.1%,43.6%,30.6%,22.5%,31.0%,13.3%,77.8%,22.2%
291,1198452224,N. Pratt,Nicholas Pratt,Pratt,Nicholas,C,UMBC,UMBC,730210304,UMBC,BBC,R,R,8,274,920,43.8%,47.1%,39.5%,17.6%,20.6%,29.3%,6.9%,77.3%,22.7%
292,1400171673,M. Saumell,Michael Vincent Saumell,Saumell,Michael Vincent,C,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,S,R,34,1376,4217,49.5%,47.1%,41.5%,12.7%,15.6%,27.2%,5.3%,75.4%,24.6%
293,1245161728,L. Moressi,Lorenzo Moressi,Moressi,Lorenzo,C,UTSA,UTSA,730373120,UTSA,BBC,S,R,10,327,1218,48.9%,47.1%,46.5%,25.4%,24.9%,33.6%,11.8%,77.3%,22.7%
294,1207762688,G. Smiley,Graham Smiley,Smiley,Graham,C,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,21,716,2574,44.1%,47.1%,44.9%,24.2%,26.1%,28.5%,10.9%,77.9%,22.1%
295,1858822691,M. Young,Michael Young,Young,Michael,C,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,10,253,955,44.7%,47.1%,42.7%,22.8%,22.2%,29.6%,9.7%,76.6%,23.4%
296,1107635456,D. Haab,Daniel Haab,Haab,Daniel,RF,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,10,279,1047,44.5%,47.1%,41.7%,21.7%,21.3%,29.7%,9.1%,77.4%,22.6%
297,1297496320,L. Lavin,Luke Lavin,Lavin,Luke,C,Stanford University,STAN,730251264,Stanford,BBC,L,R,21,668,2746,43.7%,47.1%,42.6%,24.8%,24.6%,28.2%,10.6%,77.7%,22.3%
298,1207846144,N. Hollifield,Nick Hollifield,Hollifield,Nick,C,UAB,UAB,730345984,UAB,BBC,R,R,51,1995,7523,43.9%,47.1%,42.2%,20.7%,24.8%,32.8%,8.8%,77.9%,22.1%
299,1342168539,T. Sparrer,Tyler Sparrer,Sparrer,Tyler,C,Radford University,RAD,730267392,Radford,BBC,R,R,34,1358,4769,46.9%,47.1%,44.5%,20.3%,23.1%,30.6%,9.1%,77.6%,22.4%
300,1224787200,L. Patton,Liam Patton,Patton,Liam,C,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,9,333,1382,44.6%,47.1%,40.6%,23.0%,19.4%,26.6%,9.3%,76.2%,23.8%
301,1914298599,K. Crisp,Kyle Crisp,Crisp,Kyle,C,Radford University,RAD,730267392,Radford,BBC,S,R,6,255,949,42.6%,47.1%,42.5%,19.9%,25.3%,30.2%,8.4%,77.7%,22.3%
302,1166430850,G. Ashe,Grayson Ashe,Ashe,Grayson,C,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,R,R,53,1975,7505,44.8%,47.1%,43.1%,23.8%,23.6%,31.3%,10.3%,78.5%,21.5%
303,1100740096,E. Swidler,Ethan Swidler,Swidler,Ethan,C,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,41,1520,5595,44.6%,47.1%,43.6%,24.0%,25.7%,31.7%,10.5%,77.0%,23.0%
304,1263652608,N. Hosie,Nick Hosie,Hosie,Nick,C,Bradley University,BRAD,730253312,Bradley,BBC,L,R,46,1893,6776,43.4%,47.0%,41.3%,20.5%,21.8%,28.5%,8.5%,76.4%,23.6%
305,1725721248,C. Palmeri,Cole Palmeri,Palmeri,Cole,C,University of Richmond,RICH,730171904,Richmond,BBC,R,R,21,583,2140,43.8%,47.0%,43.7%,22.9%,24.1%,31.0%,10.0%,77.3%,22.7%
306,1287364352,W. Neels,Weber Neels,Neels,Weber,C,University of Minnesota,MINN,4864,Minnesota,BBC,R,R,40,1600,5958,47.6%,47.0%,44.0%,22.9%,22.2%,30.2%,10.1%,77.8%,22.2%
307,1237015040,J. Hawkins,Jason Hawkins,Hawkins,Jason,C,Troy University,TROY,730378496,Troy,BBC,R,R,14,396,1417,44.5%,47.0%,47.4%,25.0%,27.2%,28.1%,11.8%,80.2%,19.8%
308,1196813569,J. Killelea,Jack Killelea,Killelea,Jack,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,10,339,1211,43.7%,47.0%,43.7%,21.6%,26.1%,28.7%,9.4%,75.3%,24.7%
309,1342168414,E. Gustafson,Evan Gustafson,Gustafson,Evan,C,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,R,18,622,2344,47.9%,47.0%,43.5%,20.9%,21.9%,30.1%,9.1%,77.4%,22.6%
310,1392196981,B. Gray,Brady Gray,Gray,Brady,C,Abilene Christian University,AC,730375936,Abilene Christian,BBC,S,R,19,698,2644,45.3%,47.0%,44.4%,23.9%,24.2%,31.3%,10.6%,77.5%,22.5%
311,1334315264,M. Maloney,Matt Maloney,Maloney,Matt,C,Penn State University,PSU,5326,Penn State,BBC,L,R,22,809,2986,46.0%,47.0%,43.5%,21.9%,24.3%,31.1%,9.5%,75.9%,24.1%
312,1142924032,K. Klingenbeck,Kory Klingenbeck,Klingenbeck,Kory,C,University of Cincinnati,CIN,5465,Cincinnati,BBC,S,R,16,418,1626,43.8%,47.0%,45.6%,25.1%,26.7%,30.3%,11.4%,75.5%,24.5%
313,1101830656,J. Ference,Jacob Ference,Ference,Jacob,C,University of Virginia,UVA,5415,Virginia,BBC,R,R,39,1386,5378,43.6%,47.0%,43.9%,28.4%,24.5%,31.3%,12.4%,77.0%,23.0%
314,1296585216,G. Athanasiadis,George Athanasiadis,Athanasiadis,George,C,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,19,694,2271,52.5%,47.0%,44.4%,18.4%,19.6%,27.9%,8.2%,76.3%,23.7%
315,1152810752,D. Camera,Dom Camera,Camera,Dom,C,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,18,691,2646,46.7%,47.0%,40.1%,18.9%,18.8%,27.3%,7.6%,76.3%,23.7%
316,1162576640,C. Dillon,Cole Dillon,Dillon,Cole,C,Wichita State University,WICH,730203904,Wichita State,BBC,R,R,20,642,2396,45.4%,46.9%,42.4%,23.6%,21.8%,28.7%,10.0%,76.5%,23.5%
317,1309501696,K. Morse,Krayton Morse,Morse,Krayton,C,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,44,1800,5888,51.7%,46.9%,44.7%,16.5%,21.6%,30.6%,7.4%,78.6%,21.4%
318,1293160192,N. Cmeyla,Nathan Cmeyla,Cmeyla,Nathan,C,Florida State University,FSU,101,Florida State,BBC,R,R,14,327,1240,43.2%,46.9%,44.9%,31.5%,30.1%,33.7%,14.2%,78.2%,21.8%
319,1761673592,N. Lombardi,Niko Lombardi,Lombardi,Niko,C,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,13,320,1209,44.1%,46.9%,42.1%,24.8%,24.9%,32.4%,10.4%,79.9%,20.1%
320,1212686611,A. Temesvary,Anthony Temesvary,Temesvary,Anthony,C,Columbia University,CLMB,730319104,Columbia,BBC,R,R,22,719,2800,44.7%,46.9%,40.8%,20.9%,22.0%,32.4%,8.5%,77.7%,22.3%
321,1243695361,M. Flaherty,Matt Flaherty,Flaherty,Matt,C,University of Evansville,EVAN,730327808,Evansville,BBC,R,R,29,1206,4529,46.2%,46.9%,43.0%,19.5%,22.4%,30.2%,8.4%,78.3%,21.7%
322,1199284224,J. Hugus,Jackson Hugus,Hugus,Jackson,C,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,37,1355,5192,44.3%,46.9%,40.7%,18.9%,22.4%,32.8%,7.7%,77.3%,22.7%
323,1143069440,M. Strand,Matthew Strand,Strand,Matthew,C,Samford University,SAM,730386432,Samford,BBC,R,R,20,617,2336,44.5%,46.9%,43.8%,25.7%,26.8%,32.9%,11.3%,78.7%,21.3%
324,1132702208,B. Smith,Boston Smith,Smith,Boston,C,Wright State University,WRST,5390,Wright State,BBC,L,R,44,1737,6702,45.7%,46.9%,41.4%,25.0%,23.6%,32.8%,10.3%,77.4%,22.6%
325,1143045888,J. Bold,Jake Bold,Bold,Jake,C,Princeton University,PRIN,730198784,Princeton,BBC,R,R,38,1549,5626,44.4%,46.9%,42.3%,19.2%,24.9%,31.1%,8.1%,76.4%,23.6%
326,1315911936,T. Otto,Thomas Otto,Otto,Thomas,C,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,35,1226,4709,48.7%,46.9%,40.5%,18.8%,17.7%,28.9%,7.6%,75.4%,24.6%
327,1336563968,R. Jackson,Riley Jackson,Jackson,Riley,C,University of Houston,HOU,3030,Houston,BBC,R,R,46,1496,5837,43.3%,46.9%,42.4%,24.7%,25.5%,31.0%,10.5%,78.9%,21.1%
328,1297350912,K. Bowen,Karson Bowen,Bowen,Karson,C,Texas Christian University,TCU,5045,TCU,BBC,R,R,22,641,2442,43.9%,46.9%,45.0%,28.0%,26.3%,30.2%,12.6%,78.5%,21.5%
329,1235376384,N. Manley,Nate Manley,Manley,Nate,C,Wright State University,WRST,5390,Wright State,BBC,R,R,19,699,2793,45.2%,46.9%,40.5%,22.7%,21.7%,29.9%,9.2%,76.6%,23.4%
330,1174781696,B. Penso,Blake Penso,Penso,Blake,C,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,51,1806,7012,49.5%,46.9%,42.1%,25.5%,21.9%,33.4%,10.7%,77.5%,22.5%
331,1197062912,J. Fitzgibbons,Jake Fitzgibbons,Fitzgibbons,Jake,C,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,L,R,20,811,3110,53.2%,46.9%,43.0%,22.4%,17.4%,28.7%,9.6%,77.2%,22.8%
332,1332163632,H. Carns,Hunter Carns,Carns,Hunter,C,Florida State University,FSU,101,Florida State,BBC,R,R,31,1102,4351,44.0%,46.8%,43.2%,29.9%,26.5%,30.1%,12.9%,77.7%,22.3%
333,1146160128,J. Ruiz,Justin Ruiz,Ruiz,Justin,C,High Point University,HP,730321152,High Point,BBC,R,R,25,862,3316,45.9%,46.8%,43.6%,22.3%,22.4%,28.6%,9.7%,76.5%,23.5%
334,1176005632,O. Estabrook,Owen Estabrook,Estabrook,Owen,C,Columbia University,CLMB,730319104,Columbia,BBC,R,R,34,1328,4963,44.2%,46.8%,41.5%,20.8%,22.9%,31.4%,8.6%,77.5%,22.5%
335,1110083328,B. Ries,Benji Ries,Ries,Benji,C,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,13,491,1667,51.9%,46.8%,41.2%,17.1%,14.7%,31.6%,7.0%,76.3%,23.7%
336,1588775792,B. Williams,Brodey Williams,Williams,Brodey,C,University of New Mexico,UNM,730153472,New Mexico,BBC,L,R,30,1167,4396,46.2%,46.8%,45.0%,21.9%,25.0%,32.0%,9.9%,76.8%,23.2%
337,1162109440,G. Pancione,Garrett Pancione,Pancione,Garrett,C,George Mason University,GMU,730265088,George Mason,BBC,R,R,16,266,886,44.8%,46.8%,42.4%,22.2%,20.7%,31.5%,9.4%,75.8%,24.2%
338,1264003584,D. Novak,David Novak,Novak,David,C,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,57,2200,8354,45.8%,46.8%,43.3%,22.7%,23.7%,29.8%,9.8%,76.8%,23.2%
339,1295461632,A. Chiappetta,Anthony Chiappetta,Chiappetta,Anthony,C,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,29,1121,3731,50.2%,46.7%,41.5%,20.1%,16.7%,25.8%,8.4%,75.9%,24.1%
340,1281514496,P. Airhart,Parker Airhart,Airhart,Parker,C,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,42,1559,5647,45.6%,46.7%,47.8%,20.2%,30.0%,32.0%,9.7%,80.2%,19.8%
341,1493011308,D. Jackson,Daniel Jackson,Jackson,Daniel,RF,University of Georgia,UGA,226,Georgia,BBC,R,R,12,418,1641,44.3%,46.7%,43.0%,29.9%,23.5%,31.9%,12.9%,78.4%,21.6%
342,1094691072,J. Spyke,Jack Spyke,Spyke,Jack,C,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,26,924,3609,45.1%,46.7%,42.0%,21.5%,23.9%,34.0%,9.0%,78.1%,21.9%
343,1084952576,A. Mckenna,Andrew Mckenna,Mckenna,Andrew,C,Tulane University,TULN,730354176,Tulane,BBC,L,R,32,815,3144,44.1%,46.7%,43.5%,28.9%,25.0%,30.5%,12.5%,76.7%,23.3%
344,1002128144,T. Kummer,Theo Kummer,Kummer,Theo,C,Texas State University,TXST,5420,Texas State,BBC,R,R,18,639,2551,43.4%,46.7%,39.3%,27.1%,21.4%,31.3%,10.6%,76.6%,23.4%
345,1220509952,G. Mangrum,Grant Mangrum,Mangrum,Grant,C,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,38,1172,4315,44.7%,46.7%,46.8%,25.9%,29.6%,31.2%,12.1%,76.4%,23.6%
346,1292067584,B. Donay,Brody Donay,Donay,Brody,C,University of Florida,FLA,730168320,Florida,BBC,R,R,18,684,2686,44.1%,46.7%,44.3%,30.0%,26.4%,31.7%,13.3%,78.3%,21.7%
347,1956052875,C. Herd,Caleb Herd,Herd,Caleb,C,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,27,837,3054,45.8%,46.7%,40.1%,19.6%,22.6%,33.4%,7.9%,77.2%,22.8%
348,1195516928,C. Matlon,Caden Matlon,Matlon,Caden,C,University of Akron,AKR,540536064,Akron,BBC,R,R,18,713,2711,44.9%,46.7%,42.1%,21.5%,21.6%,28.5%,9.1%,76.0%,24.0%
349,1167236096,W. Zareh,William Zareh,Zareh,William,C,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,14,461,1686,44.7%,46.7%,45.2%,27.0%,27.7%,31.6%,12.2%,78.1%,21.9%
350,1197663488,J. Harvey,Jake Harvey,Harvey,Jake,C,University of Nevada,NEV,4784,Nevada,BBC,R,R,46,1809,6831,45.7%,46.7%,44.9%,22.0%,23.9%,32.7%,9.9%,76.6%,23.4%
351,1490768402,P. Lucas,Preston Lucas,Lucas,Preston,C,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,R,58,2017,7670,45.1%,46.7%,42.4%,23.5%,24.2%,32.2%,10.0%,77.8%,22.2%
352,1239308800,J. Clough,Jude Clough,Clough,Jude,C,George Washington University,GW,730249216,George Washington,BBC,R,R,21,769,2988,44.0%,46.7%,41.2%,23.6%,22.0%,29.0%,9.7%,76.3%,23.7%
353,1698306746,A. Garcia,Ayden Garcia,Garcia,Ayden,C,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,L,R,30,1114,4389,47.4%,46.7%,42.6%,26.7%,24.4%,32.4%,11.4%,78.9%,21.1%
354,1162550784,M. Strong,Mason Strong,Strong,Mason,C,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,35,1397,5035,45.0%,46.7%,44.3%,22.0%,26.3%,29.9%,9.7%,77.5%,22.5%
355,1118859776,M. Spear,Matt Spear,Spear,Matt,C,University of Michigan,MICH,2290,Michigan,BBC,L,R,43,1319,4978,43.7%,46.7%,41.9%,20.8%,22.7%,30.0%,8.7%,76.5%,23.5%
356,1342166625,B. Briggs,Brody Briggs,Briggs,Brody,C,Arizona State University,ASU,5035,Arizona State,BBC,L,R,32,1116,4392,44.2%,46.7%,43.4%,29.4%,25.3%,31.1%,12.8%,78.3%,21.7%
357,1330362005,G. Macias,Garrett Macias,Macias,Garrett,C,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,42,1556,5872,46.9%,46.7%,40.9%,21.9%,21.5%,29.5%,9.0%,77.1%,22.9%
358,1074241280,D. Carr,Davis Carr,Carr,Davis,C,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,23,564,2181,50.6%,46.7%,43.7%,23.5%,21.7%,31.0%,10.3%,75.9%,24.1%
359,1297521920,M. Sprockett,Michael Sprockett,Sprockett,Michael,C,Belmont University,BEL,730190336,Belmont,BBC,L,R,49,1817,7016,45.0%,46.7%,43.3%,25.1%,23.9%,30.1%,10.9%,77.4%,22.6%
360,1310534912,M. Suppa,Matthew Suppa,Suppa,Matthew,C,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,17,571,2098,48.9%,46.6%,42.3%,21.3%,19.4%,29.8%,9.0%,74.9%,25.1%
361,1189127936,J. Stransky,Justin Stransky,Stransky,Justin,C,Fresno State,FRES,730384384,Fresno State,BBC,R,R,59,2285,8443,45.0%,46.6%,44.8%,23.2%,25.1%,33.4%,10.4%,77.9%,22.1%
362,1188022272,C. Stewart,Conner Stewart,Stewart,Conner,C,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,41,1478,5594,48.1%,46.6%,43.8%,25.0%,22.8%,32.2%,10.9%,76.8%,23.2%
363,1690630537,L. Forsyth,Liam Forsyth,Forsyth,Liam,C,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,21,735,2714,44.7%,46.6%,45.1%,23.9%,28.4%,35.8%,10.8%,78.1%,21.9%
364,1104780104,N. Voss,Nate Voss,Voss,Nate,C,Penn State University,PSU,5326,Penn State,BBC,R,R,33,1111,4282,43.8%,46.6%,41.8%,24.1%,24.3%,31.0%,10.1%,77.6%,22.4%
365,1349652591,T. Johnsen,Ty Johnsen,Johnsen,Ty,C,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,31,1151,4308,46.5%,46.6%,41.7%,20.4%,19.4%,30.1%,8.5%,76.0%,24.0%
366,1336539648,B. Durand,Brandyn Durand,Durand,Brandyn,C,Bryant University,BRY,730266880,Bryant,BBC,R,R,24,933,3418,46.7%,46.6%,41.7%,24.8%,22.2%,33.8%,10.4%,75.9%,24.1%
367,1296545280,Z. Ramppen,Zack Ramppen,Ramppen,Zack,C,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,40,1499,5623,45.3%,46.6%,43.0%,21.3%,22.8%,30.3%,9.2%,76.2%,23.8%
368,1213485312,F. Ferrentino,Frankie Ferrentino,Ferrentino,Frankie,C,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,33,1281,3886,53.1%,46.6%,45.0%,15.3%,15.4%,27.9%,6.9%,75.5%,24.5%
369,1118938880,M. Buffington,Matthew Buffington,Buffington,Matthew,C,University of South Florida,USF,2292,South Florida,BBC,R,R,8,228,838,45.9%,46.6%,44.7%,21.9%,25.2%,27.9%,9.8%,74.9%,25.1%
370,1172325888,M. Moris,Max Moris,Moris,Max,C,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,44,1684,6441,51.4%,46.6%,42.1%,24.5%,19.3%,33.5%,10.3%,76.5%,23.5%
371,1324040960,C. ONeal,Connor ONeal,ONeal,Connor,C,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,R,37,1385,5185,45.4%,46.6%,45.3%,23.9%,24.9%,31.0%,10.9%,78.3%,21.7%
372,1098478592,J. Williams,J.P. Williams,Williams,J.P.,C,James Madison University,JMU,730340096,James Madison,BBC,R,R,20,435,1578,43.3%,46.6%,42.8%,22.7%,24.9%,30.1%,9.7%,75.5%,24.5%
373,1213485568,M. Chatelle,Matthew Chatelle,Chatelle,Matthew,C,Rutgers University,RUTG,730229248,Rutgers,BBC,R,R,44,1448,5772,43.0%,46.6%,41.2%,24.4%,22.6%,31.3%,10.1%,77.0%,23.0%
374,1336108544,J. Slater,Jack Slater,Slater,Jack,C,Old Dominion University,ODU,3090,Old Dominion,BBC,L,R,20,676,2619,46.6%,46.6%,42.9%,24.5%,24.9%,31.2%,10.5%,77.3%,22.7%
375,1272690432,T. Lindwedel,Tony Lindwedel,Lindwedel,Tony,C,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,45,1597,6017,43.8%,46.6%,42.9%,20.9%,24.2%,30.2%,9.0%,77.2%,22.8%
376,1990583503,N. Savoie,Nate Savoie,Savoie,Nate,LF,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,13,504,2065,44.5%,46.6%,38.9%,24.4%,19.9%,33.1%,9.5%,77.2%,22.8%
377,1760769161,E. Flaugher,Ethan Flaugher,Flaugher,Ethan,C,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,S,R,24,706,2616,49.3%,46.5%,42.4%,23.3%,18.8%,30.9%,9.9%,77.5%,22.5%
378,1190568704,T. Minnick,Tyler Minnick,Minnick,Tyler,C,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,43,1789,6923,43.8%,46.5%,42.4%,21.8%,23.5%,30.6%,9.2%,77.1%,22.9%
379,1224669696,N. Brooks,Noah Brooks,Brooks,Noah,1B,Siena College,SIE,730382592,Siena,BBC,R,R,14,569,2203,54.0%,46.5%,41.5%,18.4%,13.4%,30.2%,7.6%,75.9%,24.1%
380,1253268027,B. Primrose,Blake Primrose,Primrose,Blake,C,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,28,986,3687,49.9%,46.5%,43.0%,27.3%,23.8%,30.4%,11.7%,76.2%,23.8%
381,1167173120,M. Whitcomb,Mack Whitcomb,Whitcomb,Mack,C,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,44,1735,6370,51.1%,46.5%,44.8%,19.7%,21.9%,32.4%,8.8%,77.4%,22.6%
382,1118488999,J. Parsons,JJ Parsons,Parsons,JJ,C,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,18,650,2452,42.9%,46.5%,41.4%,23.5%,22.5%,30.5%,9.7%,78.7%,21.3%
383,1600351085,R. Jones,Ryan Jones,Jones,Ryan,C,Canisius College,CAN,730218752,Canisius,BBC,R,R,10,266,936,49.4%,46.5%,38.5%,22.0%,16.2%,30.7%,8.5%,76.2%,23.8%
384,1096596224,Z. Skinner,Zak Skinner,Skinner,Zak,3B,Lamar University,LAM,730162432,Lamar,BBC,R,R,14,506,1874,43.5%,46.5%,39.9%,25.3%,23.2%,32.3%,10.1%,76.0%,24.0%
385,1212862976,S. Lancia,Steven Lancia,Lancia,Steven,C,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,46,1682,6249,49.3%,46.5%,43.6%,24.2%,23.2%,31.3%,10.6%,74.9%,25.1%
