Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,InZone%,InZoneMdl%,Swing%,Miss%,Chase%,CallStrk%,SwStrk%,CompLoc%,NonCompLoc%
76,1100324865,A. Horvath,Andrew Horvath,Horvath,Andrew,C,University of Akron,AKR,540536064,Akron,BBC,R,R,36,1446,5514,48.2%,49.3%,43.9%,24.9%,22.8%,30.3%,10.9%,78.7%,21.3%
77,1191771904,K. Kosobucki,Kaden Kosobucki,Kosobucki,Kaden,C,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,25,924,3461,47.6%,49.3%,42.4%,20.5%,21.6%,31.0%,8.7%,80.1%,19.9%
78,1178255014,C. Mowry,Collin Mowry,Mowry,Collin,C,University of Louisville,LOU,5467,Louisville,BBC,R,R,18,422,1685,44.5%,49.3%,39.6%,21.9%,21.2%,29.1%,8.7%,79.9%,20.1%
79,1455290898,J. Roossien,Jace Roossien,Roossien,Jace,C,Boston College,BC,227,Boston College,BBC,S,R,14,382,1433,45.5%,49.3%,42.2%,20.7%,23.4%,28.9%,8.7%,80.1%,19.9%
80,1084703232,S. Hunt,Sam Hunt,Hunt,Sam,C,University of Minnesota,MINN,4864,Minnesota,BBC,S,R,17,476,1794,48.0%,49.3%,40.6%,21.2%,19.9%,33.9%,8.6%,78.3%,21.7%
81,1109527296,D. Mathews,Duncan Mathews,Mathews,Duncan,C,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,46,1618,6069,45.4%,49.3%,43.5%,22.6%,24.7%,31.6%,9.8%,79.5%,20.5%
82,1375742682,Z. Becker,Zane Becker,Becker,Zane,C,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,17,340,1256,47.9%,49.2%,46.6%,32.6%,28.6%,34.4%,15.2%,79.2%,20.8%
83,1305837372,G. Braland,Gavin Braland,Braland,Gavin,C,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,31,1032,3950,47.3%,49.2%,44.2%,24.9%,24.0%,28.6%,11.0%,79.7%,20.3%
84,1184442368,B. Arendt,Bryan Arendt,Arendt,Bryan,C,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,49,1764,6573,46.2%,49.2%,46.9%,25.9%,29.2%,35.0%,12.1%,79.1%,20.9%
85,1152911360,J. Kleveno,Jack Kleveno,Kleveno,Jack,C,University of Utah,UTAH,730328320,Utah,BBC,R,R,22,663,2463,46.7%,49.2%,44.2%,20.6%,23.6%,28.8%,9.1%,80.1%,19.9%
86,1092657664,S. White,Sean White,White,Sean,C,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,47,1801,6627,45.9%,49.2%,44.6%,20.4%,24.6%,29.6%,9.1%,80.5%,19.5%
87,1317308271,Z. Butler,Zac Butler,Butler,Zac,C,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,14,356,1273,48.1%,49.2%,49.1%,25.0%,30.1%,30.7%,12.3%,81.4%,18.6%
88,1084406528,T. Curry,Thomas Curry,Curry,Thomas,C,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,12,443,1611,48.4%,49.2%,46.7%,19.4%,25.7%,28.8%,9.1%,82.1%,17.9%
89,1269477888,J. Arcamone,Jack Arcamone,Arcamone,Jack,C,University of Richmond,RICH,730171904,Richmond,BBC,L,R,25,946,3477,47.0%,49.2%,44.8%,20.6%,24.2%,29.7%,9.2%,79.6%,20.4%
90,1301144832,A. Duffey,Alex Duffey,Duffey,Alex,C,Elon University,ELON,730252544,Elon,BBC,L,R,51,2034,7386,46.2%,49.2%,46.5%,21.9%,26.4%,29.0%,10.2%,79.7%,20.3%
91,1152818944,H. Pinkney,Hugh Pinkney,Pinkney,Hugh,C,Tulane University,TULN,730354176,Tulane,BBC,L,R,43,1455,5565,46.8%,49.1%,44.0%,25.9%,25.3%,30.4%,11.4%,79.4%,20.6%
92,1205542912,K. Reinertson,Kade Reinertson,Reinertson,Kade,C,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,43,1695,6152,45.6%,49.1%,43.6%,19.8%,23.3%,29.4%,8.6%,78.9%,21.1%
93,1727649062,T. Marthilijohni,Ty Marthilijohni,Marthilijohni,Ty,C,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,R,R,43,1752,6668,48.7%,49.1%,41.8%,20.1%,19.5%,32.0%,8.4%,76.5%,23.5%
94,1132574976,T. McElwee,Thomas McElwee,McElwee,Thomas,C,University at Albany,ALBY,730280448,Albany,BBC,R,R,15,421,1571,46.8%,49.1%,43.3%,19.3%,23.6%,31.0%,8.3%,78.9%,21.1%
95,1582058376,K. Sanchez,Kamaehu Sanchez,Sanchez,Kamaehu,C,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,42,1349,4634,47.6%,49.1%,44.3%,18.6%,23.1%,32.8%,8.2%,78.1%,21.9%
96,1092813824,I. Francis,Ian Francis,Francis,Ian,C,University of Kansas,KU,730360064,Kansas,BBC,R,R,51,1752,6623,46.8%,49.1%,45.0%,25.3%,25.5%,30.7%,11.4%,80.0%,20.0%
