Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,PB,WP,PBWP,xPBWP,PBWPAA,PBWP+,PBWPRAA,PBWPWAR
222,1300163072,N. DeLisi,Nick DeLisi,DeLisi,Nick,C,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,28,3193,5,17,22,6.46,-2.54,71.7%,-0.65,-0.06
223,1496120561,W. Kane-Yates,Wailele Kane-Yates,Kane-Yates,Wailele,C,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,41,5938,5,25,30,23.44,-2.56,90.2%,-0.65,-0.07
224,1333122048,K. Jimenez,Kenneth Jimenez,Jimenez,Kenneth,C,University of Houston,HOU,3030,Houston,BBC,R,R,14,1510,0,8,8,5.43,-2.57,67.9%,-0.65,-0.07
225,1097842176,K. Cincinnati,Kyle Cincinnati,Cincinnati,Kyle,C,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,30,3173,9,20,29,10.38,-2.62,79.9%,-0.67,-0.07
226,1167236096,W. Zareh,William Zareh,Zareh,William,C,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,14,1686,0,12,12,7.38,-2.62,73.8%,-0.67,-0.07
227,1178678016,J. Agar,Joey Agar,Agar,Joey,C,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,R,18,1545,1,10,11,6.34,-2.66,70.5%,-0.68,-0.07
228,1508812349,R. Stockton,Rylen Stockton,Stockton,Rylen,C,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,38,6020,6,30,36,25.33,-2.67,90.5%,-0.68,-0.07
229,1698176328,B. Grizzaffi,Bryce Grizzaffi,Grizzaffi,Bryce,C,Lamar University,LAM,730162432,Lamar,BBC,R,R,38,4116,3,17,20,17.33,-2.67,86.6%,-0.68,-0.07
230,1334298368,T. Burkhalter,Trenton Burkhalter,Burkhalter,Trenton,C,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,11,1439,2,8,10,6.33,-2.67,70.3%,-0.68,-0.07
231,1150057472,L. Melton,Luke Melton,Melton,Luke,C,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,17,1779,2,8,10,2.32,-2.68,46.4%,-0.68,-0.07
232,1906304561,B. Burke,Brendan Burke,Burke,Brendan,C,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,25,2856,4,14,18,13.28,-2.72,83.0%,-0.69,-0.07
233,1271046400,J. Gibson,Jayden Gibson,Gibson,Jayden,C,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,11,1551,4,12,16,4.27,-2.73,61.1%,-0.69,-0.07
234,1092657664,S. White,Sean White,White,Sean,C,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,47,6627,5,24,29,25.26,-2.74,90.2%,-0.70,-0.07
235,1451114555,E. Taveras,Evan Taveras,Taveras,Evan,C,University of Miami,MIA,236,Miami,BBC,R,R,15,1398,2,6,8,5.25,-2.75,65.6%,-0.70,-0.07
236,1476164141,T. Smith,Tyler Smith,Smith,Tyler,C,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,S,R,14,2273,2,15,17,4.23,-2.77,60.5%,-0.70,-0.07
237,1150232320,H. Driggs,Hayden Driggs,Driggs,Hayden,C,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,17,1334,1,10,11,7.22,-2.78,72.2%,-0.71,-0.07
238,1289058129,J. Liera,Jesus Liera,Liera,Jesus,C,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,16,1098,1,7,8,5.21,-2.79,65.1%,-0.71,-0.07
239,1236373248,C. Meggers,Chase Meggers,Meggers,Chase,C,University of Oregon,ORE,4807,Oregon,BBC,L,R,26,3058,0,16,16,12.21,-2.79,81.4%,-0.71,-0.07
240,1077600000,J. Hernandez,Jedier Hernandez,Hernandez,Jedier,C,University of Missouri,MIZZ,4806,Missouri,BBC,R,R,30,4499,0,23,23,18.20,-2.80,86.7%,-0.71,-0.07
241,1850462131,C. Kilgore,Cal Kilgore,Kilgore,Cal,C,University of Utah,UTAH,730328320,Utah,BBC,R,R,10,1020,0,8,8,2.16,-2.84,43.1%,-0.72,-0.07
242,1002128144,T. Kummer,Theo Kummer,Kummer,Theo,C,Texas State University,TXST,5420,Texas State,BBC,R,R,18,2551,1,13,14,11.11,-2.89,79.4%,-0.73,-0.07
