Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,PB,WP,PBWP,xPBWP,PBWPAA,PBWP+,PBWPRAA,PBWPWAR
68,1101444096,G. Bogdanchik,Gavin Bogdanchik,Bogdanchik,Gavin,C,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,19,1863,2,6,8,9.18,1.18,114.8%,0.30,0.03
69,1306896896,N. Miller,Noah Miller,Miller,Noah,C,University of Michigan,MICH,2290,Michigan,BBC,R,R,35,3136,2,10,12,13.13,1.13,109.4%,0.29,0.03
70,1214263552,A. Febo,Anthony Febo,Febo,Anthony,C,Iona College,IONA,730242048,Iona,BBC,R,R,31,4341,3,28,31,1.12,1.12,-,0.29,0.03
71,1299789568,B. Taylor,Bronson Taylor,Taylor,Bronson,C,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,L,R,19,2413,2,20,22,6.03,1.03,120.7%,0.26,0.03
72,1287356160,R. Bakes,Ryan Bakes,Bakes,Ryan,C,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,14,984,1,2,3,4.00,1.00,133.4%,0.25,0.03
73,1588775792,B. Williams,Brodey Williams,Williams,Brodey,C,University of New Mexico,UNM,730153472,New Mexico,BBC,L,R,30,4396,2,15,17,16.97,0.97,106.1%,0.25,0.02
74,1121807616,C. Blanchard,Colin Blanchard,Blanchard,Colin,C,University of Washington,WASH,3110,Washington,BBC,L,R,18,2378,2,5,7,7.96,0.96,113.7%,0.24,0.02
75,1018032643,A. Wright,Aydin Wright,Wright,Aydin,C,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,38,5725,9,21,30,17.90,0.90,105.3%,0.23,0.02
76,1306904321,J. Kennett,JJ Kennett,Kennett,JJ,C,Baylor University,BAY,3033,Baylor,BBC,R,R,26,3279,2,11,13,13.89,0.89,106.8%,0.23,0.02
77,1981580320,S. Christmas,Seth Christmas,Christmas,Seth,C,Liberty University,LIB,730156288,Liberty,BBC,R,R,22,1955,6,6,12,7.85,0.85,112.2%,0.22,0.02
78,1182582784,T. Hillier,Three Hillier,Hillier,Three,C,High Point University,HP,730321152,High Point,BBC,L,R,40,5470,3,17,20,20.84,0.84,104.2%,0.21,0.02
79,1292067584,B. Donay,Brody Donay,Donay,Brody,C,University of Florida,FLA,730168320,Florida,BBC,R,R,18,2686,3,10,13,13.83,0.83,106.4%,0.21,0.02
80,1074241280,D. Carr,Davis Carr,Carr,Davis,C,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,23,2181,1,11,12,4.82,0.82,120.5%,0.21,0.02
81,1245115136,D. Johnson,Dylan Johnson,Johnson,Dylan,C,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,58,7708,3,25,28,27.78,0.78,102.9%,0.20,0.02
82,1296545280,Z. Ramppen,Zack Ramppen,Ramppen,Zack,C,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,40,5623,5,19,24,23.71,0.71,103.1%,0.18,0.02
83,1046485320,J. Fernandez,Jose Fernandez,Fernandez,Jose,C,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,15,1308,1,8,9,5.68,0.68,113.5%,0.17,0.02
84,1432642301,E. Gentil,Evan Gentil,Gentil,Evan,C,UC Davis,UCD,730153984,UC Davis,BBC,R,R,24,3097,0,10,10,10.67,0.67,106.7%,0.17,0.02
85,1253268027,B. Primrose,Blake Primrose,Primrose,Blake,C,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,28,3687,2,22,24,9.65,0.65,107.2%,0.17,0.02
86,1324713472,A. Gonzalez,Anthony Gonzalez,Gonzalez,Anthony,C,Stetson University,STET,730261504,Stetson,BBC,R,R,16,1305,4,4,8,5.60,0.60,112.1%,0.15,0.02
87,1215682743,C. Alexander,Carter Alexander,Alexander,Carter,C,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,12,1958,1,7,8,7.59,0.59,108.4%,0.15,0.02
88,1224669696,N. Brooks,Noah Brooks,Brooks,Noah,1B,Siena College,SIE,730382592,Siena,BBC,R,R,14,2203,4,15,19,1.57,0.57,156.9%,0.14,0.01
89,1198516992,B. Shevey,Boone Shevey,Shevey,Boone,C,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,S,R,12,1340,2,3,5,5.56,0.56,111.2%,0.14,0.01
90,1094691072,J. Spyke,Jack Spyke,Spyke,Jack,C,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,26,3609,3,14,17,14.56,0.56,104.0%,0.14,0.01
91,1195475456,T. Howard,Tyler Howard,Howard,Tyler,C,University of Portland,PORT,730360320,Portland,BBC,R,R,32,4655,3,23,26,9.54,0.54,106.0%,0.14,0.01
92,1820036147,C. Pawlowski,Connor Pawlowski,Pawlowski,Connor,C,Bellarmine University,BU,730167552,Bellarmine,BBC,R,R,19,1113,1,6,7,2.51,0.51,125.6%,0.13,0.01
93,1666779509,M. Houston,Matt Houston,Houston,Matt,C,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,R,R,13,1736,0,8,8,8.42,0.42,105.2%,0.11,0.01
94,1172798629,E. Rodriguez,Elijah Rodriguez,Rodriguez,Elijah,C,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,40,4400,5,43,48,7.37,0.37,105.2%,0.09,0.01
95,1263483392,T. Cotten,Tyler Cotten,Cotten,Tyler,C,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,20,2446,5,7,12,2.35,0.35,117.5%,0.09,0.01
96,1664447366,F. Gonzalez,Felix Gonzalez,Gonzalez,Felix,C,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,14,1829,5,7,12,2.32,0.32,116.0%,0.08,0.01
97,1172422144,J. Thompson,Jackson Thompson,Thompson,Jackson,C,Campbell University,CAMP,730187776,Campbell,BBC,R,R,27,4288,0,22,22,22.28,0.28,101.3%,0.07,0.01
98,1228209408,C. Brown,Colin Brown,Brown,Colin,C,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,20,2596,0,10,10,10.28,0.28,102.8%,0.07,0.01
99,1738127352,E. Sepulveda,Esteban Sepulveda,Sepulveda,Esteban,C,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,7,911,0,4,4,4.23,0.23,105.6%,0.06,0.01
100,1675650877,I. Armstrong,Ian Armstrong,Armstrong,Ian,C,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,43,6187,2,31,33,28.11,0.11,100.4%,0.03,0.00
101,1228393728,M. Aranda,Marcus Aranda,Aranda,Marcus,C,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,11,1137,2,7,9,5.10,0.10,101.9%,0.02,0.00
102,1192517376,M. Miesse,Maddox Miesse,Miesse,Maddox,C,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,32,3758,4,12,16,11.09,0.09,100.8%,0.02,0.00
103,1302422799,D. McGowan,Drew McGowan,McGowan,Drew,C,Marist College,MRST,730374656,Marist,BBC,L,R,13,1102,2,7,9,0.06,0.06,-,0.02,0.00
104,1761673592,N. Lombardi,Niko Lombardi,Lombardi,Niko,C,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,13,1209,0,4,4,4.02,0.02,100.5%,0.01,0.00
105,1394676085,R. Hoeft,Ryan Hoeft,Hoeft,Ryan,C,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,8,643,3,9,12,0.00,0.00,-,0.00,0.00
106,1198411264,A. Vining,Ashby Vining,Vining,Ashby,C,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,29,3986,3,30,33,0.91,-0.09,90.7%,-0.02,-0.00
107,1780241245,G. Juarez,Gabe Juarez,Juarez,Gabe,C,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,10,1057,1,4,5,4.89,-0.11,97.9%,-0.03,-0.00
108,1343189705,E. Miller,Ethan Miller,Miller,Ethan,C,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,31,2737,1,18,19,6.88,-0.12,98.3%,-0.03,-0.00
109,1064756010,M. Hersh,Marc Hersh,Hersh,Marc,C,Florida International University,FIU,4468,Florida International,BBC,R,R,15,1464,5,5,10,9.87,-0.13,98.7%,-0.03,-0.00
110,1302783489,J. Perez,Jaime Perez,Perez,Jaime,C,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,23,3254,5,10,15,2.85,-0.15,95.2%,-0.04,-0.00
111,1213485568,M. Chatelle,Matthew Chatelle,Chatelle,Matthew,C,Rutgers University,RUTG,730229248,Rutgers,BBC,R,R,44,5772,3,26,29,28.84,-0.16,99.5%,-0.04,-0.00
112,1100780800,J. Kuczik,JP Kuczik,Kuczik,JP,C,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,42,5571,3,26,29,7.81,-0.19,97.6%,-0.05,-0.00
113,1239285504,G. Fulmer,Garrett Fulmer,Fulmer,Garrett,C,The Citadel,CIT,730366720,The Citadel,BBC,R,R,26,3640,1,14,15,12.79,-0.21,98.4%,-0.05,-0.01
114,1198452224,N. Pratt,Nicholas Pratt,Pratt,Nicholas,C,UMBC,UMBC,730210304,UMBC,BBC,R,R,8,920,0,5,5,3.79,-0.21,94.6%,-0.05,-0.01
115,1295461632,A. Chiappetta,Anthony Chiappetta,Chiappetta,Anthony,C,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,29,3731,5,21,26,4.78,-0.22,95.6%,-0.06,-0.01
116,1513501382,C. Norton,Cade Norton,Norton,Cade,C,Mercer University,MER,730240512,Mercer,BBC,R,R,22,1802,1,7,8,6.77,-0.23,96.7%,-0.06,-0.01
117,1083615488,I. Daugherty,Ian Daugherty,Daugherty,Ian,C,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,R,44,6163,4,21,25,22.66,-0.34,98.5%,-0.09,-0.01
118,1166939392,R. Ciulla,Robert Ciulla,Ciulla,Robert,C,Yale University,YALE,730334464,Yale,BBC,R,R,16,1856,1,6,7,5.66,-0.34,94.3%,-0.09,-0.01
119,1743237802,C. Bowling,Chet Bowling,Bowling,Chet,C,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,18,1384,0,5,5,4.64,-0.36,92.7%,-0.09,-0.01
120,1100576256,A. Hanlon,Andrew Hanlon,Hanlon,Andrew,C,Brown University,BRWN,730236160,Brown,BBC,R,R,7,917,0,6,6,4.62,-0.38,92.5%,-0.10,-0.01
121,1268743637,S. Huerta,Sebastian Huerta,Huerta,Sebastian,C,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,32,3035,2,19,21,11.62,-0.38,96.8%,-0.10,-0.01
122,1116254976,N. McHugh,Nate McHugh,McHugh,Nate,C,Creighton University,CREI,730243840,Creighton,BBC,R,R,23,2522,1,10,11,8.59,-0.41,95.4%,-0.10,-0.01
123,1202717696,D. LaPointe,Dylan LaPointe,LaPointe,Dylan,C,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,R,R,32,4301,2,14,16,9.57,-0.43,95.7%,-0.11,-0.01
124,1261647104,C. Cooke,Conor Cooke,Cooke,Conor,1B,Brown University,BRWN,730236160,Brown,BBC,R,R,5,889,2,2,4,3.56,-0.44,89.1%,-0.11,-0.01
125,1273293312,B. Poppell,Broedy Poppell,Poppell,Broedy,C,Florida A&M University,FAMU,5416,Florida A&M,BBC,S,R,36,3180,2,20,22,4.53,-0.47,90.6%,-0.12,-0.01
126,1131893504,C. Kenny,Craig Kenny,Kenny,Craig,C,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,44,6442,9,31,40,12.50,-0.50,96.2%,-0.13,-0.01
127,1162307584,C. Romich,Cooper Romich,Romich,Cooper,C,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,28,3211,7,13,20,1.49,-0.51,74.3%,-0.13,-0.01
128,1599055261,J. Jones,Jace Jones,Jones,Jace,C,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,29,2947,29,33,62,0.45,-0.55,45.5%,-0.14,-0.01
129,1490768402,P. Lucas,Preston Lucas,Lucas,Preston,C,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,R,58,7670,5,36,41,28.45,-0.55,98.1%,-0.14,-0.01
130,1342168414,E. Gustafson,Evan Gustafson,Gustafson,Evan,C,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,R,18,2344,8,7,15,9.38,-0.62,93.8%,-0.16,-0.02
131,1455132479,B. Barczai,Brennen Barczai,Barczai,Brennen,C,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,7,779,4,13,17,0.38,-0.62,37.8%,-0.16,-0.02
132,1183060992,C. Knight,Christian Knight,Knight,Christian,C,Wagner College,WAG,730192640,Wagner,BBC,S,R,20,1973,1,12,13,1.37,-0.63,68.7%,-0.16,-0.02
133,1943433924,A. French,Anderson French,French,Anderson,C,Virginia Tech,VT,2293,Virginia Tech,BBC,L,R,14,1236,2,4,6,5.36,-0.64,89.3%,-0.16,-0.02
134,1297587968,J. West,Jaxson West,West,Jaxson,C,Florida State University,FSU,101,Florida State,BBC,L,R,21,2964,1,15,16,15.34,-0.66,95.9%,-0.17,-0.02
135,1310534912,M. Suppa,Matthew Suppa,Suppa,Matthew,C,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,17,2098,0,14,14,5.32,-0.68,88.7%,-0.17,-0.02
136,1126573056,B. Voth,Brant Voth,Voth,Brant,P,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,L,R,20,2485,5,19,24,2.23,-0.77,74.3%,-0.20,-0.02
137,1387024195,T. Early,Tom Early,Early,Tom,C,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,13,1161,15,31,46,2.16,-0.84,72.1%,-0.21,-0.02
138,1212104449,C. Barczi,Colin Barczi,Barczi,Colin,C,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,R,47,6690,4,24,28,26.12,-0.88,96.7%,-0.22,-0.02
139,1004169216,N. Vargas,Nate Vargas,Vargas,Nate,C,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,L,R,41,6076,9,19,28,20.06,-0.94,95.5%,-0.24,-0.02
140,1132574976,T. McElwee,Thomas McElwee,McElwee,Thomas,C,University at Albany,ALBY,730280448,Albany,BBC,R,R,15,1571,6,7,13,4.01,-0.99,80.2%,-0.25,-0.03
141,1142436096,D. Burkes,Devin Burkes,Burkes,Devin,C,University of Kentucky,UK,5362,Kentucky,BBC,R,R,43,6270,3,23,26,24.96,-1.04,96.0%,-0.27,-0.03
142,1000403987,D. Pena,Diego Pena,Pena,Diego,C,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,20,2180,1,11,12,4.92,-1.08,82.1%,-0.27,-0.03
143,1273292544,A. Sundean,Andrew Sundean,Sundean,Andrew,C,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,12,1608,2,6,8,6.91,-1.09,86.3%,-0.28,-0.03
144,1813453419,J. Durso,Joe Durso,Durso,Joe,C,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,43,5897,5,25,30,13.88,-1.12,92.5%,-0.29,-0.03
145,1310418944,B. Timmons,Brendan Timmons,Timmons,Brendan,C,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,11,1315,9,16,25,1.86,-1.14,61.9%,-0.29,-0.03
146,1972031807,T. Freeny,Tariq Freeny,Freeny,Tariq,C,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,28,4167,5,18,23,19.84,-1.16,94.5%,-0.30,-0.03
147,1471059156,L. Williams,Landon Williams,Williams,Landon,3B,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,7,804,2,8,10,1.81,-1.19,60.4%,-0.30,-0.03
148,1075324928,J. Fogel,Justin Fogel,Fogel,Justin,LF,University of Memphis,MEM,730172160,Memphis,BBC,L,R,16,2198,0,11,11,9.81,-1.19,89.2%,-0.30,-0.03
149,1342168338,H. Russell,Houston Russell,Russell,Houston,C,Purdue University,PUR,730353152,Purdue,BBC,R,R,39,4798,8,17,25,18.80,-1.20,94.0%,-0.30,-0.03
150,1310670336,L. Trippel,Lance Trippel,Trippel,Lance,C,University of South Florida,USF,2292,South Florida,BBC,R,R,51,7206,6,19,25,23.79,-1.21,95.1%,-0.31,-0.03
151,1220509952,G. Mangrum,Grant Mangrum,Mangrum,Grant,C,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,38,4315,6,19,25,21.77,-1.23,94.6%,-0.31,-0.03
152,1174787328,T. Splaine,Tommy Splaine,Splaine,Tommy,1B,University of Arizona,ARIZ,232,Arizona,BBC,R,R,12,1372,0,7,7,5.75,-1.25,82.2%,-0.32,-0.03
153,1912613998,M. Acton,Mason Acton,Acton,Mason,C,Bellarmine University,BU,730167552,Bellarmine,BBC,L,R,24,2777,2,14,16,9.71,-1.29,88.3%,-0.33,-0.03
154,1184447745,H. Hunter,Henry Hunter,Hunter,Henry,C,University of Georgia,UGA,226,Georgia,BBC,L,R,50,7376,3,35,38,31.66,-1.34,95.9%,-0.34,-0.03
155,1952447340,J. Cunningan,Josh Cunningan,Cunningan,Josh,C,Seattle University,SEA,4504,Seattle,BBC,L,R,10,963,3,8,11,4.65,-1.35,77.6%,-0.34,-0.03
156,1146205440,B. Chang,Brandon Chang,Chang,Brandon,C,Brown University,BRWN,730236160,Brown,BBC,R,R,28,4129,1,25,26,16.63,-1.37,92.4%,-0.35,-0.03
157,1084703232,S. Hunt,Sam Hunt,Hunt,Sam,C,University of Minnesota,MINN,4864,Minnesota,BBC,S,R,17,1794,1,8,9,7.61,-1.39,84.5%,-0.35,-0.04
158,1698306746,A. Garcia,Ayden Garcia,Garcia,Ayden,C,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,L,R,30,4389,3,14,17,15.59,-1.41,91.7%,-0.36,-0.04
159,1336547840,M. Zelenka,Martin Zelenka,Zelenka,Martin,C,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,15,1589,0,8,8,6.56,-1.44,82.0%,-0.37,-0.04
160,1677815916,L. McNellis,Lucas McNellis,McNellis,Lucas,C,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,8,909,1,6,7,3.54,-1.46,70.9%,-0.37,-0.04
161,1273289728,D. King,Dylan King,King,Dylan,C,University of Central Florida,UCF,730256640,Central Florida,BBC,L,R,43,5606,7,17,24,19.52,-1.48,93.0%,-0.38,-0.04
162,1039959144,D. Scheumann,DJ Scheumann,Scheumann,DJ,C,Ball State University,BALL,730195456,Ball State,BBC,S,R,12,830,2,7,9,1.49,-1.51,49.5%,-0.39,-0.04
163,1167350272,A. Berghult,Adam Berghult,Berghult,Adam,C,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,22,2969,3,12,15,13.48,-1.52,89.9%,-0.39,-0.04
164,1257439488,L. DiPaolo,Luca DiPaolo,DiPaolo,Luca,C,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,20,2202,0,8,8,6.48,-1.52,81.0%,-0.39,-0.04
165,1029366313,O. Hooper,Owen Hooper,Hooper,Owen,C,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,23,2779,6,11,17,6.48,-1.52,80.9%,-0.39,-0.04
166,1200350720,N. Greise,Noah Greise,Greise,Noah,C,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,16,1956,1,9,10,8.46,-1.54,84.6%,-0.39,-0.04
167,1196798464,I. Irish,Ike Irish,Irish,Ike,RF,Auburn University,AUB,5466,Auburn,BBC,L,R,11,1400,1,5,6,4.43,-1.57,73.8%,-0.40,-0.04
168,1289946112,S. Donahue,Scott Donahue,Donahue,Scott,C,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,R,32,4975,4,22,26,10.43,-1.57,86.9%,-0.40,-0.04
169,1473478008,N. Zajac,Nolan Zajac,Zajac,Nolan,C,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,12,1173,1,6,7,1.41,-1.59,47.1%,-0.40,-0.04
170,1667195766,B. Mabeus,Burke-Lee Mabeus,Mabeus,Burke-Lee,C,University of Oregon,ORE,4807,Oregon,BBC,S,R,36,3871,1,16,17,15.39,-1.61,90.6%,-0.41,-0.04
171,1337773312,R. Pelletier,Raphael Pelletier,Pelletier,Raphael,C,University of Kentucky,UK,5362,Kentucky,BBC,L,R,19,2365,3,7,10,7.36,-1.64,81.8%,-0.42,-0.04
172,1135883264,S. Gell,Scott Gell,Gell,Scott,C,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,15,1669,1,9,10,6.35,-1.65,79.3%,-0.42,-0.04
173,1197062912,J. Fitzgibbons,Jake Fitzgibbons,Fitzgibbons,Jake,C,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,L,R,20,3110,2,18,20,5.32,-1.68,76.0%,-0.43,-0.04
174,1191771904,K. Kosobucki,Kaden Kosobucki,Kosobucki,Kaden,C,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,25,3461,5,16,21,11.30,-1.70,86.9%,-0.43,-0.04
175,1455290898,J. Roossien,Jace Roossien,Roossien,Jace,C,Boston College,BC,227,Boston College,BBC,S,R,14,1433,1,5,6,4.30,-1.70,71.6%,-0.43,-0.04
176,1085382144,J. Current,Joey Current,Current,Joey,C,Towson University,TOWS,730318336,Towson,BBC,R,R,14,1008,0,7,7,4.29,-1.71,71.5%,-0.44,-0.04
177,1090062592,J. Gregson,JD Gregson,Gregson,JD,C,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,20,2614,2,12,14,6.24,-1.76,78.1%,-0.45,-0.04
178,1179443968,J. Cromwick,Josiah Cromwick,Cromwick,Josiah,C,Arizona State University,ASU,5035,Arizona State,BBC,R,R,33,4956,3,17,20,18.21,-1.79,91.0%,-0.46,-0.05
179,1099941376,B. Markinson,Bennett Markinson,Markinson,Bennett,C,Northwestern University,NW,730247680,Northwestern,BBC,R,R,49,7111,4,24,28,24.19,-1.81,93.0%,-0.46,-0.05
180,1123967744,L. Rios,Lorenzo Rios,Rios,Lorenzo,C,Rice University,RICE,2352,Rice,BBC,R,R,12,961,0,6,6,4.17,-1.83,69.5%,-0.47,-0.05
181,1084406528,T. Curry,Thomas Curry,Curry,Thomas,C,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,12,1611,1,5,6,4.16,-1.84,69.4%,-0.47,-0.05
182,1233740800,B. Whitacre,Brady Whitacre,Whitacre,Brady,C,Radford University,RAD,730267392,Radford,BBC,R,R,20,2315,1,12,13,11.16,-1.84,85.8%,-0.47,-0.05
183,1365345583,D. Vergel de Dios,David Vergel de Dios,Vergel de Dios,David,C,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,24,1034,1,7,8,1.16,-1.84,38.5%,-0.47,-0.05
184,1104780104,N. Voss,Nate Voss,Voss,Nate,C,Penn State University,PSU,5326,Penn State,BBC,R,R,33,4282,1,18,19,17.12,-1.88,90.1%,-0.48,-0.05
185,1310859520,J. Valdez,Josue Valdez,Valdez,Josue,C,Villanova University,VILL,730278400,Villanova,BBC,R,R,10,922,1,5,6,3.11,-1.89,62.1%,-0.48,-0.05
186,1204041472,A. Yu,Andrew Yu,Yu,Andrew,C,Duke University,DUKE,730336256,Duke,BBC,R,R,13,1650,1,7,8,6.09,-1.91,76.2%,-0.49,-0.05
187,1218555648,R. Grace,Rashard Grace,Grace,Rashard,C,Southern University,SOU,4767,Southern,BBC,R,R,15,2288,6,17,23,3.09,-1.91,61.8%,-0.49,-0.05
188,1153320448,B. Sylvester,Beau Sylvester,Sylvester,Beau,C,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,R,13,2014,2,9,11,8.09,-1.91,80.9%,-0.49,-0.05
189,1512159905,C. Horneman,Colin Horneman,Horneman,Colin,C,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,12,1075,3,3,6,2.07,-1.93,51.7%,-0.49,-0.05
190,1175359838,P. Cabral,Pierre Cabral,Cabral,Pierre,C,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,10,1357,0,8,8,1.06,-1.94,35.3%,-0.49,-0.05
191,1083912192,E. Gonzalez,Emiliano Gonzalez,Gonzalez,Emiliano,C,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,45,6463,4,22,26,24.05,-1.95,92.5%,-0.50,-0.05
192,1100940032,C. Chavez,Carson Chavez,Chavez,Carson,C,Fordham University,FOR,730324992,Fordham,BBC,R,R,16,2166,1,13,14,10.04,-1.96,83.7%,-0.50,-0.05
193,1389402065,G. Bullock,Garrison Bullock,Bullock,Garrison,C,Bucknell University,BUCK,730214144,Bucknell,BBC,R,R,13,1421,0,12,12,8.99,-2.01,81.7%,-0.51,-0.05
194,1222218338,C. Griggs,CJ Griggs,Griggs,CJ,C,Hofstra University,HOF,730245120,Hofstra,BBC,L,R,13,1475,2,11,13,6.96,-2.04,77.3%,-0.52,-0.05
195,1072428669,D. Davis,Diego Davis,Davis,Diego,2B,University of the Pacific,PAC,730386944,Pacific,BBC,R,R,12,1085,0,6,6,3.92,-2.08,65.3%,-0.53,-0.05
196,1306752000,C. Phillips,Cayden Phillips,Phillips,Cayden,C,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,23,1566,2,6,8,5.90,-2.10,73.8%,-0.53,-0.05
197,1099145728,J. Galloway,Jacob Galloway,Galloway,Jacob,C,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,R,17,2028,2,6,8,5.85,-2.15,73.2%,-0.55,-0.05
198,1342167514,C. Carbone,Cole Carbone,Carbone,Cole,C,University of Houston,HOU,3030,Houston,BBC,L,R,18,1137,0,7,7,3.82,-2.18,63.7%,-0.55,-0.06
199,1136410368,R. McCarthy,Riley McCarthy,McCarthy,Riley,C,University of Portland,PORT,730360320,Portland,BBC,R,R,22,3144,7,13,20,6.82,-2.18,75.8%,-0.55,-0.06
200,1162109440,G. Pancione,Garrett Pancione,Pancione,Garrett,C,George Mason University,GMU,730265088,George Mason,BBC,R,R,16,886,0,5,5,2.82,-2.18,56.4%,-0.55,-0.06
201,1097725952,M. McCommons,Mac McCommons,McCommons,Mac,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,11,967,2,5,7,3.82,-2.18,63.6%,-0.56,-0.06
202,1896732106,J. McGee,James McGee,McGee,James,C,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,13,1341,1,13,14,8.80,-2.20,80.0%,-0.56,-0.06
203,1143042816,T. LeCroy,Talmadge LeCroy,LeCroy,Talmadge,C,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,16,2274,4,6,10,7.77,-2.23,77.7%,-0.57,-0.06
204,1202877952,B. Freiter,Bennett Freiter,Freiter,Bennett,C,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,8,1079,1,6,7,4.74,-2.26,67.8%,-0.57,-0.06
205,1142992896,C. Spelman,Conner Spelman,Spelman,Conner,C,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,16,2147,4,7,11,4.73,-2.27,67.6%,-0.58,-0.06
206,1725721248,C. Palmeri,Cole Palmeri,Palmeri,Cole,C,University of Richmond,RICH,730171904,Richmond,BBC,R,R,21,2140,1,9,10,7.73,-2.27,77.3%,-0.58,-0.06
207,1992334055,T. Castonguay,Tony Castonguay,Castonguay,Tony,C,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,11,1613,1,13,14,4.73,-2.27,67.6%,-0.58,-0.06
