Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,4Seam%,Sink2Seam%,Cutter%,Slider%,Curve%,Change%,Split%,Sweeper%,Unknown%,FastSink%,Soft%,Break%
267,1396741102,L. Grigg,Landon Grigg,Grigg,Landon,P,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,17,274,983,52.3%,0.1%,14.7%,14.3%,15.6%,3.1%,0.0%,0.0%,0.0%,52.4%,32.9%,29.8%
268,1310848000,N. Remy,Nick Remy,Remy,Nick,P,UMBC,UMBC,730210304,UMBC,BBC,R,R,21,200,669,52.3%,0.0%,25.4%,11.4%,0.0%,3.2%,7.8%,0.0%,21.1%,52.3%,22.3%,11.4%
269,1258115584,A. Colarusso,A.J. Colarusso,Colarusso,A.J.,P,Boston College,BC,227,Boston College,BBC,L,L,19,327,1247,52.2%,0.2%,2.2%,24.5%,7.0%,13.8%,0.0%,0.1%,5.5%,52.4%,45.4%,31.6%
270,1287322880,R. Fox,Rory Fox,Fox,Rory,P,University of Notre Dame,ND,225,Notre Dame,BBC,L,R,14,280,1120,52.1%,0.1%,11.6%,13.0%,7.1%,16.0%,0.0%,0.0%,0.0%,52.2%,36.2%,20.2%
271,1342169499,N. Lewis,Nick Lewis,Lewis,Nick,P,Washington State University,WSU,4505,Washington State,BBC,L,L,16,344,1231,52.1%,0.1%,0.4%,18.4%,6.0%,23.1%,0.0%,0.0%,8.4%,52.2%,47.5%,24.4%
272,1330578944,E. Del Valle,Eddie Del Valle,Del Valle,Eddie,P,Delaware State University,DSU,730217984,Delaware State,BBC,R,L,12,289,1014,52.1%,0.0%,0.0%,9.4%,35.4%,3.1%,0.0%,0.0%,90.5%,52.1%,47.9%,44.8%
273,1139725824,J. Raab,JT Raab,Raab,JT,P,Georgetown University,GTWN,2330,Georgetown,BBC,R,R,14,330,1112,52.0%,0.1%,0.1%,18.8%,15.5%,9.7%,3.6%,0.0%,37.9%,52.2%,47.7%,34.3%
274,1162110976,C. Mayfield,Carson Mayfield,Mayfield,Carson,P,Cornell University,COR,730298624,Cornell,BBC,R,R,11,265,1032,52.0%,16.4%,0.8%,23.4%,2.5%,4.9%,0.1%,0.0%,0.5%,68.4%,30.9%,25.9%
275,1694755002,S. Sarre,Serigne Sarre,Sarre,Serigne,P,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,L,14,319,1153,52.0%,0.2%,0.0%,30.5%,0.3%,17.1%,0.0%,0.0%,47.6%,52.2%,47.8%,30.8%
276,1196798720,C. Keshock,Cameron Keshock,Keshock,Cameron,P,Samford University,SAM,730386432,Samford,BBC,R,R,15,366,1325,51.9%,9.3%,0.0%,31.1%,0.6%,7.1%,0.0%,0.0%,6.3%,61.3%,38.7%,31.6%
