Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,Swing%,Miss%,Contact%,Strike%,InPlay%,Foul%,InZone%,Chase%,CallStrk%,SwStrk%,P/BF,CompLoc%,NonCompLoc%
102,1288366848,K. Straily,Kaden Straily,Straily,Kaden,P,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,13,344,1139,38.8%,13.8%,86.2%,57.4%,52.9%,33.3%,53.5%,15.7%,29.1%,5.4%,3.31,79.7%,20.3%
103,1116316672,K. Lesler,Kyle Lesler,Lesler,Kyle,P,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,14,261,961,43.1%,23.4%,76.6%,59.4%,41.8%,34.8%,53.4%,13.7%,28.1%,10.1%,3.68,74.7%,25.3%
104,1911067757,J. Savinon,Jordan Savinon,Savinon,Jordan,P,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,L,L,18,278,936,43.5%,28.7%,71.3%,60.9%,40.8%,30.5%,53.4%,19.2%,28.8%,12.5%,3.37,77.5%,22.5%
105,1243499776,N. Isler,Nate Isler,Isler,Nate,P,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,10,258,929,48.2%,15.4%,84.6%,64.8%,44.0%,40.6%,53.2%,22.2%,32.0%,7.4%,3.60,79.5%,20.5%
106,1323373824,J. Story,Jake Storey,Story,Jake,P,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,14,320,1125,47.7%,19.4%,80.6%,62.6%,46.9%,33.7%,53.2%,20.9%,28.2%,9.2%,3.52,79.6%,20.4%
107,1097588224,J. Dzierwa,Joseph Dzierwa,Dzierwa,Joseph,P,Michigan State University,MSU,1551,Michigan State,BBC,L,L,15,372,1407,51.7%,28.1%,71.9%,69.7%,33.1%,38.8%,53.1%,32.6%,37.3%,14.5%,3.78,86.8%,13.2%
108,1144599808,J. Goble,Jake Goble,Goble,Jake,P,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,14,229,826,43.5%,22.8%,77.2%,65.5%,44.3%,32.9%,53.1%,24.4%,38.9%,9.9%,3.61,79.9%,20.1%
109,1086409984,T. Bryan,Tyler Bryan,Bryan,Tyler,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,14,347,1262,43.5%,17.5%,82.5%,61.7%,44.3%,38.3%,53.1%,18.1%,28.7%,7.6%,3.64,77.8%,22.2%
110,1296189440,T. Hartley,Tyler Hartley,Hartley,Tyler,P,Marist College,MRST,730374656,Marist,BBC,R,R,14,287,1070,39.8%,23.5%,76.5%,58.3%,43.9%,32.6%,53.1%,13.6%,30.3%,9.3%,3.73,75.2%,24.8%
111,1238148096,C. Flukey,Cameron Flukey,Flukey,Cameron,P,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,18,414,1520,48.3%,25.7%,74.3%,68.4%,35.6%,38.7%,53.0%,27.7%,38.8%,12.4%,3.67,85.5%,14.5%
112,1176352256,J. Lehman,Justin Lehman,Lehman,Justin,TWP,Army West Point,ARMY,4744,Army,BBC,L,R,13,369,1257,49.1%,14.4%,85.6%,66.0%,47.5%,38.1%,53.0%,23.7%,33.2%,7.1%,3.41,83.9%,16.1%
113,1334326016,W. Retz,Walker Retz,Retz,Walker,P,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,12,307,1160,44.2%,22.0%,78.0%,64.6%,42.5%,35.5%,53.0%,21.1%,36.5%,9.7%,3.78,77.5%,22.5%
114,1804936858,M. Blasche,Mason Blasche,Blasche,Mason,P,Samford University,SAM,730386432,Samford,BBC,R,R,16,300,1099,49.3%,20.7%,79.3%,65.6%,41.7%,37.6%,53.0%,24.9%,32.1%,10.2%,3.66,82.3%,17.7%
115,1139725824,J. Raab,JT Raab,Raab,JT,P,Georgetown University,GTWN,2330,Georgetown,BBC,R,R,14,330,1112,46.2%,24.9%,75.1%,64.2%,41.2%,33.9%,52.9%,23.4%,31.3%,11.5%,3.37,80.8%,19.2%
116,1131526490,F. Romano,Frederick Romano,Romano,Frederick,P,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,12,286,969,45.0%,19.3%,80.7%,63.4%,48.4%,32.3%,52.9%,23.9%,32.9%,8.7%,3.39,80.5%,19.5%
117,1323961600,A. Mucciarone,Alfred Mucciarone,Mucciarone,Alfred,P,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,R,14,348,1229,46.5%,20.1%,79.9%,62.8%,44.0%,35.9%,52.9%,20.1%,30.5%,9.4%,3.53,78.5%,21.5%
118,1299763712,B. Eftink,Brayden Eftink,Eftink,Brayden,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,L,R,12,230,533,37.9%,8.4%,91.6%,61.0%,80.2%,11.4%,52.9%,17.8%,27.8%,3.2%,2.32,73.3%,26.7%
119,1092369664,A. Morin,Alistair Morin,Morin,Alistair,P,Siena College,SIE,730382592,Siena,BBC,R,R,15,383,1341,40.2%,18.4%,81.6%,60.4%,44.5%,37.1%,52.8%,14.6%,32.7%,7.4%,3.50,75.7%,24.3%
120,1143021312,G. Gambradella,Gianni Gambradella,Gambradella,Gianni,P,University of Maine,ME,730275840,Maine,BBC,R,R,15,278,986,44.9%,17.8%,82.2%,63.3%,44.2%,37.9%,52.8%,16.7%,32.8%,8.0%,3.55,78.3%,21.7%
121,1383375719,B. Shea,Bryson Shea,Shea,Bryson,P,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,R,R,17,237,853,44.1%,21.8%,78.2%,64.6%,45.5%,32.7%,52.8%,23.9%,34.5%,9.6%,3.60,79.3%,20.7%
122,1239591168,T. Kapraun,Tyler Kapraun,Kapraun,Tyler,P,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,L,L,15,350,1123,48.0%,17.1%,82.9%,65.8%,48.4%,34.5%,52.8%,25.9%,33.7%,8.2%,3.21,78.8%,21.2%
123,1483854437,B. Hamlin,Brendan Hamlin,Hamlin,Brendan,P,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,18,281,866,41.2%,12.6%,87.4%,58.5%,56.9%,30.5%,52.8%,19.0%,28.1%,5.2%,3.08,78.4%,21.6%
124,1207790848,A. Williams,Andrew Williams,Williams,Andrew,P,Georgetown University,GTWN,2330,Georgetown,BBC,L,L,14,340,1022,46.3%,16.3%,83.7%,64.5%,51.4%,32.3%,52.7%,22.5%,30.8%,7.5%,3.01,83.5%,16.5%
125,1217549824,R. Reyes,Randy Reyes,Reyes,Randy,P,Grambling State University,GRAM,5378,Grambling State,BBC,L,L,14,289,872,40.9%,19.6%,80.4%,56.4%,52.1%,28.3%,52.7%,13.5%,24.5%,8.0%,3.02,76.1%,23.9%
126,1160666624,M. Patton,Myles Patton,Patton,Myles,P,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,L,15,332,1260,49.6%,25.1%,74.9%,66.5%,35.5%,39.4%,52.6%,24.9%,33.5%,12.5%,3.80,84.2%,15.8%
127,1184585216,C. Rothermel,Collin Rothermel,Rothermel,Collin,P,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,15,303,1185,43.9%,29.8%,70.2%,61.1%,34.6%,35.6%,52.6%,20.2%,30.7%,13.1%,3.91,76.4%,23.6%
128,1351611079,R. Brown,Ryan Brown,Brown,Ryan,P,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,20,274,982,47.9%,20.0%,80.0%,63.0%,44.5%,35.5%,52.6%,22.4%,27.0%,9.6%,3.58,78.5%,21.5%
129,1258115584,A. Colarusso,A.J. Colarusso,Colarusso,A.J.,P,Boston College,BC,227,Boston College,BBC,L,L,19,327,1247,46.8%,20.4%,79.6%,63.3%,39.9%,39.7%,52.5%,23.2%,30.9%,9.5%,3.81,83.1%,16.9%
130,1199734331,J. Nedrow,Jack Nedrow,Nedrow,Jack,P,University of South Florida,USF,2292,South Florida,BBC,R,R,18,300,1035,52.6%,18.9%,81.1%,68.9%,43.6%,37.5%,52.5%,28.4%,34.4%,10.0%,3.45,82.9%,17.1%
131,1515769016,E. Smith,Ethan Smith,Smith,Ethan,P,Lindenwood University,LU,730322176,Lindenwood,BBC,L,L,14,301,1046,41.7%,15.4%,84.6%,60.2%,50.9%,33.7%,52.5%,13.9%,30.5%,6.4%,3.48,74.5%,25.5%
132,1334314752,A. Brouwer,Adam Brouwer,Brouwer,Adam,P,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,13,310,1111,45.0%,19.4%,80.6%,64.2%,41.6%,39.0%,52.5%,23.0%,34.5%,8.7%,3.58,83.8%,16.2%
133,1248493824,J. Pease,Jaxson Pease,Pease,Jaxson,P,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,14,301,1121,41.0%,19.8%,80.2%,63.1%,48.5%,31.7%,52.5%,13.6%,37.4%,8.1%,3.72,78.8%,21.2%
134,1392733460,J. Sperry,Joe Sperry,Sperry,Joe,P,University of Minnesota,MINN,4864,Minnesota,BBC,R,R,20,243,881,47.0%,18.8%,81.2%,64.7%,43.7%,37.4%,52.5%,21.8%,33.4%,8.9%,3.63,80.7%,19.3%
135,1330401536,B. Baker,Bowen Baker,Baker,Bowen,P,Fairfield University,FAIR,730380544,Fairfield,BBC,L,L,16,341,1136,46.5%,22.2%,77.8%,64.2%,45.1%,32.8%,52.4%,26.9%,31.5%,10.3%,3.33,76.9%,23.1%
136,1245880832,J. Duffield,Joseph Duffield,Duffield,Joseph,P,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,13,257,837,39.7%,16.6%,83.4%,57.5%,48.5%,34.9%,52.4%,18.1%,27.6%,6.6%,3.26,75.5%,24.5%
137,1279760896,O. Tappy,Owen Tappy,Tappy,Owen,P,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,14,337,1127,51.7%,17.2%,82.8%,69.6%,43.7%,39.1%,52.4%,30.2%,36.9%,8.9%,3.34,84.6%,15.4%
138,1130326784,I. Silva,Isaac Silva,Silva,Isaac,P,Murray State University,MURR,730188032,Murray State,BBC,R,R,18,384,1413,47.8%,25.3%,74.7%,63.7%,38.5%,36.2%,52.4%,25.4%,30.3%,12.1%,3.68,79.4%,20.6%
139,1176554496,B. Morgan,Blake Morgan,Morgan,Blake,P,Old Dominion University,ODU,3090,Old Dominion,BBC,L,L,15,386,1342,48.6%,21.0%,79.0%,66.7%,43.9%,35.1%,52.4%,25.9%,35.2%,10.2%,3.48,84.3%,15.7%
140,1279246592,J. LaBoy,Jorhan LaBoy,LaBoy,Jorhan,P,Alabama State University,ALST,4765,Alabama State,BBC,L,L,17,404,1432,43.8%,20.9%,79.1%,65.8%,47.0%,32.1%,52.3%,26.7%,37.0%,9.1%,3.54,80.2%,19.8%
141,1237056000,T. Boccabello,Tanner Boccabello,Boccabello,Tanner,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,11,296,1053,46.2%,23.2%,76.8%,62.1%,43.9%,32.9%,52.3%,21.1%,28.3%,10.7%,3.56,76.1%,23.9%
142,1181533440,J. Lamkin,Justin Lamkin,Lamkin,Justin,P,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,L,15,350,1346,52.4%,29.8%,70.2%,69.8%,31.8%,38.4%,52.2%,31.5%,36.6%,15.6%,3.85,85.8%,14.2%
143,1187057664,T. Scavone,Tommy Scavone,Scavone,Tommy,P,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,12,251,955,46.0%,19.4%,80.6%,64.3%,40.5%,40.1%,52.2%,22.4%,33.9%,8.9%,3.80,81.3%,18.7%
144,1135887872,J. Martinez,Joshua Martinez,Martinez,Joshua,P,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,L,24,288,1069,34.9%,18.0%,82.0%,60.4%,48.5%,33.5%,52.2%,18.3%,34.6%,6.3%,3.71,80.7%,19.3%
145,1493066280,A. Quezada,Adrian Quezada,Quezada,Adrian,P,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,11,257,862,48.6%,17.2%,82.8%,65.5%,46.5%,36.3%,52.2%,26.1%,32.8%,8.4%,3.35,77.2%,22.8%
146,1306777856,C. Shaw,Colton Shaw,Shaw,Colton,P,Yale University,YALE,730334464,Yale,BBC,R,R,12,329,1249,48.3%,23.2%,76.8%,65.7%,35.0%,41.8%,52.1%,28.0%,33.6%,11.2%,3.80,83.4%,16.6%
147,1184281600,R. Brooks,Ryder Brooks,Brooks,Ryder,P,UC Irvine,UCI,3031,UC Irvine,BBC,L,L,20,307,1144,41.4%,27.8%,72.2%,61.9%,39.5%,32.7%,52.1%,20.8%,34.9%,11.5%,3.73,78.3%,21.7%
148,1142126848,R. Ojeda,Ricky Ojeda,Ojeda,Ricky,P,UC Irvine,UCI,3031,UC Irvine,BBC,L,L,29,279,1151,41.4%,28.1%,71.9%,63.2%,32.7%,39.2%,52.1%,22.3%,36.8%,11.6%,4.13,78.9%,21.1%
148,1196833025,R. O'Connor,Robbie O'Connor,O'Connor,Robbie,P,University of Massachusetts,MASS,5451,UMass,BBC,R,R,14,338,1204,41.7%,14.3%,85.7%,59.7%,48.4%,37.3%,52.1%,17.1%,30.9%,6.0%,3.56,78.3%,21.7%
150,1238291968,T. Murphy,Tyler Murphy,Murphy,Tyler,P,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,R,R,13,285,1023,48.3%,19.6%,80.4%,65.4%,41.5%,38.9%,52.1%,29.1%,33.1%,9.5%,3.59,82.7%,17.3%
151,1192787200,J. Caravalho,Joshua Caravalho,Caravalho,Joshua,P,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,18,399,1412,43.1%,16.7%,83.3%,65.7%,48.9%,34.3%,52.1%,23.8%,30.3%,7.2%,3.54,76.9%,23.1%
152,1330492928,R. Long,Richard Long,Long,Richard,P,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,15,375,1346,48.3%,20.5%,79.5%,65.7%,44.2%,35.4%,52.1%,29.7%,33.6%,9.9%,3.59,77.3%,22.7%
153,1236991744,K. Anderson,Kade Anderson,Anderson,Kade,P,Louisiana State University,LSU,5323,Louisiana State,BBC,L,L,19,481,1922,46.5%,35.4%,64.6%,66.6%,29.1%,35.5%,52.1%,29.6%,37.6%,16.4%,4.00,86.0%,14.0%
154,1296521728,K. Segel,Kaden Segel,Segel,Kaden,P,University of Portland,PORT,730360320,Portland,BBC,R,R,21,274,1029,48.4%,22.9%,77.1%,67.2%,41.0%,36.1%,52.1%,25.4%,36.3%,11.1%,3.76,81.4%,18.6%
155,1162566912,E. Gonzales,Erick Gonzales,Gonzales,Erick,P,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,18,387,1317,37.9%,25.7%,74.3%,58.2%,43.1%,31.3%,52.1%,15.8%,30.9%,9.7%,3.40,74.8%,25.2%
156,1334328832,J. Hartlaub,Jacob Hartlaub,Hartlaub,Jacob,P,Ball State University,BALL,730195456,Ball State,BBC,R,R,15,358,1347,46.2%,25.1%,74.9%,62.7%,41.2%,33.8%,52.0%,20.7%,30.8%,11.6%,3.76,79.9%,20.1%
157,1180787200,A. Roblez,Albert Roblez,Roblez,Albert,P,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,19,243,980,44.0%,32.0%,68.0%,64.1%,29.5%,38.5%,51.9%,21.6%,35.9%,14.1%,4.03,79.2%,20.8%
158,1303346688,A. Solis,Anthony Solis,Solis,Anthony,P,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,15,297,1038,43.6%,12.8%,87.2%,60.9%,51.4%,35.8%,51.9%,18.1%,30.6%,5.6%,3.49,77.0%,23.0%
159,1090704384,J. Turner,Jacob Turner,Turner,Jacob,P,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,16,292,1038,44.3%,22.4%,77.6%,61.4%,44.6%,33.0%,51.9%,24.4%,30.2%,9.9%,3.55,80.5%,19.5%
160,1307056128,J. Wywoda,Jaden Wywoda,Wywoda,Jaden,P,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,16,372,1367,43.2%,20.7%,79.3%,63.0%,42.5%,36.8%,51.9%,19.2%,34.9%,8.9%,3.67,77.0%,23.0%
161,1090996736,J. Guardado,Jakob Guardado,Guardado,Jakob,TWP,University of the Pacific,PAC,730386944,Pacific,BBC,L,R,17,266,984,44.3%,20.4%,79.6%,62.7%,45.0%,34.6%,51.9%,19.1%,33.0%,9.0%,3.70,81.5%,18.5%
162,1188623261,E. DeRossi,Eli DeRossi,DeRossi,Eli,P,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,14,307,1040,41.7%,22.4%,77.6%,59.6%,43.8%,33.9%,51.8%,18.3%,29.6%,9.3%,3.39,78.8%,21.2%
163,1190323968,B. Blair,Ben Blair,Blair,Ben,P,Liberty University,LIB,730156288,Liberty,BBC,R,R,15,364,1418,48.3%,22.9%,77.1%,66.3%,34.2%,42.9%,51.8%,28.3%,34.8%,11.1%,3.90,83.3%,16.7%
164,1239091969,J. Schaeffer,Jared Schaeffer,Schaeffer,Jared,P,University of Akron,AKR,540536064,Akron,BBC,R,R,14,360,1325,49.5%,26.2%,73.8%,66.6%,38.6%,35.2%,51.8%,27.7%,33.9%,13.0%,3.68,82.1%,17.9%
165,1002961029,R. Ritter,Riane Ritter,Ritter,Riane,P,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,12,284,1102,41.3%,24.6%,75.4%,59.5%,40.9%,34.5%,51.8%,16.0%,31.1%,10.2%,3.88,74.7%,25.3%
166,1100142592,E. Blakeney,Ethan Blakeney,Blakeney,Ethan,P,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,13,258,677,37.4%,11.9%,88.1%,58.4%,66.4%,21.7%,51.8%,12.1%,28.7%,4.4%,2.62,73.5%,26.5%
167,1349689556,R. Mealy,Ryan Mealy,Mealy,Ryan,P,Monmouth University,MONM,4164,Monmouth,BBC,R,R,15,292,985,50.5%,21.5%,78.5%,67.9%,44.5%,34.0%,51.7%,31.0%,34.2%,10.9%,3.37,80.3%,19.7%
168,1115419904,J. Bergman,Jackson Bergman,Bergman,Jackson,P,University of Toledo,TOL,5388,Toledo,BBC,L,R,16,292,978,43.4%,12.5%,87.5%,62.8%,52.6%,34.9%,51.7%,20.7%,34.4%,5.4%,3.35,80.5%,19.5%
169,1220061620,C. Hendry,Clay Hendry,Hendry,Clay,P,University of North Florida,UNF,730296832,North Florida,BBC,R,R,18,254,959,40.8%,22.8%,77.2%,61.6%,41.7%,35.5%,51.7%,20.2%,33.9%,9.3%,3.78,73.9%,26.1%
170,1313846272,D. Lavelle,Declan Lavelle,Lavelle,Declan,P,Elon University,ELON,730252544,Elon,BBC,R,R,15,367,1253,51.2%,18.2%,81.8%,68.5%,42.7%,39.1%,51.7%,31.7%,35.4%,9.3%,3.41,84.0%,16.0%
171,1335271936,E. Norby,Ethan Norby,Norby,Ethan,P,East Carolina University,ECU,730270720,East Carolina,BBC,R,L,18,368,1388,45.5%,30.5%,69.5%,65.7%,35.1%,34.3%,51.7%,28.4%,37.0%,13.9%,3.77,83.0%,17.0%
172,1338119552,D. Thomas,Daniel Thomas,Thomas,Daniel,P,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,16,300,967,42.5%,20.0%,80.0%,60.3%,48.9%,31.1%,51.7%,18.3%,29.5%,8.5%,3.22,75.9%,24.1%
173,1330706688,Z. Petty,Zane Petty,Petty,Zane,P,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,14,278,1001,48.1%,20.8%,79.2%,63.3%,42.2%,37.0%,51.7%,25.5%,29.4%,10.0%,3.60,84.8%,15.2%
174,1432381131,B. Lobell,Blake Lobell,Lobell,Blake,P,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,13,284,999,48.5%,18.8%,81.2%,65.0%,44.9%,36.3%,51.6%,25.8%,31.9%,9.1%,3.52,81.8%,18.2%
175,1210662144,M. Mariano,Matthew Mariano,Mariano,Matthew,P,University at Albany,ALBY,730280448,Albany,BBC,R,R,20,293,1063,49.0%,21.9%,78.1%,63.6%,37.8%,40.3%,51.6%,24.0%,28.3%,10.7%,3.63,78.8%,21.2%
176,1102217472,H. Phelps,Holden Phelps,Phelps,Holden,P,Siena College,SIE,730382592,Siena,BBC,R,R,16,313,1100,40.2%,20.1%,79.9%,57.2%,47.1%,32.8%,51.5%,15.6%,27.8%,8.1%,3.51,77.8%,22.2%
177,1084516352,C. Kelly,Carson Kelly,Kelly,Carson,P,Florida A&M University,FAMU,5416,Florida A&M,BBC,L,L,26,310,802,38.9%,11.5%,88.5%,59.4%,65.1%,23.4%,51.5%,21.5%,28.4%,4.5%,2.59,79.4%,20.6%
178,1232886784,M. Parker,Max Parker,Parker,Max,P,Le Moyne College,LMC,730202880,Le Moyne,BBC,L,L,14,373,1240,41.9%,19.8%,80.2%,63.2%,50.0%,30.2%,51.5%,20.4%,35.8%,8.3%,3.32,79.2%,20.8%
179,1267252480,G. Theis,Gavin Theis,Theis,Gavin,P,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,16,392,1447,45.9%,22.4%,77.6%,62.5%,40.4%,37.2%,51.5%,23.5%,30.7%,10.3%,3.69,79.7%,20.3%
180,1158279680,B. Frederick,Brady Frederick,Frederick,Brady,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,24,305,1147,49.9%,25.3%,74.7%,66.4%,35.1%,39.5%,51.5%,24.6%,33.0%,12.6%,3.76,83.0%,17.0%
181,1100603904,T. Beard,Trey Beard,Beard,Trey,P,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,L,L,16,350,1429,47.6%,37.1%,62.9%,64.4%,29.0%,34.0%,51.5%,27.3%,32.0%,17.6%,4.08,82.9%,17.1%
182,1304813312,A. Rudd,Andrew Rudd,Rudd,Andrew,P,California Baptist University,CBU,5091,California Baptist,BBC,R,R,23,278,1026,44.7%,19.8%,80.2%,66.6%,45.5%,34.6%,51.5%,23.7%,39.5%,8.9%,3.69,82.0%,18.0%
183,1184585728,L. Jurecka,Landry Jurecka,Jurecka,Landry,P,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,15,360,1281,51.2%,27.7%,72.3%,67.7%,37.2%,35.1%,51.4%,30.8%,33.8%,14.2%,3.56,80.1%,19.9%
184,1227038720,E. Brown,Eli Brown,Brown,Eli,P,Lindenwood University,LU,730322176,Lindenwood,BBC,R,L,15,345,1189,47.3%,27.9%,72.1%,65.7%,46.4%,25.6%,51.4%,27.2%,32.9%,13.2%,3.45,79.3%,20.7%
185,1084690944,Z. Wager,Zach Wager,Wager,Zach,P,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,L,17,299,995,43.2%,14.2%,85.8%,61.3%,54.0%,31.9%,51.4%,20.5%,30.1%,6.1%,3.33,77.8%,22.2%
186,1182295552,J. Faulkner,Jacob Faulkner,Faulkner,Jacob,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,19,301,990,51.2%,17.0%,83.0%,69.1%,43.4%,39.6%,51.4%,32.6%,36.6%,8.7%,3.29,81.2%,18.8%
187,1334909196,N. Balcom,Nick Balcom,Balcom,Nick,P,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,17,305,1094,46.3%,26.0%,74.0%,60.1%,40.4%,33.5%,51.4%,21.4%,25.3%,12.1%,3.59,76.6%,23.4%
188,1117508864,A. Ortiz,Angel Ortiz,Ortiz,Angel,P,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,14,334,1128,47.5%,20.0%,80.0%,66.1%,48.3%,31.7%,51.3%,26.5%,35.5%,9.5%,3.38,79.7%,20.3%
189,1614212435,J. Wizceb,Joey Wizceb,Wizceb,Joey,P,Western Michigan University,WMU,730165248,Western Michigan,BBC,L,L,14,316,1072,45.1%,14.7%,85.3%,62.7%,54.3%,31.0%,51.3%,21.3%,32.0%,6.6%,3.39,76.7%,23.3%
190,1334313472,R. Kraft,Ryan Kraft,Kraft,Ryan,P,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,L,20,271,1013,46.1%,19.3%,80.7%,64.5%,42.0%,38.8%,51.3%,25.4%,34.1%,8.9%,3.74,80.7%,19.3%
191,1090284544,P. Edwards,Parker Edwards,Edwards,Parker,P,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,17,389,1347,42.6%,18.3%,81.7%,64.4%,47.7%,34.0%,51.3%,24.1%,31.7%,7.8%,3.46,79.1%,20.9%
192,1342169499,N. Lewis,Nick Lewis,Lewis,Nick,P,Washington State University,WSU,4505,Washington State,BBC,L,L,16,344,1231,46.4%,17.0%,83.0%,62.6%,47.1%,35.9%,51.2%,23.1%,30.2%,7.9%,3.58,79.8%,20.2%
193,1146369280,Z. Longshore,Zach Longshore,Longshore,Zach,P,University of New Orleans,UNO,5380,New Orleans,BBC,L,L,17,303,1088,46.9%,28.4%,71.6%,64.4%,38.2%,33.3%,51.2%,23.4%,33.0%,13.3%,3.59,78.4%,21.6%
194,1105517312,D. Munn,Drew Munn,Munn,Drew,P,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,14,369,1174,47.5%,20.1%,79.9%,62.2%,48.6%,31.4%,51.2%,20.6%,25.8%,9.5%,3.18,75.7%,24.3%
195,1085401856,C. Byers,Carson Byers,Byers,Carson,P,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,L,L,23,320,1167,45.5%,26.7%,73.3%,63.2%,39.9%,33.3%,51.2%,24.2%,32.5%,12.2%,3.65,82.6%,17.4%
196,1311052288,D. Rogers,Dylan Rogers,Rogers,Dylan,P,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,14,305,1005,49.7%,21.0%,79.0%,69.7%,47.7%,31.3%,51.2%,28.6%,39.8%,10.4%,3.30,82.6%,17.4%
197,1278843253,T. Teixeira,Tim Teixeira,Teixeira,Tim,P,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,15,334,1295,43.0%,21.5%,78.5%,61.1%,39.3%,39.1%,51.2%,20.9%,31.7%,9.3%,3.88,76.7%,23.3%
198,1142660352,N. Straniero,Nolan Straniero,Straniero,Nolan,P,Elon University,ELON,730252544,Elon,BBC,R,R,16,334,1203,50.0%,25.2%,74.8%,65.3%,37.7%,37.0%,51.2%,27.4%,30.6%,12.6%,3.60,85.0%,15.0%
199,1099147776,R. Riojas,Ruger Riojas,Riojas,Ruger,P,University of Texas,TEX,245,Texas,BBC,R,R,18,300,1082,51.2%,26.4%,73.6%,66.5%,37.2%,36.5%,51.2%,29.2%,31.3%,13.5%,3.61,81.8%,18.2%
200,1166285312,M. Coyne,Marty Coyne,Coyne,Marty,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,L,16,192,779,47.0%,22.4%,77.6%,67.3%,34.2%,43.4%,51.2%,27.7%,38.3%,10.5%,4.06,84.4%,15.6%
201,1097108340,C. Bagwell,Cam Bagwell,Bagwell,Cam,P,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,15,348,1264,51.6%,20.6%,79.4%,68.7%,41.1%,38.3%,51.1%,32.1%,35.3%,10.6%,3.63,84.2%,15.8%
202,1396741102,L. Grigg,Landon Grigg,Grigg,Landon,P,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,17,274,983,46.4%,19.5%,80.5%,64.6%,43.6%,36.8%,51.1%,26.0%,34.0%,9.1%,3.59,80.9%,19.1%
