Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,Swing%,Miss%,Contact%,Strike%,InPlay%,Foul%,InZone%,Chase%,CallStrk%,SwStrk%,P/BF,CompLoc%,NonCompLoc%
655,1102896128,J. Gonzalez,Jonathan Gonzalez,Gonzalez,Jonathan,P,Stetson University,STET,730261504,Stetson,BBC,L,L,15,373,1419,44.8%,30.5%,69.5%,63.9%,37.7%,31.8%,42.3%,28.6%,33.5%,13.7%,3.80,76.5%,23.5%
656,1005138026,K. Davis,Kanious Davis,Davis,Kanious,P,Alcorn State University,ALCN,5376,Alcorn State,BBC,R,R,15,300,815,32.0%,12.6%,87.4%,48.3%,68.2%,19.2%,42.3%,19.5%,19.7%,4.0%,2.72,68.1%,31.9%
657,1281584640,D. Gonzalez,Daniel Gonzalez,Gonzalez,Daniel,P,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,13,241,946,39.4%,19.0%,81.0%,57.7%,44.5%,36.5%,42.3%,21.7%,30.2%,7.5%,3.93,73.8%,26.2%
658,1279310848,L. Stump,Landon Stump,Stump,Landon,P,UCLA,UCLA,5048,UCLA,BBC,R,R,18,344,1314,45.0%,20.8%,79.2%,61.0%,39.1%,40.1%,42.3%,26.3%,29.0%,9.4%,3.82,78.3%,21.7%
659,1100466176,J. Mitrovich,Justin Mitrovich,Mitrovich,Justin,P,Elon University,ELON,730252544,Elon,BBC,R,R,15,376,1386,48.6%,25.7%,74.3%,62.3%,37.4%,36.9%,42.3%,31.0%,26.6%,12.5%,3.69,78.7%,21.3%
660,1238136064,K. Barr,Kurt Barr,Barr,Kurt,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,16,323,1181,42.3%,23.6%,76.4%,59.5%,41.7%,34.7%,42.3%,25.1%,29.9%,10.0%,3.66,78.7%,21.3%
661,1195586304,E. Chaffee,Evan Chaffee,Chaffee,Evan,P,St. John's University (NY),SJU,4285,St. John's,BBC,L,L,14,309,1212,36.9%,18.6%,81.4%,55.6%,42.1%,39.4%,42.2%,18.8%,29.6%,6.8%,3.92,73.9%,26.1%
662,1342169627,R. Piech,Ryan Piech,Piech,Ryan,P,Xavier University,XAV,5464,Xavier,BBC,R,R,14,270,1170,37.9%,26.0%,74.0%,55.5%,33.6%,40.4%,42.2%,19.7%,28.3%,9.8%,4.33,78.5%,21.5%
663,1129687636,G. Garman,Grant Garman,Garman,Grant,P,Oakland University,OAK,5386,Oakland,BBC,L,L,15,370,1405,41.6%,21.0%,79.0%,60.8%,42.4%,36.6%,42.1%,25.1%,32.8%,8.8%,3.80,78.5%,21.5%
664,1237048064,S. Simon,Sam Simon,Simon,Sam,P,UNLV,UNLV,730161664,UNLV,BBC,R,R,13,268,970,44.6%,18.0%,82.0%,59.6%,45.5%,36.5%,42.0%,24.1%,27.0%,8.0%,3.62,73.7%,26.3%
665,1310641921,G. Jones,Gavin Jones,Jones,Gavin,P,Kent State University,KENT,730315008,Kent State,BBC,R,R,15,331,1160,41.4%,19.4%,80.6%,55.6%,45.6%,35.0%,42.0%,18.7%,24.2%,8.0%,3.50,71.1%,28.9%
666,1760692530,A. Kribbs,Andrew Kribbs,Kribbs,Andrew,P,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,16,285,1052,42.6%,25.2%,74.8%,61.2%,41.3%,33.5%,42.0%,25.0%,32.5%,10.7%,3.69,76.2%,23.8%
