Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,InZone#,Swing#,Miss#,Chase#,CallStrk#,StrkFrmd,BallFrmd
440,1357578380,J. Lang,Jacob Lang,Lang,Jacob,C,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,14,359,1215,504,563,98,164,185,18,14
440,1728241540,M. Rose,Mac Rose,Rose,Mac,C,Vanderbilt University,VAN,5046,Vanderbilt,BBC,L,R,17,559,2242,1027,976,334,331,429,18,16
440,1342168145,N. Snakenborg,Nate Snakenborg,Snakenborg,Nate,C,University of Nevada,NEV,4784,Nevada,BBC,R,R,11,342,1206,525,531,131,166,200,18,14
440,1342168149,L. Banister,Luke Banister,Banister,Luke,C,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,8,253,975,442,407,87,104,184,18,1
451,1101444096,G. Bogdanchik,Gavin Bogdanchik,Bogdanchik,Gavin,C,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,19,472,1863,781,768,172,255,324,17,17
451,1166939392,R. Ciulla,Robert Ciulla,Ciulla,Robert,C,Yale University,YALE,730334464,Yale,BBC,R,R,16,497,1856,868,813,182,221,342,17,15
451,1310336256,D. Lanphere,Drew Lanphere,Lanphere,Drew,C,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,R,21,639,2460,1075,1050,307,358,443,17,23
451,1334298368,T. Burkhalter,Trenton Burkhalter,Burkhalter,Trenton,C,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,11,365,1439,561,564,122,157,273,17,19
451,1257351424,L. Bard,Luke Bard,Bard,Luke,C,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,35,1336,4704,1790,1890,379,383,668,17,16
451,1310484992,C. McKenzie,Cooper McKenzie,McKenzie,Cooper,C,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,25,864,3198,805,1354,298,198,610,17,6
451,1330743296,A. Nevils,Alex Nevils,Nevils,Alex,C,Indiana State University,INST,730350080,Indiana State,BBC,R,R,13,335,1203,435,481,94,141,177,17,4
451,1087427840,H. Faildo,Hunter Faildo,Faildo,Hunter,C,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,44,1007,3619,1066,1598,391,233,691,17,4
451,1375742682,Z. Becker,Zane Becker,Becker,Zane,C,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,17,340,1256,596,585,191,185,231,17,9
451,1698306746,A. Garcia,Ayden Garcia,Garcia,Ayden,C,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,L,R,30,1114,4389,2070,1870,499,566,816,17,14
451,1792689868,X. Farnum,Xavier Farnum,Farnum,Xavier,C,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,15,435,1633,648,659,126,199,267,17,16
462,1153311232,D. Wyatt,Danny Wyatt,Wyatt,Danny,3B,UMBC,UMBC,730210304,UMBC,BBC,R,R,13,431,1545,682,650,123,149,277,16,8
462,1261647104,C. Cooke,Conor Cooke,Cooke,Conor,1B,Brown University,BRWN,730236160,Brown,BBC,R,R,5,229,889,345,331,64,114,172,16,10
462,1123967744,L. Rios,Lorenzo Rios,Rios,Lorenzo,C,Rice University,RICE,2352,Rice,BBC,R,R,12,264,961,402,406,89,135,162,16,6
462,1132574976,T. McElwee,Thomas McElwee,McElwee,Thomas,C,University at Albany,ALBY,730280448,Albany,BBC,R,R,15,421,1571,713,680,131,191,276,16,15
462,1299789568,B. Taylor,Bronson Taylor,Taylor,Bronson,C,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,L,R,19,831,2413,459,894,112,82,310,16,8
462,1278224128,T. Lethert,Teige Lethert,Lethert,Teige,C,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,L,R,34,1122,4291,1638,1805,404,418,729,16,23
462,1281806592,M. Heiskell,Mason Heiskell,Heiskell,Mason,C,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,44,1717,5500,2147,2043,328,302,848,16,5
462,1299566848,K. Amaro,Kristian Amaro,Amaro,Kristian,C,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,S,R,26,986,3648,1700,1544,326,325,657,16,10
462,1210120448,L. Szepek,Luke Szepek,Szepek,Luke,C,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,36,1316,4669,2093,2011,428,463,750,16,14
462,1014899125,S. Ordonez,Santiago Ordonez,Ordonez,Santiago,C,University of North Florida,UNF,730296832,North Florida,BBC,R,R,37,1201,4477,2001,1888,461,540,777,16,9
462,1850462131,C. Kilgore,Cal Kilgore,Kilgore,Cal,C,University of Utah,UTAH,730328320,Utah,BBC,R,R,10,264,1020,307,391,84,94,187,16,3
462,1245095267,S. Bond,Sam Bond,Bond,Sam,C,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,20,705,2497,946,1036,244,278,430,16,10
462,1451114555,E. Taveras,Evan Taveras,Taveras,Evan,C,University of Miami,MIA,236,Miami,BBC,R,R,15,358,1398,599,600,155,224,244,16,14
462,1112215423,J. Radosevich,Jake Radosevich,Radosevich,Jake,C,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,35,1324,4444,1737,2038,394,341,708,16,14
462,1342167868,S. Esposito,Scott Esposito,Esposito,Scott,C,Marist College,MRST,730374656,Marist,BBC,R,R,35,1372,5109,2466,2138,455,345,857,16,14
462,1342169117,Z. Crandall,Zach Crandall,Crandall,Zach,C,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,18,597,2316,1103,928,234,213,438,16,17
462,1256953344,N. Rivera Flores,Nelson Rivera Flores,Rivera Flores,Nelson,C,Florida International University,FIU,4468,Florida International,BBC,R,R,11,347,1313,582,566,152,185,250,16,11
462,1981580320,S. Christmas,Seth Christmas,Christmas,Seth,C,Liberty University,LIB,730156288,Liberty,BBC,R,R,22,509,1955,834,872,255,261,343,16,18
462,1858822691,M. Young,Michael Young,Young,Michael,C,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,10,253,955,415,408,93,114,162,16,10
462,1664447366,F. Gonzalez,Felix Gonzalez,Gonzalez,Felix,C,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,14,499,1829,821,747,185,147,297,16,1
482,1226688768,W. Scafidi,Witt Scafidi,Scafidi,Witt,C,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,10,394,1463,594,603,137,220,256,15,7
482,1084703232,S. Hunt,Sam Hunt,Hunt,Sam,C,University of Minnesota,MINN,4864,Minnesota,BBC,S,R,17,476,1794,844,728,154,182,361,15,14
482,1263483392,T. Cotten,Tyler Cotten,Cotten,Tyler,C,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,20,769,2446,1044,987,135,172,399,15,6
482,1315911936,T. Otto,Thomas Otto,Otto,Thomas,C,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,35,1226,4709,2124,1909,358,397,809,15,25
482,1100576256,A. Hanlon,Andrew Hanlon,Hanlon,Andrew,C,Brown University,BRWN,730236160,Brown,BBC,R,R,7,234,917,347,340,64,112,181,15,3
482,1238050560,D. Brown,Dillon Brown,Brown,Dillon,C,Alcorn State University,ALCN,5376,Alcorn State,BBC,R,R,28,1163,2953,450,1026,73,107,297,15,8
482,1162109440,G. Pancione,Garrett Pancione,Pancione,Garrett,C,George Mason University,GMU,730265088,George Mason,BBC,R,R,16,266,886,356,370,82,91,158,15,6
482,1896732106,J. McGee,James McGee,McGee,James,C,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,13,345,1341,489,558,155,180,223,15,8
482,1714474887,L. DiBeradin,Landon DiBeradin,DiBeradin,Landon,C,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,42,1645,5735,2369,2283,505,477,933,15,7
482,1578374661,M. Brousseau,Mack Brousseau,Brousseau,Mack,C,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,7,239,900,327,375,98,116,137,15,4
482,1528976272,M. Wray,Mason Wray,Wray,Mason,C,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,35,1044,3869,1760,1699,382,368,605,15,15
482,1223706782,E. Bergan,Ethan Bergan,Bergan,Ethan,C,UC Riverside,UCRV,730281728,UC Riverside,BBC,R,R,25,926,3440,1147,1150,203,258,545,15,22
482,1342169528,A. Westbrook,Anthony Westbrook,Westbrook,Anthony,C,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,L,R,19,468,1812,863,805,223,223,324,15,23
482,1760769161,E. Flaugher,Ethan Flaugher,Flaugher,Ethan,C,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,S,R,24,706,2616,1028,1086,253,199,456,15,15
482,1343189705,E. Miller,Ethan Miller,Miller,Ethan,C,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,31,1032,2737,769,1064,160,172,434,15,3
482,1505415651,M. Barela,Mason Barela,Barela,Mason,P,Cornell University,COR,730298624,Cornell,BBC,R,R,5,152,546,227,224,53,75,95,15,6
482,1347089114,E. Dean,Easton Dean,Dean,Easton,C,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,R,17,441,1668,380,682,142,131,296,15,7
499,1310895105,V. Coughlin,Van Coughlin,Coughlin,Van,C,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,6,199,737,342,308,51,86,138,14,13
499,1250235648,D. Schramm,Dagen Schramm,Schramm,Dagen,C,South Dakota State University,SDST,730323200,South Dakota State,BBC,L,R,31,1048,3847,1728,1590,301,308,663,14,6
499,1099315968,X. Ulrich,Xavier Ulrich,Ulrich,Xavier,C,Wagner College,WAG,730192640,Wagner,BBC,R,R,40,1428,4153,1575,1742,254,261,599,14,13
499,1278162432,P. Mendiola,Patrick Mendiola,Mendiola,Patrick,C,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,29,756,2563,1036,1102,219,213,421,14,6
499,1099903744,J. Austin,Jack Austin,Austin,Jack,C,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,R,11,210,819,361,339,95,106,156,14,6
499,1080840832,A. Paradine,Aidan Paradine,Paradine,Aidan,C,Siena College,SIE,730382592,Siena,BBC,R,R,40,1614,5639,2074,2310,432,386,954,14,18
499,1801471405,H. Sute,Hunter Sute,Sute,Hunter,C,Manhattan College,MAN,730363648,Manhattan,BBC,L,R,20,605,2166,913,881,188,196,397,14,13
499,1900944940,M. Cooper,Mason Cooper,Cooper,Mason,C,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,32,1106,4240,2079,1709,396,360,769,14,15
499,1601928520,J. Golden,Jackson Golden,Golden,Jackson,C,Marshall University,MRSH,730333696,Marshall,BBC,R,R,19,443,1693,677,739,180,208,288,14,10
499,1563240163,G. Kelly,Gavin Kelly,Kelly,Gavin,C,West Virginia University,WVU,5327,West Virginia,BBC,R,R,18,546,2168,984,914,261,254,384,14,9
499,1075259393,J. Pitts,Jack Pitts,Pitts,Jack,C,University of Memphis,MEM,730172160,Memphis,BBC,R,R,5,96,382,94,163,43,49,69,14,0
499,1342167514,C. Carbone,Cole Carbone,Carbone,Cole,C,University of Houston,HOU,3030,Houston,BBC,L,R,18,290,1137,415,505,156,180,189,14,7
511,1174787328,T. Splaine,Tommy Splaine,Splaine,Tommy,1B,University of Arizona,ARIZ,232,Arizona,BBC,R,R,12,366,1372,636,607,135,191,246,13,10
511,1196798464,I. Irish,Ike Irish,Irish,Ike,RF,Auburn University,AUB,5466,Auburn,BBC,L,R,11,363,1400,676,607,190,171,273,13,14
511,1261687040,T. Zwirecki,Thomas Zwirecki,Zwirecki,Thomas,C,Canisius College,CAN,730218752,Canisius,BBC,R,R,32,1307,4302,1861,1736,333,256,714,13,14
511,1257344000,K. Carston,Koen Carston,Carston,Koen,C,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,12,341,1315,569,550,124,185,228,13,12
511,1099145728,J. Galloway,Jacob Galloway,Galloway,Jacob,C,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,R,17,537,2028,1060,970,283,242,367,13,18
511,1336547840,M. Zelenka,Martin Zelenka,Zelenka,Martin,C,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,15,425,1589,674,691,157,168,262,13,11
511,1278228736,B. Estep,Brice Estep,Estep,Brice,C,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,10,189,708,277,281,78,97,139,13,5
511,1310836224,H. Garner,Hogan Garner,Garner,Hogan,C,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,13,160,606,276,286,49,92,110,13,5
511,1110083328,B. Ries,Benji Ries,Ries,Benji,C,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,13,491,1667,601,666,114,82,301,13,8
511,1341412096,C. Kleinman,Casey Kleinman,Kleinman,Casey,SS,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,8,325,1222,565,501,110,142,229,13,12
511,1093140224,T. Hill,Trey Hill,Hill,Trey,C,Little Rock,UALR,730217472,Little Rock,BBC,R,R,7,197,751,313,307,95,98,136,13,4
511,1213485312,F. Ferrentino,Frankie Ferrentino,Ferrentino,Frankie,C,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,33,1281,3886,1739,1715,263,236,584,13,16
511,1238033920,D. Biggerstaff,Drew Biggerstaff,Biggerstaff,Drew,C,Radford University,RAD,730267392,Radford,BBC,R,R,3,140,516,209,196,42,53,102,13,4
511,1131572736,C. Sheehan,Cole Sheehan,Sheehan,Cole,C,Pepperdine University,PEPP,730338304,Pepperdine,BBC,S,R,11,255,921,420,405,80,112,150,13,12
511,1150232320,H. Driggs,Hayden Driggs,Driggs,Hayden,C,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,17,339,1334,540,532,146,162,237,13,7
511,1235359488,N. Quagliato,Nick Quagliato,Quagliato,Nick,C,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,14,534,1819,711,717,157,140,296,13,1
511,1268059418,N. Goodwin,Nic Goodwin,Goodwin,Nic,C,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,16,493,1845,821,690,123,182,344,13,21
511,1072428669,D. Davis,Diego Davis,Davis,Diego,2B,University of the Pacific,PAC,730386944,Pacific,BBC,R,R,12,293,1085,510,478,104,112,178,13,9
511,1083731007,J. Lemm,Johnny Lemm,Lemm,Johnny,C,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,36,1359,5011,1467,2200,549,314,870,13,9
511,1342170808,G. Bane,Gray Bane,Bane,Gray,C,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,31,1295,4802,2265,2021,404,327,735,13,13
511,1342167775,C. Pourciau,Clayton Pourciau,Pourciau,Clayton,C,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,12,274,1057,461,467,89,131,151,13,14
511,1874971185,E. Wainwright,Eric Wainwright,Wainwright,Eric,C,University of Maine,ME,730275840,Maine,BBC,R,R,11,335,1230,533,519,134,94,218,13,6
511,1738127352,E. Sepulveda,Esteban Sepulveda,Sepulveda,Esteban,C,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,7,241,911,351,368,53,128,144,13,8
511,1222218338,C. Griggs,CJ Griggs,Griggs,CJ,C,Hofstra University,HOF,730245120,Hofstra,BBC,L,R,13,393,1475,543,561,111,120,272,13,5
511,1064756010,M. Hersh,Marc Hersh,Hersh,Marc,C,Florida International University,FIU,4468,Florida International,BBC,R,R,15,389,1464,618,604,157,191,241,13,13
511,1222751202,C. Gonzalez,Cesar Gonzalez,Gonzalez,Cesar,C,Boston College,BC,227,Boston College,BBC,R,R,23,378,1398,665,596,147,170,273,13,18
511,1615057676,J. Wrubleski,Jake Wrubleski,Wrubleski,Jake,C,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,11,416,1526,704,688,165,200,256,13,11
538,1084406528,T. Curry,Thomas Curry,Curry,Thomas,C,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,12,443,1611,775,752,146,212,247,12,18
538,1100071168,S. Shaffer,Silas Shaffer,Shaffer,Silas,C,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,12,440,1640,601,696,181,175,261,12,18
538,1279131904,M. Kalk,Max Kalk,Kalk,Max,C,Ball State University,BALL,730195456,Ball State,BBC,L,R,21,509,1907,869,788,207,194,329,12,9
538,1116118528,M. Gonzalez,Matt Gonzalez,Gonzalez,Matt,C,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,9,308,1216,580,525,139,126,190,12,9
538,1142668800,I. Escobar,Irvin Escobar,Escobar,Irvin,C,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,43,1426,5271,2343,2259,581,347,895,12,4
538,1258593024,C. Tallakson,Connor Tallakson,Tallakson,Connor,C,UNLV,UNLV,730161664,UNLV,BBC,R,R,10,222,852,357,311,69,78,162,12,3
538,1334935552,L. Gaffney,Luke Gaffney,Gaffney,Luke,1B,Clemson University,CLEM,730358784,Clemson,BBC,R,R,8,191,757,300,317,89,113,132,12,4
538,1310313729,J. Asencio,Jayden Asencio,Asencio,Jayden,C,Coppin State University,COPP,730194176,Coppin State,BBC,L,R,33,1247,4497,669,1734,325,131,825,12,7
538,1279825152,J. Power,Jack Power,Power,Jack,1B,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,L,R,9,372,1268,606,546,86,89,199,12,8
538,1302874624,J. Ryan,Jack Ryan,Ryan,Jack,C,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,10,255,917,398,393,85,105,150,12,1
538,1182843904,D. Johnson,Davis Johnson,Johnson,Davis,C,University of Notre Dame,ND,225,Notre Dame,BBC,L,R,17,551,2089,947,928,257,320,376,12,27
538,1085399552,K. Pollack,Kyle Pollack,Pollack,Kyle,C,Marist College,MRST,730374656,Marist,BBC,R,R,13,530,1996,909,778,182,167,338,12,21
538,1118938880,M. Buffington,Matthew Buffington,Buffington,Matthew,C,University of South Florida,USF,2292,South Florida,BBC,R,R,8,228,838,380,375,82,113,129,12,8
538,1224787200,L. Patton,Liam Patton,Patton,Liam,C,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,9,333,1382,533,561,129,128,218,12,15
538,1287356160,R. Bakes,Ryan Bakes,Bakes,Ryan,C,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,14,262,984,422,414,118,126,163,12,9
538,1561269511,W. Fosberg,Will Fosberg,Fosberg,Will,C,Northeastern University,NE,343,Northeastern,BBC,L,R,26,934,3445,1801,1619,425,341,657,12,12
538,1232579968,C. Niclai,Coen Niclai,Niclai,Coen,C,University of Oregon,ORE,4807,Oregon,BBC,R,R,10,212,784,345,363,96,126,131,12,5
538,1342166967,J. Whitehead,Jamar Whitehead,Whitehead,Jamar,C,Coppin State University,COPP,730194176,Coppin State,BBC,S,R,24,683,2467,495,833,170,95,379,12,14
538,1317308271,Z. Butler,Zac Butler,Butler,Zac,C,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,14,356,1273,550,625,156,179,199,12,8
538,1387215374,W. Robbins,Will Robbins,Robbins,Will,C,Princeton University,PRIN,730198784,Princeton,BBC,R,R,8,230,851,368,350,72,87,133,12,5
558,1196813569,J. Killelea,Jack Killelea,Killelea,Jack,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,10,339,1211,514,529,114,173,196,11,11
558,1184798208,J. Gaudreau,Jacob Gaudreau,Gaudreau,Jacob,C,Bryant University,BRY,730266880,Bryant,BBC,L,R,6,217,838,359,320,88,95,142,11,17
558,1341291776,Z. Chamizo,Zach Chamizo,Chamizo,Zach,3B,San Jose State University,SJSU,730206720,San Jose State,BBC,L,R,6,274,1022,493,415,81,92,192,11,4
558,1317378560,J. Green,Jason Green,Green,Jason,C,Niagara University,NIAG,730156544,Niagara,BBC,L,R,30,1188,3740,1591,1563,277,210,640,11,11
558,1309684736,B. Burke,Brendan Burke,Burke,Brendan,C,Norfolk State University,NORF,3904,Norfolk State,BBC,L,R,33,1393,3751,899,1239,144,83,536,11,12
558,1257433856,K. Huff,Kade Huff,Huff,Kade,C,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,R,8,159,587,278,259,57,69,97,11,1
558,1162501632,L. Vaughan,Logan Vaughan,Vaughan,Logan,C,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,S,R,36,1150,4182,2016,1827,375,322,656,11,7
558,1152911360,J. Kleveno,Jack Kleveno,Kleveno,Jack,C,University of Utah,UTAH,730328320,Utah,BBC,R,R,22,663,2463,1001,1080,223,269,393,11,25
558,1188071936,E. Culp,Easton Culp,Culp,Easton,C,Lamar University,LAM,730162432,Lamar,BBC,R,R,25,589,2179,1072,963,235,251,393,11,13
558,1017276345,E. Holstein,Evan Holstein,Holstein,Evan,C,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,8,211,828,302,338,97,90,148,11,16
558,1342167798,G. Baker,George Baker,Baker,George,C,University of Louisville,LOU,5467,Louisville,BBC,L,R,20,524,2036,920,837,182,252,357,11,10
558,1601342214,R. Wegrzyn,Robert Wegrzyn,Wegrzyn,Robert,C,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,11,359,1231,421,490,110,96,186,11,1
558,1761673592,N. Lombardi,Niko Lombardi,Lombardi,Niko,C,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,13,320,1209,532,509,126,168,227,11,8
558,1759366066,B. Conrad,Blake Conrad,Conrad,Blake,C,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,4,120,449,192,181,45,57,87,11,9
558,1178255014,C. Mowry,Collin Mowry,Mowry,Collin,C,University of Louisville,LOU,5467,Louisville,BBC,R,R,18,422,1685,742,668,146,196,296,11,27
573,1228209408,C. Brown,Colin Brown,Brown,Colin,C,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,20,690,2596,1217,1130,248,260,443,10,8
573,1204041472,A. Yu,Andrew Yu,Yu,Andrew,C,Duke University,DUKE,730336256,Duke,BBC,R,R,13,424,1650,771,742,196,224,289,10,17
573,1302783489,J. Perez,Jaime Perez,Perez,Jaime,C,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,23,882,3254,1551,1385,274,224,567,10,9
573,1287363072,R. Moore,Reese Moore,Moore,Reese,C,University of Iowa,IOWA,1232,Iowa,BBC,L,R,12,401,1525,709,622,170,192,288,10,23
573,1195546880,C. Diggins,Chase Diggins,Diggins,Chase,2B,University of Kansas,KU,730360064,Kansas,BBC,R,R,13,347,1328,616,596,138,176,222,10,16
573,1077998080,C. Campbell,Cole Campbell,Campbell,Cole,C,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,18,666,2565,1191,1110,262,150,472,10,13
573,1311346432,J. Burley,Jacob Burley,Burley,Jacob,C,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,15,152,642,264,260,96,84,133,10,9
573,1336578304,J. Fitz,Jonathan Fitz,Fitz,Jonathan,C,University of San Diego,USD,5320,San Diego,BBC,R,R,5,108,456,171,171,43,59,80,10,2
573,1243724032,R. Lee,Ryan Lee,Lee,Ryan,C,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,11,454,1671,422,719,148,71,287,10,6
573,1150057472,L. Melton,Luke Melton,Melton,Luke,C,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,17,506,1779,780,776,126,157,322,10,9
573,1356286583,J. Farmer,Jeremiah Farmer,Farmer,Jeremiah,C,Alcorn State University,ALCN,5376,Alcorn State,BBC,R,R,21,933,2339,527,884,79,106,234,10,8
573,1398146705,H. Carlson,Hunter Carlson,Carlson,Hunter,C,Wichita State University,WICH,730203904,Wichita State,BBC,L,R,6,166,636,201,265,74,75,114,10,3
573,1446969335,J. Gonzalez Perez,Jonathan Gonzalez Perez,Gonzalez Perez,Jonathan,C,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,R,R,27,1116,3027,814,1183,150,166,380,10,7
573,1342166862,B. Wirthgen,Brock Wirthgen,Wirthgen,Brock,C,California Baptist University,CBU,5091,California Baptist,BBC,R,R,6,68,270,113,105,28,36,59,10,0
573,1450695815,E. Ortega,Efren Ortega,Ortega,Efren,C,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,16,623,2340,1018,1057,229,241,392,10,25
573,1151531062,G. Marlow,Geoff Marlow,Marlow,Geoff,C,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,12,283,1078,487,451,90,144,201,10,13
589,1318237696,D. Ratfield,Donovan Ratfield,Ratfield,Donovan,1B,University of Nevada,NEV,4784,Nevada,BBC,R,R,3,126,459,187,196,52,62,76,9,0
589,1135899136,Z. Munton,Zach Munton,Munton,Zach,C,Butler University,BUT,730283520,Butler,BBC,L,R,26,688,2579,1119,1043,168,216,398,9,14
589,1300163072,N. DeLisi,Nick DeLisi,DeLisi,Nick,C,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,28,847,3193,1488,1386,313,317,516,9,6
589,1293160192,N. Cmeyla,Nathan Cmeyla,Cmeyla,Nathan,C,Florida State University,FSU,101,Florida State,BBC,R,R,14,327,1240,477,527,166,189,218,9,9
589,1167304960,K. Wilkey,Kaleb Wilkey,Wilkey,Kaleb,C,University of Evansville,EVAN,730327808,Evansville,BBC,R,R,14,334,1284,599,580,135,147,199,9,5
589,1333122048,K. Jimenez,Kenneth Jimenez,Jimenez,Kenneth,C,University of Houston,HOU,3030,Houston,BBC,R,R,14,381,1510,650,666,187,229,246,9,23
589,1100670720,H. Smith,Hank Smith,Smith,Hank,C,University of West Georgia,UOWG,730308864,West Georgia,BBC,L,L,27,878,3083,1528,1335,291,253,513,9,2
589,1145241856,C. Reisdorph,Chance Reisdorph,Reisdorph,Chance,C,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,R,R,38,1022,3806,1943,1686,362,355,602,9,5
589,1174785792,A. Aroz,Anson Aroz,Aroz,Anson,LF,University of Oregon,ORE,4807,Oregon,BBC,S,R,8,173,729,311,334,95,110,104,9,6
589,1320282112,W. Joyce,Whitt Joyce,Joyce,Whitt,C,UTSA,UTSA,730373120,UTSA,BBC,R,R,7,209,828,373,383,123,113,133,9,7
589,1162286592,A. DeMastrie,A.J. DeMastrie,DeMastrie,AJ,C,Dartmouth College,DART,730216192,Dartmouth,BBC,S,R,3,118,459,206,193,44,60,86,9,5
589,1142127872,J. Yovino,Joseph Yovino,Yovino,Joseph,C,Elon University,ELON,730252544,Elon,BBC,R,R,7,208,791,322,315,66,102,136,9,5
589,1296585216,G. Athanasiadis,George Athanasiadis,Athanasiadis,George,C,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,19,694,2271,977,991,182,173,346,9,9
589,1324713472,A. Gonzalez,Anthony Gonzalez,Gonzalez,Anthony,C,Stetson University,STET,730261504,Stetson,BBC,R,R,16,339,1305,622,578,122,155,218,9,7
589,1218681086,N. Thein,Noah Thein,Thein,Noah,C,Washington State University,WSU,4505,Washington State,BBC,L,R,15,568,2204,951,890,191,190,353,9,28
589,1342168414,E. Gustafson,Evan Gustafson,Gustafson,Evan,C,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,R,18,622,2344,1115,1019,213,266,399,9,10
589,1476164141,T. Smith,Tyler Smith,Smith,Tyler,C,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,S,R,14,594,2273,1099,904,209,191,380,9,13
