Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,CThrows,CThrowsOnTrgt,CThrowsOffTrgt,CThrowSpd,PopTime,CExchTime,CTimeToBase,CThrowHeight,CThrowDownLineDist
280,1104765952,S. Newman,Steak Newman,Newman,Steak,C,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,20,12,4,75.9,2.18,1.04,1.20,2.47,3.7
280,1690630537,L. Forsyth,Liam Forsyth,Forsyth,Liam,C,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,20,11,4,75.3,2.17,0.86,1.26,2.86,1.3
280,1801471405,H. Sute,Hunter Sute,Sute,Hunter,C,Manhattan College,MAN,730363648,Manhattan,BBC,L,R,20,11,2,73.3,2.04,0.80,1.22,2.57,4.5
280,1339514255,K. Hvidsten,Kyle Hvidsten,Hvidsten,Kyle,C,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,20,5,5,78.6,2.13,0.90,1.30,0.65,2.3
280,1792689868,X. Farnum,Xavier Farnum,Farnum,Xavier,C,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,20,12,3,72.7,2.10,0.83,1.22,2.17,0.7
280,1342169564,C. Felmlee,Charlie Felmlee,Felmlee,Charlie,C,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,20,13,2,70.0,2.20,0.82,1.43,1.25,3.2
295,1258255104,R. Tayman,Ryan Tayman,Tayman,Ryan,C,University of California,CAL,730152448,California,BBC,R,R,19,14,2,74.4,2.04,0.81,1.22,1.67,1.8
295,1297336320,E. Kligman,Elie Kligman,Kligman,Elie,C,Sacramento State University,SAC,730293760,Sacramento State,BBC,S,R,19,16,0,77.7,2.05,0.82,1.18,1.59,1.7
295,1152810752,D. Camera,Dom Camera,Camera,Dom,C,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,19,12,2,76.2,1.88,0.73,1.14,0.91,2.8
295,1310976000,I. Collier,Ian Collier,Collier,Ian,C,Texas State University,TXST,5420,Texas State,BBC,R,R,19,8,6,77.5,2.13,0.97,1.16,3.05,-0.5
295,1257351424,L. Bard,Luke Bard,Bard,Luke,C,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,19,9,2,78.4,2.06,0.80,1.27,2.77,1.1
295,1289946112,S. Donahue,Scott Donahue,Donahue,Scott,C,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,R,19,12,0,73.1,1.94,0.77,1.19,1.85,2.1
295,1292216320,R. Kolben,Ryan Kolben,Kolben,Ryan,C,University of Massachusetts,MASS,5451,UMass,BBC,R,R,19,7,5,78.9,2.08,0.79,1.28,1.86,2.5
295,1306896896,N. Miller,Noah Miller,Miller,Noah,C,University of Michigan,MICH,2290,Michigan,BBC,R,R,19,9,5,79.9,2.03,0.89,1.10,2.74,0.1
295,1400171673,M. Saumell,Michael Vincent Saumell,Saumell,Michael Vincent,C,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,S,R,19,8,1,73.7,1.87,0.76,1.12,0.69,-0.5
295,1912613998,M. Acton,Mason Acton,Acton,Mason,C,Bellarmine University,BU,730167552,Bellarmine,BBC,L,R,19,12,5,76.1,2.00,0.80,1.21,2.60,1.4
295,1004169216,N. Vargas,Nate Vargas,Vargas,Nate,C,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,L,R,19,12,3,78.9,2.16,0.92,1.21,1.73,4.6
295,1563240163,G. Kelly,Gavin Kelly,Kelly,Gavin,C,West Virginia University,WVU,5327,West Virginia,BBC,R,R,19,13,4,78.5,1.79,0.78,1.03,3.32,2.9
295,1667195766,B. Mabeus,Burke-Lee Mabeus,Mabeus,Burke-Lee,C,University of Oregon,ORE,4807,Oregon,BBC,S,R,19,14,0,76.7,1.81,0.75,1.02,1.94,3.3
295,1896537632,B. Harrison,Bear Harrison,Harrison,Bear,C,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,19,11,6,73.2,2.04,0.85,1.16,3.08,-0.6
295,1770714050,L. Wilson,Liam Wilson,Wilson,Liam,C,Harvard University,HARV,5450,Harvard,BBC,R,R,19,9,6,78.8,1.98,0.81,1.16,3.62,4.2
310,1292067584,B. Donay,Brody Donay,Donay,Brody,C,University of Florida,FLA,730168320,Florida,BBC,R,R,18,10,7,85.1,1.88,0.79,1.06,5.24,1.8
310,1259710976,J. Paulick,Jake Paulick,Paulick,Jake,C,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,18,11,3,77.2,2.09,0.83,1.24,2.47,2.1
310,1275103488,A. Sengenberger,Aidan Sengenberger,Sengenberger,Aidan,C,Stonehill College,SC,730238464,Stonehill,BBC,R,R,18,9,3,76.8,1.92,0.72,1.14,3.48,3.9
310,1311002880,T. Nicholson,Tim Nicholson,Nicholson,Tim,C,George Washington University,GW,730249216,George Washington,BBC,R,R,18,10,4,75.4,2.03,0.73,1.25,3.21,1.8
310,1334289408,C. Akers,Chris Akers,Akers,Chris,C,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,18,13,1,74.3,1.93,0.81,1.06,2.55,3.2
310,1152915968,B. Balsz,Blake Balsz,Balsz,Blake,C,UCLA,UCLA,5048,UCLA,BBC,L,R,18,12,3,76.0,1.93,0.82,1.13,2.75,5.0
310,1258110976,R. Highfill,Ross Highfill,Highfill,Ross,C,Mississippi State University,MSST,5080,Mississippi State,BBC,R,R,18,9,5,80.7,2.06,0.96,1.11,2.77,-0.1
310,1014899125,S. Ordonez,Santiago Ordonez,Ordonez,Santiago,C,University of North Florida,UNF,730296832,North Florida,BBC,R,R,18,11,3,76.1,2.06,0.78,1.30,0.99,4.1
310,1264565979,S. DeCello,Sergio DeCello,DeCello,Sergio,C,Purdue University,PUR,730353152,Purdue,BBC,S,R,18,11,2,80.2,1.85,0.83,1.01,2.70,4.1
310,1588775792,B. Williams,Brodey Williams,Williams,Brodey,C,University of New Mexico,UNM,730153472,New Mexico,BBC,L,R,18,9,5,76.3,2.00,0.85,1.13,3.34,1.2
310,1080840832,A. Paradine,Aidan Paradine,Paradine,Aidan,C,Siena College,SIE,730382592,Siena,BBC,R,R,18,9,4,74.0,2.27,0.87,1.35,3.72,3.2
321,1153707776,C. Rife,Charlie Rife,Rife,Charlie,C,Bellarmine University,BU,730167552,Bellarmine,BBC,R,R,17,11,3,77.3,2.09,0.87,1.23,2.25,2.4
321,1153321216,G. Sawa,Grant Sawa,Sawa,Grant,C,Fort Wayne,PFW,730231552,Fort Wayne,BBC,R,R,17,6,4,77.4,1.94,0.82,1.16,5.05,2.7
321,1167698432,R. Kozar,Rees Kozar,Kozar,Rees,C,Niagara University,NIAG,730156544,Niagara,BBC,R,R,17,10,0,79.6,1.93,0.78,1.14,1.84,2.7
321,1167350272,A. Berghult,Adam Berghult,Berghult,Adam,C,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,17,12,3,79.6,2.03,0.83,1.15,1.77,4.5
321,1264004864,E. Waggoner,Evan Waggoner,Waggoner,Evan,C,University of Evansville,EVAN,730327808,Evansville,BBC,L,R,17,7,4,75.3,2.04,0.79,1.26,0.38,-0.3
321,1336539648,B. Durand,Brandyn Durand,Durand,Brandyn,C,Bryant University,BRY,730266880,Bryant,BBC,R,R,17,10,4,79.4,1.88,0.79,1.10,2.43,3.5
321,1338271232,M. Toth,Michael Toth,Toth,Michael,C,University of Massachusetts,MASS,5451,UMass,BBC,R,R,17,13,3,75.8,1.95,0.74,1.20,3.19,2.9
321,1309684736,B. Burke,Brendan Burke,Burke,Brendan,C,Norfolk State University,NORF,3904,Norfolk State,BBC,L,R,17,13,1,77.6,2.04,0.86,1.20,2.01,0.8
321,1136410368,R. McCarthy,Riley McCarthy,McCarthy,Riley,C,University of Portland,PORT,730360320,Portland,BBC,R,R,17,11,1,73.7,2.07,0.87,1.18,2.23,2.0
321,1178678016,J. Agar,Joey Agar,Agar,Joey,C,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,R,17,11,2,73.5,2.16,0.91,1.23,2.81,2.4
321,1162550784,M. Strong,Mason Strong,Strong,Mason,C,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,17,9,4,73.6,2.13,0.97,1.22,3.07,-1.5
321,1563218164,W. Brooks,Will Brooks,Brooks,Will,C,Davidson College,DAV,730363136,Davidson,BBC,R,R,17,9,2,74.1,2.09,0.83,1.22,2.23,1.1
321,1232548330,Z. Buchan,Zander Buchan,Buchan,Zander,C,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,S,R,17,12,2,75.7,1.93,0.84,1.09,3.10,3.1
321,1590045009,Z. Goodwin,Zak Goodwin,Goodwin,Zak,C,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,L,R,17,10,2,75.1,2.00,0.83,1.14,1.58,0.8
321,1870804725,L. Grantham,Lucas Grantham,Grantham,Lucas,C,Wofford College,WOF,730176512,Wofford,BBC,R,R,17,15,0,77.4,1.85,0.87,0.95,2.70,4.7
321,1342170421,D. Perez,Daniel Perez,Perez,Daniel,C,Stetson University,STET,730261504,Stetson,BBC,R,R,17,10,2,81.9,1.94,0.86,1.05,4.03,1.0
321,1342167005,X. Rios,Xavier Rios,Rios,Xavier,C,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,17,8,6,76.1,2.04,0.95,1.11,3.27,2.1
321,1342168625,B. Williams,Brett Williams,Williams,Brett,C,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,17,11,5,75.8,1.78,0.75,1.09,4.30,3.2
339,1194402304,B. Sailors,Brooks Sailors,Sailors,Brooks,C,Fort Wayne,PFW,730231552,Fort Wayne,BBC,L,R,16,9,4,79.9,2.08,0.89,1.15,3.50,1.7
339,1238275328,C. Griffith,Cole Griffith,Griffith,Cole,C,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,16,9,4,74.5,1.97,0.88,1.06,2.48,6.3
339,1116254976,N. McHugh,Nate McHugh,McHugh,Nate,C,Creighton University,CREI,730243840,Creighton,BBC,R,R,16,8,4,80.0,2.04,0.76,1.22,2.58,3.2
339,1325732096,M. Wolf,Mason Wolf,Wolf,Mason,C,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,16,9,3,78.2,2.18,0.95,1.13,3.59,3.5
339,1310862080,G. Adams,Gage Adams,Adams,Gage,C,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,16,9,1,75.9,2.04,0.80,1.18,1.44,3.2
339,1295461632,A. Chiappetta,Anthony Chiappetta,Chiappetta,Anthony,C,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,16,9,4,71.4,2.01,0.79,1.23,1.71,2.9
339,1498084241,T. Payne II,Tevis Payne II,Payne II,Tevis,C,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,16,11,2,77.7,1.98,0.76,1.22,2.68,2.6
339,1342167432,R. Schuerman,Rece Schuerman,Schuerman,Rece,C,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,16,13,2,78.7,2.05,0.79,1.24,1.20,4.8
339,1197139488,R. Feliz,Raul Feliz,Feliz,Raul,C,Wofford College,WOF,730176512,Wofford,BBC,R,R,16,11,1,70.6,2.16,1.00,1.21,2.29,1.7
339,1879968374,R. Erickson,Ridge Erickson,Erickson,Ridge,C,Brigham Young University,BYU,730257152,BYU,BBC,R,R,16,9,5,76.2,1.86,0.81,1.02,3.35,2.7
339,1357578380,J. Lang,Jacob Lang,Lang,Jacob,C,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,16,10,3,76.3,2.01,0.76,1.26,2.34,3.2
339,1906304561,B. Burke,Brendan Burke,Burke,Brendan,C,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,16,9,4,77.5,2.03,0.93,1.12,4.26,4.1
339,1674371535,N. Barenz,Nick Barenz,Barenz,Nick,C,George Mason University,GMU,730265088,George Mason,BBC,R,R,16,8,1,75.9,2.02,0.91,1.13,1.77,4.0
339,1212686611,A. Temesvary,Anthony Temesvary,Temesvary,Anthony,C,Columbia University,CLMB,730319104,Columbia,BBC,R,R,16,7,3,75.7,1.97,0.84,1.20,1.93,3.6
353,1097597952,C. Carr,Cade Carr,Carr,Cade,C,Samford University,SAM,730386432,Samford,BBC,R,R,15,11,1,74.5,1.96,0.79,1.17,1.87,2.7
353,1096596224,Z. Skinner,Zak Skinner,Skinner,Zak,3B,Lamar University,LAM,730162432,Lamar,BBC,R,R,15,13,1,77.5,1.82,0.74,1.08,1.82,3.3
353,1207887104,G. Wright,Garrett Wright,Wright,Garrett,C,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,15,7,1,81.8,1.90,0.84,1.18,0.59,-1.4
353,1324687360,M. Mallas,Michael Mallas,Mallas,Michael,C,Towson University,TOWS,730318336,Towson,BBC,R,R,15,11,2,77.6,1.85,0.71,1.13,2.01,2.4
353,1179735808,W. Jesske,Will Jesske,Jesske,Will,C,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,15,8,0,76.2,2.05,0.87,1.18,0.79,5.0
353,1306904321,J. Kennett,JJ Kennett,Kennett,JJ,C,Baylor University,BAY,3033,Baylor,BBC,R,R,15,11,2,79.7,2.03,0.82,1.17,2.69,2.5
353,1117733376,R. Butler,Rob Butler,Butler,Rob,C,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,15,8,0,76.6,2.05,0.86,1.12,3.33,3.4
353,1191676160,M. Galvan,Marcus Galvan,Galvan,Marcus,C,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,R,15,11,3,74.6,2.11,0.83,1.24,1.72,2.3
353,1297496320,L. Lavin,Luke Lavin,Lavin,Luke,C,Stanford University,STAN,730251264,Stanford,BBC,L,R,15,6,5,78.7,1.94,0.82,1.14,2.39,3.2
353,1097643008,B. Williams,Brody Williams,Williams,Brody,C,Kent State University,KENT,730315008,Kent State,BBC,R,R,15,12,2,73.6,1.97,0.82,1.15,3.17,2.1
353,1281877760,K. Willis,Kaleb Willis,Willis,Kaleb,C,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,15,6,3,71.8,2.03,0.75,1.29,4.95,6.2
353,1698176328,B. Grizzaffi,Bryce Grizzaffi,Grizzaffi,Bryce,C,Lamar University,LAM,730162432,Lamar,BBC,R,R,15,11,2,81.3,1.97,0.88,1.13,3.49,3.3
353,1354382494,W. Smoot,Will Smoot,Smoot,Will,C,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,15,4,3,71.7,2.02,0.78,1.25,4.74,2.2
353,1392196981,B. Gray,Brady Gray,Gray,Brady,C,Abilene Christian University,AC,730375936,Abilene Christian,BBC,S,R,15,6,3,73.7,2.02,0.86,1.12,2.68,4.7
353,1362060489,C. Arrambide,Cade Arrambide,Arrambide,Cade,C,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,15,7,8,83.5,1.87,0.85,1.03,4.84,5.2
353,1990583503,N. Savoie,Nate Savoie,Savoie,Nate,LF,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,15,7,2,78.1,1.91,0.77,1.15,2.63,5.9
353,1968991292,M. Conte,Matt Conte,Conte,Matt,C,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,15,7,2,80.0,2.00,0.85,1.11,1.88,2.3
353,1450695815,E. Ortega,Efren Ortega,Ortega,Efren,C,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,15,13,1,74.7,1.91,0.79,1.15,2.60,3.4
353,1237893083,I. Fernandez,Ian Fernandez,Fernandez,Ian,C,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,15,13,0,82.9,1.74,0.79,0.95,3.15,3.1
372,1137358080,J. Maroney,Jake Maroney,Maroney,Jake,C,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,14,8,5,79.0,2.01,0.83,1.21,3.82,-0.5
372,1100071168,S. Shaffer,Silas Shaffer,Shaffer,Silas,C,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,14,8,5,78.0,2.01,0.84,1.15,2.70,1.9
372,1298788096,J. Cauthron,Jackson Cauthron,Cauthron,Jackson,C,Ohio University,OHIO,730298368,Ohio,BBC,L,R,14,5,3,74.1,2.14,0.91,1.24,3.05,5.1
372,1101444096,G. Bogdanchik,Gavin Bogdanchik,Bogdanchik,Gavin,C,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,14,7,2,73.6,2.14,0.76,1.39,1.37,6.5
372,1153422080,B. Walmsley,Brett Walmsley,Walmsley,Brett,C,University of Delaware,DEL,730203136,Delaware,BBC,R,R,14,12,1,76.8,2.15,0.97,1.18,2.09,1.7
372,1109515264,C. Ross,Camden Ross,Ross,Camden,C,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,14,7,0,76.2,2.10,0.78,1.29,-0.01,1.8
372,1334084096,S. Verburg,Spencer Verburg,Verburg,Spencer,C,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,14,8,6,75.4,2.10,0.85,1.25,2.88,3.2
372,1299566848,K. Amaro,Kristian Amaro,Amaro,Kristian,C,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,S,R,14,6,2,76.5,1.99,0.84,1.15,2.38,6.5
372,1260761344,S. Kang,Sean Kang,Kang,Sean,C,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,14,11,2,74.4,1.89,0.69,1.20,2.66,4.0
372,1152911360,J. Kleveno,Jack Kleveno,Kleveno,Jack,C,University of Utah,UTAH,730328320,Utah,BBC,R,R,14,11,3,76.9,1.83,0.83,0.99,3.26,3.9
372,1157742080,W. Plattner,Will Plattner,Plattner,Will,C,University of Alabama,ALA,730206976,Alabama,BBC,R,R,14,9,1,76.3,1.92,0.82,1.14,2.20,3.1
372,1725721248,C. Palmeri,Cole Palmeri,Palmeri,Cole,C,University of Richmond,RICH,730171904,Richmond,BBC,R,R,14,5,2,78.6,1.98,0.78,1.16,1.89,3.6
372,1671393892,F. Santana,Fabian Santana,Santana,Fabian,C,Alabama State University,ALST,4765,Alabama State,BBC,R,R,14,5,6,76.6,1.89,0.77,1.14,2.57,4.1
372,1561269511,W. Fosberg,Will Fosberg,Fosberg,Will,C,Northeastern University,NE,343,Northeastern,BBC,L,R,14,11,1,74.2,1.99,0.76,1.22,1.96,4.0
372,1981580320,S. Christmas,Seth Christmas,Christmas,Seth,C,Liberty University,LIB,730156288,Liberty,BBC,R,R,14,11,2,76.6,2.08,0.85,1.19,2.47,2.1
372,1728241540,M. Rose,Mac Rose,Rose,Mac,C,Vanderbilt University,VAN,5046,Vanderbilt,BBC,L,R,14,7,3,78.0,2.03,0.91,1.09,2.44,4.4
372,1437754977,G. Duncan,Gunnar Duncan,Duncan,Gunnar,C,Butler University,BUT,730283520,Butler,BBC,R,R,14,7,1,80.3,2.09,0.84,1.23,0.48,1.5
372,1124711394,N. Spaner,Nick Spaner,Spaner,Nick,C,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,14,6,4,75.4,2.18,0.96,1.24,1.25,-2.8
390,1132962304,L. Iverson,Luke Iverson,Iverson,Luke,RF,Utah Valley University,UVU,730263552,Utah Valley,BBC,S,R,13,6,1,77.6,1.75,0.80,0.98,2.51,2.8
390,1172422144,J. Thompson,Jackson Thompson,Thompson,Jackson,C,Campbell University,CAMP,730187776,Campbell,BBC,R,R,13,9,4,75.7,2.00,0.86,1.15,2.93,-0.6
390,1085382144,J. Current,Joey Current,Current,Joey,C,Towson University,TOWS,730318336,Towson,BBC,R,R,13,9,2,74.0,2.09,0.82,1.30,1.06,3.8
390,1145241856,C. Reisdorph,Chance Reisdorph,Reisdorph,Chance,C,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,R,R,13,12,1,77.5,1.90,0.89,1.01,2.21,1.9
390,1315911936,T. Otto,Thomas Otto,Otto,Thomas,C,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,13,7,6,74.9,1.96,0.72,1.24,3.70,8.1
390,1182843904,D. Johnson,Davis Johnson,Johnson,Davis,C,University of Notre Dame,ND,225,Notre Dame,BBC,L,R,13,5,3,80.4,2.05,0.89,1.15,4.14,5.2
390,1153320448,B. Sylvester,Beau Sylvester,Sylvester,Beau,C,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,R,13,11,2,77.8,2.06,0.89,1.17,3.23,-0.2
390,1281806592,M. Heiskell,Mason Heiskell,Heiskell,Mason,C,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,13,6,3,71.1,1.95,0.71,1.19,2.58,1.5
390,1174781696,B. Penso,Blake Penso,Penso,Blake,C,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,13,11,0,76.9,2.19,0.98,1.17,1.78,2.1
390,1218681086,N. Thein,Noah Thein,Thein,Noah,C,Washington State University,WSU,4505,Washington State,BBC,L,R,13,9,0,76.9,1.67,0.69,1.01,2.04,2.9
390,1233296853,J. Junnila,Jaxon Junnila,Junnila,Jaxon,C,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,13,4,4,83.3,1.83,0.82,1.08,3.98,1.9
390,1713050493,L. Gomez,Luis Gomez,Gomez,Luis,C,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,13,8,1,79.1,2.07,1.04,1.12,2.00,3.1
390,1648263484,E. Adkisson,Ethan Adkisson,Adkisson,Ethan,C,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,13,9,1,74.7,1.86,0.75,1.12,1.83,1.8
390,1223706782,E. Bergan,Ethan Bergan,Bergan,Ethan,C,UC Riverside,UCRV,730281728,UC Riverside,BBC,R,R,13,9,1,73.8,2.09,0.87,1.28,1.31,3.0
390,1446969335,J. Gonzalez Perez,Jonathan Gonzalez Perez,Gonzalez Perez,Jonathan,C,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,R,R,13,7,2,76.8,2.04,0.81,1.14,1.70,5.2
390,1342167798,G. Baker,George Baker,Baker,George,C,University of Louisville,LOU,5467,Louisville,BBC,L,R,13,8,1,78.1,1.80,0.80,1.00,2.01,3.6
406,1174787328,T. Splaine,Tommy Splaine,Splaine,Tommy,1B,University of Arizona,ARIZ,232,Arizona,BBC,R,R,12,10,1,75.8,2.04,0.77,1.24,2.26,2.5
406,1143042816,T. LeCroy,Talmadge LeCroy,LeCroy,Talmadge,C,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,12,6,5,78.8,2.14,0.95,1.19,3.11,-2.3
406,1131301120,H. Duffield,Hayden Duffield,Duffield,Hayden,C,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,12,10,1,74.5,1.91,0.79,1.13,2.69,1.3
406,1341412096,C. Kleinman,Casey Kleinman,Kleinman,Casey,SS,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,12,9,1,72.6,2.08,0.80,1.28,2.69,2.9
406,1287363072,R. Moore,Reese Moore,Moore,Reese,C,University of Iowa,IOWA,1232,Iowa,BBC,L,R,12,8,1,76.9,1.94,0.99,1.09,1.53,2.8
406,1195475456,T. Howard,Tyler Howard,Howard,Tyler,C,University of Portland,PORT,730360320,Portland,BBC,R,R,12,8,3,77.2,1.97,0.81,1.18,2.80,2.1
406,1196788992,H. Perry,Hayden Perry,Perry,Hayden,C,Samford University,SAM,730386432,Samford,BBC,R,R,12,6,4,77.2,2.06,0.73,1.27,1.65,3.0
406,1150232320,H. Driggs,Hayden Driggs,Driggs,Hayden,C,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,12,8,0,75.3,2.04,0.78,1.27,2.25,3.9
406,1099315968,X. Ulrich,Xavier Ulrich,Ulrich,Xavier,C,Wagner College,WAG,730192640,Wagner,BBC,R,R,12,8,1,75.3,1.87,0.73,1.15,1.99,3.7
406,1224787200,L. Patton,Liam Patton,Patton,Liam,C,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,12,7,4,73.4,2.03,0.89,1.16,3.12,2.9
406,1331048448,G. Johnson,Gunnar Johnson,Johnson,Gunnar,C,Boston College,BC,227,Boston College,BBC,R,R,12,7,2,76.9,1.82,0.74,1.07,2.20,3.9
406,1237015040,J. Hawkins,Jason Hawkins,Hawkins,Jason,C,Troy University,TROY,730378496,Troy,BBC,R,R,12,5,5,77.5,1.94,0.74,1.21,2.08,-2.3
406,1083913216,C. Stevens,Carson Stevens,Stevens,Carson,C,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,12,7,1,73.8,2.11,0.80,1.32,1.90,1.4
406,1162140416,B. Shealor,Bennett Shealor,Shealor,Bennett,C,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,12,5,5,74.1,2.16,0.85,1.22,4.02,-0.7
406,1369787182,G. Arnold,Garrett Arnold,Arnold,Garrett,C,Ball State University,BALL,730195456,Ball State,BBC,R,R,12,7,2,74.2,2.19,0.90,1.28,2.35,3.2
406,1342168414,E. Gustafson,Evan Gustafson,Gustafson,Evan,C,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,R,12,11,0,79.6,2.05,0.78,1.27,2.63,2.4
406,1683790219,C. Papetti,Cameron Papetti,Papetti,Cameron,C,Bryant University,BRY,730266880,Bryant,BBC,R,R,12,5,3,77.0,1.90,0.75,1.14,2.91,4.3
406,1813453419,J. Durso,Joe Durso,Durso,Joe,C,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,12,6,3,73.3,1.93,0.73,1.21,2.67,7.2
406,1528976272,M. Wray,Mason Wray,Wray,Mason,C,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,12,8,2,78.7,1.90,0.81,1.11,2.34,4.6
406,1072428669,D. Davis,Diego Davis,Davis,Diego,2B,University of the Pacific,PAC,730386944,Pacific,BBC,R,R,12,6,3,78.2,1.81,0.74,1.09,1.39,-0.2
406,1000403987,D. Pena,Diego Pena,Pena,Diego,C,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,12,11,1,76.2,2.15,0.90,1.24,2.47,2.0
406,1514774576,B. Sullivan,Billy Sullivan,Sullivan,Billy,C,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,12,9,2,80.1,1.75,0.71,1.02,3.84,3.7
406,1734597370,D. Rogers,Drew Rogers,Rogers,Drew,C,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,12,9,2,77.8,1.69,0.72,0.97,2.87,3.2
406,1285375748,I. Wirtz,Ian Wirtz,Wirtz,Ian,C,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,12,5,1,76.1,2.02,0.70,1.33,0.07,-3.1
406,1534945533,J. Cote,Josh Cote,Cote,Josh,C,University of Toledo,TOL,5388,Toledo,BBC,R,R,12,6,3,72.9,2.03,0.83,1.24,3.74,6.1
406,1342166967,J. Whitehead,Jamar Whitehead,Whitehead,Jamar,C,Coppin State University,COPP,730194176,Coppin State,BBC,S,R,12,9,1,71.5,2.14,0.93,1.17,2.30,-0.1
406,1222751202,C. Gonzalez,Cesar Gonzalez,Gonzalez,Cesar,C,Boston College,BC,227,Boston College,BBC,R,R,12,11,1,77.7,1.87,0.84,1.03,2.05,3.2
406,1342168145,N. Snakenborg,Nate Snakenborg,Snakenborg,Nate,C,University of Nevada,NEV,4784,Nevada,BBC,R,R,12,10,2,74.7,1.81,0.78,1.00,2.41,4.7
406,1342168600,N. Beasley,Nikhil Beasley,Beasley,Nikhil,C,Sacramento State University,SAC,730293760,Sacramento State,BBC,R,R,12,7,2,77.0,1.89,0.75,1.14,2.38,3.2
