Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,CThrows,CThrowsOnTrgt,CThrowsOffTrgt,CThrowSpd,PopTime,CExchTime,CTimeToBase,CThrowHeight,CThrowDownLineDist
66,1192458240,D. Smiley,Demarckus Smiley,Smiley,Demarckus,C,Alabama State University,ALST,4765,Alabama State,BBC,L,R,42,26,7,75.2,2.07,0.85,1.21,2.66,1.1
66,1330454017,N. Jouras,Noah Jouras,Jouras,Noah,C,Davidson College,DAV,730363136,Davidson,BBC,R,R,42,25,7,74.0,1.98,0.75,1.21,1.20,2.3
66,1093158912,H. Cooke,Henry Cooke,Cooke,Henry,C,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,42,27,8,79.4,1.96,0.76,1.19,1.61,0.2
66,1091989248,J. Yakubinis,J.D. Yakubinis,Yakubinis,J.D.,C,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,42,28,8,77.9,1.95,0.82,1.11,2.93,1.1
66,1934740630,J. Martinez,Jeremy Martinez,Martinez,Jeremy,C,Indiana State University,INST,730350080,Indiana State,BBC,R,R,42,27,10,75.5,1.98,0.85,1.14,2.69,3.4
71,1208590592,M. Moise,Mac Moise,Moise,Mac,C,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,R,R,41,24,11,80.6,2.00,0.82,1.17,2.37,1.5
71,1160909824,E. Sipe,Evan Sipe,Sipe,Evan,C,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,41,23,8,76.9,2.14,0.86,1.26,2.15,2.1
71,1257568210,G. Caban,Gregory Caban,Caban,Gregory,C,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,L,R,41,24,5,72.8,2.13,0.86,1.26,2.46,2.3
74,1327330048,J. Bessette,Jackson Bessette,Bessette,Jackson,C,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,40,22,7,79.7,2.00,0.85,1.15,2.57,2.0
74,1297501440,A. Posey,Aaron Posey,Posey,Aaron,C,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,40,27,6,75.9,1.78,0.76,1.07,2.51,3.9
74,1287362304,K. Amundson,Kaden Amundson,Amundson,Kaden,C,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,40,25,7,77.3,2.00,0.85,1.17,2.41,4.8
74,1213485568,M. Chatelle,Matthew Chatelle,Chatelle,Matthew,C,Rutgers University,RUTG,730229248,Rutgers,BBC,R,R,40,26,6,79.4,1.97,0.79,1.20,2.85,3.1
74,1132702208,B. Smith,Boston Smith,Smith,Boston,C,Wright State University,WRST,5390,Wright State,BBC,L,R,40,25,9,78.7,1.86,0.68,1.18,2.63,1.8
74,1297338112,T. Smith,Tanner Smith,Smith,Tanner,C,University of Miami,MIA,236,Miami,BBC,R,R,40,22,8,77.1,2.06,0.81,1.25,1.98,4.9
74,1648774913,A. Raymond,Andrew Raymond,Raymond,Andrew,C,George Mason University,GMU,730265088,George Mason,BBC,L,R,40,22,8,82.0,1.99,0.87,1.10,3.34,3.4
74,1342167752,J. Carter,Jaedan Carter,Carter,Jaedan,C,Longwood University,LONG,730219264,Longwood,BBC,R,R,40,17,6,76.9,2.05,0.80,1.18,2.06,3.9
74,1342169508,N. Quarless,Noah Quarless,Quarless,Noah,C,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,40,30,8,78.0,1.91,0.77,1.14,2.42,2.7
83,1101830656,J. Ference,Jacob Ference,Ference,Jacob,C,University of Virginia,UVA,5415,Virginia,BBC,R,R,39,27,8,78.8,1.86,0.77,1.10,3.17,2.9
83,1196835072,L. Manning,Lucas Manning,Manning,Lucas,C,Wofford College,WOF,730176512,Wofford,BBC,R,R,39,20,13,71.5,1.98,0.79,1.20,2.84,2.1
83,1207812352,T. Stockman,Tucker Stockman,Stockman,Tucker,C,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,39,29,5,81.3,1.98,0.84,1.15,2.31,2.7
83,1264003584,D. Novak,David Novak,Novak,David,C,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,39,28,7,75.9,1.98,0.82,1.15,2.70,2.9
83,1222537473,B. Clark,Ben Clark,Clark,Ben,C,Oakland University,OAK,5386,Oakland,BBC,R,R,39,23,12,77.1,1.96,0.75,1.18,2.62,3.9
83,1901925793,M. Urbaniak,Mikey Urbaniak,Urbaniak,Mikey,C,Longwood University,LONG,730219264,Longwood,BBC,L,R,39,28,4,77.8,1.95,0.88,1.10,1.88,1.5
83,1342167036,M. Howell,Martin Howell,Howell,Martin,C,University of Dayton,DAY,730194688,Dayton,BBC,R,R,39,23,12,75.0,1.92,0.79,1.12,4.31,3.1
90,1166283008,M. Quatrani,Mark Quatrani,Quatrani,Mark,C,Cornell University,COR,730298624,Cornell,BBC,R,R,38,28,7,74.6,2.06,0.82,1.26,3.13,4.5
90,1153715200,J. Jarrell,Jacob Jarrell,Jarrell,Jacob,C,Clemson University,CLEM,730358784,Clemson,BBC,R,R,38,22,7,74.7,1.93,0.71,1.20,2.02,2.0
90,1099941376,B. Markinson,Bennett Markinson,Markinson,Bennett,C,Northwestern University,NW,730247680,Northwestern,BBC,R,R,38,28,2,75.1,2.03,0.81,1.19,1.82,0.8
90,1297521920,M. Sprockett,Michael Sprockett,Sprockett,Michael,C,Belmont University,BEL,730190336,Belmont,BBC,L,R,38,25,2,76.3,1.96,0.84,1.14,2.43,1.5
90,1310590976,W. Barron,Walker Barron,Barron,Walker,C,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,38,22,10,83.4,2.00,0.83,1.16,2.94,3.5
90,1212108544,M. Eckelman,Mason Eckelman,Eckelman,Mason,C,The Ohio State University,OSU,4144,Ohio State,BBC,L,R,38,30,5,80.5,2.10,0.92,1.17,2.59,1.7
96,1294963456,L. Heyman,Luke Heyman,Heyman,Luke,C,University of Florida,FLA,730168320,Florida,BBC,R,R,37,24,8,81.6,2.02,0.83,1.17,2.98,2.9
96,1196824064,C. Gallegos,Chase Gallegos,Gallegos,Chase,C,UNLV,UNLV,730161664,UNLV,BBC,R,R,37,29,2,76.2,1.97,0.80,1.16,1.77,3.7
96,1310670336,L. Trippel,Lance Trippel,Trippel,Lance,C,University of South Florida,USF,2292,South Florida,BBC,R,R,37,24,6,80.2,1.91,0.73,1.18,2.72,1.1
96,1243695361,M. Flaherty,Matt Flaherty,Flaherty,Matt,C,University of Evansville,EVAN,730327808,Evansville,BBC,R,R,37,24,5,74.2,2.05,0.83,1.24,2.16,2.4
96,1233722368,D. Contreras,Daniel Contreras,Contreras,Daniel,C,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,37,26,8,76.3,2.02,0.83,1.18,2.52,2.4
96,1336609280,T. Schuyler,TJ Schuyler,Schuyler,TJ,C,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,37,29,3,80.9,1.78,0.75,1.05,2.77,4.1
96,1306795264,N. Bright,Noah Bright,Bright,Noah,C,Michigan State University,MSU,1551,Michigan State,BBC,R,R,37,25,10,77.5,2.01,0.83,1.13,3.91,0.8
96,1092813824,I. Francis,Ian Francis,Francis,Ian,C,University of Kansas,KU,730360064,Kansas,BBC,R,R,37,24,7,75.5,2.03,0.85,1.15,3.14,2.5
