Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,AB,AVG,xAVG,xAVGDf,xOBP,SLG,xSLG,xSLGDf,ISO,xISO,xISODf,wOBA,xWOBA,xWOBADf
403,1296842752,G. Naess,Griffin Naess,Naess,Griffin,P,Cal Poly,CP,5487,Cal Poly,BBC,R,R,16,400,351,.242,.279,-.037,.356,.342,.439,-.097,.100,.159,-.059,.299,.340,-.041
404,1205406720,H. Watkins,Hunter Watkins,Watkins,Hunter,P,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,R,19,301,270,.289,.280,.009,.346,.515,.526,-.011,.226,.246,-.020,.372,.363,.009
405,1316364032,S. Stearns,Spencer Stearns,Stearns,Spencer,P,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,13,290,245,.278,.280,-.002,.375,.482,.470,.012,.204,.190,.014,.372,.364,.008
406,1135887872,J. Martinez,Joshua Martinez,Martinez,Joshua,P,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,L,24,288,235,.332,.280,.052,.401,.438,.372,.066,.106,.092,.014,.396,.347,.049
407,1092684544,M. Heer,Mitchell Heer,Heer,Mitchell,P,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,12,274,248,.242,.280,-.038,.330,.363,.437,-.074,.121,.157,-.036,.290,.324,-.034
408,1231225856,J. Salinas,Josh Salinas,Salinas,Josh,P,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,L,L,13,311,273,.341,.280,.061,.353,.557,.426,.131,.216,.146,.070,.413,.334,.079
409,1188623261,E. DeRossi,Eli DeRossi,DeRossi,Eli,P,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,14,307,246,.232,.280,-.048,.407,.407,.463,-.057,.175,.183,-.008,.347,.375,-.028
410,1279233792,T. Florio,Trace Florio,Florio,Trace,P,Lafayette College,LAF,730217728,Lafayette,BBC,L,L,13,295,262,.324,.280,.044,.345,.462,.391,.071,.137,.111,.026,.370,.320,.050
411,1239155712,D. Schueler,Dillon Schueler,Schueler,Dillon,P,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,15,382,335,.266,.280,-.015,.355,.406,.424,-.018,.140,.144,-.004,.329,.335,-.005
412,1320362240,J. Kim,Justin Kim,Kim,Justin,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,19,228,194,.273,.280,-.007,.369,.443,.478,-.034,.170,.197,-.027,.351,.356,-.005
413,1270721280,P. Fosher,Peyton Fosher,Fosher,Peyton,P,University of Nevada,NEV,4784,Nevada,BBC,R,R,15,337,306,.288,.281,.007,.338,.474,.479,-.005,.186,.198,-.012,.354,.343,.011
414,1311153664,A. Herrmann,Andrew Herrmann,Herrmann,Andrew,P,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,L,L,18,329,285,.295,.281,.014,.358,.474,.453,.020,.179,.172,.007,.367,.346,.021
415,1290508544,J. Bennett,Jack Bennett,Bennett,Jack,P,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,14,275,247,.251,.281,-.030,.345,.377,.409,-.032,.126,.128,-.002,.307,.324,-.016
416,1162521088,L. Runde,Logan Runde,Runde,Logan,P,Florida International University,FIU,4468,Florida International,BBC,R,R,21,274,240,.338,.281,.056,.355,.454,.400,.054,.117,.119,-.002,.379,.327,.052
417,1332929792,J. McCracken,J.D. McCracken,McCracken,J.D.,P,Rice University,RICE,2352,Rice,BBC,L,L,16,336,277,.267,.281,-.014,.382,.440,.393,.048,.173,.111,.062,.356,.339,.017
418,1279533312,C. Dygert,Caylon Dygert,Dygert,Caylon,P,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,15,368,338,.284,.281,.003,.318,.411,.390,.021,.127,.109,.018,.318,.303,.016
419,1306683393,C. Alderman,Chandler Alderman,Alderman,Chandler,P,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,L,14,329,277,.300,.281,.018,.375,.480,.440,.040,.181,.158,.022,.381,.353,.027
