Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,AB,AVG,xAVG,xAVGDf,xOBP,SLG,xSLG,xSLGDf,ISO,xISO,xISODf,wOBA,xWOBA,xWOBADf
591,1401671129,J. Tovar,Jesus Tovar,Tovar,Jesus,P,Texas State University,TXST,5420,Texas State,BBC,L,L,15,312,256,.313,.304,.009,.405,.457,.504,-.047,.145,.200,-.055,.382,.382,-.001
592,1229631744,R. Rembisz,Ryan Rembisz,Rembisz,Ryan,P,University of Portland,PORT,730360320,Portland,BBC,L,L,15,318,282,.259,.304,-.045,.362,.397,.515,-.118,.138,.211,-.073,.316,.366,-.050
593,1301684992,C. Fitzgerald,Colin Fitzgerald,Fitzgerald,Colin,P,University of Maine,ME,730275840,Maine,BBC,R,R,14,396,348,.305,.304,.001,.370,.471,.436,.035,.167,.132,.034,.367,.346,.021
594,1323961600,A. Mucciarone,Alfred Mucciarone,Mucciarone,Alfred,P,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,R,14,348,301,.312,.304,.008,.371,.439,.459,-.021,.126,.155,-.029,.359,.354,.005
595,1279760896,O. Tappy,Owen Tappy,Tappy,Owen,P,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,14,337,307,.287,.304,-.018,.353,.456,.466,-.010,.169,.161,.008,.340,.343,-.003
596,1296162560,S. McAlinden,Shane McAlinden,McAlinden,Shane,P,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,14,286,240,.287,.304,-.017,.402,.433,.463,-.030,.146,.158,-.013,.366,.374,-.008
597,1505049816,J. Sitton,Jacob Sitton,Sitton,Jacob,P,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,15,359,304,.283,.304,-.022,.396,.414,.424,-.010,.132,.120,.012,.351,.357,-.006
598,1303094016,D. Stanley,Drew Stanley,Stanley,Drew,P,Radford University,RAD,730267392,Radford,BBC,R,R,21,305,259,.332,.304,.028,.388,.533,.437,.095,.201,.133,.068,.404,.354,.050
599,1449071722,C. Walls,Cooper Walls,Walls,Cooper,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,15,267,236,.292,.305,-.012,.376,.347,.347,.001,.055,.042,.013,.324,.325,-.001
600,1207806720,L. Fladda,Luc Fladda,Fladda,Luc,P,Tulane University,TULN,730354176,Tulane,BBC,L,L,15,346,312,.311,.305,.006,.353,.526,.522,.004,.215,.217,-.003,.378,.363,.015
601,1152937984,I. Umlandt,Ian Umlandt,Umlandt,Ian,P,University of Oregon,ORE,4807,Oregon,BBC,L,L,18,265,239,.276,.305,-.029,.362,.393,.451,-.057,.117,.145,-.028,.321,.347,-.026
602,1822252575,R. Parker,Ryan Parker,Parker,Ryan,P,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,15,287,242,.302,.305,-.004,.397,.417,.423,-.006,.116,.118,-.002,.361,.356,.005
603,1082443399,C. Moak,Clint Moak,Moak,Clint,P,Marshall University,MRSH,730333696,Marshall,BBC,R,R,19,282,243,.292,.305,-.013,.383,.449,.472,-.024,.156,.167,-.011,.360,.365,-.005
604,1094165504,A. Pingeton,Anthony Pingeton,Pingeton,Anthony,P,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,15,311,274,.277,.306,-.028,.378,.431,.458,-.027,.153,.152,.001,.343,.357,-.014
605,1085418496,K. Remington,Kyle Remington,Remington,Kyle,P,University of Minnesota,MINN,4864,Minnesota,BBC,L,R,15,297,266,.282,.306,-.024,.368,.504,.516,-.012,.222,.209,.012,.364,.368,-.004
606,1005138026,K. Davis,Kanious Davis,Davis,Kanious,P,Alcorn State University,ALCN,5376,Alcorn State,BBC,R,R,15,300,219,.347,.306,.041,.473,.566,.552,.015,.219,.245,-.026,.461,.434,.027
607,1238172160,N. Rodriguez,Noah Rodriguez,Rodriguez,Noah,P,Siena College,SIE,730382592,Siena,BBC,L,R,16,381,342,.307,.306,.001,.368,.506,.624,-.119,.199,.318,-.119,.378,.406,-.028
608,1492829743,C. Golden,Cooper Golden,Golden,Cooper,P,McNeese State University,MCNS,730285056,McNeese State,BBC,L,L,15,288,251,.267,.307,-.040,.375,.410,.414,-.004,.143,.107,.036,.330,.343,-.013
609,1238871552,J. Newell,Josh Newell,Newell,Josh,P,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,15,406,373,.244,.307,-.063,.341,.346,.564,-.218,.102,.257,-.155,.274,.368,-.094
610,1077994240,J. Katz,Josh Katz,Katz,Josh,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,13,227,203,.340,.307,.033,.363,.512,.478,.034,.172,.171,.001,.391,.357,.034
611,1257460992,T. Grenn,Tyler Grenn,Grenn,Tyler,P,U.S. Naval Academy,NAVY,508,Navy,BBC,L,R,13,326,289,.291,.308,-.017,.361,.450,.492,-.042,.159,.184,-.025,.344,.356,-.012
612,1521776654,G. Kuzniewski,Gavin Kuzniewski,Kuzniewski,Gavin,P,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,18,266,218,.280,.308,-.028,.421,.491,.523,-.032,.211,.215,-.004,.387,.398,-.011
613,1099879680,D. Banner,Dylan Banner,Banner,Dylan,P,University at Albany,ALBY,730280448,Albany,BBC,R,R,14,388,360,.278,.309,-.031,.348,.392,.448,-.057,.114,.140,-.026,.312,.338,-.026
614,1351611079,R. Brown,Ryan Brown,Brown,Ryan,P,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,20,274,249,.313,.309,.004,.357,.510,.540,-.030,.197,.231,-.034,.373,.371,.001
615,1370357953,M. Yusypchuk,Michael Yusypchuk,Yusypchuk,Michael,P,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,15,320,286,.280,.310,-.030,.375,.528,.551,-.023,.248,.241,.007,.374,.386,-.013
616,1310369536,B. Peterson,Brandon Peterson,Peterson,Brandon,P,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,L,R,15,286,237,.287,.310,-.023,.409,.456,.475,-.020,.169,.165,.003,.371,.378,-.007
617,1837146158,J. Litman,James Litman,Litman,James,P,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,R,R,15,258,233,.262,.310,-.049,.371,.403,.534,-.130,.142,.223,-.082,.321,.377,-.056
618,1342166619,A. Castro,Alessandro Castro,Castro,Alessandro,P,University of Nevada,NEV,4784,Nevada,BBC,L,L,15,324,293,.311,.311,-.000,.359,.457,.495,-.037,.147,.184,-.037,.355,.359,-.003
619,1327579136,R. Halamicek,Ryan Halamicek,Halamicek,Ryan,P,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,L,R,17,328,298,.289,.312,-.023,.366,.540,.548,-.008,.252,.237,.015,.377,.379,-.002
620,1075848055,L. Sheffield,Lincoln Sheffield,Sheffield,Lincoln,P,Kansas State University,KSU,730270464,Kansas State,BBC,L,L,16,333,307,.313,.313,.000,.348,.476,.490,-.014,.163,.177,-.014,.355,.352,.003
621,1016358398,B. Bouchard,Brady Bouchard,Bouchard,Brady,P,Binghamton University,BING,730155776,Binghamton,BBC,R,R,18,288,249,.357,.313,.044,.386,.558,.489,.069,.201,.176,.025,.421,.370,.052
622,1164663040,F. Morin,Felix Morin,Morin,Felix,P,Canisius College,CAN,730218752,Canisius,BBC,L,L,13,273,232,.336,.313,.023,.387,.534,.489,.046,.198,.175,.023,.403,.372,.031
623,1227043072,D. West,Dakoda West,West,Dakoda,P,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,14,278,240,.263,.314,-.051,.398,.396,.450,-.054,.133,.136,-.003,.331,.365,-.034
624,1306812928,B. Blevins,Bryce Blevins,Blevins,Bryce,P,Marshall University,MRSH,730333696,Marshall,BBC,R,L,16,416,363,.298,.314,-.017,.371,.493,.522,-.029,.196,.208,-.012,.364,.374,-.010
625,1984231284,A. Kelly,Aiden Kelly,Kelly,Aiden,P,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,14,346,285,.277,.315,-.037,.420,.414,.420,-.006,.137,.105,.032,.358,.370,-.012
626,1090704384,J. Turner,Jacob Turner,Turner,Jacob,P,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,16,292,250,.320,.315,.005,.394,.528,.457,.071,.208,.142,.066,.397,.363,.033
627,1263546624,D. Thomas,David Thomas,Thomas,David,P,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,14,343,304,.336,.315,.020,.377,.474,.562,-.088,.138,.246,-.108,.380,.390,-.010
628,1619696044,D. DeProspero,Dutch DeProspero,DeProspero,Dutch,P,Towson University,TOWS,730318336,Towson,BBC,R,R,16,262,236,.292,.315,-.023,.376,.551,.614,-.063,.258,.298,-.040,.387,.412,-.025
629,1210146816,J. Brockett,Jackson Brockett,Brockett,Jackson,P,University of Nebraska,NEB,4865,Nebraska,BBC,L,L,16,288,258,.283,.315,-.032,.382,.450,.506,-.056,.167,.191,-.024,.351,.375,-.024
630,1145349376,C. Poliey,Clayton Poliey,Poliey,Clayton,P,Rider University,RID,730174976,Rider,BBC,R,R,14,278,226,.270,.316,-.046,.427,.447,.609,-.162,.177,.294,-.117,.369,.425,-.056
631,1212105985,C. Van Assen,Cole Van Assen,Van Assen,Cole,P,Purdue University,PUR,730353152,Purdue,BBC,R,R,15,297,260,.292,.316,-.024,.376,.392,.461,-.068,.100,.145,-.045,.329,.354,-.025
632,1396741102,L. Grigg,Landon Grigg,Grigg,Landon,P,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,17,274,239,.343,.316,.027,.380,.485,.449,.036,.142,.133,.009,.388,.355,.033
633,1162558464,W. Scott,Win Scott,Scott,Win,P,San Jose State University,SJSU,730206720,San Jose State,BBC,L,L,14,328,286,.301,.317,-.016,.383,.437,.484,-.046,.136,.167,-.030,.353,.368,-.016
634,1310612992,B. Little,Branton Little,Little,Branton,P,Wofford College,WOF,730176512,Wofford,BBC,R,R,16,322,285,.330,.317,.013,.375,.498,.486,.012,.168,.169,-.001,.382,.362,.020
635,1288367360,A. Elges,Alek Elges,Elges,Alek,P,Longwood University,LONG,730219264,Longwood,BBC,R,R,22,310,265,.366,.317,.049,.377,.642,.540,.101,.275,.223,.053,.441,.378,.063
636,1176352256,J. Lehman,Justin Lehman,Lehman,Justin,TWP,Army West Point,ARMY,4744,Army,BBC,L,R,13,369,329,.313,.317,-.004,.369,.398,.455,-.057,.085,.138,-.053,.337,.351,-.014
637,1129425152,N. Higgins,Nolan Higgins,Higgins,Nolan,P,Michigan State University,MSU,1551,Michigan State,BBC,R,R,15,297,244,.283,.317,-.035,.432,.447,.473,-.026,.164,.156,.008,.378,.393,-.015
638,1279708672,A. Boster,Aaron Boster,Boster,Aaron,P,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,L,15,303,241,.253,.318,-.064,.447,.402,.387,.016,.149,.069,.080,.360,.376,-.016
639,1574122232,A. Ehmke,Aric Ehmke,Ehmke,Aric,P,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,15,285,235,.285,.318,-.033,.412,.489,.597,-.108,.204,.279,-.074,.377,.415,-.038
640,1815927257,L. Corcoran,Luke Corcoran,Corcoran,Luke,P,Coppin State University,COPP,730194176,Coppin State,BBC,L,L,15,277,229,.319,.318,.001,.419,.515,.452,.064,.197,.133,.063,.405,.378,.028
641,1198527488,J. Hanson,Jared Hanson,Hanson,Jared,P,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,15,256,235,.306,.319,-.012,.357,.468,.516,-.048,.162,.197,-.036,.351,.361,-.011
642,1085395712,E. Smink,Eddie Smink,Smink,Eddie,P,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,14,296,258,.337,.319,.018,.397,.570,.522,.047,.233,.203,.030,.421,.387,.034
643,1747080880,G. Smith,Griffin Smith,Smith,Griffin,P,Washington State University,WSU,4505,Washington State,BBC,R,R,16,363,336,.289,.319,-.031,.361,.491,.528,-.037,.202,.209,-.007,.353,.370,-.017
644,1192787200,J. Caravalho,Joshua Caravalho,Caravalho,Joshua,P,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,18,399,353,.300,.320,-.019,.380,.416,.494,-.077,.116,.174,-.058,.344,.370,-.027
645,1183062528,A. Heffernan,Andrew Heffernan,Heffernan,Andrew,P,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,12,328,300,.263,.320,-.056,.368,.430,.430,.000,.167,.110,.057,.323,.342,-.019
646,1334909196,N. Balcom,Nick Balcom,Balcom,Nick,P,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,17,305,253,.308,.320,-.012,.429,.478,.533,-.055,.170,.213,-.044,.394,.410,-.016
647,1207792896,W. Ross,Will Ross,Ross,Will,P,University of North Florida,UNF,730296832,North Florida,BBC,R,R,15,292,267,.303,.320,-.017,.360,.427,.532,-.105,.124,.211,-.088,.336,.372,-.036
648,1117508864,A. Ortiz,Angel Ortiz,Ortiz,Angel,P,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,14,334,298,.339,.320,.018,.372,.534,.486,.047,.195,.166,.029,.395,.361,.034
649,1114614016,C. Moore,Chance Moore,Moore,Chance,P,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,16,334,304,.316,.321,-.005,.371,.523,.551,-.028,.207,.231,-.023,.381,.383,-.001
650,1115370173,H. Bell,Hunter Bell,Bell,Hunter,P,Stonehill College,SC,730238464,Stonehill,BBC,L,L,13,270,220,.273,.321,-.048,.427,.436,.669,-.232,.164,.347,-.184,.364,.449,-.085
651,1383375719,B. Shea,Bryson Shea,Shea,Bryson,P,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,R,R,17,237,213,.315,.321,-.007,.368,.474,.567,-.093,.160,.246,-.086,.360,.384,-.024
652,1254189056,N. Rizzo,Nicholas Rizzo,Rizzo,Nicholas,P,Stony Brook University,STON,730249984,Stony Brook,BBC,L,L,19,259,217,.276,.322,-.045,.425,.452,.486,-.035,.175,.165,.010,.371,.396,-.026
653,1186273280,L. Bravo,Leonardo Bravo,Bravo,Leonardo,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,24,326,273,.267,.323,-.056,.398,.388,.373,.015,.121,.050,.071,.326,.341,-.015
654,1897229556,G. Thompson,Gavin Thompson,Thompson,Gavin,P,Bradley University,BRAD,730253312,Bradley,BBC,R,R,18,281,243,.329,.325,.004,.408,.543,.540,.003,.214,.215,-.001,.412,.400,.012
655,1336080896,C. Carver,Chase Carver,Carver,Chase,P,Bellarmine University,BU,730167552,Bellarmine,BBC,R,R,16,364,306,.337,.327,.010,.418,.533,.523,.010,.196,.196,-.000,.411,.396,.016
656,1216329728,N. Robb,Nicholas Robb,Robb,Nicholas,P,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,15,367,331,.329,.327,.002,.374,.438,.452,-.014,.109,.125,-.016,.355,.353,.003
657,1232886784,M. Parker,Max Parker,Parker,Max,P,Le Moyne College,LMC,730202880,Le Moyne,BBC,L,L,14,373,328,.293,.329,-.036,.403,.436,.485,-.049,.143,.156,-.013,.356,.385,-.028
658,1281671425,R. Bertram,Reid Bertram,Bertram,Reid,P,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,L,L,17,275,236,.331,.330,.001,.411,.538,.477,.061,.208,.147,.060,.410,.379,.030
659,1311052288,D. Rogers,Dylan Rogers,Rogers,Dylan,P,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,14,305,280,.379,.331,.048,.366,.546,.509,.037,.168,.179,-.011,.410,.367,.044
660,1342169499,N. Lewis,Nick Lewis,Lewis,Nick,P,Washington State University,WSU,4505,Washington State,BBC,L,L,16,344,307,.319,.331,-.012,.383,.531,.578,-.047,.212,.247,-.035,.387,.400,-.013
661,1131526490,F. Romano,Frederick Romano,Romano,Frederick,P,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,12,286,257,.292,.331,-.039,.391,.440,.520,-.080,.148,.188,-.041,.348,.385,-.037
662,1160848648,M. Kouser,Matthew Kouser,Kouser,Matthew,P,Northwestern University,NW,730247680,Northwestern,BBC,R,R,15,310,261,.307,.335,-.029,.431,.510,.561,-.052,.203,.226,-.023,.399,.416,-.017
663,1097715200,E. Gialloreto,Eric Gialloreto,Gialloreto,Eric,P,Iona College,IONA,730242048,Iona,BBC,R,R,14,383,347,.300,.338,-.038,.391,.452,.429,.024,.153,.091,.062,.353,.357,-.005
664,1604541126,T. Hillen,Trent Hillen,Hillen,Trent,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,14,349,306,.275,.338,-.063,.404,.435,.578,-.143,.160,.240,-.080,.342,.408,-.066
665,1614212435,J. Wizceb,Joey Wizceb,Wizceb,Joey,P,Western Michigan University,WMU,730165248,Western Michigan,BBC,L,L,14,316,284,.313,.338,-.025,.391,.514,.561,-.047,.201,.223,-.022,.379,.395,-.016
666,1149743416,M. Goodpaster,Marcus Goodpaster,Goodpaster,Marcus,P,Butler University,BUT,730283520,Butler,BBC,R,R,14,357,318,.343,.339,.004,.393,.607,.643,-.036,.264,.305,-.040,.424,.421,.003
667,1854940930,H. Deliyannis,Harry Deliyannis,Deliyannis,Harry,P,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,14,290,248,.343,.340,.002,.414,.746,.673,.073,.403,.333,.070,.478,.441,.037
668,1162566912,E. Gonzales,Erick Gonzales,Gonzales,Erick,P,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,18,387,311,.244,.342,-.097,.463,.392,.564,-.172,.148,.222,-.074,.351,.436,-.086
669,1798423777,A. Espinoza,Alejandro Espinoza,Espinoza,Alejandro,P,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,15,320,281,.349,.342,.007,.407,.548,.560,-.012,.199,.219,-.019,.413,.406,.007
670,1279513344,A. Rubayo,Andrew Rubayo,Rubayo,Andrew,P,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,23,276,245,.318,.342,-.024,.405,.424,.452,-.027,.106,.110,-.004,.357,.370,-.013
671,1568741560,S. Cole,Sam Cole,Cole,Sam,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,292,251,.323,.343,-.021,.420,.466,.433,.033,.143,.090,.054,.382,.370,.012
672,1493066280,A. Quezada,Adrian Quezada,Quezada,Adrian,P,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,11,257,226,.296,.344,-.047,.404,.513,.702,-.189,.217,.358,-.141,.375,.446,-.071
673,1483854437,B. Hamlin,Brendan Hamlin,Hamlin,Brendan,P,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,18,281,225,.320,.345,-.025,.453,.489,.605,-.116,.169,.261,-.092,.402,.439,-.037
674,1323373824,J. Story,Jake Storey,Story,Jake,P,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,14,320,293,.355,.345,.010,.390,.512,.528,-.016,.157,.183,-.026,.394,.384,.010
675,1281884928,B. Gaskey,Blake Gaskey,Gaskey,Blake,P,Ohio University,OHIO,730298368,Ohio,BBC,L,R,14,348,296,.321,.346,-.025,.432,.524,.518,.005,.203,.173,.030,.406,.405,.001
676,1859897718,A. Walsh,Alex Walsh,Walsh,Alex,P,Jacksonville University,JAC,730335488,Jacksonville,BBC,L,L,16,290,253,.233,.347,-.114,.421,.379,.552,-.172,.146,.205,-.058,.308,.409,-.102
677,1683462800,C. McClendon,Calvin McClendon,McClendon,Calvin,P,Texas Southern University,TXSO,4768,Texas Southern,BBC,L,L,16,332,292,.308,.350,-.042,.417,.493,.500,-.007,.185,.150,.035,.378,.388,-.011
678,1342168337,D. Dean,David Dean,Dean,David,P,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,L,L,17,240,213,.310,.352,-.042,.409,.446,.449,-.003,.136,.097,.039,.356,.366,-.010
679,1217549824,R. Reyes,Randy Reyes,Reyes,Randy,P,Grambling State University,GRAM,5378,Grambling State,BBC,L,L,14,289,223,.274,.353,-.079,.488,.408,.765,-.357,.135,.412,-.278,.379,.509,-.130
680,1911168487,W. Paxton,Will Paxton,Paxton,Will,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,16,281,232,.349,.354,-.005,.463,.560,.556,.004,.211,.202,.010,.441,.434,.007
681,1105517312,D. Munn,Drew Munn,Munn,Drew,P,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,14,369,320,.266,.358,-.092,.433,.400,.633,-.233,.134,.275,-.141,.334,.439,-.105
682,1162573312,A. Payamps,Andrelys Payamps,Payamps,Andrelys,P,Iona College,IONA,730242048,Iona,BBC,R,R,12,275,231,.229,.363,-.133,.453,.338,.753,-.416,.108,.391,-.283,.307,.480,-.172
683,1079520512,E. Garcia,EJ Garcia,Garcia,EJ,P,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,21,324,295,.329,.363,-.034,.410,.468,.532,-.065,.139,.170,-.031,.367,.400,-.033
684,1112928512,S. Gonzalez,Sebastian Gonzalez,Gonzalez,Sebastian,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,L,18,249,223,.278,.371,-.093,.422,.417,.563,-.146,.139,.192,-.053,.329,.412,-.083
685,1100074752,D. James,David James,James,David,P,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,13,245,205,.293,.373,-.080,.456,.478,.561,-.082,.185,.188,-.002,.377,.430,-.052
686,1251300352,I. Takemoto,Itsuki Takemoto,Takemoto,Itsuki,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,R,15,315,272,.294,.374,-.080,.439,.456,.590,-.134,.162,.216,-.054,.356,.428,-.072
687,1243071232,B. Haston,Brandon Haston,Haston,Brandon,P,Jackson State University,JKST,730378240,Jackson State,BBC,L,L,16,369,318,.302,.379,-.077,.446,.396,.443,-.047,.094,.064,.030,.345,.390,-.045
688,1248493824,J. Pease,Jaxson Pease,Pease,Jaxson,P,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,14,301,269,.290,.418,-.128,.466,.387,.524,-.137,.097,.106,-.009,.326,.424,-.098
689,1310134016,N. Luckett,Nick Luckett,Luckett,Nick,P,Southern University,SOU,4767,Southern,BBC,R,R,15,425,370,.295,.453,-.159,.510,.419,.570,-.152,.124,.117,.007,.349,.463,-.114
690,1084690944,Z. Wager,Zach Wager,Wager,Zach,P,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,L,17,299,259,.309,.455,-.146,.506,.483,.887,-.404,.174,.432,-.258,.372,.561,-.188
,1226973184,N. Vidmar,Nathan Vidmar,Vidmar,Nathan,P,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,12,323,249,.390,-,-,.167,.546,-,-,.157,-,-,.440,.112,-
,1330578944,E. Del Valle,Eddie Del Valle,Del Valle,Eddie,P,Delaware State University,DSU,730217984,Delaware State,BBC,R,L,12,289,229,.314,-,-,.185,.524,-,-,.210,-,-,.414,.129,-
,1162029824,J. Snipes,James Snipes,Snipes,James,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,15,216,172,.355,-,-,.173,.547,-,-,.192,-,-,.433,.123,-
,1299763712,B. Eftink,Brayden Eftink,Eftink,Brayden,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,L,R,12,230,193,.326,-,-,.137,.446,-,-,.119,-,-,.380,.096,-
,1128813223,L. Darnell,Logan Darnell,Darnell,Logan,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,17,276,247,.316,-,-,.087,.441,-,-,.126,-,-,.355,.061,-
