Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,InZone%,High%,VMid%,Low%,UpHalf%,LowHalf%,Inside%,HMid%,Outside%,InHalf%,OutHalf%
288,1297348096,K. McCoy,Kyle McCoy,McCoy,Kyle,P,University of Maryland-College Park,MD,730172928,Maryland,BBC,L,L,14,366,1316,49.4%,32.0%,30.4%,37.6%,47.2%,52.8%,29.2%,23.3%,47.4%,41.8%,58.2%
289,1463788430,N. Stein,Nathan Stein,Stein,Nathan,P,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,L,L,15,297,1033,49.4%,29.8%,37.1%,33.1%,49.9%,50.1%,23.1%,26.3%,50.6%,36.7%,63.3%
290,1085416704,L. Doyle,Liam Doyle,Doyle,Liam,P,University of Tennessee,TENN,730153728,Tennessee,BBC,R,L,19,385,1601,49.4%,45.3%,27.9%,26.8%,59.7%,40.3%,29.0%,27.3%,43.6%,41.7%,58.3%
291,1163548928,R. Orloski,Robert Orloski,Orloski,Robert,P,UTSA,UTSA,730373120,UTSA,BBC,R,R,27,296,1214,49.3%,36.4%,27.7%,35.9%,49.9%,50.1%,21.4%,27.5%,51.1%,34.0%,66.0%
292,1187051520,G. Barrett,Gabriel Barrett,Barrett,Gabriel,P,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,19,269,988,49.3%,25.3%,31.4%,43.3%,39.3%,60.7%,25.0%,22.4%,52.5%,35.9%,64.1%
293,1202718208,E. Dempsey,Evan Dempsey,Dempsey,Evan,TWP,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,L,R,15,288,1125,49.3%,30.6%,37.9%,31.5%,50.2%,49.8%,18.9%,23.3%,57.8%,29.8%,70.2%
294,1854940930,H. Deliyannis,Harry Deliyannis,Deliyannis,Harry,P,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,14,290,957,49.3%,38.1%,29.6%,32.3%,53.3%,46.7%,32.6%,26.5%,40.8%,45.9%,54.1%
295,1277834240,K. Opanel,Kevin Opanel,Opanel,Kevin,P,Monmouth University,MONM,4164,Monmouth,BBC,R,R,14,267,904,49.2%,36.5%,26.3%,37.1%,48.9%,51.1%,32.2%,22.9%,44.9%,42.2%,57.8%
296,1100455936,T. Charlton,Tyler Charlton,Charlton,Tyler,P,Missouri State University,MOSU,5382,Missouri State,BBC,L,L,16,260,1057,49.2%,45.4%,24.5%,30.1%,58.0%,42.0%,21.1%,28.4%,50.5%,32.7%,67.3%
297,1254309120,O. Geiss,Owen Geiss,Geiss,Owen,P,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,16,315,1125,49.2%,25.4%,33.3%,41.3%,41.4%,58.6%,23.1%,23.6%,53.4%,34.2%,65.8%
298,1196329728,A. Perez,Adan Perez,Perez,Adan,P,University of the Pacific,PAC,730386944,Pacific,BBC,R,R,14,332,1251,49.2%,32.0%,35.1%,32.9%,49.5%,50.5%,17.7%,26.1%,56.2%,29.5%,70.5%
299,1296196608,M. Harpster,Michael Harpster,Harpster,Michael,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,16,320,1146,49.2%,36.7%,30.6%,32.6%,52.8%,47.2%,25.0%,24.6%,50.4%,35.4%,64.6%
300,1058441697,S. Jenkins,Sean Jenkins,Jenkins,Sean,P,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,19,310,1135,49.2%,31.3%,28.8%,39.8%,45.5%,54.5%,25.7%,26.0%,48.3%,38.9%,61.1%
