Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,Swing#,Miss#,Strike#,InPlay#,Foul#,InZone#,Chase#,CallStrk#
2047,1188043573,J. Flores,Jason Flores,Flores,Jason,P,University of Texas,TEX,245,Texas,BBC,R,R,14,138,479,209,47,284,87,75,214,60,75
2047,1590714960,E. Hawk,Easton Hawk,Hawk,Easton,P,UCLA,UCLA,5048,UCLA,BBC,R,R,26,107,407,183,54,259,63,66,214,38,76
2061,1284211968,J. Porter,Jake Porter,Porter,Jake,P,Brigham Young University,BYU,730257152,BYU,BBC,R,R,19,133,484,205,24,284,98,83,213,61,79
2061,1198514944,B. Keyster,Brandon Keyster,Keyster,Brandon,P,University of South Florida,USF,2292,South Florida,BBC,L,L,21,131,441,182,31,272,89,62,213,56,90
2061,1237402880,L. Lyon,Luke Lyon,Lyon,Luke,P,Troy University,TROY,730378496,Troy,BBC,R,R,16,140,511,254,59,329,97,98,213,92,75
2061,1316711936,B. Strange,Brian Strange,Strange,Brian,P,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,15,154,639,263,62,390,98,103,213,72,127
2061,1152980480,A. Krodel,AJ Krodel,Krodel,AJ,P,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,11,126,539,232,76,325,67,89,213,77,93
2061,1176403200,E. Kleinhans,Evan Kleinhans,Kleinhans,Evan,P,Columbia University,CLMB,730319104,Columbia,BBC,R,R,14,143,525,209,44,304,95,70,213,68,95
2061,1637471130,L. Miller,Logan Miller,Miller,Logan,P,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,21,133,506,214,43,307,89,82,213,69,93
2061,1702192108,J. Richardson,Jonah Richardson,Richardson,Jonah,P,University of Delaware,DEL,730203136,Delaware,BBC,R,R,14,137,500,209,46,299,88,75,213,54,90
2061,1861479521,A. Habermann,Andrew Habermann,Habermann,Andrew,P,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,16,124,431,194,25,263,93,76,213,43,69
2061,1490865642,K. Dove,Kamar Dove,Dove,Kamar,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,16,272,778,248,26,350,183,39,213,10,102
2061,1793261831,J. Iglesias,Justin Iglesias,Iglesias,Justin,P,University of the Pacific,PAC,730386944,Pacific,BBC,L,R,20,127,477,206,42,285,87,77,213,47,79
2061,1377030852,T. Holman,Ty Holman,Holman,Ty,P,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,15,137,476,200,35,284,99,66,213,42,84
2073,1235521280,J. LoPinto,Joseph LoPinto,LoPinto,Joseph,P,Canisius College,CAN,730218752,Canisius,BBC,L,R,16,163,484,198,32,284,116,50,212,30,86
2073,1084391680,H. Calhoun,Hudson Calhoun,Calhoun,Hudson,P,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,21,112,461,200,74,277,53,73,212,60,77
2073,1108579328,M. Skilbeck,Max Skilbeck,Skilbeck,Max,P,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,R,17,112,427,160,51,262,63,46,212,30,102
2073,1297585920,J. Poindexter,Jake Poindexter,Poindexter,Jake,P,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,6,143,496,216,52,288,99,65,212,71,72
2073,1143021056,L. Lavigueur,Luc Lavigueur,Lavigueur,Luc,P,University of Maine,ME,730275840,Maine,BBC,R,R,10,127,495,185,35,271,83,67,212,53,86
2073,1273171201,M. Manriquez,Mason Manriquez,Manriquez,Mason,P,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,18,127,498,172,47,280,68,57,212,39,108
2073,1285789977,J. Weight,Jack Weight,Weight,Jack,P,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,25,148,549,231,79,317,87,65,212,102,86
2073,1460844498,B. Hudson,Benjamin Hudson,Hudson,Benjamin,P,West Virginia University,WVU,5327,West Virginia,BBC,L,R,18,121,496,205,54,300,71,80,212,53,95
2081,1245156352,B. Cox,Baker Cox,Cox,Baker,P,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,L,L,22,125,491,217,48,301,81,88,211,66,84
2081,1192525568,C. Davis,Champ Davis,Davis,Champ,P,Wofford College,WOF,730176512,Wofford,BBC,R,R,11,133,464,214,52,305,87,75,211,73,91
2081,1133212928,C. Mattioli,Christopher Mattioli,Mattioli,Christopher,P,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,6,125,447,174,29,260,96,49,211,37,86
2081,1088378880,L. Kruer,Landon Kruer,Kruer,Landon,P,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,19,129,513,200,56,298,80,64,211,61,98
2081,1191472640,V. Larson,Van Larson,Larson,Van,P,Long Beach State University,LBSU,730224128,Long Beach State,BBC,L,L,18,118,459,197,42,275,86,69,211,55,78
2081,1221084672,M. Bedford,Matt Bedford,Bedford,Matt,P,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,21,139,498,207,57,293,87,63,211,67,86
2081,1162364928,L. Stricklin,Lawson Stricklin,Stricklin,Lawson,P,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,16,118,468,192,33,260,84,75,211,22,68
2081,1319265024,E. Bates,Ethan Bates,Bates,Ethan,P,Grambling State University,GRAM,5378,Grambling State,BBC,R,L,20,249,588,254,30,362,189,35,211,29,108
2081,1761996201,J. Anservitz,Johnny Anservitz,Anservitz,Johnny,P,University of Akron,AKR,540536064,Akron,BBC,R,R,20,107,457,195,60,267,56,79,211,50,72
2081,1231022823,D. Smith,Dalton Smith,Smith,Dalton,P,University of Kansas,KU,730360064,Kansas,BBC,R,R,22,109,415,181,43,251,60,78,211,40,70
2081,1139929012,T. Butler,Tazwell Butler,Butler,Tazwell,P,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,16,115,411,180,36,260,79,65,211,43,80
2081,1480243427,A. Milburn,Aiden Milburn,Milburn,Aiden,P,Binghamton University,BING,730155776,Binghamton,BBC,R,R,15,114,412,181,43,249,79,59,211,38,68
2081,1524226942,W. Arrington,Wesley Arrington,Arrington,Wesley,P,University of Virginia,UVA,5415,Virginia,BBC,R,R,25,142,560,218,68,317,87,63,211,74,99
2094,1334316544,G. Holderfield,Grant Holderfield,Holderfield,Grant,P,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,L,16,125,451,179,37,271,79,63,210,38,92
2094,1176076800,S. Begnaud,Stiles Begnaud,Begnaud,Stiles,P,Brown University,BRWN,730236160,Brown,BBC,R,R,21,141,541,192,45,282,67,80,210,58,90
2094,1303340032,J. Furtado,Josh Furtado,Furtado,Josh,P,Morehead State University,MORE,730158080,Morehead State,BBC,R,R,20,157,603,249,78,343,104,67,210,66,94
2094,1213077504,A. Guazzo,Adam Guazzo,Guazzo,Adam,P,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,17,104,410,179,39,256,68,72,210,42,77
2094,1281264384,C. Minor,Chase Minor,Minor,Chase,P,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,21,150,512,222,51,317,98,73,210,48,95
2094,1100791040,T. LaMaison,Tristan LaMaison,LaMaison,Tristan,P,University of San Diego,USD,5320,San Diego,BBC,R,R,20,125,472,194,46,286,84,64,210,58,92
2094,1309473281,C. Rhein,Colin Rhein,Rhein,Colin,P,Binghamton University,BING,730155776,Binghamton,BBC,R,R,6,124,464,198,37,286,97,64,210,66,88
2094,1095054336,C. Goldstein,Charlie Goldstein,Goldstein,Charlie,P,University of Georgia,UGA,226,Georgia,BBC,L,L,15,123,519,189,61,293,66,62,210,57,104
2094,1307646976,D. Robinson,Darius Robinson,Robinson,Darius,P,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,14,143,536,214,44,314,108,62,210,59,100
2094,1342167077,A. Callaway,Andrew Callaway,Callaway,Andrew,P,University of Delaware,DEL,730203136,Delaware,BBC,R,L,17,143,553,266,77,326,94,95,210,76,60
2094,1318851164,E. Jones,Easton Jones,Jones,Easton,P,University of Utah,UTAH,730328320,Utah,BBC,R,R,17,133,496,195,47,291,90,58,210,57,96
2094,1221583848,C. Skermont,Colin Skermont,Skermont,Colin,P,Le Moyne College,LMC,730202880,Le Moyne,BBC,L,L,14,178,606,240,44,331,111,85,210,20,91
2094,1134822500,M. Marroquin Jr.,Michael Marroquin Jr.,Marroquin Jr.,Michael,P,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,16,133,522,196,38,293,94,64,210,62,97
2107,1235385856,M. Abell,Mark Abell,Abell,Mark,TWP,Army West Point,ARMY,4744,Army,BBC,L,R,12,123,493,194,43,277,74,77,209,55,83
2107,1311027200,C. Okerholm,Christian Okerholm,Okerholm,Christian,P,UTSA,UTSA,730373120,UTSA,BBC,R,R,14,120,412,206,42,274,91,73,209,54,68
2107,1223217920,L. Parise,Luke Parise,Parise,Luke,P,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,21,140,542,226,59,331,98,69,209,66,105
2107,1192902912,A. Souza,August Souza,Souza,August,P,UCLA,UCLA,5048,UCLA,BBC,R,R,30,122,464,207,67,282,76,64,209,67,75
2107,1322928128,J. Jones,Jakes Jones,Jones,Jake,P,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,L,R,21,148,580,238,66,329,87,85,209,37,91
2107,1258389495,L. Olson,Logan Olson,Olson,Logan,P,Penn State University,PSU,5326,Penn State,BBC,L,L,11,137,534,203,33,298,84,86,209,47,95
2107,1941070440,J. Drumm,Jake Drumm,Drumm,Jake,P,George Mason University,GMU,730265088,George Mason,BBC,R,R,18,146,501,245,50,317,114,81,209,76,72
2107,1342167928,W. Howell,Will Howell,Howell,Will,P,University of Memphis,MEM,730172160,Memphis,BBC,R,R,16,116,501,206,62,298,64,80,209,75,92
2107,1333507576,H. Pelja,Harun Pelja,Pelja,Harun,P,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,17,161,618,228,53,335,92,83,209,59,107
2107,1319871474,B. Bounds,Burkley Bounds,Bounds,Burkley,P,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,18,177,653,318,91,412,119,108,209,58,94
2107,1134108077,N. Williams,Nate Williams,Williams,Nate,P,Mississippi State University,MSST,5080,Mississippi State,BBC,R,R,19,113,491,205,69,303,47,89,209,63,98
2107,1740968972,E. Coston,Elijah Coston,Coston,Elijah,P,Virginia Commonwealth University,VCU,730179328,VCU,BBC,L,L,18,115,489,192,47,281,64,81,209,48,89
2119,1207825409,J. Fisher,Jordan Fisher,Fisher,Jordan,P,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,21,107,444,199,70,269,56,73,208,58,70
2119,1099889408,W. Pryor,Will Pyor,Pryor,Will,P,Belmont University,BEL,730190336,Belmont,BBC,R,R,5,120,467,160,35,259,72,53,208,46,99
2119,1295291633,M. Catalano,Michael Catalano,Catalano,Michael,P,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,21,108,456,208,57,286,63,88,208,65,78
2119,1494758686,J. Fields,Jacob Fields,Fields,Jacob,P,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,22,132,509,167,45,288,70,52,208,51,121
2119,1482077273,R. Clark,Ross Clark,Clark,Ross,P,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,12,120,422,190,31,268,90,69,208,58,78
2119,1226098772,D. Brooks,Dalton Brooks,Brooks,Dalton,P,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,11,143,562,228,62,332,88,78,208,73,104
2119,1082446389,L. Scholl,Logan Scholl,Scholl,Logan,P,Marist College,MRST,730374656,Marist,BBC,S,R,16,135,472,201,42,264,87,72,208,38,63
2119,1987916423,D. Norris,Drew Norris,Norris,Drew,P,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,21,127,508,209,47,286,83,79,208,46,77
2127,1093144576,A. Davis II,Alton Davis II,Davis II,Alton,P,University of Georgia,UGA,226,Georgia,BBC,L,L,19,105,408,176,58,257,63,55,207,35,81
2127,1238972928,C. Anderson,Caleb Anderson,Anderson,Caleb,P,Wichita State University,WICH,730203904,Wichita State,BBC,R,R,24,139,502,198,44,301,90,64,207,50,103
2127,1162303488,G. Graves,Griffin Graves,Graves,Griffin,P,Auburn University,AUB,5466,Auburn,BBC,L,L,13,94,397,178,47,250,58,73,207,44,72
2127,1187078912,H. Hall,Hayden Hall,Hall,Hayden,P,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,19,127,490,193,39,292,87,67,207,65,99
2127,1336587264,H. Henry,Hayden Henry,Henry,Hayden,P,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,17,120,439,189,53,273,79,57,207,61,84
2127,1279323648,A. Harajli,Ahmad Harajli,Harajli,Ahmad,P,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,11,102,447,180,51,256,51,78,207,47,76
2127,1333197824,D. Richey,Dylan Richey,Richey,Dylan,P,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,9,115,422,178,22,256,82,74,207,36,78
2127,1421995611,C. Garrison,Cooper Garrison,Garrison,Cooper,P,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,26,144,502,242,64,321,97,81,207,80,79
2127,1673135974,A. Hasan,Ameer Hasan,Hasan,Ameer,P,Fordham University,FOR,730324992,Fordham,BBC,L,L,9,147,490,223,37,317,119,67,207,83,94
2127,1098421844,N. Gyauch-Quirk,Noah Gyauch-Quirk,Gyauch-Quirk,Noah,P,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,11,120,484,181,48,276,66,67,207,60,95
2127,1794144822,B. Sweeney,Brenden Sweeney,Sweeney,Brenden,P,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,23,126,482,232,67,299,77,88,207,85,67
2127,1242886092,H. Crews,Hayden Crews,Crews,Hayden,P,Fresno State,FRES,730384384,Fresno State,BBC,R,R,10,118,408,184,35,269,83,66,207,48,85
2139,1239222784,J. Allen,Joe Allen,Allen,Joe,P,Clemson University,CLEM,730358784,Clemson,BBC,R,R,23,126,488,210,69,286,69,72,206,62,76
2139,1176843776,B. Ostrander,Braden Ostrander,Ostrander,Braden,P,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,R,R,19,115,393,178,50,242,75,53,206,38,64
2139,1695297104,C. Connolly,Caden Connolly,Connolly,Caden,P,University of Michigan,MICH,2290,Michigan,BBC,L,L,17,113,437,195,54,283,71,70,206,54,88
2139,1464770402,A. Kanipe,Alex Kanipe,Kanipe,Alex,P,Butler University,BUT,730283520,Butler,BBC,R,R,19,162,499,242,39,299,124,79,206,53,57
2139,1093477206,E. Miller,Easton Miller,Miller,Easton,P,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,16,151,575,218,53,323,96,69,206,62,105
2139,1815300643,D. Young,Drue Young,Young,Drue,P,Ball State University,BALL,730195456,Ball State,BBC,R,R,15,126,486,186,48,274,79,59,206,38,88
2139,1903727578,J. Morgan,Justin Morgan,Morgan,Justin,P,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,18,140,513,204,39,292,93,72,206,44,88
2139,1531867102,C. Kalkbrenner,Craig Kalkbrenner,Kalkbrenner,Craig,P,Mercer University,MER,730240512,Mercer,BBC,R,R,26,139,522,209,47,293,95,67,206,65,84
2139,1141228721,A. Plisinski,Austin Plisinski,Plisinski,Austin,P,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,25,117,450,194,40,273,82,72,206,59,79
2139,1527805203,A. Sanderson,Alexander Sanderson,Sanderson,Alexander,P,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,L,17,132,527,211,46,304,85,80,206,55,93
2139,1977070248,K. McLaughlin,Killian McLaughlin,McLaughlin,Killian,P,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,21,260,737,238,32,341,149,57,206,23,103
2139,1220216626,J. LeFrancois,Jake LeFrancois,LeFrancois,Jake,P,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,R,15,102,396,141,31,221,61,49,206,21,80
2151,1294963969,L. Boule,Luke Boule,Boule,Luke,P,University at Albany,ALBY,730280448,Albany,BBC,R,R,15,133,489,189,25,269,88,76,205,45,80
2151,1310879745,L. LeMond,Luke LeMond,LeMond,Luke,P,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,15,123,482,202,54,277,73,75,205,52,75
2151,1257080576,G. Payne,Garrett Payne,Payne,Garrett,P,Tulane University,TULN,730354176,Tulane,BBC,R,R,14,116,460,214,58,289,58,98,205,67,75
2151,1251574272,J. Boyle,Jed Boyle,Boyle,Jed,P,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,21,125,501,213,66,314,67,80,205,59,101
2151,1162228736,T. Mihalinac,Talon Mihalinac,Mihalinac,Talon,P,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,15,112,409,176,27,246,80,69,205,39,70
2151,1291940096,J. Tuttle,Jack Tuttle,Tuttle,Jack,P,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,19,111,412,155,34,237,77,44,205,32,82
2151,1330777345,B. Leonard,Bryce Leonard,Leonard,Bryce,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,17,101,416,186,51,247,68,67,205,43,61
2151,1332186624,K. Dove,Kendall Dove,Dove,Kendall,P,UTSA,UTSA,730373120,UTSA,BBC,S,R,17,120,432,197,52,269,81,64,205,59,72
2151,1372331830,T. Lopez,Tony Lopez,Lopez,Tony,P,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,12,124,483,181,36,268,78,67,205,50,87
2151,1342167923,P. Coppinger,Paul Coppinger,Coppinger,Paul,P,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,13,128,469,229,52,308,93,84,205,81,79
2151,1662506634,C. Sunstrom,Camden Sunstrom,Sunstrom,Camden,P,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,17,122,420,203,37,269,91,75,205,56,66
2162,1194506240,J. Mitchell,Jackson Mitchell,Mitchell,Jackson,P,Binghamton University,BING,730155776,Binghamton,BBC,R,R,20,112,455,178,48,255,66,64,204,50,77
2162,1130107904,A. Cotten,Andrew Cotton,Cotten,Andrew,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,17,117,425,182,33,268,76,73,204,57,86
2162,1326744832,R. Ligtenberg,Reese Ligtenberg,Ligtenberg,Reese,P,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,R,23,114,411,190,23,246,91,76,204,50,56
2162,1144599552,A. Clemons,Alex Clemons,Clemons,Alex,P,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,16,114,457,192,63,265,63,66,204,44,73
2162,1122512640,B. Calloway,Bryce Calloway,Calloway,Bryce,TWP,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,20,114,453,202,47,278,78,77,204,51,76
2162,1310399232,C. Knox,Connor Knox,Knox,Connor,P,George Mason University,GMU,730265088,George Mason,BBC,R,R,8,110,412,180,46,267,74,60,204,51,87
2162,1242490112,C. Seeman,Carson Seeman,Seeman,Carson,P,Indiana State University,INST,730350080,Indiana State,BBC,R,R,19,143,488,252,46,319,110,96,204,77,67
2162,1694550974,L. Carrell,Luke Carrell,Carrell,Luke,P,The Ohio State University,OSU,4144,Ohio State,BBC,R,L,18,129,500,168,43,283,62,63,204,65,115
2162,1342167278,C. McDonald,Caden McDonald,McDonald,Caden,P,University of Florida,FLA,730168320,Florida,BBC,R,R,20,128,514,225,72,319,82,71,204,92,94
2162,1329557043,L. Pintar,Luka Pintar,Pintar,Luka,P,San Diego State University,SDSU,730218496,San Diego State,BBC,L,L,14,122,465,169,26,267,82,61,204,41,98
2172,1165894144,N. Mulvey,Nick Mulvey,Mulvey,Nick,P,Bucknell University,BUCK,730214144,Bucknell,BBC,R,L,15,177,660,253,60,372,115,78,203,106,119
2172,1330766592,A. Decker-Petty,Aydan Decker-Petty,Decker-Petty,Aydan,P,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,14,115,417,172,35,255,76,61,203,48,83
2172,1133667072,J. Tate,Jacob Tate,Tate,Jacob,P,Ohio University,OHIO,730298368,Ohio,BBC,L,L,14,109,448,177,35,231,64,78,203,41,54
2172,1239193344,I. Brewington,Isaiah Brewington,Brewington,Isaiah,P,Longwood University,LONG,730219264,Longwood,BBC,R,R,20,141,533,195,38,284,90,67,203,59,89
2172,1265145344,C. Jazmin,Carlos Jazmin,Jazmin,Carlos,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,20,149,553,194,61,287,85,48,203,31,93
2172,1238222848,J. Gutierrez,Jesse Gutierrez,Gutierrez,Jesse,P,San Jose State University,SJSU,730206720,San Jose State,BBC,L,L,5,108,362,168,38,233,79,51,203,29,65
2172,1169203200,D. Delgadillo,David Delgadillo,Delgadillo,David,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,15,144,528,201,31,291,104,66,203,24,90
2172,1341382656,C. Amborn,Cal Amborn,Amborn,Cal,P,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,22,145,524,222,31,302,104,87,203,66,80
2172,1162302720,J. Whiteman,Jacob Whiteman,Whiteman,Jacob,P,Towson University,TOWS,730318336,Towson,BBC,R,R,17,140,537,233,55,305,93,85,203,81,72
2172,1306736128,N. Dvorsky,Nathan Dvorsky,Dvorsky,Nathan,P,Clemson University,CLEM,730358784,Clemson,BBC,R,R,22,118,467,184,57,274,64,63,203,61,90
2172,1351967895,S. Perez,Sebastian Perez,Perez,Sebastian,P,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,13,127,465,206,47,303,87,72,203,69,97
2172,1342170422,J. Sylvia,Jack Sylvia,Sylvia,Jack,P,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,14,103,410,191,26,250,75,90,203,37,59
2172,1697991916,P. Bender,Pryce Bender,Bender,Pryce,P,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,20,117,451,191,38,275,85,68,203,64,84
2172,1663737005,S. Duke,Sean Duke,Duke,Sean,P,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,17,107,408,181,38,236,77,66,203,46,55
2172,1648980091,K. Clancy,Kody Clancy,Clancy,Kody,P,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,11,142,526,221,53,300,96,72,203,76,79
2172,1842522004,C. Ewaldsen,Collin Ewaldsen,Ewaldsen,Collin,P,Mercer University,MER,730240512,Mercer,BBC,L,R,24,111,451,212,81,277,67,64,203,53,65
2172,1020139938,G. Wernsing,Gavan Wernsing,Wernsing,Gavan,P,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,L,20,182,668,296,76,404,129,91,203,48,108
2172,1224786762,A. Cordero,Anthony Cordero,Cordero,Anthony,P,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,22,114,431,181,43,253,75,63,203,34,72
2172,1342169249,A. Gonzalez,Ayden Gonzalez,Gonzalez,Ayden,P,UMBC,UMBC,730210304,UMBC,BBC,R,R,22,133,462,200,33,289,91,76,203,43,89
2191,1268896512,W. Smith,Will Smith,Smith,Will,P,University of Miami,MIA,236,Miami,BBC,R,R,25,130,524,247,115,324,64,68,202,109,77
2191,1172328704,A. Mulamekic,Arnad Mulamekic,Mulamekic,Arnad,P,Wichita State University,WICH,730203904,Wichita State,BBC,L,L,15,109,433,171,48,239,68,55,202,37,68
2191,1297338880,R. Ure,Ryan Ure,Ure,Ryan,P,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,L,19,104,421,194,50,267,65,79,202,53,73
2191,1153711104,M. Green,Miller Green,Green,Miller,P,Vanderbilt University,VAN,5046,Vanderbilt,BBC,L,L,20,107,418,186,59,268,66,61,202,59,82
2191,1252817152,L. White,Landon White,White,Landon,P,Bryant University,BRY,730266880,Bryant,BBC,R,R,18,104,415,173,65,269,54,54,202,57,96
2191,1215826176,G. Hawkes,Gavin Hawkes,Hawkes,Gavin,P,Rider University,RID,730174976,Rider,BBC,R,R,14,152,484,197,39,294,108,50,202,24,97
2191,1289775104,R. Guzman,Randy Guzman,Guzman,Randy,P,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,14,124,461,193,40,284,79,74,202,48,91
2191,1484121276,D. Valadez,Danny Valadez,Valadez,Danny,P,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,R,R,19,161,588,246,43,359,125,78,202,56,113
2191,1700152819,J. Harper,Jayden Harper,Harper,Jayden,P,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,L,15,127,481,192,43,274,84,65,202,58,82
2191,1853123572,B. Robles,Bruno Robles,Robles,Bruno,P,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,L,R,12,122,449,211,35,264,83,93,202,21,53
2191,1366299885,G. Beuter,Gavin Beuter,Beuter,Gavin,P,Purdue University,PUR,730353152,Purdue,BBC,R,R,17,138,463,215,36,292,106,73,202,66,77
2191,1995173029,M. Eagen,Matthew Eagen,Eagen,Matthew,P,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,16,125,490,200,40,275,81,79,202,46,75
2191,1810000562,A. Fishnick,Aiden Fishnick,Fishnick,Aiden,P,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,17,121,450,181,34,259,90,57,202,42,78
2204,1202705664,B. Dunham,Brett Dunham,Dunham,Brett,P,Northeastern University,NE,343,Northeastern,BBC,R,R,19,115,464,216,49,295,75,92,201,66,79
2204,1237823232,R. Gannon,Reed Gannon,Gannon,Reed,P,University of Illinois,ILL,730163456,Illinois,BBC,R,L,23,123,467,190,33,289,85,72,201,58,99
2204,1147958016,M. Dillow,Mason Dillow,Dillow,Mason,P,UNLV,UNLV,730161664,UNLV,BBC,R,R,18,134,499,200,59,293,81,60,201,54,93
2204,1330193152,S. Toney,Sawyer Toney,Toney,Sawyer,P,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,20,124,460,202,55,268,74,73,201,60,66
2204,1092660736,Z. Harris,Zachary Harris,Harris,Zachary,P,University of Georgia,UGA,226,Georgia,BBC,R,R,21,116,467,216,64,298,74,78,201,84,82
2204,1342170270,C. Ligenfelter,Caleb Ligenfelter,Ligenfelter,Caleb,P,Liberty University,LIB,730156288,Liberty,BBC,R,R,10,120,422,184,32,257,82,70,201,48,73
2204,1596841753,N. Nolan,Nicholas Nolan,Nolan,Nicholas,P,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,L,L,17,108,417,172,36,252,74,62,201,44,80
2204,1197889411,J. Welsch,Jack Welsch,Welsch,Jack,P,Stonehill College,SC,730238464,Stonehill,BBC,L,L,16,123,452,180,35,267,76,69,201,35,87
2204,1424021277,P. Green,PJ Green,Green,PJ,P,University of Missouri,MIZZ,4806,Missouri,BBC,R,R,18,130,500,205,41,280,84,80,201,72,75
2204,1510849496,B. Carter,Brendon Carter,Carter,Brendon,P,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,17,101,386,173,37,235,73,63,201,29,62
2204,1099527276,G. Lyons,Gavin Lyons,Lyons,Gavin,P,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,10,103,368,167,36,246,67,64,201,34,79
2215,1086426112,J. Krakoski,Jason Krakoski,Krakoski,Jason,P,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,10,107,454,188,51,270,63,74,200,46,82
2215,1275165440,J. Feltman,Jett Feltman,Feltman,Jett,P,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,14,138,462,209,29,280,105,75,200,39,71
