Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,IP,BF,P,SLAA,SL+,FrmRAA,FrmCntRAA,StrkFrmd,BallFrmd
32,1237048064,S. Simon,Sam Simon,Simon,Sam,P,UNLV,UNLV,730161664,UNLV,BBC,R,R,13,59.2,268,970,22.32,123.1%,2.78,3.00,22,3
33,1258983680,M. Bayles,Max Bayles,Bayles,Max,P,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,15,66.2,299,1229,22.22,109.9%,2.73,3.52,20,5
34,1656682756,N. Finarelli,Nick Finarelli,Finarelli,Nick,P,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,16,87.0,397,1419,21.99,122.0%,2.67,3.23,20,5
35,1142669377,J. Murray,Jake Murray,Murray,Jake,P,Campbell University,CAMP,730187776,Campbell,BBC,L,L,15,59.2,284,1165,21.67,113.3%,2.73,4.34,14,4
36,1327579136,R. Halamicek,Ryan Halamicek,Halamicek,Ryan,P,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,L,R,17,73.0,328,1238,21.32,109.8%,2.63,2.83,26,8
37,1105525504,O. Sarna,Owen Sarna,Sarna,Owen,P,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,18,63.0,290,1066,20.39,113.1%,2.50,3.18,19,4
38,1537972184,E. Teel,Easton Teel,Teel,Easton,P,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,17,82.1,341,1181,20.23,117.0%,2.41,2.76,19,8
39,1279760896,O. Tappy,Owen Tappy,Tappy,Owen,P,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,14,76.1,337,1127,20.06,113.7%,2.53,2.26,20,5
40,1341316352,R. Kittredge,Ryan Kittredge,Kittredge,Ryan,P,California Baptist University,CBU,5091,California Baptist,BBC,R,R,19,76.0,325,1215,19.96,111.0%,2.46,2.87,21,7
41,1760692530,A. Kribbs,Andrew Kribbs,Kribbs,Andrew,P,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,16,65.0,285,1052,19.83,112.0%,2.40,2.17,18,6
42,1142967552,J. DeCastro,Justin DeCastro,DeCastro,Justin,P,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,15,93.2,405,1266,19.59,117.0%,2.42,2.04,18,5
43,1297342720,R. Prager,Ryan Prager,Prager,Ryan,P,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,L,15,83.1,350,1339,19.44,108.8%,2.46,3.08,16,8
44,1643908365,A. Phillips,Amp Phillips,Phillips,Amp,P,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,R,20,84.0,340,1279,19.37,110.1%,2.45,2.47,17,4
45,1341380352,R. Martinez,Ryan Martinez,Martinez,Ryan,P,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,14,83.1,375,1297,18.35,112.4%,2.27,2.60,24,9
46,1152901632,C. Keel,Christian Keel,Keel,Christian,P,Brown University,BRWN,730236160,Brown,BBC,R,R,14,54.0,266,1005,18.15,112.0%,2.16,2.70,11,4
47,1196851200,Z. Root,Zach Root,Root,Zach,P,University of Arkansas,ARK,3375,Arkansas,BBC,L,L,19,99.1,420,1613,18.15,105.4%,2.30,3.20,24,7
48,1861492309,A. Risse,Aidan Risse,Risse,Aidan,P,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,15,70.1,317,1166,17.86,109.5%,2.24,1.71,15,5
49,1227043072,D. West,Dakoda West,West,Dakoda,P,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,14,64.0,278,1028,17.75,113.1%,2.19,2.48,16,6
50,1237056768,C. Hansen,Cole Hansen,Hansen,Cole,P,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,14,71.1,312,1164,17.70,115.4%,2.16,1.58,14,6
51,1218298624,H. Pidek,Hunter Pidek,Pidek,Hunter,P,Oakland University,OAK,5386,Oakland,BBC,R,R,15,80.2,362,1382,17.48,112.8%,2.17,2.35,29,12
52,1311169792,D. Hickson,Davion Hickson,Hickson,Davion,P,Rice University,RICE,2352,Rice,BBC,R,R,13,73.0,325,1268,17.38,110.2%,2.13,0.85,16,8
53,1156597504,B. Stuprich,Brennan Stuprich,Stuprich,Brennan,P,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,14,90.0,367,1355,17.26,111.5%,2.07,2.23,16,2
54,1138165504,C. Aoki,Caden Aoki,Aoki,Caden,P,University of Southern California,USC,5047,USC,BBC,R,R,17,97.0,405,1472,17.17,106.7%,2.02,3.38,14,11
55,1092652800,J. Johnson,Jeb Johnson,Johnson,Jeb,P,Mercer University,MER,730240512,Mercer,BBC,R,R,21,61.1,270,993,17.14,108.9%,2.14,2.54,15,4
56,1196797696,D. Lally Jr.,David Lally Jr.,Lally Jr.,David,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,15,76.1,328,1224,17.12,109.4%,2.08,2.94,31,11
57,1255708160,J. Morrison,Jacob Morrison,Morrison,Jacob,P,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,19,107.2,425,1618,17.12,106.8%,2.11,3.18,21,7
58,1332929792,J. McCracken,J.D. McCracken,McCracken,J.D.,P,Rice University,RICE,2352,Rice,BBC,L,L,16,71.0,336,1158,17.09,112.7%,2.16,2.19,11,3
59,1580046011,E. Lay,Ethan Lay,Lay,Ethan,P,Sacramento State University,SAC,730293760,Sacramento State,BBC,L,R,14,76.0,320,1121,16.92,110.5%,2.02,2.63,21,7
60,1230322309,D. Wright,Davis Wright,Wright,Davis,P,Western Carolina University,WCU,730278144,Western Carolina,BBC,L,L,15,86.0,383,1500,16.90,107.1%,2.14,1.86,24,13
61,1236990464,D. Reid,Dominick Reid,Reid,Dominick,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,15,88.1,362,1384,16.52,108.3%,2.03,2.78,20,10
62,1160908544,O. Serrano,Omar Serrano,Serrano,Omar,P,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,15,86.2,418,1576,16.34,107.7%,1.94,3.17,27,15
63,1250615738,J. Leary,Jack Leary,Leary,Jack,P,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,22,72.2,343,1221,16.21,110.6%,2.04,2.44,20,5
64,1342166619,A. Castro,Alessandro Castro,Castro,Alessandro,P,University of Nevada,NEV,4784,Nevada,BBC,L,L,15,72.2,324,1216,16.13,111.4%,2.04,2.45,20,10
65,1087388672,T. McGregor,Tristan McGregor,McGregor,Tristan,P,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,13,55.0,273,990,15.75,111.1%,1.87,2.20,14,10
66,1328895488,K. OConnor,Kellen OConnor,OConnor,Kellen,P,University of Cincinnati,CIN,5465,Cincinnati,BBC,L,L,16,69.0,300,1185,15.73,109.1%,2.02,2.02,15,8
67,1661534629,S. Lavin,Sam Lavin,Lavin,Sam,P,George Mason University,GMU,730265088,George Mason,BBC,L,R,16,64.2,289,1116,15.72,111.9%,1.85,2.65,22,7
68,1162333952,M. Pesca,Mario Pesca,Pesca,Mario,P,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,R,22,66.2,291,1104,15.43,108.2%,1.91,2.74,11,5
69,1154111488,C. Peguero,Chris Peguero,Peguero,Chris,P,University of Dayton,DAY,730194688,Dayton,BBC,R,R,15,84.0,390,1382,15.32,110.2%,1.88,1.98,22,5
70,1002892320,M. Hagler,Micah Hagler,Hagler,Micah,P,Seattle University,SEA,4504,Seattle,BBC,R,R,16,59.0,266,913,15.29,114.6%,1.79,1.78,20,6
71,1296842752,G. Naess,Griffin Naess,Naess,Griffin,P,Cal Poly,CP,5487,Cal Poly,BBC,R,R,16,95.0,400,1485,15.26,106.0%,2.01,1.75,18,10
72,1100455936,T. Charlton,Tyler Charlton,Charlton,Tyler,P,Missouri State University,MOSU,5382,Missouri State,BBC,L,L,16,57.1,260,1057,15.10,111.3%,1.91,1.36,14,3
73,1190568448,T. McKee,Tate McKee,McKee,Tate,P,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,16,80.0,362,1418,14.78,106.3%,1.77,2.33,13,7
74,1214276096,T. Levesque,Trystan Levesque,Levesque,Trystan,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,L,16,95.1,401,1485,14.77,107.4%,1.88,1.67,29,18
75,1162130176,T. Hess,Tate Hess,Hess,Tate,P,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,20,58.2,283,1029,14.57,109.6%,1.74,1.61,16,7
76,1162233600,C. Obermueller,Cade Obermueller,Obermueller,Cade,P,University of Iowa,IOWA,1232,Iowa,BBC,L,L,15,83.1,356,1432,14.47,104.9%,1.84,3.50,19,15
77,1312932352,C. New,Cody New,New,Cody,P,California Baptist University,CBU,5091,California Baptist,BBC,L,L,16,80.0,346,1421,14.46,105.7%,1.82,1.14,30,19
