Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,IP,BF,P,SLAA,SL+,FrmRAA,FrmCntRAA,StrkFrmd,BallFrmd
142,1128523264,C. Wylde,Connor Wylde,Wylde,Connor,P,New Mexico State University,NMSU,730302720,New Mexico State,BBC,L,L,16,64.0,292,1050,9.22,105.7%,1.18,0.12,17,6
143,1236290816,A. Haugh,Aidan Haugh,Haugh,Aidan,P,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,17,75.0,333,1354,9.17,104.0%,1.11,1.44,16,10
144,1254309120,O. Geiss,Owen Geiss,Geiss,Owen,P,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,16,68.0,315,1125,9.03,108.3%,1.15,1.53,11,5
145,1279144448,J. Francis,Jake Francis,Francis,Jake,P,Villanova University,VILL,730278400,Villanova,BBC,R,R,18,61.1,293,1010,9.03,106.7%,1.03,0.92,16,11
146,1239087872,T. Bremner,Tyler Bremner,Bremner,Tyler,P,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,14,77.1,310,1257,8.99,105.7%,1.14,1.66,16,5
147,1101382656,J. Miller,Jay Miller,Miller,Jay,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,11,59.2,256,960,8.97,105.1%,1.10,0.77,18,11
148,1248493824,J. Pease,Jaxson Pease,Pease,Jaxson,P,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,14,66.0,301,1121,8.97,140.7%,1.10,0.86,11,2
149,1100716032,C. Marshburn,Connor Marshburn,Marshburn,Connor,P,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,15,74.1,322,1160,8.94,104.0%,1.21,2.15,20,13
150,1212105985,C. Van Assen,Cole Van Assen,Van Assen,Cole,P,Purdue University,PUR,730353152,Purdue,BBC,R,R,15,67.1,297,1037,8.88,106.7%,1.13,1.09,9,5
151,1312690944,R. Eikhoff,Riley Eikhoff,Eikhoff,Riley,P,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,17,90.0,370,1228,8.85,103.8%,1.14,1.56,13,9
152,1296521728,K. Segel,Kaden Segel,Segel,Kaden,P,University of Portland,PORT,730360320,Portland,BBC,R,R,21,62.0,274,1029,8.84,109.8%,1.06,0.81,16,10
153,1179093504,D. Purser,Daxton Purser,Purser,Daxton,P,University of New Mexico,UNM,730153472,New Mexico,BBC,L,L,17,71.1,334,1283,8.75,105.6%,1.12,1.58,9,7
154,1277191168,M. Dalquist,Matthew Dalquist,Dalquist,Matthew,P,UC San Diego,UCSD,730348032,UC San Diego,BBC,S,R,14,81.1,347,1263,8.68,106.2%,1.01,0.74,23,12
155,1198527488,J. Hanson,Jared Hanson,Hanson,Jared,P,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,15,57.2,256,909,8.61,107.3%,1.02,1.53,13,5
156,1084034304,E. Rodriguez,Esteban Rodriguez,Rodriguez,Esteban,P,University of Richmond,RICH,730171904,Richmond,BBC,R,R,14,57.2,265,1044,8.48,106.6%,1.03,0.26,18,12
157,1116320256,A. Sachais,Alec Sachais,Sachais,Alec,P,Villanova University,VILL,730278400,Villanova,BBC,R,R,21,53.2,232,882,8.41,105.8%,1.05,0.26,15,5
158,1303094016,D. Stanley,Drew Stanley,Stanley,Drew,P,Radford University,RAD,730267392,Radford,BBC,R,R,21,62.2,305,1039,8.30,106.8%,0.95,1.33,9,6
159,1203293440,B. Wilson,Bradley Wilson,Wilson,Bradley,P,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,24,68.1,297,1076,8.27,104.7%,1.00,1.05,14,9
160,1093159424,B. Curley,Brian Curley,Curley,Brian,P,University of Georgia,UGA,226,Georgia,BBC,R,R,17,66.0,271,1096,8.19,104.9%,0.98,1.30,12,8
161,1105483008,R. Norman,Ross Norman,Norman,Ross,P,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,16,68.0,330,1231,8.17,104.5%,0.99,0.62,14,6
162,1370357953,M. Yusypchuk,Michael Yusypchuk,Yusypchuk,Michael,P,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,15,71.0,320,1130,8.14,106.8%,1.03,1.65,11,7
163,1310349568,H. Bodendorf,Harrison Bodendorf,Bodendorf,Harrison,P,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,L,17,92.2,377,1520,8.06,103.8%,1.02,1.05,16,5
164,1392733460,J. Sperry,Joe Sperry,Sperry,Joe,P,University of Minnesota,MINN,4864,Minnesota,BBC,R,R,20,56.1,243,881,8.01,107.0%,1.01,1.64,9,3
165,1257398016,R. Bilka,Ryan Bilka,Bilka,Ryan,P,University of Richmond,RICH,730171904,Richmond,BBC,R,R,18,62.0,243,801,7.98,106.7%,1.01,2.10,12,3
166,1006945294,A. Ciscar,AJ Ciscar,Ciscar,AJ,P,University of Miami,MIA,236,Miami,BBC,R,R,21,66.2,290,1009,7.83,104.0%,0.96,1.48,9,7
167,1463788430,N. Stein,Nathan Stein,Stein,Nathan,P,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,L,L,15,60.2,297,1033,7.79,109.6%,1.00,0.51,20,10
168,1210179584,J. Gutierrez,Jacob Gutierrez,Gutierrez,Jacob,P,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,17,63.0,307,1098,7.65,105.4%,0.98,0.71,10,5
169,1187051520,G. Barrett,Gabriel Barrett,Barrett,Gabriel,P,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,19,58.0,269,988,7.51,104.9%,0.94,1.44,14,11
170,1110844672,M. Bucknam,Micah Bucknam,Bucknam,Micah,P,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,13,62.1,272,1020,7.41,104.1%,0.90,0.54,15,5
171,1288367360,A. Elges,Alek Elges,Elges,Alek,P,Longwood University,LONG,730219264,Longwood,BBC,R,R,22,58.1,310,1048,7.34,104.5%,0.85,1.86,16,9
172,1239369472,K. Reed,Kevin Reed,Reed,Kevin,P,University of Evansville,EVAN,730327808,Evansville,BBC,L,L,14,72.0,338,1221,7.33,105.4%,0.93,0.94,8,4
173,1326983680,K. Echeman,Kaden Echeman,Echeman,Kaden,P,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,12,56.0,244,1034,7.32,109.8%,0.87,2.14,9,5
174,1097108340,C. Bagwell,Cam Bagwell,Bagwell,Cam,P,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,15,85.0,348,1264,7.31,103.6%,0.87,1.90,17,12
175,1139726080,C. Book,Colton Book,Book,Colton,P,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,L,14,86.2,349,1312,7.29,106.6%,0.92,1.58,17,12
176,1310380288,B. Poynter,Bradley Poynter,Poynter,Bradley,P,Morehead State University,MORE,730158080,Morehead State,BBC,R,R,14,56.2,287,915,7.27,108.4%,0.87,0.57,2,1
177,1282555136,P. Gardner,Patrick Gardner,Gardner,Patrick,P,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,L,L,15,73.0,337,1250,7.25,103.6%,0.91,-0.16,15,11
178,1094321664,J. Edwards,Jagger Edwards,Edwards,Jagger,P,Columbia University,CLMB,730319104,Columbia,BBC,L,L,14,59.2,271,986,7.19,104.1%,0.92,0.66,14,11
179,1328495337,L. Trout,Luke Trout,Trout,Luke,P,Brown University,BRWN,730236160,Brown,BBC,R,R,11,46.2,221,874,7.17,105.0%,0.86,0.37,10,3
180,1340662528,P. Brown,Peyton Brown,Brown,Peyton,P,Campbell University,CAMP,730187776,Campbell,BBC,R,R,17,58.1,257,939,7.08,105.7%,0.93,1.44,10,6
181,1005138026,K. Davis,Kanious Davis,Davis,Kanious,P,Alcorn State University,ALCN,5376,Alcorn State,BBC,R,R,15,51.2,300,815,7.03,128.2%,0.86,1.51,6,1
182,1220541184,H. Cain,Harry Cain,Cain,Harry,P,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,19,61.2,277,1075,6.96,104.9%,0.80,-0.13,12,5
183,1108493568,T. Nemjo,Tristan Nemjo,Nemjo,Tristan,P,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,15,72.2,347,1218,6.85,104.9%,0.87,0.70,17,11
184,1113138432,J. Steeber,Joe Steeber,Steeber,Joe,P,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,15,72.0,341,1092,6.84,105.7%,0.82,0.69,17,6
185,1162538496,C. Lockwood,Connor Lockwood,Lockwood,Connor,P,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,14,95.2,431,1434,6.82,103.2%,0.82,-0.04,19,9
186,1205406720,H. Watkins,Hunter Watkins,Watkins,Hunter,P,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,R,19,64.2,301,1130,6.76,104.8%,0.86,1.66,13,5
187,1279379456,I. Magdaleno,Isaiah Magdaleno,Magdaleno,Isaiah,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,24,60.0,242,842,6.72,113.1%,0.81,0.37,6,4
188,1114614016,C. Moore,Chance Moore,Moore,Chance,P,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,16,72.1,334,1158,6.70,115.1%,0.83,0.98,10,3
189,1580729364,T. Valincius,Tomas Valincius,Valincius,Tomas,P,University of Virginia,UVA,5415,Virginia,BBC,L,L,13,64.2,275,1020,6.68,104.2%,0.84,1.25,21,7
190,1229631744,R. Rembisz,Ryan Rembisz,Rembisz,Ryan,P,University of Portland,PORT,730360320,Portland,BBC,L,L,15,73.0,318,1115,6.68,108.6%,0.85,0.64,9,5
191,1187053824,C. Gaston,Carter Gaston,Gaston,Carter,P,University of Portland,PORT,730360320,Portland,BBC,R,R,14,66.2,312,1137,6.65,108.0%,0.79,0.70,8,3
192,1085395712,E. Smink,Eddie Smink,Smink,Eddie,P,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,14,59.1,296,1044,6.61,110.3%,0.81,1.06,2,3
193,1255332608,G. Ahern,Garrett Ahern,Ahern,Garrett,P,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,15,76.1,360,1340,6.60,107.1%,0.81,1.51,10,5
194,1192664576,R. DeSanto,Ryan DeSanto,DeSanto,Ryan,P,Penn State University,PSU,5326,Penn State,BBC,L,L,15,72.2,313,1229,6.57,103.4%,0.83,1.08,11,4
195,1176554496,B. Morgan,Blake Morgan,Morgan,Blake,P,Old Dominion University,ODU,3090,Old Dominion,BBC,L,L,15,85.2,386,1342,6.52,103.2%,0.83,0.97,17,8
196,1408559031,L. Kinneen,Liam Kinneen,Kinneen,Liam,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,11,49.2,238,939,6.44,104.2%,0.74,0.22,30,14
197,1326021632,Z. Garcia,Zach Garcia,Garcia,Zach,P,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,L,L,14,90.0,391,1365,6.35,111.0%,0.80,0.95,6,2
198,1250079232,J. Schaaf,Jason Schaaf,Schaaf,Jason,P,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,19,69.0,314,1089,6.29,104.4%,0.77,0.17,12,5
199,1827768225,L. Grant,Landyn Grant,Grant,Landyn,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,L,13,65.2,317,938,6.21,133.1%,0.78,0.39,4,0
200,1192787200,J. Caravalho,Joshua Caravalho,Caravalho,Joshua,P,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,18,86.0,399,1412,6.13,109.0%,0.74,0.62,8,5
201,1334909196,N. Balcom,Nick Balcom,Balcom,Nick,P,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,17,60.0,305,1094,6.05,117.3%,0.73,0.54,6,2
202,1162504960,D. Case,David Case,Case,David,P,University of Memphis,MEM,730172160,Memphis,BBC,L,L,14,59.2,295,1135,5.99,103.4%,0.78,0.26,15,11
203,1201255936,T. Conklin,Tyler Conklin,Conklin,Tyler,P,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,11,64.0,268,991,5.98,108.9%,0.73,0.74,7,3
204,1351173671,M. Belcher,Michael Belcher,Belcher,Michael,P,Bryant University,BRY,730266880,Bryant,BBC,R,R,14,65.2,282,1045,5.95,105.0%,0.72,1.27,8,10
205,1080063269,C. OBrien,Cole OBrien,OBrien,Cole,P,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,17,63.0,287,1013,5.94,104.8%,0.75,0.23,13,6
206,1401671129,J. Tovar,Jesus Tovar,Tovar,Jesus,P,Texas State University,TXST,5420,Texas State,BBC,L,L,15,66.2,312,1180,5.91,102.5%,0.76,0.43,27,24
207,1216810752,J. Harris,Jaden Harris,Harris,Jaden,P,Brigham Young University,BYU,730257152,BYU,BBC,R,R,17,61.0,301,1128,5.87,103.5%,0.59,0.18,8,10
208,1747080880,G. Smith,Griffin Smith,Smith,Griffin,P,Washington State University,WSU,4505,Washington State,BBC,R,R,16,81.2,363,1338,5.82,106.8%,0.73,0.79,8,10
209,1323961600,A. Mucciarone,Alfred Mucciarone,Mucciarone,Alfred,P,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,R,14,73.0,348,1229,5.80,109.2%,0.77,1.01,10,5
210,1128102459,D. Whitney,Dax Whitney,Whitney,Dax,P,Oregon State University,ORST,3111,Oregon State,BBC,R,R,17,76.2,330,1403,5.79,102.8%,0.83,1.45,17,8
211,1081801472,J. Trombley,Joseph Trombley,Trombley,Joseph,P,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,15,84.2,388,1356,5.79,114.8%,0.68,0.97,10,3
212,1110073856,S. Garner,Seth Garner,Garner,Seth,P,University of Memphis,MEM,730172160,Memphis,BBC,R,R,14,75.2,329,1214,5.77,103.0%,0.65,1.44,20,16
213,1093040640,T. O'Neill,Tyler O'Neill,O'Neill,Tyler,P,Bucknell University,BUCK,730214144,Bucknell,BBC,R,R,12,83.0,333,1227,5.76,103.4%,0.66,1.02,19,11
214,1202718208,E. Dempsey,Evan Dempsey,Dempsey,Evan,TWP,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,L,R,15,68.2,288,1125,5.75,103.8%,0.67,0.73,8,7
215,1134423040,T. Helmick,Tristan Helmick,Helmick,Tristan,P,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,12,50.1,240,849,5.71,104.6%,0.64,0.83,12,7
216,1212300033,N. George,Nolan George,George,Nolan,P,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,21,71.0,306,1049,5.71,110.7%,0.69,-0.09,6,3
217,1311044608,M. Riggins,Miller Riggins,Riggins,Miller,P,Samford University,SAM,730386432,Samford,BBC,L,L,15,79.1,354,1326,5.66,102.7%,0.74,0.66,9,6
218,1614212435,J. Wizceb,Joey Wizceb,Wizceb,Joey,P,Western Michigan University,WMU,730165248,Western Michigan,BBC,L,L,14,68.2,316,1072,5.59,108.5%,0.72,0.59,11,4
219,1597386236,L. Cooley,Luke Cooley,Cooley,Luke,P,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,L,16,63.2,291,1136,5.58,103.7%,0.72,1.10,13,10
220,1317943808,R. Ramos,Rigo Ramos,Ramos,Rigo,P,Lipscomb University,LIP,730307072,Lipscomb,BBC,L,L,15,62.2,288,1108,5.58,103.8%,0.70,0.83,15,9
221,1281584640,D. Gonzalez,Daniel Gonzalez,Gonzalez,Daniel,P,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,13,56.0,241,946,5.52,103.3%,0.62,0.46,9,11
222,1342168472,T. Williams,Tyrell Williams,Williams,Tyrell,P,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,16,55.2,249,948,5.48,103.5%,0.68,0.44,12,7
223,1307056128,J. Wywoda,Jaden Wywoda,Wywoda,Jaden,P,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,16,84.1,372,1367,5.47,103.4%,0.63,1.23,11,8
224,1254299136,J. Flora,Jackson Flora,Flora,Jackson,P,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,13,75.0,309,1204,5.46,103.5%,0.62,0.16,15,10
225,1918576916,H. Bailey,Hayden Bailey,Bailey,Hayden,P,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,14,55.2,266,988,5.45,103.8%,0.60,0.11,8,8
226,1153707520,M. McEwen,Max McEwen,McEwen,Max,P,Indiana State University,INST,730350080,Indiana State,BBC,R,R,13,58.1,268,985,5.44,104.0%,0.67,1.28,11,7
227,1273112064,D. Beckner,Drew Beckner,Beckner,Drew,P,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,L,L,15,79.1,372,1471,5.42,104.8%,0.69,0.72,9,4
228,1121725952,J. Sheets,Joe Sheets,Sheets,Joe,P,Columbia University,CLMB,730319104,Columbia,BBC,R,R,14,64.2,315,1169,5.41,102.5%,0.67,0.56,15,14
229,1334000896,C. Allen,Cam Allen,Allen,Cam,P,Wright State University,WRST,5390,Wright State,BBC,R,R,16,67.1,303,1245,5.40,102.9%,0.74,1.08,6,6
230,1239205376,M. Van Alstine,Marcus Van Alstine,Van Alstine,Marcus,P,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,22,56.0,270,997,5.33,103.6%,0.62,-0.23,13,12
231,1263499264,B. Green,Bryan Green,Green,Bryan,P,UC Davis,UCD,730153984,UC Davis,BBC,L,L,15,81.1,341,1311,5.31,102.5%,0.67,0.23,25,20
232,1099900160,A. Cabral,Aiven Cabral,Cabral,Aiven,P,Northeastern University,NE,343,Northeastern,BBC,R,R,16,89.1,360,1252,5.25,106.0%,0.68,0.84,5,1
233,1155468544,R. Beuter,Reece Beuter,Beuter,Reece,P,University of Iowa,IOWA,1232,Iowa,BBC,R,R,13,63.0,259,983,5.24,102.7%,0.60,0.38,8,6
234,1558238257,S. Bailey,Smith Bailey,Bailey,Smith,P,University of Arizona,ARIZ,232,Arizona,BBC,R,R,18,89.0,383,1444,5.21,102.0%,0.75,0.44,7,7
235,1153452544,J. Logar,Jackson Logar,Logar,Jackson,P,James Madison University,JMU,730340096,James Madison,BBC,R,R,15,74.0,336,1334,5.21,102.1%,0.63,-0.08,17,13
236,1911168487,W. Paxton,Will Paxton,Paxton,Will,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,16,53.2,281,883,5.21,125.0%,0.65,0.79,2,0
237,1822252575,R. Parker,Ryan Parker,Parker,Ryan,P,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,15,60.2,287,1027,5.20,114.1%,0.65,0.94,6,3
238,1200193536,W. Walsh,Will Walsh,Walsh,Will,P,University of Nebraska,NEB,4865,Nebraska,BBC,R,L,17,71.2,314,1108,5.20,102.7%,0.66,0.94,15,20
239,1195586304,E. Chaffee,Evan Chaffee,Chaffee,Evan,P,St. John's University (NY),SJU,4285,St. John's,BBC,L,L,14,61.1,309,1212,5.08,102.5%,0.65,0.09,18,16
240,1257329152,N. Chapman,Noah Chapman,Chapman,Noah,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,L,L,21,68.1,292,1116,5.01,102.4%,0.64,1.61,21,20
241,1099400192,H. Tarsia,Hayden Tarsia,Tarsia,Hayden,P,Binghamton University,BING,730155776,Binghamton,BBC,R,R,18,69.2,305,1137,5.00,104.2%,0.66,0.71,11,11
242,1162505216,I. May,Ian May,May,Ian,P,UCLA,UCLA,5048,UCLA,BBC,R,L,27,70.2,304,1201,5.00,102.3%,0.65,0.47,19,10
243,1052929589,G. Workman,Garrett Workman,Workman,Garrett,P,Florida A&M University,FAMU,5416,Florida A&M,BBC,L,L,15,86.0,367,924,4.99,116.1%,0.63,0.89,2,0
244,1143044608,J. Burcham,Jake Burcham,Burcham,Jake,P,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,15,66.1,321,1111,4.99,105.9%,0.59,1.01,7,5
245,1117508864,A. Ortiz,Angel Ortiz,Ortiz,Angel,P,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,14,69.2,334,1128,4.98,107.2%,0.57,0.49,6,3
246,1311043840,P. Consigli,Peyton Consigli,Consigli,Peyton,P,Canisius College,CAN,730218752,Canisius,BBC,L,R,13,61.2,290,1014,4.91,111.7%,0.61,0.89,4,0
247,1094204160,A. Jean,Antoine Jean,Jean,Antoine,P,University of Houston,HOU,3030,Houston,BBC,R,L,21,67.0,266,1109,4.84,102.3%,0.62,2.36,15,10
248,1310641921,G. Jones,Gavin Jones,Jones,Gavin,P,Kent State University,KENT,730315008,Kent State,BBC,R,R,15,72.0,331,1160,4.83,110.5%,0.57,1.26,5,2
249,1310530560,J. Core,Joel Core,Core,Joel,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,15,74.1,333,1225,4.83,121.8%,0.59,0.61,2,1
250,1336664320,J. Gilleran,James Gilleran,Gilleran,Jimmy,P,Stonehill College,SC,730238464,Stonehill,BBC,R,R,14,75.1,352,1201,4.80,133.8%,0.59,0.18,3,1
251,1204808114,R. Lynch,Ryan Lynch,Lynch,Ryan,P,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,27,61.1,265,1031,4.76,102.4%,0.57,0.56,5,10
252,1145349376,C. Poliey,Clayton Poliey,Poliey,Clayton,P,Rider University,RID,730174976,Rider,BBC,R,R,14,57.2,278,872,4.75,120.4%,0.59,0.55,5,1
253,1310848000,N. Remy,Nick Remy,Remy,Nick,P,UMBC,UMBC,730210304,UMBC,BBC,R,R,21,48.0,200,669,4.74,106.8%,0.57,0.63,7,3
254,1195612672,B. Pruett,Brad Pruett,Pruett,Brad,P,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,28,66.0,285,1130,4.73,103.3%,0.57,0.47,12,1
255,1279246592,J. LaBoy,Jorhan LaBoy,LaBoy,Jorhan,P,Alabama State University,ALST,4765,Alabama State,BBC,L,L,17,92.1,404,1432,4.70,103.7%,0.60,0.47,14,12
256,1098310656,J. Bean,Jacob Bean,Bean,Jacob,P,Kent State University,KENT,730315008,Kent State,BBC,R,R,15,75.0,328,1179,4.67,105.0%,0.59,1.12,7,4
257,1225719296,C. Proskey,Calvin Proskey,Proskey,Calvin,P,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,14,66.2,287,1160,4.63,103.2%,0.51,0.33,10,7
258,1112928512,S. Gonzalez,Sebastian Gonzalez,Gonzalez,Sebastian,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,L,18,57.0,249,895,4.60,111.4%,0.58,0.27,4,1
259,1058739885,L. Pearson,Lane Pearson,Pearson,Lane,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,80.2,360,1234,4.58,124.9%,0.58,0.89,3,3
260,1303446784,C. Clarke,Collin Clarke,Clarke,Collin,P,University of Oregon,ORE,4807,Oregon,BBC,R,R,13,68.2,293,1060,4.46,102.5%,0.58,0.79,14,8
261,1320920832,J. Volini,Joey Volini,Volini,Joey,P,Florida State University,FSU,101,Florida State,BBC,L,L,16,87.1,357,1340,4.40,101.8%,0.56,0.94,7,10
262,1279708672,A. Boster,Aaron Boster,Boster,Aaron,P,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,L,15,65.0,303,1158,4.32,106.8%,0.55,1.07,13,3
263,1694755002,S. Sarre,Serigne Sarre,Sarre,Serigne,P,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,L,14,72.0,319,1153,4.27,104.0%,0.53,0.79,12,6
264,1178715648,S. Heyman,Sam Heyman,Heyman,Sam,P,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,14,63.2,295,1023,4.05,103.1%,0.52,-0.38,12,10
265,1237012736,C. Cheatham,Cole Cheatham,Cheatham,Cole,P,UAB,UAB,730345984,UAB,BBC,L,L,16,66.2,306,1175,3.97,102.0%,0.51,0.59,12,9
266,1294976512,J. Thompson,JD Thompson,Thompson,JD,P,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,L,16,90.0,380,1512,3.97,101.6%,0.49,0.80,10,14
267,1492829743,C. Golden,Cooper Golden,Golden,Cooper,P,McNeese State University,MCNS,730285056,McNeese State,BBC,L,L,15,65.0,288,1021,3.85,103.4%,0.52,-0.44,9,5
268,1656400118,C. Crossland,Cade Crossland,Crossland,Cade,P,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,L,16,68.1,316,1293,3.84,102.0%,0.48,0.34,14,9
269,1099789056,H. Holcombe,Huxley Holcombe,Holcombe,Huxley,P,Cornell University,COR,730298624,Cornell,BBC,L,L,11,58.2,274,988,3.79,102.4%,0.49,0.73,14,13
270,1742320429,M. Vaisvila,Max Vaisvila,Vaisvila,Max,P,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,L,L,16,58.0,304,1103,3.70,102.9%,0.47,0.87,13,8
271,1166285312,M. Coyne,Marty Coyne,Coyne,Marty,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,L,16,44.0,192,779,3.67,102.4%,0.48,0.77,5,7
272,1123952128,G. Morris,Gavin Morris,Morris,Gavin,P,Indiana State University,INST,730350080,Indiana State,BBC,R,R,23,58.2,244,831,3.62,103.3%,0.41,0.97,8,3
273,1318951936,B. Cleaver,Ben Cleaver,Cleaver,Ben,P,University of Kentucky,UK,5362,Kentucky,BBC,L,L,15,83.0,337,1361,3.60,101.4%,0.45,0.76,17,9
274,1238201856,M. Witherspoon,Malachi Witherspoon,Witherspoon,Malachi,P,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,15,74.1,353,1331,3.55,101.6%,0.46,-0.61,21,15
275,1084443136,C. Katskee,Cooper Katskee,Katskee,Cooper,P,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,16,84.2,343,1294,3.53,102.0%,0.41,1.71,16,10
276,1950260205,M. Diforte,Michael Diforte,Diforte,Michael,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,16,58.0,289,876,3.51,109.9%,0.43,0.22,6,2
277,1320362240,J. Kim,Justin Kim,Kim,Justin,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,19,49.2,228,865,3.47,102.2%,0.41,0.91,10,6
278,1310308608,A. Berg,Andrew Berg,Berg,Andrew,P,Army West Point,ARMY,4744,Army,BBC,R,R,15,76.0,338,1223,3.39,102.3%,0.35,1.54,15,7
279,1310416128,L. Finley,Leighton Finley,Finley,Leighton,P,University of Georgia,UGA,226,Georgia,BBC,R,R,16,68.2,302,1189,3.33,101.9%,0.40,0.57,10,10
280,1297538560,S. Lopez,Sergio Lopez,Lopez,Sergio,P,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,15,53.0,223,797,3.32,105.0%,0.42,0.05,8,0
281,1085418496,K. Remington,Kyle Remington,Remington,Kyle,P,University of Minnesota,MINN,4864,Minnesota,BBC,L,R,15,64.1,297,1024,3.31,103.1%,0.38,0.26,14,7
282,1241946112,J. Urena,Jeremy Urena,Urena,Jeremy,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,15,80.2,361,1183,3.28,102.2%,0.52,1.33,18,14
283,1568741560,S. Cole,Sam Cole,Cole,Sam,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,61.1,292,983,3.25,123.6%,0.40,0.47,2,0
284,1135887872,J. Martinez,Joshua Martinez,Martinez,Joshua,P,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,L,24,58.0,288,1069,3.24,103.8%,0.41,-0.16,7,7
285,1097715200,E. Gialloreto,Eric Gialloreto,Gialloreto,Eric,P,Iona College,IONA,730242048,Iona,BBC,R,R,14,84.1,383,1168,3.13,117.5%,0.37,0.58,1,0
