Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,G,GS,W,L,QS,SV,IP,H,ER,R,ER/G,R/G,BB,K,HR,ERA,FIP,WHIP,K/9,BB/9,K/BB,HR/9,IP/G
1882,1204883968,D. McCarley,Derek McCarley,McCarley,Derek,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,L,L,747,21,2,3,1,0,1,43.2,33,16,22,0.76,1.05,19,41,6,3.30,4.87,1.19,8.45,3.92,2.16,1.24,2.0
1882,1279323648,A. Harajli,Ahmad Harajli,Harajli,Ahmad,P,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,447,11,2,0,2,0,0,18.1,22,18,20,1.64,1.82,22,26,2,8.84,5.85,2.40,12.76,10.80,1.18,0.98,1.2
1882,1094690048,B. Crooms,Brian Crooms,Crooms,Brian,P,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,780,17,2,3,1,1,0,41.1,45,19,30,1.12,1.76,22,47,4,4.14,4.85,1.62,10.23,4.79,2.14,0.87,2.1
1882,1205651712,J. Stogner,John Allen Stogner,Stogner,John Allen,P,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,466,14,2,0,2,0,1,25.2,23,15,16,1.07,1.14,15,18,4,5.26,5.55,1.48,6.31,5.26,1.20,1.40,2.0
1882,1238251008,B. Van Cleve,Blake Van Cleve,Van Cleve,Blake,P,Little Rock,UALR,730217472,Little Rock,BBC,R,R,1028,25,2,2,3,0,3,57.1,58,36,44,1.44,1.76,30,49,5,5.65,4.49,1.53,7.69,4.71,1.63,0.78,2.1
1882,1143128320,J. McDevitt,Josh McDevitt,McDevitt,Josh,P,University of Missouri,MIZZ,4806,Missouri,BBC,R,R,224,7,2,0,2,0,1,11.1,15,12,12,1.71,1.71,4,14,3,9.53,5.74,1.68,11.12,3.18,3.50,2.38,1.2
1882,1308183809,D. Wissler,Daniel Wissler,Wissler,Daniel,P,University of Missouri,MIZZ,4806,Missouri,BBC,L,L,61,2,2,0,0,0,0,3.2,3,2,2,1.00,1.00,0,3,0,4.91,3.18,0.82,7.36,0.00,-,0.00,2.0
1882,1324797184,M. Walsh,Michael Walsh,Walsh,Michael,P,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,718,15,2,2,3,0,0,41.2,47,25,26,1.67,1.73,19,33,3,5.40,4.47,1.58,7.13,4.10,1.74,0.65,2.2
1882,1302939136,B. Lucas,Brock Lucas,Lucas,Brock,P,University of Missouri,MIZZ,4806,Missouri,BBC,R,R,973,22,2,1,4,0,1,50.1,69,50,55,2.27,2.50,31,55,15,8.94,6.95,1.99,9.83,5.54,1.77,2.68,2.1
1882,1285785344,D. Hawkes,Dylan Hawkes,Hawkes,Dylan,P,Utah Tech University,UTU,730318592,Utah Tech,BBC,L,L,167,6,2,0,1,0,0,2.1,8,20,20,3.33,3.33,17,3,0,77.14,26.32,10.71,11.57,65.57,0.18,0.00,0.1
1882,1194953472,E. Wilde,Evan Wilde,Wilde,Evan,P,Niagara University,NIAG,730156544,Niagara,BBC,L,L,177,6,2,0,2,0,0,9.0,13,10,12,1.67,2.00,11,13,1,10.00,7.73,2.67,13.00,11.00,1.18,1.00,1.2
1882,1310691072,J. Dickinson,Jack Dickinson,Dickinson,Jack,P,Niagara University,NIAG,730156544,Niagara,BBC,R,L,366,13,2,0,0,0,0,16.1,22,19,24,1.46,1.85,22,21,5,10.47,9.18,2.69,11.57,12.12,0.95,2.76,1.1
1882,1100625664,O. Johnson,Olin Johnson,Johnson,Olin,P,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,486,17,2,2,1,0,0,30.1,25,12,12,0.71,0.71,14,20,4,3.56,4.96,1.29,5.93,4.15,1.43,1.19,1.2
1882,1320362240,J. Kim,Justin Kim,Kim,Justin,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,865,19,2,2,5,0,3,49.2,53,29,33,1.53,1.74,22,42,6,5.26,4.81,1.51,7.61,3.99,1.91,1.09,2.2
1882,1310415872,J. Ariola,Joe Ariola,Ariola,Joe,P,Wake Forest University,WAKE,730373376,Wake Forest,BBC,L,L,532,21,2,0,0,0,0,24.2,15,14,18,0.67,0.86,28,40,1,5.11,4.23,1.74,14.59,10.22,1.43,0.36,1.1
1882,1105370112,R. Jeske,Ryder Jeske,Jeske,Ryder,P,Towson University,TOWS,730318336,Towson,BBC,R,R,464,18,2,1,1,0,0,29.1,32,25,28,1.39,1.56,19,25,4,7.67,5.50,1.74,7.67,5.83,1.32,1.23,1.2
1882,1239129600,D. Thompson,Danny Thompson,Thompson,Danny,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,1134,23,2,2,4,0,3,61.2,54,26,32,1.13,1.39,24,87,4,3.79,2.66,1.26,12.70,3.50,3.63,0.58,2.2
1882,1163711744,J. Wimpelberg,Jordan Wimpelberg,Wimpelberg,Jordan,P,University of North Florida,UNF,730296832,North Florida,BBC,R,R,686,19,2,1,1,0,0,34.1,48,25,32,1.32,1.68,23,32,3,6.55,4.98,2.07,8.39,6.03,1.39,0.79,1.2
1882,1077014784,J. Carvajal,Jake Carvajal,Carvajal,Jake,P,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,519,14,2,0,2,0,0,24.0,55,33,36,2.36,2.57,19,17,6,12.38,8.14,3.08,6.38,7.13,0.89,2.25,1.2
1882,1269596928,G. Shearer,Garrett Shearer,Shearer,Garrett,P,Northwestern University,NW,730247680,Northwestern,BBC,R,R,186,2,2,2,0,2,0,13.0,7,3,3,1.50,1.50,2,9,0,2.08,2.95,0.69,6.23,1.38,4.50,0.00,6.2
1882,1204029952,C. Daniels,Carter Daniels,Daniels,Carter,P,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,558,21,2,0,3,0,0,22.2,37,42,44,2.00,2.10,29,24,5,16.68,7.90,2.91,9.53,11.51,0.83,1.99,1.0
1882,1207246336,H. Shaw,Hunter Shaw,Shaw,Hunter,P,The Ohio State University,OSU,4144,Ohio State,BBC,R,L,753,19,2,3,5,0,1,44.1,42,30,33,1.58,1.74,13,35,5,6.09,4.35,1.24,7.11,2.64,2.69,1.02,2.1
1882,1254770432,K. Ruthardt,Keaton Ruthardt,Ruthardt,Keaton,P,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,408,11,2,0,1,0,0,23.1,30,14,16,1.27,1.45,7,24,3,5.40,3.95,1.59,9.26,2.70,3.43,1.16,2.0
1882,1304692992,M. Knight,Max Knight,Knight,Max,TWP,Missouri State University,MOSU,5382,Missouri State,BBC,L,L,881,24,2,5,2,0,3,47.2,37,23,25,0.96,1.04,37,58,1,4.34,3.79,1.55,10.95,6.99,1.57,0.19,2.0
1882,1202402304,K. Thomas,Kaleb Thomas,Thomas,Kaleb,P,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,384,17,2,1,2,0,0,18.1,26,24,25,1.41,1.47,14,25,6,11.78,8.14,2.18,12.27,6.87,1.79,2.95,1.0
1882,1166285312,M. Coyne,Marty Coyne,Coyne,Marty,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,L,779,16,2,4,2,0,0,44.0,45,19,21,1.19,1.31,17,49,3,3.89,3.06,1.41,10.02,3.48,2.88,0.61,2.2
1882,1092980224,P. Riske,Payton Riske,Riske,Payton,P,University of Utah,UTAH,730328320,Utah,BBC,R,R,160,2,2,1,0,0,0,10.0,8,5,5,2.50,2.50,4,6,2,4.50,5.78,1.20,5.40,3.60,1.50,1.80,5.0
1882,1263840256,Y. Saint,Yechiel Saint,Saint,Yechiel,P,Presbyterian College,PRE,730184192,Presbyterian,BBC,S,R,359,16,2,1,2,0,0,19.2,25,25,26,1.56,1.63,17,10,6,11.44,9.03,2.14,4.58,7.78,0.59,2.75,1.1
1882,1232103424,N. Bruno,Nick Bruno,Bruno,Nick,P,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,L,379,10,2,0,2,0,0,15.2,24,23,24,2.30,2.40,21,20,1,13.21,6.24,2.87,11.49,12.06,0.95,0.57,1.2
1882,1085415168,E. Maloney,Evan Maloney,Maloney,Evan,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,72,2,2,0,0,0,0,2.2,7,8,10,4.00,5.00,4,0,1,27.00,12.55,4.13,0.00,13.50,0.00,3.38,1.1
1882,1257459712,H. Holzemer,Hunter Holzemer,Holzemer,Hunter,P,University of San Francisco,SF,730365696,San Francisco,BBC,L,L,542,21,2,5,2,0,1,33.0,38,15,20,0.71,0.95,13,17,1,4.09,4.81,1.55,4.64,3.55,1.31,0.27,1.2
1882,1100791040,T. LaMaison,Tristan LaMaison,LaMaison,Tristan,P,University of San Diego,USD,5320,San Diego,BBC,R,R,472,20,2,1,1,0,0,26.2,31,17,24,0.85,1.20,12,27,4,5.74,4.68,1.61,9.11,4.05,2.25,1.35,1.1
1882,1211075328,R. Kysar,Ryan Kysar,Kysar,Ryan,P,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,371,10,2,1,1,0,0,18.1,31,22,26,2.20,2.60,7,18,6,10.80,6.78,2.07,8.84,3.44,2.57,2.95,2.0
1882,1307648256,J. Cebert,Jack Cebert,Cebert,Jack,P,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,1037,19,2,7,3,0,0,60.0,61,23,29,1.21,1.53,20,54,6,3.45,3.93,1.35,8.10,3.00,2.70,0.90,3.0
1882,1298073344,M. Brown,Matt Brown,Brown,Matt,P,University of South Florida,USF,2292,South Florida,BBC,R,R,259,10,2,1,0,0,0,16.0,16,14,16,1.40,1.60,10,8,4,7.88,8.05,1.63,4.50,5.63,0.80,2.25,1.2
1882,1246348544,B. Yetter,Brian Yetter,Yetter,Brian,P,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,120,2,2,0,2,0,0,5.0,7,5,7,2.50,3.50,3,5,0,9.00,2.98,2.00,9.00,5.40,1.67,0.00,2.2
1882,1215192320,C. Benbrook,Carter Benbrook,Benbrook,Carter,P,Tulane University,TULN,730354176,Tulane,BBC,L,L,585,20,2,3,1,0,1,38.0,32,15,16,0.75,0.80,8,35,1,3.55,2.55,1.05,8.29,1.89,4.38,0.24,2.0
1882,1201923840,K. Athmer,Kyle Athmer,Athmer,Kyle,P,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,666,17,2,3,1,0,1,40.0,44,27,30,1.59,1.76,25,30,4,6.08,5.30,1.73,6.75,5.63,1.20,0.90,2.1
1882,1336570368,T. Pitzer,Tyler Pitzer,Pitzer,Tyler,P,University of South Carolina,SCAR,730348544,South Carolina,BBC,L,R,559,19,2,4,0,0,1,28.1,31,22,25,1.16,1.32,28,32,1,6.99,4.98,2.08,10.16,8.89,1.14,0.32,1.1
1882,1210137344,F. Wright,Frankie Wright,Wright,Frankie,P,Old Dominion University,ODU,3090,Old Dominion,BBC,R,R,372,17,2,1,2,0,1,18.1,33,20,25,1.18,1.47,11,9,4,9.82,7.32,2.40,4.42,5.40,0.82,1.96,1.0
1882,1220256000,N. Holbrook,Nicholas Holbrook,Holbrook,Nicholas,P,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,487,14,2,2,1,0,0,24.1,39,23,28,1.64,2.00,19,19,2,8.51,5.40,2.38,7.03,7.03,1.00,0.74,1.2
1882,1151873280,W. Morales,Wlfredo Morales,Morales,Wilfredo,P,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,L,L,408,15,2,0,5,0,1,29.2,43,34,38,2.27,2.53,21,26,7,10.31,7.12,2.16,7.89,6.37,1.24,2.12,2.0
1882,1173521152,J. Seiber,Joe Seiber,Seiber,Joe,P,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,349,13,2,0,0,0,0,16.2,34,24,26,1.85,2.00,11,7,3,12.96,7.02,2.70,3.78,5.94,0.64,1.62,1.1
1882,1079546369,S. Linde,Simon Linde,Linde,Simon,P,Butler University,BUT,730283520,Butler,BBC,R,R,391,17,2,0,2,0,1,18.0,29,16,22,0.94,1.29,17,12,2,8.00,6.46,2.56,6.00,8.50,0.71,1.00,1.0
1882,1153245952,T. Alleman,Tyler Alleman,Alleman,Tyler,P,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,386,12,2,0,1,0,0,19.0,31,25,28,2.08,2.33,17,11,5,11.84,8.76,2.53,5.21,8.05,0.65,2.37,1.2
1882,1162311168,B. McKnight,Bryce McKnight,McKnight,Bryce,P,University of Arizona,ARIZ,232,Arizona,BBC,R,R,152,6,2,1,0,0,0,8.2,14,7,11,1.17,1.83,4,8,3,7.27,7.56,2.08,8.31,4.15,2.00,3.12,1.1
1882,1239571456,D. Brown,Darrius Brown,Brown,Darrius,CF,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,157,3,2,0,2,0,0,8.0,9,8,14,2.67,4.67,7,6,4,9.00,12.30,2.00,6.75,7.88,0.86,4.50,2.2
1882,1202195456,C. Granzow,Cade Granzow,Granzow,Cade,P,Belmont University,BEL,730190336,Belmont,BBC,R,R,342,9,2,0,1,0,0,15.2,21,25,27,2.78,3.00,19,11,4,14.36,10.07,2.55,6.32,10.91,0.58,2.30,1.2
1882,1164266496,B. Chicoine,Bobby Chicoine,Chicoine,Bobby,P,Boston College,BC,227,Boston College,BBC,R,R,218,6,2,0,2,0,0,9.1,11,9,9,1.50,1.50,13,6,1,8.68,8.75,2.57,5.79,12.54,0.46,0.96,1.2
1882,1310351616,F. Rodriguez,Freddy Rodriguez,Rodriguez,Freddy,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,828,26,2,7,2,1,2,52.1,41,18,22,0.69,0.85,16,52,5,3.10,3.69,1.09,8.94,2.75,3.25,0.86,2.0
1882,1152938496,M. Fraser,Max Fraser,Fraser,Max,P,Oregon State University,ORST,3111,Oregon State,BBC,L,L,135,4,2,0,0,0,0,6.2,12,4,7,1.00,1.75,5,2,0,5.40,5.73,2.55,2.70,6.75,0.40,0.00,1.2
1882,1255990016,B. Shawn,Brody Shawn,Shawn,Brody,P,High Point University,HP,730321152,High Point,BBC,R,R,147,4,2,1,0,0,0,5.1,13,11,14,2.75,3.50,8,5,3,18.56,13.68,3.94,8.44,13.50,0.63,5.06,1.1
1882,1169203200,D. Delgadillo,David Delgadillo,Delgadillo,David,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,528,15,2,2,3,0,0,28.0,36,24,27,1.60,1.80,24,10,4,7.71,7.54,2.14,3.21,7.71,0.42,1.29,2.0
1882,1106714112,E. Hendricks,Evans Hendricks,Hendricks,Evans,P,Campbell University,CAMP,730187776,Campbell,BBC,L,L,675,15,2,1,3,0,1,37.2,37,25,29,1.67,1.93,16,38,4,5.97,4.05,1.41,9.08,3.82,2.38,0.96,2.2
1882,1195536640,E. Cartwright,Eli Cartwright,Cartwright,Eli,P,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,L,L,591,20,2,3,0,0,0,27.2,25,16,25,0.80,1.25,26,30,3,5.20,5.46,1.84,9.76,8.46,1.15,0.98,1.1
1882,1084489984,T. Uchman,Ty Uchman,Uchman,Ty,P,George Mason University,GMU,730265088,George Mason,BBC,L,L,145,6,2,1,1,0,0,7.1,8,12,14,2.00,2.33,9,7,0,14.73,6.18,2.32,8.59,11.05,0.78,0.00,1.1
1882,1165449216,B. Zeldin,Brian Zeldin,Zeldin,Brian,P,University of Georgia,UGA,226,Georgia,BBC,R,R,569,19,2,2,1,0,0,31.2,31,20,21,1.05,1.11,21,36,4,5.68,4.63,1.64,10.23,5.97,1.71,1.14,1.2
1882,1195497216,D. Matela,Dylan Matela,Matela,Dylan,P,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,322,8,2,0,2,0,0,13.1,14,20,21,2.50,2.63,21,14,1,13.50,7.45,2.63,9.45,14.18,0.67,0.68,1.2
1882,1133249792,B. Seiber,Brennan Seiber,Seiber,Brennan,P,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,R,405,16,2,1,1,0,0,23.2,13,6,10,0.38,0.63,13,28,1,2.28,4.15,1.10,10.65,4.94,2.15,0.38,1.1
1882,1110069504,M. Hoskins,Matthew Hoskins,Hoskins,Matthew,P,University of Georgia,UGA,226,Georgia,BBC,R,R,547,18,2,1,2,0,2,27.1,24,18,20,1.00,1.11,23,39,3,5.93,4.93,1.72,12.84,7.57,1.70,0.99,1.2
1882,1253958912,N. Kubilus,Nolan Kubilus,Kubilus,Nolan,P,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,273,11,2,0,1,0,0,13.0,13,15,19,1.36,1.73,14,15,1,10.38,5.79,2.08,10.38,9.69,1.07,0.69,1.1
1882,1090835456,J. Mayo,Jackson Mayo,Mayo,Jackson,P,Texas State University,TXST,5420,Texas State,BBC,L,L,209,11,2,1,3,0,0,10.0,15,13,14,1.18,1.27,8,6,1,11.70,7.78,2.30,5.40,7.20,0.75,0.90,1.0
1882,1239174144,C. Cano,Carl Cano,Cano,Carl,P,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,432,14,2,1,2,0,0,20.1,23,20,24,1.43,1.71,18,24,4,8.85,6.18,2.02,10.62,7.97,1.33,1.77,1.1
1882,1087549440,B. Keefe,Ben Keefe,Keefe,Ben,P,Radford University,RAD,730267392,Radford,BBC,L,L,679,28,2,3,1,0,0,35.1,48,38,39,1.36,1.39,22,31,5,9.68,5.47,1.98,7.90,5.60,1.41,1.27,1.1
1882,1089259264,E. Shaver,Ethan Shaver,Shaver,Ethan,P,University of the Pacific,PAC,730386944,Pacific,BBC,R,R,766,20,2,3,3,0,3,51.2,56,32,34,1.60,1.70,10,37,9,5.57,5.00,1.28,6.45,1.74,3.70,1.57,2.2
1882,1310447104,J. Geiser,Jack Geiser,Geiser,Jack,P,Ohio University,OHIO,730298368,Ohio,BBC,R,R,549,19,2,2,1,0,3,33.0,46,19,23,1.00,1.21,8,22,6,5.18,5.12,1.64,6.00,2.18,2.75,1.64,1.2
1882,1329701376,P. Brennaman,Phil Brennaman,Brennaman,Phil,P,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,551,16,2,1,3,0,0,23.1,44,40,44,2.50,2.75,15,26,12,15.43,10.34,2.53,10.03,5.79,1.73,4.63,1.1
1882,1153720064,R. Marcotte,Riley Marcotte,Marcotte,Riley,P,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,L,L,569,21,2,0,0,0,1,32.2,35,19,25,0.90,1.19,14,20,0,5.23,3.97,1.50,5.51,3.86,1.43,0.00,1.2
1882,1105388800,J. Manarchuck,JB Manarchuck,Manarchuck,JB,P,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,159,3,2,0,1,0,0,10.0,14,12,12,4.00,4.00,3,11,4,10.80,7.38,1.70,9.90,2.70,3.67,3.60,3.1
1882,1201581056,S. Dessart,Spencer Dessart,Dessart,Spencer,P,University of California,CAL,730152448,California,BBC,R,R,335,12,2,0,1,0,1,18.2,18,13,14,1.08,1.17,12,16,4,6.27,6.34,1.61,7.71,5.79,1.33,1.93,1.2
1882,1105345536,J. Orozco,Julian Orozco,Orozco,Julian,P,California Baptist University,CBU,5091,California Baptist,BBC,R,R,733,25,2,2,3,0,1,38.2,38,20,22,0.80,0.88,26,45,4,4.66,4.99,1.66,10.47,6.05,1.73,0.93,1.2
1882,1189655552,S. Keup,Shane Keup,Keup,Shane,P,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,689,23,2,3,4,0,2,39.2,40,28,32,1.22,1.39,19,38,5,6.35,4.94,1.49,8.62,4.31,2.00,1.13,1.2
1882,1268429312,C. Soliz,Cameron Soliz,Soliz,Cameron,P,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,R,R,505,19,2,2,3,0,4,26.1,31,21,22,1.11,1.16,16,18,3,7.18,5.57,1.78,6.15,5.47,1.13,1.03,1.1
1882,1269411328,N. Williamson,Nolan Williamson,Williamson,Nolan,P,Virginia Military Institute,VMI,730173440,VMI,BBC,R,L,159,7,2,1,0,0,0,8.1,13,10,10,1.43,1.43,6,5,2,10.80,7.62,2.28,5.40,6.48,0.83,2.16,1.1
1882,1094692352,Z. Cowan,Zac Cowan,Cowan,Zac,P,Louisiana State University,LSU,5323,Louisiana State,BBC,S,R,805,22,2,3,3,0,6,52.0,44,17,21,0.77,0.95,12,60,4,2.94,2.74,1.08,10.38,2.08,5.00,0.69,2.1
1882,1084375808,R. Harrahill,Ryan Harrahill,Harrahill,Ryan,P,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,205,11,2,0,0,0,0,13.2,14,7,8,0.64,0.73,4,7,0,4.61,3.69,1.32,4.61,2.63,1.75,0.00,1.1
1882,1310394112,P. Thomas,Parker Thomas,Thomas,Parker,P,Wright State University,WRST,5390,Wright State,BBC,S,R,318,11,2,1,1,0,0,17.1,26,17,18,1.55,1.64,10,19,3,8.83,5.83,2.08,9.87,5.19,1.90,1.56,1.2
1882,1290970624,J. Willis,Jaedon Willis,Willis,Jaedon,P,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,L,L,133,6,2,0,0,0,0,6.0,6,6,6,1.00,1.00,12,2,1,9.00,14.68,3.00,3.00,18.00,0.17,1.50,1.0
1882,1136834816,R. Lettow,Rohan Lettow,Lettow,Rohan,P,Arizona State University,ASU,5035,Arizona State,BBC,R,R,191,5,2,0,0,0,0,10.0,15,12,12,2.40,2.40,5,8,5,10.80,10.18,2.00,7.20,4.50,1.60,4.50,2.0
1882,1297215488,J. Gholston,Jacob Gholston,Gholston,Jacob,P,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,115,3,2,1,0,0,0,5.1,9,6,7,2.00,2.33,6,4,0,10.13,6.18,2.81,6.75,10.13,0.67,0.00,1.2
1882,1273171201,M. Manriquez,Mason Manriquez,Manriquez,Mason,P,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,498,18,2,1,3,0,1,23.0,35,29,31,1.61,1.72,18,33,6,11.35,7.09,2.30,12.91,7.04,1.83,2.35,1.1
1882,1092682753,T. Benford,Tysen Benford,Benford,Tysen,P,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,780,20,2,1,1,1,4,52.0,52,27,31,1.35,1.55,13,41,6,4.67,4.31,1.25,7.10,2.25,3.15,1.04,2.2
1882,1126611968,J. Lajoie,Josh Lajoie,Lajoie,Josh,P,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,680,22,2,0,2,0,0,31.0,41,43,49,1.95,2.23,26,32,4,12.48,6.47,2.16,9.29,7.55,1.23,1.16,1.1
1882,1211307008,T. Barkman,Trey Barkman,Barkman,Trey,P,Ohio University,OHIO,730298368,Ohio,BBC,R,R,485,15,2,2,3,0,0,22.0,20,21,25,1.40,1.67,27,19,7,8.59,9.81,2.14,7.77,11.05,0.70,2.86,1.1
1882,1079462144,W. Jones,Wesley Jones,Jones,Wesley,P,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,183,5,2,1,1,0,0,9.0,7,5,5,1.00,1.00,7,12,0,5.00,3.51,1.56,12.00,7.00,1.71,0.00,1.2
1882,1336581633,Z. Sigman,Zak Sigman,Sigman,Zak,P,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,296,10,2,0,1,0,0,13.0,17,9,12,0.90,1.20,12,16,3,6.23,6.49,2.23,11.08,8.31,1.33,2.08,1.1
1882,1276104960,B. Moyzan,Ben Moyzan,Moyzan,Ben,P,University of Delaware,DEL,730203136,Delaware,BBC,R,R,447,15,2,1,1,0,0,23.1,31,18,20,1.20,1.33,11,20,7,6.94,7.16,1.80,7.71,4.24,1.82,2.70,1.2
1882,1341739776,M. Leikus,Matt Leikus,Leikus,Matt,P,Towson University,TOWS,730318336,Towson,BBC,R,R,580,20,2,0,0,0,1,35.1,39,25,31,1.25,1.55,17,24,1,6.37,4.65,1.58,6.11,4.33,1.41,0.25,1.2
1882,1138098432,K. Rourke,Kevin Rourke,Rourke,Kevin,P,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,R,145,4,2,1,1,0,0,7.2,16,13,14,3.25,3.50,5,5,1,15.26,7.09,2.74,5.87,5.87,1.00,1.17,2.0
1882,1208704577,R. Karst,Ryan Karst,Karst,Ryan,P,Indiana State University,INST,730350080,Indiana State,BBC,R,R,124,5,2,1,2,0,0,7.1,13,10,10,2.00,2.00,6,6,2,12.27,8.77,2.59,7.36,7.36,1.00,2.45,1.1
1882,1267571157,Z. Sigmon,Zachery Sigmon,Sigmon,Zachery,P,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,31,2,2,0,0,0,0,3.0,3,4,4,2.00,2.00,1,1,0,12.00,6.51,1.33,3.00,3.00,1.00,0.00,1.2
1882,1237035008,A. Jimenez,Aiden Jimenez,Jimenez,Aiden,P,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,643,22,2,5,1,0,1,42.1,41,16,16,0.73,0.73,13,40,2,3.40,2.97,1.28,8.50,2.76,3.08,0.43,2.0
1882,1238294528,C. Clayton,Canaan Clayton,Clayton,Canaan,P,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,208,8,2,1,1,0,0,8.1,13,12,13,1.50,1.63,9,11,2,12.96,7.98,2.64,11.88,9.72,1.22,2.16,1.0
1882,1229526784,J. Hacker,John Hacker,Hacker,John,P,Marist College,MRST,730374656,Marist,BBC,L,L,345,11,2,1,1,0,0,19.1,23,17,21,1.55,1.91,12,18,3,7.91,5.35,1.81,8.38,5.59,1.50,1.40,1.2
1882,1162608384,N. Ross,Nate Ross,Ross,Nate,P,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,684,21,2,2,2,0,1,33.0,47,31,37,1.48,1.76,19,26,4,8.45,5.72,2.00,7.09,5.18,1.37,1.09,1.2
1882,1342168540,B. Perry,Braden Perry,Perry,Braeden,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,650,19,2,3,1,0,0,31.2,26,29,29,1.53,1.53,29,31,4,8.24,6.37,1.74,8.81,8.24,1.07,1.14,1.2
1882,1174786048,T. Uber,Ty Uber,Uber,Ty,P,Stanford University,STAN,730251264,Stanford,BBC,R,R,619,24,2,1,2,0,3,35.0,32,20,23,0.83,0.96,21,29,6,5.14,5.89,1.51,7.46,5.40,1.38,1.54,1.1
1882,1143042304,A. Smith,Aubrey Smith,Smith,Aubrey,P,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,L,R,821,23,2,2,3,0,2,52.1,44,18,22,0.78,0.96,11,44,8,3.10,4.52,1.05,7.57,1.89,4.00,1.38,2.1
1882,1207760384,L. Greer,Lucas Greer,Greer,Lucas,P,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,170,2,2,0,1,0,0,8.1,9,8,8,4.00,4.00,6,10,1,8.64,5.58,1.80,10.80,6.48,1.67,1.08,4.1
1882,1150052244,J. Burt,Jake Burt,Burt,Jake,P,Marist College,MRST,730374656,Marist,BBC,R,R,478,18,2,2,0,0,0,27.2,30,18,26,1.00,1.44,15,14,3,5.86,5.96,1.63,4.55,4.88,0.93,0.98,1.2
1882,1284169984,N. Sackenheim,Noah Sackenheim,Sackenheim,Noah,P,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,573,20,2,0,3,0,0,29.2,42,34,36,1.70,1.80,15,25,10,10.31,7.80,1.92,7.58,4.55,1.67,3.03,1.1
