Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,G,GS,W,L,QS,SV,IP,H,ER,R,ER/G,R/G,BB,K,HR,ERA,FIP,WHIP,K/9,BB/9,K/BB,HR/9,IP/G
2862,1084481536,S. Benes,Seth Benes,Benes,Seth,P,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,202,11,0,1,0,0,0,8.2,15,12,12,1.09,1.09,9,9,4,12.46,10.56,2.77,9.35,9.35,1.00,4.15,0.2
2862,1094749952,T. Keels,Tre Keels,Keels,Tre,CF,Longwood University,LONG,730219264,Longwood,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1099399680,C. Preisel,Connor Preisel,Preisel,Connor,P,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,L,33,2,0,0,0,0,0,1.0,1,2,2,1.00,1.00,2,0,1,18.00,31.18,3.00,0.00,18.00,0.00,9.00,0.2
2862,1120324096,A. Zarlingo,Anthony Zarlingo,Zarlingo,Anthony,CF,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,S,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1132717312,L. Ross,Luke Ross,Ross,Luke,P,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,L,L,81,5,0,0,0,0,0,2.0,8,9,9,1.80,1.80,7,1,1,40.50,19.18,7.50,4.50,31.50,0.14,4.50,0.1
2862,1185605632,Z. Maxey,Zach Maxey,Maxey,Zach,P,Michigan State University,MSU,1551,Michigan State,BBC,R,R,542,17,0,3,0,0,0,31.1,28,17,19,1.00,1.12,14,31,2,4.88,3.85,1.34,8.90,4.02,2.21,0.57,2.0
2862,1204444928,R. Zaborowski,Ryland Zaborowski,Zaborowski,Ryland,1B,University of Georgia,UGA,226,Georgia,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1204865536,D. Baker,Dillon Baker,Baker,Dillon,SS,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1246655744,T. Gordon,Tyler Gordon,Gordon,Tyler,3B,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1251440128,T. Batusich,Ty Batusich,Batusich,Ty,P,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,L,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1264003584,D. Novak,David Novak,Novak,David,C,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1269407488,R. Novak,Ryan Novak,Novak,Ryan,LF,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,L,L,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1274313216,J. Gorski,Justin Gorski,Gorski,Justin,3B,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,L,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1277165056,N. DeMonica,Nick DeMonica,DeMonica,Nick,P,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,L,L,113,8,0,0,0,0,0,3.2,6,8,8,1.00,1.00,5,5,2,19.64,12.45,3.00,12.27,12.27,1.00,4.91,0.1
