Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,1B%,x1B%,2B%,x2B%,3B%,x3B%,HR%,xHR%,XBH%,xXBH%
,1576035714,E. Stephens,Eli Stephens,Stephens,Eli,C,Mercer University,MER,730240512,Mercer,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1848325734,C. Palkowski,Cade Palkowski,Palkowski,Cade,LF,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,L,L,0,0,-,-,-,-,-,-,-,-,-,-
,1721336213,C. Aarts,Carter Aarts,Aarts,Carter,2B,Niagara University,NIAG,730156544,Niagara,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1785374998,A. De Jesus,Amaury De Jesus,De Jesus,Amaury,2B,University of Miami,MIA,236,Miami,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1461411282,B. Jefferis,Brayden Jefferis,Jefferis,Brayden,RF,University of Michigan,MICH,2290,Michigan,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1924781071,L. Smith,Luke Smith,Smith,Luke,2B,Rice University,RICE,2352,Rice,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1983398050,J. Vazquez,Javier Vazquez,Vazquez,Javier,1B,Rice University,RICE,2352,Rice,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1830710342,T. Lawrence,Trey Lawrence,Lawrence,Trey,SS,University of Missouri,MIZZ,4806,Missouri,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1878616487,C. Lane,Connor Lane,Lane,Connor,C,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1342168147,C. Brass,Cooper Brass,Brass,Cooper,2B,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1342169117,Z. Crandall,Zach Crandall,Crandall,Zach,C,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
