Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,SB2,CS2,CSBA2Throws,CSBA2ThrowsOnTrgt,CSBA2ThrowsOffTrgt,CSBA2ThrowSpd,PopTimeSBA2,CSBA2ExchTime,CSBA2TimeToBase,CSBA2ThrowHeight,CSBA2ThrowDownLineDist
50,1232548330,Z. Buchan,Zander Buchan,Buchan,Zander,C,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,S,R,6,3,7,4,1,77.3,2.15,0.85,1.28,3.64,2.0
50,1362060489,C. Arrambide,Cade Arrambide,Arrambide,Cade,C,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,6,3,6,3,3,83.2,2.20,0.99,1.21,3.09,9.0
50,1513501382,C. Norton,Cade Norton,Norton,Cade,C,Mercer University,MER,730240512,Mercer,BBC,R,R,6,3,5,3,0,81.1,2.10,0.83,1.26,1.56,2.0
50,1914298599,K. Crisp,Kyle Crisp,Crisp,Kyle,C,Radford University,RAD,730267392,Radford,BBC,S,R,6,1,2,1,1,76.4,2.12,0.83,1.29,5.86,5.3
50,1743237802,C. Bowling,Chet Bowling,Bowling,Chet,C,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,6,0,4,0,3,76.1,2.02,0.71,1.33,0.42,0.9
50,1046485320,J. Fernandez,Jose Fernandez,Fernandez,Jose,C,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,6,5,4,2,0,78.3,1.97,0.85,1.21,0.36,7.7
50,1874971185,E. Wainwright,Eric Wainwright,Wainwright,Eric,C,University of Maine,ME,730275840,Maine,BBC,R,R,6,1,2,0,2,77.2,2.17,0.82,1.34,7.66,0.4
50,1067010784,K. Hartmann,Kyle Hartmann,Hartmann,Kyle,C,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,6,2,5,2,0,81.2,2.18,0.87,1.27,2.88,4.3
50,1289058129,J. Liera,Jesus Liera,Liera,Jesus,C,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,6,1,5,2,1,77.1,1.84,0.74,1.15,1.38,1.4
50,1473478008,N. Zajac,Nolan Zajac,Zajac,Nolan,C,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,6,4,1,1,0,82.8,-,-,1.22,2.85,-2.6
50,1222751202,C. Gonzalez,Cesar Gonzalez,Gonzalez,Cesar,C,Boston College,BC,227,Boston College,BBC,R,R,6,1,5,4,1,80.4,2.06,0.80,1.25,1.47,2.6
50,1728241540,M. Rose,Mac Rose,Rose,Mac,C,Vanderbilt University,VAN,5046,Vanderbilt,BBC,L,R,6,3,9,3,2,79.1,2.32,0.93,1.31,2.50,3.8
50,1192430554,B. Sexton,Brody Sexton,Sexton,Brody,C,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,6,1,3,0,3,78.9,2.01,0.74,1.12,4.84,-0.6
68,1198452224,N. Pratt,Nicholas Pratt,Pratt,Nicholas,C,UMBC,UMBC,730210304,UMBC,BBC,R,R,7,2,4,4,0,78.7,2.10,0.82,1.28,1.38,4.7
68,1258593024,C. Tallakson,Connor Tallakson,Tallakson,Connor,C,UNLV,UNLV,730161664,UNLV,BBC,R,R,7,2,4,1,2,74.6,2.04,0.69,1.35,0.31,-5.7
68,1281184000,W. Perez,Waldie Perez,Perez,Waldie,C,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,7,2,7,6,0,76.2,2.22,0.87,1.31,1.66,1.3
68,1099145728,J. Galloway,Jacob Galloway,Galloway,Jacob,C,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,R,7,2,4,4,0,76.6,2.16,0.83,1.33,2.32,1.7
68,1116675328,B. Sorensen,Bailyn Sorensen,Sorensen,Bailyn,C,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,7,4,7,5,1,81.7,1.98,0.75,1.21,2.28,3.6
68,1178169345,J. Bates,Jabin Bates,Bates,Jabin,C,University of North Florida,UNF,730296832,North Florida,BBC,L,R,7,2,0,0,0,-,-,-,-,-,-
68,1100576256,A. Hanlon,Andrew Hanlon,Hanlon,Andrew,C,Brown University,BRWN,730236160,Brown,BBC,R,R,7,1,5,2,1,72.0,2.10,0.68,1.43,0.28,3.3
68,1162109440,G. Pancione,Garrett Pancione,Pancione,Garrett,C,George Mason University,GMU,730265088,George Mason,BBC,R,R,7,0,4,0,3,73.7,2.12,0.73,1.42,1.12,8.7
68,1260761344,S. Kang,Sean Kang,Kang,Sean,C,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,7,5,9,7,1,75.4,2.02,0.68,1.33,2.43,5.2
68,1287356160,R. Bakes,Ryan Bakes,Bakes,Ryan,C,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,7,0,3,3,0,78.7,2.13,0.86,1.28,2.18,-3.1
68,1152911360,J. Kleveno,Jack Kleveno,Kleveno,Jack,C,University of Utah,UTAH,730328320,Utah,BBC,R,R,7,4,6,5,1,78.3,1.89,0.76,1.12,1.20,5.1
68,1780241245,G. Juarez,Gabe Juarez,Juarez,Gabe,C,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,7,0,4,1,1,74.5,2.17,0.76,1.35,1.26,7.7
68,1201754681,M. Mainord,Matthew Mainord,Mainord,Matthew,C,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,7,4,7,6,0,76.8,2.08,0.76,1.32,1.28,0.8
68,1455290898,J. Roossien,Jace Roossien,Roossien,Jace,C,Boston College,BC,227,Boston College,BBC,S,R,7,1,6,2,1,80.0,2.13,0.85,1.27,-0.66,3.5
68,1000616073,J. Barnhardt,Joseph Barnhardt,Barnhardt,Joseph,C,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,7,1,4,3,0,76.7,1.94,0.74,1.19,3.18,1.9
68,1342167798,G. Baker,George Baker,Baker,George,C,University of Louisville,LOU,5467,Louisville,BBC,L,R,7,5,4,0,0,80.5,-,0.80,-,-,-
68,1667195766,B. Mabeus,Burke-Lee Mabeus,Mabeus,Burke-Lee,C,University of Oregon,ORE,4807,Oregon,BBC,S,R,7,4,5,3,0,78.3,2.02,0.74,1.26,1.25,1.8
68,1858822691,M. Young,Michael Young,Young,Michael,C,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,7,1,5,3,2,82.9,2.02,0.84,1.19,1.84,0.4
68,1756418855,Z. White,Zach White,White,Zach,C,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,7,2,5,3,1,78.0,2.03,0.72,1.31,2.58,2.0
68,1237893083,I. Fernandez,Ian Fernandez,Fernandez,Ian,C,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,7,3,6,4,0,84.6,2.04,0.85,1.18,3.18,3.6
68,1615057676,J. Wrubleski,Jake Wrubleski,Wrubleski,Jake,C,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,7,4,9,7,2,77.8,2.13,0.86,1.23,3.81,2.8
89,1310580992,D. Paris,Derek Paris,Paris,Derek,C,UMBC,UMBC,730210304,UMBC,BBC,R,R,8,4,7,4,0,74.0,2.16,0.74,1.37,0.96,0.8
89,1293680384,K. Morisaki,Kanoa Morisaki,Morisaki,Kanoa,TWP,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,S,R,8,4,2,2,0,78.6,1.91,0.64,1.27,3.10,-1.6
89,1167350272,A. Berghult,Adam Berghult,Berghult,Adam,C,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,8,4,9,6,1,81.0,2.07,0.83,1.23,1.76,4.5
89,1196813569,J. Killelea,Jack Killelea,Killelea,Jack,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,8,5,8,2,3,78.2,2.08,0.83,1.30,2.27,-1.2
89,1084703232,S. Hunt,Sam Hunt,Hunt,Sam,C,University of Minnesota,MINN,4864,Minnesota,BBC,S,R,8,3,8,3,1,77.1,2.02,0.84,1.28,1.42,2.0
89,1110068480,R. Rickabaugh,RJ Rickabaugh,Rickabaugh,RJ,C,University of Richmond,RICH,730171904,Richmond,BBC,L,R,8,1,4,0,1,78.4,2.04,0.80,1.28,6.30,2.7
89,1337773312,R. Pelletier,Raphael Pelletier,Pelletier,Raphael,C,University of Kentucky,UK,5362,Kentucky,BBC,L,R,8,5,9,4,2,75.0,2.04,0.71,1.34,3.98,1.2
89,1143069440,M. Strand,Matthew Strand,Strand,Matthew,C,Samford University,SAM,730386432,Samford,BBC,R,R,8,5,7,5,2,78.3,2.08,0.80,1.28,2.71,2.0
89,1218681086,N. Thein,Noah Thein,Thein,Noah,C,Washington State University,WSU,4505,Washington State,BBC,L,R,8,6,7,3,0,78.1,1.98,0.69,1.29,0.64,3.0
89,1375742682,Z. Becker,Zane Becker,Becker,Zane,C,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,8,0,5,3,1,78.3,2.10,0.83,1.26,2.52,0.8
89,1579529771,E. Morales,Efrain Morales,Morales,Efrain,C,Old Dominion University,ODU,3090,Old Dominion,BBC,R,R,8,0,5,4,1,77.5,2.08,0.86,1.22,1.91,4.4
89,1072428669,D. Davis,Diego Davis,Davis,Diego,2B,University of the Pacific,PAC,730386944,Pacific,BBC,R,R,8,2,6,3,0,78.1,2.05,0.74,1.29,0.88,1.8
89,1870804725,L. Grantham,Lucas Grantham,Grantham,Lucas,C,Wofford College,WOF,730176512,Wofford,BBC,R,R,8,1,8,6,0,79.4,2.00,0.85,1.06,2.88,4.4
89,1879968374,R. Erickson,Ridge Erickson,Erickson,Ridge,C,Brigham Young University,BYU,730257152,BYU,BBC,R,R,8,6,6,3,2,79.3,2.14,0.82,1.26,2.33,0.1
103,1134142464,J. Nielsen,Jack Nielsen,Nielsen,Jack,C,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,9,1,6,4,1,72.6,2.13,0.84,1.29,2.83,0.1
103,1174787328,T. Splaine,Tommy Splaine,Splaine,Tommy,1B,University of Arizona,ARIZ,232,Arizona,BBC,R,R,9,5,10,8,1,76.4,2.09,0.77,1.32,2.06,1.9
103,1100787712,B. Milner,Beck Milner,Milner,Beck,C,Boston College,BC,227,Boston College,BBC,R,R,9,3,9,1,4,77.7,2.09,0.82,1.36,6.17,8.7
103,1204041472,A. Yu,Andrew Yu,Yu,Andrew,C,Duke University,DUKE,730336256,Duke,BBC,R,R,9,0,7,6,1,78.3,2.03,0.73,1.30,2.17,-2.5
103,1341412096,C. Kleinman,Casey Kleinman,Kleinman,Casey,SS,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,9,3,9,6,1,72.6,2.14,0.78,1.36,3.38,2.9
103,1302783489,J. Perez,Jaime Perez,Perez,Jaime,C,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,9,5,4,2,2,79.6,2.01,0.75,1.25,2.86,6.6
103,1333122048,K. Jimenez,Kenneth Jimenez,Jimenez,Kenneth,C,University of Houston,HOU,3030,Houston,BBC,R,R,9,2,2,1,0,73.5,2.08,0.76,1.38,1.22,5.5
103,1200350720,N. Greise,Noah Greise,Greise,Noah,C,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,9,5,6,4,1,77.9,1.95,0.71,1.21,0.94,1.4
103,1167236096,W. Zareh,William Zareh,Zareh,William,C,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,9,7,14,9,3,82.8,2.05,0.83,1.21,3.29,1.1
103,1131572736,C. Sheehan,Cole Sheehan,Sheehan,Cole,C,Pepperdine University,PEPP,730338304,Pepperdine,BBC,S,R,9,1,4,2,0,79.2,2.52,1.07,1.25,-0.20,0.3
103,1152915968,B. Balsz,Blake Balsz,Balsz,Blake,C,UCLA,UCLA,5048,UCLA,BBC,L,R,9,3,11,7,2,76.1,2.16,0.89,1.26,2.65,6.0
103,1257439488,L. DiPaolo,Luca DiPaolo,DiPaolo,Luca,C,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,9,3,6,3,1,78.0,2.08,0.80,1.26,7.35,7.9
103,1135883264,S. Gell,Scott Gell,Gell,Scott,C,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,9,5,3,2,1,77.6,2.00,0.70,1.30,2.70,-3.2
103,1237015040,J. Hawkins,Jason Hawkins,Hawkins,Jason,C,Troy University,TROY,730378496,Troy,BBC,R,R,9,1,8,3,4,78.4,2.04,0.75,1.29,2.62,-2.1
103,1956052875,C. Herd,Caleb Herd,Herd,Caleb,C,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,9,6,6,2,1,76.3,1.96,0.66,1.25,0.80,-1.3
103,1264565979,S. DeCello,Sergio DeCello,DeCello,Sergio,C,Purdue University,PUR,730353152,Purdue,BBC,S,R,9,7,10,5,2,81.6,2.05,0.84,1.17,3.86,5.0
103,1512159905,C. Horneman,Colin Horneman,Horneman,Colin,C,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,9,2,4,3,0,76.8,2.02,0.72,1.31,2.49,1.6
103,1471059156,L. Williams,Landon Williams,Williams,Landon,3B,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,9,2,1,0,0,80.0,-,0.79,-,-,-
103,1707683796,M. Morales,Miguel Morales,Morales,Miguel,C,Texas Southern University,TXSO,4768,Texas Southern,BBC,L,R,9,5,3,2,0,75.0,2.36,0.85,1.34,2.85,4.0
103,1952447340,J. Cunningan,Josh Cunningan,Cunningan,Josh,C,Seattle University,SEA,4504,Seattle,BBC,L,R,9,1,2,0,0,75.0,-,0.76,-,-,-
103,1342169117,Z. Crandall,Zach Crandall,Crandall,Zach,C,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,9,1,4,3,0,71.4,1.99,0.85,1.14,3.79,1.0
103,1493011308,D. Jackson,Daniel Jackson,Jackson,Daniel,RF,University of Georgia,UGA,226,Georgia,BBC,R,R,9,0,4,2,0,80.7,2.01,0.78,1.25,0.50,-2.0
103,1981580320,S. Christmas,Seth Christmas,Christmas,Seth,C,Liberty University,LIB,730156288,Liberty,BBC,R,R,9,4,8,6,1,77.7,2.24,0.91,1.31,2.89,0.7
103,1450695815,E. Ortega,Efren Ortega,Ortega,Efren,C,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,9,4,8,7,0,74.8,2.17,0.81,1.34,1.29,4.5
103,1342168600,N. Beasley,Nikhil Beasley,Beasley,Nikhil,C,Sacramento State University,SAC,730293760,Sacramento State,BBC,R,R,9,2,6,3,1,78.3,2.01,0.74,1.28,3.64,0.6
128,1132962304,L. Iverson,Luke Iverson,Iverson,Luke,RF,Utah Valley University,UVU,730263552,Utah Valley,BBC,S,R,10,3,6,3,0,81.8,1.94,0.85,1.18,2.14,3.2
