Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,SB2,CS2,CSBA2Throws,CSBA2ThrowsOnTrgt,CSBA2ThrowsOffTrgt,CSBA2ThrowSpd,PopTimeSBA2,CSBA2ExchTime,CSBA2TimeToBase,CSBA2ThrowHeight,CSBA2ThrowDownLineDist
175,1100071168,S. Shaffer,Silas Shaffer,Shaffer,Silas,C,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,12,2,9,4,4,78.5,2.11,0.83,1.28,2.34,2.3
175,1153311232,D. Wyatt,Danny Wyatt,Wyatt,Danny,3B,UMBC,UMBC,730210304,UMBC,BBC,R,R,12,5,6,3,1,79.8,2.03,0.78,1.24,2.37,3.3
175,1172422144,J. Thompson,Jackson Thompson,Thompson,Jackson,C,Campbell University,CAMP,730187776,Campbell,BBC,R,R,12,5,6,4,2,77.5,2.10,0.79,1.31,2.72,-3.2
175,1166939392,R. Ciulla,Robert Ciulla,Ciulla,Robert,C,Yale University,YALE,730334464,Yale,BBC,R,R,12,2,8,2,4,76.2,2.21,0.81,1.33,2.16,7.3
175,1310336256,D. Lanphere,Drew Lanphere,Lanphere,Drew,C,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,R,12,6,14,8,0,78.3,2.06,0.76,1.29,0.08,4.1
175,1334298368,T. Burkhalter,Trenton Burkhalter,Burkhalter,Trenton,C,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,12,1,6,3,3,75.5,2.09,0.75,1.34,3.21,3.9
175,1279825152,J. Power,Jack Power,Power,Jack,1B,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,L,R,12,0,3,1,1,78.5,1.97,0.80,1.22,1.34,-4.8
175,1202877952,B. Freiter,Bennett Freiter,Freiter,Bennett,C,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,12,3,9,7,1,78.6,2.12,0.89,1.23,2.59,1.4
175,1336108544,J. Slater,Jack Slater,Slater,Jack,C,Old Dominion University,ODU,3090,Old Dominion,BBC,L,R,12,2,4,2,1,78.1,2.38,1.01,1.28,3.85,-2.5
175,1341307648,N. Solorzano,Nick Solorzano,Solorzano,Nick,C,Stony Brook University,STON,730249984,Stony Brook,BBC,S,R,12,2,5,2,2,77.4,2.09,0.75,1.32,2.60,-0.6
175,1121807616,C. Blanchard,Colin Blanchard,Blanchard,Colin,C,University of Washington,WASH,3110,Washington,BBC,L,R,12,2,5,2,1,75.6,2.28,0.86,1.34,0.98,-0.2
175,1235359488,N. Quagliato,Nick Quagliato,Quagliato,Nick,C,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,12,2,2,0,1,78.5,2.07,0.84,1.29,-1.53,10.8
175,1296585216,G. Athanasiadis,George Athanasiadis,Athanasiadis,George,C,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,12,2,2,1,1,76.8,2.15,0.88,1.27,4.58,4.1
175,1105477376,N. Gordon,Noah Gordon,Gordon,Noah,C,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,12,11,9,4,2,79.6,2.02,0.76,1.26,2.27,-2.8
175,1896732106,J. McGee,James McGee,McGee,James,C,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,12,1,4,4,0,75.4,2.05,0.73,1.32,2.04,7.4
175,1972031807,T. Freeny,Tariq Freeny,Freeny,Tariq,C,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,12,6,10,6,0,76.7,2.19,0.83,1.28,2.06,1.8
175,1666779509,M. Houston,Matt Houston,Houston,Matt,C,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,R,R,12,3,9,7,0,78.0,1.95,0.74,1.21,0.66,5.2
175,1268743637,S. Huerta,Sebastian Huerta,Huerta,Sebastian,C,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,12,4,4,2,1,71.2,2.19,0.78,1.41,2.97,4.6
175,1256953344,N. Rivera Flores,Nelson Rivera Flores,Rivera Flores,Nelson,C,Florida International University,FIU,4468,Florida International,BBC,R,R,12,0,8,1,4,78.1,2.08,0.75,1.30,6.13,7.4
175,1184560802,X. Bradley,Xavier Bradley,Bradley,Xavier,C,Southern University,SOU,4767,Southern,BBC,R,R,12,2,1,0,1,73.7,2.04,0.68,1.36,6.25,1.1
196,1084406528,T. Curry,Thomas Curry,Curry,Thomas,C,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,13,3,8,5,1,81.0,1.99,0.75,1.22,3.37,1.9
196,1165892864,C. Titus,Coleson Titus,Titus,Coleson,3B,Army West Point,ARMY,4744,Army,BBC,R,R,13,0,9,3,2,79.0,2.21,0.88,1.27,0.91,-1.2
196,1279131904,M. Kalk,Max Kalk,Kalk,Max,C,Ball State University,BALL,730195456,Ball State,BBC,L,R,13,2,6,2,3,78.6,2.30,1.01,1.27,2.82,5.0
196,1176354561,S. Mudler,Scott Mudler,Mudler,Scott,C,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,L,R,13,7,17,11,5,80.2,1.97,0.71,1.22,3.71,5.6
196,1167304960,K. Wilkey,Kaleb Wilkey,Wilkey,Kaleb,C,University of Evansville,EVAN,730327808,Evansville,BBC,R,R,13,2,5,1,2,77.3,2.17,0.88,1.30,3.35,-3.7
196,1189127936,J. Stransky,Justin Stransky,Stransky,Justin,C,Fresno State,FRES,730384384,Fresno State,BBC,R,R,13,13,16,15,0,81.6,2.08,0.88,1.19,1.41,3.0
196,1336539648,B. Durand,Brandyn Durand,Durand,Brandyn,C,Bryant University,BRY,730266880,Bryant,BBC,R,R,13,3,8,4,1,81.0,1.91,0.78,1.13,1.33,0.1
196,1205259520,A. Diaz,Alex Diaz,Diaz,Alex,C,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,13,2,2,1,0,71.6,2.24,0.76,1.48,-1.10,8.7
196,1075324928,J. Fogel,Justin Fogel,Fogel,Justin,LF,University of Memphis,MEM,730172160,Memphis,BBC,L,R,13,4,14,11,1,78.1,2.15,0.87,1.27,0.48,0.9
196,1132574976,T. McElwee,Thomas McElwee,McElwee,Thomas,C,University at Albany,ALBY,730280448,Albany,BBC,R,R,13,4,5,4,0,78.3,2.37,1.01,1.29,0.54,1.2
196,1178678016,J. Agar,Joey Agar,Agar,Joey,C,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,R,13,3,10,5,2,74.3,2.42,0.95,1.35,3.67,2.1
196,1153320448,B. Sylvester,Beau Sylvester,Sylvester,Beau,C,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,R,13,1,11,10,1,77.9,2.14,0.91,1.22,2.74,-0.7
196,1310352640,R. Gonzalez,Rudy Gonzalez,Gonzalez,Rudy,C,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,13,2,3,1,1,79.3,2.13,0.96,1.05,6.68,3.5
196,1235376384,N. Manley,Nate Manley,Manley,Nate,C,Wright State University,WRST,5390,Wright State,BBC,R,R,13,2,7,6,1,81.6,1.98,0.77,1.21,1.34,5.7
196,1258110976,R. Highfill,Ross Highfill,Highfill,Ross,C,Mississippi State University,MSST,5080,Mississippi State,BBC,R,R,13,2,9,3,3,82.2,2.08,0.96,1.19,2.00,0.4
196,1354382494,W. Smoot,Will Smoot,Smoot,Will,C,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,13,1,9,2,2,73.0,2.11,0.78,1.36,3.92,0.9
196,1389402065,G. Bullock,Garrison Bullock,Bullock,Garrison,C,Bucknell University,BUCK,730214144,Bucknell,BBC,R,R,13,4,8,3,0,79.7,2.03,0.81,1.23,0.90,2.6
196,1285375748,I. Wirtz,Ian Wirtz,Wirtz,Ian,C,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,13,4,10,4,1,76.3,2.03,0.69,1.33,0.07,-2.9
196,1294153041,X. Rivera,Xavier Rivera,Rivera,Xavier,C,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,13,1,7,4,1,73.1,2.12,0.78,1.37,2.97,6.3
215,1204947200,M. Klein,Matt Klein,Klein,Matt,C,University of Louisville,LOU,5467,Louisville,BBC,L,R,14,5,15,9,2,79.9,1.95,0.70,1.24,0.65,-0.7
215,1324687360,M. Mallas,Michael Mallas,Mallas,Michael,C,Towson University,TOWS,730318336,Towson,BBC,R,R,14,7,10,6,2,78.9,2.01,0.71,1.29,2.61,2.5
215,1135899136,Z. Munton,Zach Munton,Munton,Zach,C,Butler University,BUT,730283520,Butler,BBC,L,R,14,6,5,3,2,79.0,1.99,0.73,1.26,2.73,1.5
215,1258255104,R. Tayman,Ryan Tayman,Tayman,Ryan,C,University of California,CAL,730152448,California,BBC,R,R,14,3,12,9,2,75.8,2.04,0.73,1.32,0.82,0.4
215,1179735808,W. Jesske,Will Jesske,Jesske,Will,C,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,14,3,11,7,0,79.0,2.05,0.87,1.18,0.59,5.9
215,1074241280,D. Carr,Davis Carr,Carr,Davis,C,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,14,2,1,0,0,80.6,-,-,-,-,-
215,1306904321,J. Kennett,JJ Kennett,Kennett,JJ,C,Baylor University,BAY,3033,Baylor,BBC,R,R,14,2,12,8,2,79.9,2.05,0.80,1.24,2.78,2.9
215,1196788992,H. Perry,Hayden Perry,Perry,Hayden,C,Samford University,SAM,730386432,Samford,BBC,R,R,14,2,7,3,3,77.3,2.07,0.75,1.32,2.08,2.2
215,1310859520,J. Valdez,Josue Valdez,Valdez,Josue,C,Villanova University,VILL,730278400,Villanova,BBC,R,R,14,0,10,6,3,75.1,2.20,0.90,1.29,3.52,1.1
215,1271046400,J. Gibson,Jayden Gibson,Gibson,Jayden,C,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,14,3,3,2,0,74.5,2.04,0.73,1.31,-0.01,0.4
215,1188071936,E. Culp,Easton Culp,Culp,Easton,C,Lamar University,LAM,730162432,Lamar,BBC,R,R,14,1,4,2,0,75.6,2.13,0.81,1.32,0.13,-1.9
215,1725721248,C. Palmeri,Cole Palmeri,Palmeri,Cole,C,University of Richmond,RICH,730171904,Richmond,BBC,R,R,14,6,11,4,2,79.2,2.03,0.79,1.21,1.70,3.8
215,1683790219,C. Papetti,Cameron Papetti,Papetti,Cameron,C,Bryant University,BRY,730266880,Bryant,BBC,R,R,14,6,7,3,1,77.7,2.03,0.74,1.27,2.85,0.8
215,1342167803,T. Tyson,Tagger Tyson,Tyson,Tagger,C,University of Louisville,LOU,5467,Louisville,BBC,R,R,14,3,10,3,2,78.7,2.08,0.83,1.28,1.55,-3.3
215,1601342214,R. Wegrzyn,Robert Wegrzyn,Wegrzyn,Robert,C,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,14,2,6,2,0,77.2,2.35,0.80,1.31,-0.30,-0.2
215,1097334050,C. Fralick,Chase Fralick,Fralick,Chase,C,Auburn University,AUB,5466,Auburn,BBC,L,R,14,8,13,8,4,78.7,2.11,0.83,1.27,2.49,2.6
215,1600351085,R. Jones,Ryan Jones,Jones,Ryan,C,Canisius College,CAN,730218752,Canisius,BBC,R,R,14,1,8,3,2,78.3,2.05,0.79,1.25,2.42,3.1
215,1342167005,X. Rios,Xavier Rios,Rios,Xavier,C,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,14,4,10,3,5,78.2,2.13,0.87,1.26,3.40,1.1
215,1342166905,O. Arias,Owen Arias,Arias,Owen,C,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,14,3,1,1,0,73.6,2.22,0.89,1.33,1.98,6.4
234,1228209408,C. Brown,Colin Brown,Brown,Colin,C,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,15,4,8,3,4,76.3,2.03,0.87,1.33,4.47,2.2
234,1301451776,E. Sullivan,Evin Sullivan,Sullivan,Evin,C,Binghamton University,BING,730155776,Binghamton,BBC,R,R,15,8,12,9,2,81.3,1.98,0.78,1.20,3.30,2.2
234,1117733376,R. Butler,Rob Butler,Butler,Rob,C,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,15,3,8,2,0,77.3,2.01,0.74,1.30,2.87,7.2
234,1110083328,B. Ries,Benji Ries,Ries,Benji,C,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,15,2,3,3,0,71.7,2.18,0.74,1.44,2.20,4.8
234,1126571008,J. Rodriguez,Jorge Rodriguez,Rodriguez,Jorge,C,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,15,6,4,3,1,74.5,2.09,0.73,1.36,1.42,-1.2
234,1336609280,T. Schuyler,TJ Schuyler,Schuyler,TJ,C,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,15,9,17,12,2,82.1,1.95,0.75,1.22,2.99,5.1
234,1273292544,A. Sundean,Andrew Sundean,Sundean,Andrew,C,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,15,1,9,5,2,78.0,2.12,0.80,1.30,1.46,1.8
234,1145593856,A. Munguia,Austin Munguia,Munguia,Austin,C,Texas State University,TXST,5420,Texas State,BBC,R,R,15,4,9,7,1,77.3,2.12,0.80,1.31,0.48,-0.5
234,1235518208,C. McGinnis,Coleman McGinnis,McGinnis,Coleman,C,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,15,2,3,0,2,81.2,2.06,0.83,1.23,6.02,4.2
234,1116254976,N. McHugh,Nate McHugh,McHugh,Nate,C,Creighton University,CREI,730243840,Creighton,BBC,R,R,15,6,15,7,4,80.0,2.04,0.76,1.26,2.35,2.8
234,1100189184,J. Quinlan,Jack Quinlan,Quinlan,Jack,C,Army West Point,ARMY,4744,Army,BBC,R,R,15,8,17,8,3,73.9,2.15,0.78,1.34,1.63,5.6
234,1488159270,R. Tejeda,Richard Tejeda,Tejeda,Richard,C,University of Southern California,USC,5047,USC,BBC,R,R,15,9,13,8,2,77.5,2.25,1.00,1.25,2.26,3.6
234,1197139488,R. Feliz,Raul Feliz,Feliz,Raul,C,Wofford College,WOF,730176512,Wofford,BBC,R,R,15,2,7,5,0,70.2,2.26,0.83,1.41,-0.17,-1.6
234,1072962199,T. Cupp,Ty Cupp,Cupp,Ty,C,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,15,3,2,0,1,74.5,2.12,0.90,1.33,1.05,10.5
234,1394676085,R. Hoeft,Ryan Hoeft,Hoeft,Ryan,C,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,15,0,0,0,0,-,-,-,-,-,-
234,1775962873,C. Dunn,Christian Dunn,Dunn,Christian,C,Grambling State University,GRAM,5378,Grambling State,BBC,R,R,15,1,0,0,0,-,-,-,-,-,-
250,1118859776,M. Spear,Matt Spear,Spear,Matt,C,University of Michigan,MICH,2290,Michigan,BBC,L,R,16,12,21,16,3,81.4,2.04,0.78,1.24,3.09,4.1
250,1162575872,C. Castle,Cortlan Castle,Castle,Cortlan,C,Baylor University,BAY,3033,Baylor,BBC,R,R,16,4,15,11,3,78.6,2.07,0.80,1.27,3.70,3.0
250,1310534912,M. Suppa,Matthew Suppa,Suppa,Matthew,C,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,16,7,5,1,1,75.7,2.12,0.70,1.40,5.26,3.3
250,1153422080,B. Walmsley,Brett Walmsley,Walmsley,Brett,C,University of Delaware,DEL,730203136,Delaware,BBC,R,R,16,2,10,8,1,77.4,2.17,0.89,1.27,1.24,1.3
250,1132728576,M. Graveline,Matthew Graveline,Graveline,Matthew,LF,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,16,4,17,11,0,80.3,1.92,0.71,1.21,1.58,0.9
250,1116084736,M. Chavez,Matthew Chavez,Chavez,Matthew,C,California Baptist University,CBU,5091,California Baptist,BBC,R,R,16,9,14,6,3,76.8,2.09,0.83,1.24,1.69,-5.8
250,1334084096,S. Verburg,Spencer Verburg,Verburg,Spencer,C,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,16,4,7,5,2,78.7,2.17,0.87,1.30,2.97,0.0
250,1134316032,J. Lind,Jackson Lind,Lind,Jackson,C,Seattle University,SEA,4504,Seattle,BBC,L,R,16,4,8,5,2,76.8,2.30,1.04,1.24,2.46,3.2
250,1100940032,C. Chavez,Carson Chavez,Chavez,Carson,C,Fordham University,FOR,730324992,Fordham,BBC,R,R,16,2,8,3,2,72.7,2.22,0.80,1.40,2.35,5.5
250,1174781696,B. Penso,Blake Penso,Penso,Blake,C,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,16,8,8,6,0,77.2,2.11,0.92,1.15,2.03,2.1
250,1306896896,N. Miller,Noah Miller,Miller,Noah,C,University of Michigan,MICH,2290,Michigan,BBC,R,R,16,5,13,6,5,81.2,2.08,0.91,1.16,3.24,-1.2
250,1698176328,B. Grizzaffi,Bryce Grizzaffi,Grizzaffi,Bryce,C,Lamar University,LAM,730162432,Lamar,BBC,R,R,16,7,13,9,2,80.9,2.02,0.90,1.16,3.12,3.6
250,1162140416,B. Shealor,Bennett Shealor,Shealor,Bennett,C,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,16,6,7,3,2,75.2,2.20,0.85,1.33,3.89,-1.4
250,1357578380,J. Lang,Jacob Lang,Lang,Jacob,C,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,16,6,16,10,3,76.3,2.01,0.76,1.26,2.34,3.2
250,1408572322,J. Elliot,John Elliot,Elliot,John,C,University of Southern California,USC,5047,USC,BBC,R,R,16,8,15,5,5,79.8,2.21,0.89,1.25,1.54,-2.8
250,1664447366,F. Gonzalez,Felix Gonzalez,Gonzalez,Felix,C,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,16,5,7,4,0,77.7,1.84,0.81,1.04,3.24,2.3
266,1212862976,S. Lancia,Steven Lancia,Lancia,Steven,C,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,17,13,6,5,0,80.6,1.95,0.70,1.25,0.98,0.5
266,1097597952,C. Carr,Cade Carr,Carr,Cade,C,Samford University,SAM,730386432,Samford,BBC,R,R,17,4,7,4,1,75.4,2.07,0.78,1.25,2.20,2.6
266,1255842560,A. Birge,Alex Birge,Birge,Alex,C,University of California,CAL,730152448,California,BBC,L,R,17,9,20,16,1,82.1,2.01,0.80,1.20,1.70,1.6
266,1300425984,T. Sheridan,Tommy Sheridan,Sheridan,Tommy,C,Canisius College,CAN,730218752,Canisius,BBC,R,R,17,1,3,1,0,81.6,2.29,0.88,1.23,4.68,2.1
266,1297587968,J. West,Jaxson West,West,Jaxson,C,Florida State University,FSU,101,Florida State,BBC,L,R,17,5,11,6,2,78.1,2.18,0.92,1.30,2.43,2.4
266,1294953472,M. Ortega,Max Ortega,Ortega,Max,C,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,17,6,14,8,5,75.6,2.14,0.82,1.32,2.71,-1.9
266,1336547840,M. Zelenka,Martin Zelenka,Zelenka,Martin,C,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,17,2,8,5,2,76.7,2.16,0.85,1.30,0.83,2.3
266,1269477888,J. Arcamone,Jack Arcamone,Arcamone,Jack,C,University of Richmond,RICH,730171904,Richmond,BBC,L,R,17,5,16,5,4,81.3,2.05,0.87,1.19,2.76,-1.4
266,1310418944,B. Timmons,Brendan Timmons,Timmons,Brendan,C,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,17,0,0,0,0,-,-,-,-,-,-
266,1258112768,J. Jones,JD Jones,Jones,JD,C,Rutgers University,RUTG,730229248,Rutgers,BBC,R,R,17,4,15,10,3,77.7,1.96,0.74,1.24,1.65,3.2
266,1084952576,A. Mckenna,Andrew Mckenna,Mckenna,Andrew,C,Tulane University,TULN,730354176,Tulane,BBC,L,R,17,5,15,5,4,77.5,2.05,0.71,1.30,3.00,2.6
266,1202717696,D. LaPointe,Dylan LaPointe,LaPointe,Dylan,C,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,R,R,17,7,6,4,0,81.1,2.02,0.79,1.23,0.49,-1.4
266,1304695552,C. Morrison,Cam Morrison,Morrison,Cam,C,Stonehill College,SC,730238464,Stonehill,BBC,R,R,17,2,3,0,0,74.7,-,0.78,-,-,-
266,1179417088,M. Aude,Max Aude,Aude,Max,C,Pepperdine University,PEPP,730338304,Pepperdine,BBC,L,R,17,5,14,9,4,77.5,2.13,0.83,1.31,3.07,0.2
266,1099145984,R. Galvan,Rylan Galvan,Galvan,Rylan,C,University of Texas,TEX,245,Texas,BBC,R,R,17,13,20,8,5,80.2,2.11,0.87,1.26,2.77,-0.1
266,1256876800,C. Price,Connor Price,Price,Connor,C,Georgetown University,GTWN,2330,Georgetown,BBC,R,R,17,2,0,0,0,-,-,-,-,-,-
266,1077998080,C. Campbell,Cole Campbell,Campbell,Cole,C,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,17,2,5,4,1,79.3,2.26,1.02,1.25,1.62,0.5
266,1330788352,R. Becker,Ryan Becker,Becker,Ryan,C,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,17,7,15,11,1,77.4,2.11,0.79,1.32,1.47,3.2
266,1150057472,L. Melton,Luke Melton,Melton,Luke,C,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,17,4,3,2,0,76.1,2.24,0.84,1.36,3.24,2.3
266,1104780104,N. Voss,Nate Voss,Voss,Nate,C,Penn State University,PSU,5326,Penn State,BBC,R,R,17,9,17,9,4,75.8,1.98,0.64,1.33,2.17,4.9
266,1162550784,M. Strong,Mason Strong,Strong,Mason,C,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,17,4,10,6,4,79.8,2.06,0.81,1.25,3.62,-2.0
266,1233296853,J. Junnila,Jaxon Junnila,Junnila,Jaxon,C,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,17,1,11,4,3,83.5,1.88,0.82,1.12,3.65,1.7
266,1362804194,C. Marisca,Charlie Marisca,Marisca,Charlie,C,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,L,R,17,0,6,3,2,77.4,2.09,0.77,1.32,5.31,0.2
266,1605735467,T. Spainhoward,Trevor Spainhoward,Spainhoward,Trevor,C,California Baptist University,CBU,5091,California Baptist,BBC,R,R,17,12,19,13,1,79.0,1.94,0.70,1.24,2.02,1.4
266,1222218338,C. Griggs,CJ Griggs,Griggs,CJ,C,Hofstra University,HOF,730245120,Hofstra,BBC,L,R,17,2,4,2,1,76.1,2.15,0.83,1.33,1.53,6.3
291,1220509952,G. Mangrum,Grant Mangrum,Mangrum,Grant,C,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,18,11,15,5,3,80.0,1.97,0.75,1.25,5.65,-0.5
291,1140688384,J. Stadler,Jake Stadler,Stadler,Jake,C,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,R,18,4,15,6,4,79.0,2.04,0.76,1.27,3.28,3.3
291,1101830656,J. Ference,Jacob Ference,Ference,Jacob,C,University of Virginia,UVA,5415,Virginia,BBC,R,R,18,5,18,14,1,80.2,1.99,0.75,1.25,2.89,3.2
291,1137369344,J. Luetzow,Johnny Luetzow,Luetzow,Johnny,C,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,18,10,16,7,2,76.9,2.08,0.79,1.29,3.71,2.2
291,1300163072,N. DeLisi,Nick DeLisi,DeLisi,Nick,C,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,18,1,6,1,1,75.3,1.98,0.69,1.33,-0.03,9.4
291,1297336320,E. Kligman,Elie Kligman,Kligman,Elie,C,Sacramento State University,SAC,730293760,Sacramento State,BBC,S,R,18,4,13,10,0,78.4,2.07,0.79,1.27,1.93,0.6
291,1307928832,D. McCann,David McCann,McCann,David,C,Virginia Tech,VT,2293,Virginia Tech,BBC,L,R,18,1,9,5,2,80.1,1.96,0.72,1.26,5.02,-0.1
291,1334315264,M. Maloney,Matt Maloney,Maloney,Matt,C,Penn State University,PSU,5326,Penn State,BBC,L,R,18,6,15,10,2,75.6,2.12,0.77,1.34,2.09,2.7
291,1090062592,J. Gregson,JD Gregson,Gregson,JD,C,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,18,8,2,1,1,78.9,2.04,0.72,1.32,2.08,11.2
291,1310976000,I. Collier,Ian Collier,Collier,Ian,C,Texas State University,TXST,5420,Texas State,BBC,R,R,18,5,16,5,6,78.0,2.06,0.89,1.19,3.40,-1.4
291,1310373632,E. Fouraker,Eric Fouraker,Fouraker,Eric,C,University of North Florida,UNF,730296832,North Florida,BBC,R,R,18,2,5,2,3,78.2,2.14,0.84,1.30,6.79,10.2
291,1238275328,C. Griffith,Cole Griffith,Griffith,Cole,C,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,18,0,8,3,3,76.9,1.98,0.78,1.21,1.91,9.4
291,1207804160,S. McGahan,Shea McGahan,McGahan,Shea,C,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,18,8,16,8,7,79.0,2.09,0.81,1.27,2.22,2.9
291,1278162432,P. Mendiola,Patrick Mendiola,Mendiola,Patrick,C,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,18,4,4,1,0,76.2,2.00,0.73,1.36,-0.03,0.1
291,1146205440,B. Chang,Brandon Chang,Chang,Brandon,C,Brown University,BRWN,730236160,Brown,BBC,R,R,18,8,17,7,4,75.8,2.05,0.76,1.29,1.58,-0.5
291,1588775792,B. Williams,Brodey Williams,Williams,Brodey,C,University of New Mexico,UNM,730153472,New Mexico,BBC,L,R,18,8,11,5,3,76.9,2.02,0.75,1.28,2.38,-0.4
291,1498084241,T. Payne II,Tevis Payne II,Payne II,Tevis,C,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,18,8,10,7,2,78.2,2.04,0.76,1.27,2.49,2.4
291,1590045009,Z. Goodwin,Zak Goodwin,Goodwin,Zak,C,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,L,R,18,7,11,6,1,75.7,2.08,0.80,1.25,1.27,-0.9
291,1528976272,M. Wray,Mason Wray,Wray,Mason,C,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,18,5,7,3,2,78.6,2.04,0.78,1.28,1.29,5.4
291,1342167432,R. Schuerman,Rece Schuerman,Schuerman,Rece,C,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,18,7,11,9,1,79.6,2.05,0.78,1.27,1.70,4.3
291,1968991292,M. Conte,Matt Conte,Conte,Matt,C,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,18,1,10,4,1,81.4,2.09,0.82,1.22,2.34,0.1
291,1601928520,J. Golden,Jackson Golden,Golden,Jackson,C,Marshall University,MRSH,730333696,Marshall,BBC,R,R,18,1,7,4,2,76.4,2.16,0.85,1.30,1.89,-1.9
291,1573222752,B. Short,Brodie Short,Short,Brodie,C,Lindenwood University,LU,730322176,Lindenwood,BBC,L,R,18,3,2,0,0,79.6,-,0.83,-,-,-
291,1896537632,B. Harrison,Bear Harrison,Harrison,Bear,C,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,18,7,11,5,4,73.9,2.17,0.90,1.21,3.14,-1.0
291,1906304561,B. Burke,Brendan Burke,Burke,Brendan,C,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,18,3,10,4,3,78.0,2.24,0.98,1.22,3.71,3.5
316,1176013056,Q. Ahearn,Qwynn Ahearn,Ahearn,Qwynn,C,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,19,5,15,7,5,80.2,2.17,0.90,1.22,4.42,-1.2
