Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,AB,HLeft%,HCtr%,HRight%,HPull%,HOppFld%,HFarLft%,HLftCtr%,HDeadCtr%,HRtCtr%,HFarRt%
32,1149176320,A. Kanellis,Andrew Kanellis,Kanellis,Andrew,RF,Fordham University,FOR,730324992,Fordham,BBC,R,R,58,212,54.5%,30.5%,14.9%,54.5%,14.9%,30.5%,27.3%,24.0%,10.4%,7.8%
32,1170236928,E. Brown,Eli Brown,Brown,Eli,LF,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,52,166,54.5%,34.3%,11.1%,54.5%,11.1%,36.4%,26.3%,21.2%,9.1%,7.1%
34,1340677888,L. Rick,Lucas Rick,Rick,Lucas,1B,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,46,149,54.2%,28.8%,16.9%,54.2%,16.9%,32.2%,25.4%,25.4%,6.8%,10.2%
35,1813453419,J. Durso,Joe Durso,Durso,Joe,C,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,54,190,54.1%,29.5%,16.4%,54.1%,16.4%,36.1%,23.8%,19.7%,11.5%,9.0%
36,1342170007,S. Mummau,Sammy Mummau,Mummau,Sammy,SS,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,56,180,54.1%,28.6%,17.3%,54.1%,17.3%,31.6%,30.6%,16.3%,14.3%,7.1%
37,1598424062,C. Dierdorf,Carter Dierdorf,Dierdorf,Carter,1B,University of West Georgia,UOWG,730308864,West Georgia,BBC,L,L,51,189,13.5%,32.4%,54.1%,54.1%,13.5%,7.2%,12.6%,13.5%,31.5%,35.1%
38,1263704064,D. Nevar,Dylan Nevar,Nevar,Dylan,LF,Western Michigan University,WMU,730165248,Western Michigan,BBC,L,L,50,193,18.0%,28.1%,53.9%,53.9%,18.0%,10.1%,11.2%,13.5%,34.8%,30.3%
39,1356952261,E. Esquivel,Eddison Esquivel,Esquivel,Eddison,P,University of San Francisco,SF,730365696,San Francisco,BBC,L,L,47,163,17.4%,28.7%,53.9%,53.9%,17.4%,7.0%,13.9%,18.3%,34.8%,26.1%
40,1867932206,K. Jorge,Kainen Jorge,Jorge,Kainen,RF,Old Dominion University,ODU,3090,Old Dominion,BBC,R,R,53,199,53.8%,29.2%,17.0%,53.8%,17.0%,34.0%,27.4%,17.9%,12.3%,8.5%
41,1170584576,E. Leon,Eddie Leon,Leon,Eddie,3B,Marshall University,MRSH,730333696,Marshall,BBC,R,R,59,226,53.7%,26.8%,19.5%,53.7%,19.5%,29.9%,30.5%,17.1%,12.8%,9.8%
42,1149141760,C. Smith,Cole Smith,Smith,Cole,2B,Youngstown State University,YSU,730284544,Youngstown State,BBC,L,R,56,199,15.2%,31.2%,53.6%,53.6%,15.2%,8.7%,12.3%,15.9%,35.5%,27.5%
43,1083748096,S. Mueller,Sebastian Mueller,Mueller,Sebastian,3B,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,56,219,53.3%,26.2%,20.5%,53.3%,20.5%,35.2%,23.8%,15.6%,13.1%,12.3%
44,1207764736,N. Schubart,Nolan Schubart,Schubart,Nolan,RF,Oklahoma State University,OKST,4245,Oklahoma State,BBC,L,R,55,200,22.3%,24.5%,53.2%,53.2%,22.3%,8.6%,14.4%,18.7%,26.6%,31.7%
45,1237037056,R. Christiansen,Ryan Christiansen,Christiansen,Ryan,RF,Sacramento State University,SAC,730293760,Sacramento State,BBC,L,R,57,207,15.2%,31.9%,52.9%,52.9%,15.2%,7.2%,14.5%,19.6%,26.8%,31.9%
46,1123951360,K. McIntosh,Kyler McIntosh,McIntosh,Kyler,TWP,Alabama State University,ALST,4765,Alabama State,BBC,R,R,58,228,52.8%,30.2%,17.0%,52.8%,17.0%,27.0%,37.1%,15.7%,10.1%,10.1%
46,1178179328,P. Curtis,Preston Curtis,Curtis,Preston,RF,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,51,184,52.8%,31.1%,16.0%,52.8%,16.0%,32.1%,31.1%,16.0%,11.3%,9.4%
48,1304090880,F. Sarota,Filip Sarota,Sarota,Filip,LF,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,58,223,52.7%,34.5%,12.7%,52.7%,12.7%,24.5%,37.3%,18.2%,12.7%,7.3%
