Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,AB,HLeft%,HCtr%,HRight%,HPull%,HOppFld%,HFarLft%,HLftCtr%,HDeadCtr%,HRtCtr%,HFarRt%
1077,1306732288,D. Grego,Dylan Grego,Grego,Dylan,SS,Ball State University,BALL,730195456,Ball State,BBC,S,R,58,242,26.8%,33.8%,39.4%,36.6%,29.6%,15.5%,19.0%,18.3%,23.9%,23.2%
1078,1139894784,C. Garate,Carter Garate,Garate,Carter,3B,University of Oregon,ORE,4807,Oregon,BBC,L,R,58,180,28.1%,35.3%,36.6%,36.6%,28.1%,17.0%,16.3%,19.6%,24.2%,22.9%
1079,1084020224,B. Loriga,Bryan Loriga,Loriga,Bryan,3B,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,52,213,36.6%,34.8%,28.7%,36.6%,28.7%,20.7%,28.7%,12.8%,23.2%,14.6%
1080,1108320808,E. Watson,Eli Watson,Watson,Eli,LF,Bellarmine University,BU,730167552,Bellarmine,BBC,L,R,54,183,19.4%,44.1%,36.6%,36.6%,19.4%,9.7%,18.3%,29.0%,26.9%,16.1%
1080,1621316682,J. Pagano,Joey Pagano,Pagano,Joey,LF,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,L,R,46,167,22.6%,40.9%,36.6%,36.6%,22.6%,15.1%,14.0%,30.1%,22.6%,18.3%
1080,1842721780,J. Hale,John Hale,Hale,John,CF,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,45,167,36.6%,45.2%,18.3%,36.6%,18.3%,22.6%,23.7%,28.0%,17.2%,8.6%
1083,1162384896,G. Fitzwater,Grayson Fitzwater,Fitzwater,Grayson,1B,Virginia Military Institute,VMI,730173440,VMI,BBC,L,L,52,206,20.5%,42.9%,36.5%,36.5%,20.5%,13.5%,13.5%,25.0%,26.9%,21.2%
1083,1229569280,T. Cruz,Trey Cruz,Cruz,Trey,LF,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,L,R,43,152,21.2%,42.3%,36.5%,36.5%,21.2%,12.5%,17.3%,23.1%,25.0%,22.1%
1083,1717911281,D. Arambula,Daniel Arambula,Arambula,Daniel,3B,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,59,227,36.5%,42.9%,20.5%,36.5%,20.5%,17.9%,26.3%,27.6%,16.0%,12.2%
1086,1263412992,J. Hankins,Josh Hankins,Hankins,Josh,3B,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,52,210,36.5%,39.3%,24.2%,36.5%,24.2%,15.7%,30.9%,21.3%,24.2%,7.9%
1087,1260798720,H. Kaczmar,Henry Kaczmar,Kaczmar,Henry,SS,University of South Carolina,SCAR,730348544,South Carolina,BBC,L,R,53,181,22.6%,40.9%,36.5%,36.5%,22.6%,10.9%,16.8%,27.0%,27.0%,18.2%
1088,1123968768,J. Lobliner,Jayden Lobliner,Lobliner,Jayden,C,University of San Diego,USD,5320,San Diego,BBC,R,R,52,192,36.5%,35.8%,27.7%,36.5%,27.7%,22.3%,21.6%,24.3%,22.3%,9.5%
1089,1099691776,W. Sykes,Wells Sykes,Sykes,Wells,RF,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,63,189,36.5%,40.3%,23.3%,36.5%,23.3%,22.0%,22.0%,24.5%,21.4%,10.1%
1090,1201261824,T. Cerny,Tyler Cerny,Cerny,Tyler,SS,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,55,203,36.5%,42.4%,21.2%,36.5%,21.2%,18.8%,30.0%,23.5%,16.5%,11.2%
1091,1083611136,W. Clark,Wallace Clark,Clark,Wallace,SS,Duke University,DUKE,730336256,Duke,BBC,S,R,60,225,22.9%,42.7%,34.4%,36.5%,20.8%,13.0%,17.7%,25.0%,24.0%,20.3%
1092,1104495104,M. Heusohn,Marcus Heusohn,Heusohn,Marcus,1B,McNeese State University,MCNS,730285056,McNeese State,BBC,L,L,48,168,30.2%,33.3%,36.4%,36.4%,30.2%,16.3%,17.8%,22.5%,19.4%,24.0%
1092,1263600384,A. Amato,Andrew Amato,Amato,Andrew,LF,University of Delaware,DEL,730203136,Delaware,BBC,L,R,53,197,27.9%,35.7%,36.4%,36.4%,27.9%,11.6%,23.3%,19.4%,26.4%,19.4%
1094,1464777856,Y. Carreras,Yomar Carreras,Carreras,Yomar,SS,Rutgers University,RUTG,730229248,Rutgers,BBC,S,R,45,165,32.1%,32.9%,35.0%,36.4%,30.7%,17.9%,19.3%,22.9%,22.1%,17.9%
1095,1957652832,F. Stewart,Finnegan Stewart,Stewart,Finnegan,RF,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,53,181,36.4%,37.1%,26.5%,36.4%,26.5%,16.6%,27.8%,21.2%,18.5%,15.9%
1096,1583561964,J. Poturnak,Jakob Poturnak,Poturnak,Jakob,3B,Sacramento State University,SAC,730293760,Sacramento State,BBC,R,R,58,233,36.4%,37.0%,26.6%,36.4%,26.6%,16.8%,28.3%,20.8%,16.8%,17.3%
1097,1287384576,J. Smith,Jayden Smith,Smith,Jayden,CF,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,53,208,36.4%,42.0%,21.7%,36.4%,21.7%,24.5%,23.8%,21.0%,18.9%,11.9%
1097,1263905792,R. Moya,Robert Moya,Moya,Robert,1B,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,R,R,45,172,36.4%,31.1%,32.6%,36.4%,32.6%,18.9%,24.2%,19.7%,20.5%,16.7%
1097,1243350016,J. Rickheim,Jack Rickheim,Rickheim,Jack,SS,Harvard University,HARV,5450,Harvard,BBC,R,R,42,156,36.4%,39.7%,24.0%,36.4%,24.0%,20.7%,26.4%,24.0%,16.5%,12.4%
1097,1075201536,C. Smith,Christian Smith,Smith,Christian,LF,High Point University,HP,730321152,High Point,BBC,L,L,58,196,28.0%,35.6%,36.4%,36.4%,28.0%,15.9%,18.2%,20.5%,22.7%,22.7%
1097,1341291776,Z. Chamizo,Zach Chamizo,Chamizo,Zach,3B,San Jose State University,SJSU,730206720,San Jose State,BBC,L,R,55,215,24.0%,39.7%,36.4%,36.4%,24.0%,13.2%,19.8%,22.3%,22.3%,22.3%
1097,1262667264,M. Levu,Mulivai Levu,Levu,Mulivai,1B,UCLA,UCLA,5048,UCLA,BBC,L,R,66,272,21.2%,42.4%,36.4%,36.4%,21.2%,9.5%,21.2%,22.1%,27.3%,19.9%
1103,1178073344,A. Taurek,Aiden Taurek,Taurek,Aiden,LF,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,61,235,36.3%,39.3%,24.4%,36.3%,24.4%,23.4%,18.9%,23.9%,21.4%,12.4%
1104,1278153216,B. Wilmes,Ben Wilmes,Wilmes,Ben,LF,University of Iowa,IOWA,1232,Iowa,BBC,R,R,52,197,36.3%,32.1%,31.5%,36.3%,31.5%,17.3%,25.6%,17.9%,20.2%,19.0%
1105,1635128394,D. Rogers,Daniel Rogers,Rogers,Daniel,C,University of Iowa,IOWA,1232,Iowa,BBC,L,R,54,171,26.7%,37.0%,36.3%,36.3%,26.7%,13.3%,23.0%,18.5%,23.7%,21.5%
1105,1278316989,J. Sorenson,Jaxon Sorenson,Sorenson,Jaxon,1B,Liberty University,LIB,730156288,Liberty,BBC,L,R,56,209,22.2%,41.5%,36.3%,36.3%,22.2%,10.4%,20.7%,23.0%,25.2%,20.7%
1107,1195475456,T. Howard,Tyler Howard,Howard,Tyler,C,University of Portland,PORT,730360320,Portland,BBC,R,R,39,153,36.3%,43.5%,20.2%,36.3%,20.2%,13.7%,32.3%,29.0%,15.3%,9.7%
1107,1258112000,M. Sargent,Myles Sargent,Sargent,Myles,2B,University of Maine,ME,730275840,Maine,BBC,R,R,47,165,36.3%,35.5%,28.2%,36.3%,28.2%,16.1%,27.4%,21.8%,20.2%,14.5%
1107,1132856543,M. Rollison,Matthew Rollison,Rollison,Matthew,3B,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,51,165,36.3%,45.2%,18.5%,36.3%,18.5%,25.8%,22.6%,21.8%,20.2%,9.7%
1110,1086301952,B. Arnette,Bryson Arnette,Arnette,Bryson,3B,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,56,210,36.3%,38.9%,24.8%,36.3%,24.8%,18.6%,27.4%,16.8%,25.7%,11.5%
1110,1428244453,J. Mislan,Jack Mislan,Mislan,Jack,LF,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,45,166,36.3%,34.5%,29.2%,36.3%,29.2%,16.8%,29.2%,23.0%,16.8%,14.2%
1112,1007910647,L. Matthews,Luke Matthews,Matthews,Luke,SS,Kent State University,KENT,730315008,Kent State,BBC,R,R,43,164,36.3%,37.4%,26.4%,36.3%,26.4%,20.9%,25.3%,19.8%,18.7%,15.4%
1113,1848836452,N. Grawe,Nolan Grawe,Grawe,Nolan,3B,South Dakota State University,SDST,730323200,South Dakota State,BBC,L,R,51,201,26.3%,37.5%,36.3%,36.3%,26.3%,10.6%,22.5%,25.6%,25.0%,16.3%
1114,1192537344,J. Urban,Joseph Urban,Urban,Joseph,CF,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,53,174,36.2%,35.5%,28.3%,36.2%,28.3%,14.5%,31.2%,18.8%,15.9%,19.6%
1114,1126855680,B. Cavill,Blake Cavill,Cavill,Blake,1B,Troy University,TROY,730378496,Troy,BBC,L,R,58,194,26.8%,37.0%,36.2%,36.2%,26.8%,13.8%,16.7%,21.7%,30.4%,17.4%
1114,1382478906,G. Petrucelli,Gabe Petrucelli,Petrucelli,Gabe,2B,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,54,188,24.6%,39.1%,36.2%,36.2%,24.6%,17.4%,14.5%,20.3%,29.0%,18.8%
1117,1149963264,C. Wallace,Colby Wallace,Wallace,Colby,TWP,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,62,243,36.2%,35.7%,28.1%,36.2%,28.1%,18.9%,24.0%,25.0%,15.8%,16.3%
1118,1207803904,K. Denty,Kevin Denty,Denty,Kevin,RF,Valparaiso University,VALP,730369536,Valparaiso,BBC,L,R,49,167,26.0%,37.8%,36.2%,36.2%,26.0%,15.7%,22.0%,18.1%,22.8%,21.3%
1119,1324040192,B. Chance,Bryce Chance,Chance,Bryce,CF,Mississippi State University,MSST,5080,Mississippi State,BBC,R,R,58,208,36.2%,39.7%,24.1%,36.2%,24.1%,17.8%,24.1%,26.4%,16.7%,14.9%
1120,1205036800,T. Eisenstat,Tommy Eisenstat,Eisenstat,Tommy,1B,Gonzaga University,GONZ,730200832,Gonzaga,BBC,L,R,53,207,22.7%,41.1%,36.2%,36.2%,22.7%,11.0%,18.4%,20.9%,33.1%,16.6%
1121,1314632704,M. Cisco,Mason Cisco,Cisco,Mason,1B,Canisius College,CAN,730218752,Canisius,BBC,L,R,41,153,29.8%,34.0%,36.2%,36.2%,29.8%,12.8%,23.4%,21.3%,25.5%,17.0%
1121,1142594304,H. Thomas,Hunter Thomas,Thomas,Hunter,C,Morehead State University,MORE,730158080,Morehead State,BBC,R,R,53,228,36.2%,44.7%,19.1%,36.2%,19.1%,20.6%,29.8%,25.5%,14.9%,9.2%
1121,1139921664,J. Sparks,Jake Sparks,Sparks,Jake,3B,Siena College,SIE,730382592,Siena,BBC,L,R,54,214,21.3%,42.6%,36.2%,36.2%,21.3%,10.6%,14.9%,29.8%,25.5%,19.1%
1124,1207845632,G. Collins,Gavin Collins,Collins,Gavin,LF,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,L,41,155,36.2%,42.3%,21.5%,36.2%,21.5%,16.9%,29.2%,26.2%,20.8%,6.9%
1125,1100775680,C. Cannarella,Cam Cannarella,Cannarella,Cam,CF,Clemson University,CLEM,730358784,Clemson,BBC,L,R,61,232,26.2%,37.7%,36.1%,36.1%,26.2%,13.6%,20.9%,23.0%,27.7%,14.7%
1126,1224643840,R. Seymour,Randy Seymour,Seymour,Randy,SS,Michigan State University,MSU,1551,Michigan State,BBC,R,R,55,198,36.1%,40.8%,23.1%,36.1%,23.1%,20.1%,23.7%,26.0%,15.4%,14.8%
1126,1207467008,B. Stanley,Brett Stanley,Stanley,Brett,LF,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,53,205,36.1%,34.3%,29.6%,36.1%,29.6%,17.2%,30.2%,16.6%,26.0%,10.1%
1126,1167328256,M. Dieguez,Matthew Dieguez,Dieguez,Matthew,1B,Fordham University,FOR,730324992,Fordham,BBC,R,R,58,222,36.1%,43.2%,20.7%,36.1%,20.7%,19.5%,27.2%,24.3%,20.1%,8.9%
1129,1240776448,P. Herrera,Patrick Herrera,Herrera,Patrick,3B,University of Kentucky,UK,5362,Kentucky,BBC,R,R,52,160,36.1%,32.3%,31.6%,36.1%,31.6%,18.0%,25.6%,21.1%,15.0%,20.3%
1130,1185724160,C. Riley,Chandler Riley,Riley,Chandler,2B,UNC Charlotte,CHAR,730214400,Charlotte,BBC,L,R,55,208,23.4%,40.5%,36.1%,36.1%,23.4%,13.3%,17.1%,26.6%,25.9%,17.1%
1131,1085401344,B. Birchmeier,Brady Birchmeier,Birchmeier,Brady,1B,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,38,155,36.1%,41.0%,23.0%,36.1%,23.0%,19.7%,26.2%,26.2%,18.0%,9.8%
1132,1264004096,T. OConnor,Tommy OConnor,OConnor,Tommy,1B,University of Cincinnati,CIN,5465,Cincinnati,BBC,L,L,50,173,24.3%,39.6%,36.0%,36.0%,24.3%,11.7%,21.6%,19.8%,24.3%,22.5%
1133,1099808000,B. Molinaro,Bryce Molinaro,Molinaro,Bryce,3B,Penn State University,PSU,5326,Penn State,BBC,R,R,56,225,36.0%,37.3%,26.7%,36.0%,26.7%,21.7%,23.0%,21.1%,18.0%,16.1%
1133,1750930555,A. Piasecki,Aaron Piasecki,Piasecki,Aaron,2B,Central Michigan University,CMU,5342,Central Michigan,BBC,L,R,55,212,23.6%,40.4%,36.0%,36.0%,23.6%,12.4%,16.1%,21.1%,31.7%,18.6%
1135,1169252608,S. Kane,Sam Kane,Kane,Sam,CF,Seattle University,SEA,4504,Seattle,BBC,R,R,52,205,36.0%,42.4%,21.6%,36.0%,21.6%,20.8%,28.8%,23.2%,11.2%,16.0%
1135,1339593216,C. Jacobs,Clay Jacobs,Jacobs,Clay,RF,Ball State University,BALL,730195456,Ball State,BBC,L,R,56,144,25.3%,38.7%,36.0%,36.0%,25.3%,13.3%,22.7%,22.7%,18.7%,22.7%
1135,1245154816,D. Pendergrass,Dariyan Pendergrass,Pendergrass,Dariyan,CF,College of Charleston,COFC,730177792,College of Charleston,BBC,L,L,59,224,23.0%,41.0%,36.0%,36.0%,23.0%,11.0%,19.5%,23.0%,26.0%,20.5%
1135,1325212928,B. Thompson,Bryce Thompson,Thompson,Bryce,RF,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,46,139,36.0%,44.0%,20.0%,36.0%,20.0%,24.0%,12.0%,24.0%,32.0%,8.0%
1135,1197623808,C. Smith,Christian Smith,Smith,Christian,C,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,56,219,36.0%,43.2%,20.8%,36.0%,20.8%,24.8%,22.4%,22.4%,22.4%,8.0%
1135,1099878144,J. Campo,Jason Campo,Campo,Jason,1B,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,42,142,36.0%,36.0%,28.0%,36.0%,28.0%,20.0%,28.0%,18.0%,16.0%,18.0%
1135,1234194072,B. Hyde,Brennan Hyde,Hyde,Brennan,LF,Rutgers University,RUTG,730229248,Rutgers,BBC,R,R,50,172,36.0%,37.3%,26.7%,36.0%,26.7%,18.0%,25.3%,24.0%,18.0%,14.7%
1142,1795910842,N. Castellon,Nate Castellon,Castellon,Nate,SS,Cal Poly,CP,5487,Cal Poly,BBC,R,R,61,226,36.0%,38.3%,25.7%,36.0%,25.7%,22.9%,23.8%,20.1%,20.1%,13.1%
1143,1190295297,K. Aloy,Kuhio Aloy,Aloy,Kuhio,INF/OF,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,61,243,36.0%,45.1%,18.9%,36.0%,18.9%,20.1%,31.1%,23.8%,13.4%,11.6%
1144,1563240163,G. Kelly,Gavin Kelly,Kelly,Gavin,C,West Virginia University,WVU,5327,West Virginia,BBC,R,R,51,167,36.0%,41.7%,22.3%,36.0%,22.3%,14.4%,30.2%,28.8%,17.3%,9.4%
1145,1310831104,M. Russo,Matthew Russo,Russo,Matthew,1B,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,R,63,245,21.9%,42.2%,35.9%,35.9%,21.9%,8.9%,20.3%,29.2%,19.8%,21.9%
1146,1100719616,D. Bucciero,Daniel Bucciero,Bucciero,Daniel,3B,Fordham University,FOR,730324992,Fordham,BBC,R,R,58,225,35.9%,39.8%,24.3%,35.9%,24.3%,17.1%,27.6%,23.2%,19.9%,12.2%
1147,1304426498,E. Paulsen,Erik Paulsen,Paulsen,Erik,TWP,Stony Brook University,STON,730249984,Stony Brook,BBC,L,L,49,193,29.1%,35.0%,35.9%,35.9%,29.1%,14.5%,19.7%,18.8%,23.9%,23.1%
1148,1711212873,G. Roy,Gavin Roy,Roy,Gavin,SS,Washington State University,WSU,4505,Washington State,BBC,R,R,54,208,35.9%,38.8%,25.3%,35.9%,25.3%,15.9%,28.2%,21.2%,20.0%,14.7%
1149,1516396414,T. Bass,Tyson Bass,Bass,Tyson,RF,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,61,233,35.8%,39.0%,25.2%,35.8%,25.2%,18.9%,29.6%,23.3%,11.9%,16.4%
1150,1404304693,A. Irby,Austin Irby,Irby,Austin,1B,East Carolina University,ECU,730270720,East Carolina,BBC,L,R,62,208,30.6%,33.5%,35.8%,35.8%,30.6%,16.2%,19.7%,20.2%,28.3%,15.6%
1151,1268910485,L. Thiele,Luke Thiele,Thiele,Luke,3B,Washington State University,WSU,4505,Washington State,BBC,R,R,48,168,35.8%,28.3%,35.8%,35.8%,35.8%,13.3%,29.2%,18.3%,17.5%,21.7%
1152,1303371520,K. Caster,Kavi Caster,Caster,Kavi,LF,Georgetown University,GTWN,2330,Georgetown,BBC,L,L,55,205,31.3%,32.8%,35.8%,35.8%,31.3%,25.4%,13.4%,17.9%,20.9%,22.4%
1153,1090284544,P. Edwards,Parker Edwards,Edwards,Parker,P,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,54,189,35.8%,32.6%,31.6%,35.8%,31.6%,17.9%,26.3%,20.0%,20.0%,15.8%
1154,1432662328,C. Malamazian,Cooper Malamazian,Malamazian,Cooper,3B,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,50,172,35.8%,28.5%,35.8%,35.8%,35.8%,22.8%,19.5%,17.9%,22.0%,17.9%
1155,1310619904,C. Priest,Collin Priest,Priest,Collin,1B,Clemson University,CLEM,730358784,Clemson,BBC,L,R,59,196,14.6%,49.6%,35.8%,35.8%,14.6%,9.5%,12.4%,26.3%,31.4%,20.4%
1155,1892466609,C. Crowley,Colin Crowley,Crowley,Colin,3B,Winthrop University,WIN,730294784,Winthrop,BBC,L,R,55,167,26.3%,38.0%,35.8%,35.8%,26.3%,18.2%,9.5%,24.1%,28.5%,19.7%
1157,1301451776,E. Sullivan,Evin Sullivan,Sullivan,Evin,C,Binghamton University,BING,730155776,Binghamton,BBC,R,R,54,202,35.8%,39.4%,24.8%,35.8%,24.8%,17.6%,26.7%,24.8%,15.8%,15.2%
1158,1155640832,N. Humphreys,Nathan Humphreys,Humphreys,Nathan,CF,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,L,R,59,224,24.9%,39.4%,35.8%,35.8%,24.9%,13.5%,19.2%,23.3%,26.9%,17.1%
1158,1290121472,E. Hacopian,Eddie Hacopian,Hacopian,Eddie,3B,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,56,241,35.8%,38.9%,25.4%,35.8%,25.4%,20.7%,25.4%,20.2%,20.7%,13.0%
1160,1162119936,C. Taylor,Christian Taylor,Taylor,Christian,LF,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,49,176,35.7%,34.9%,29.4%,35.7%,29.4%,14.3%,31.0%,20.6%,21.4%,12.7%
1160,1272927744,K. Walker,Kyle Walker,Walker,Kyle,2B,Arizona State University,ASU,5035,Arizona State,BBC,R,R,56,217,35.7%,48.0%,16.3%,35.7%,16.3%,16.3%,32.1%,29.1%,13.3%,9.2%
1160,1187663360,A. Seguine,Alex Seguine,Seguine,Alex,SS,Little Rock,UALR,730217472,Little Rock,BBC,R,R,59,225,35.7%,40.3%,24.0%,35.7%,24.0%,22.4%,23.5%,23.0%,23.0%,8.2%
1160,1141044992,P. Link,Peter Link,Link,Peter,LF,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,48,178,35.7%,33.9%,30.4%,35.7%,30.4%,25.0%,21.4%,12.5%,32.1%,8.9%
1160,1099941376,B. Markinson,Bennett Markinson,Markinson,Bennett,C,Northwestern University,NW,730247680,Northwestern,BBC,R,R,52,177,35.7%,39.3%,25.0%,35.7%,25.0%,16.1%,29.2%,24.4%,17.9%,12.5%
1160,1178187776,K. Duncan,Kylan Duncan,Duncan,Kylan,2B,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,39,152,35.7%,42.9%,21.4%,35.7%,21.4%,14.3%,25.0%,28.6%,21.4%,10.7%
1160,1294950400,P. Brennan,Payton Brennan,Brennan,Payton,CF,UCLA,UCLA,5048,UCLA,BBC,L,R,50,195,22.1%,42.2%,35.7%,35.7%,22.1%,11.0%,20.1%,20.1%,28.6%,20.1%
1160,1143051776,B. Boser,Bobby Boser,Boser,Bobby,3B,University of Florida,FLA,730168320,Florida,BBC,R,R,61,238,35.7%,38.7%,25.6%,35.7%,25.6%,14.9%,31.0%,25.0%,17.9%,11.3%
1160,1342167995,M. Wolfe,Matt Wolfe,Wolfe,Matt,SS,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,50,158,35.7%,39.3%,25.0%,35.7%,25.0%,19.6%,18.8%,29.5%,22.3%,9.8%
1169,1342168678,A. Howard,Aden Howard,Howard,Aden,CF,University of San Diego,USD,5320,San Diego,BBC,S,R,56,206,35.7%,36.4%,28.0%,35.7%,28.0%,16.1%,24.5%,23.1%,23.1%,13.3%
1170,1248381322,M. McGann,Matt McGann,McGann,Matt,C,Oakland University,OAK,5386,Oakland,BBC,R,R,48,185,35.7%,36.5%,27.8%,35.7%,27.8%,15.7%,25.2%,24.3%,22.6%,12.2%
1171,1085384704,D. Patrizi,Dom Patrizi,Patrizi,Dom,SS,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,49,160,35.6%,42.6%,21.8%,35.6%,21.8%,21.8%,26.7%,22.8%,13.9%,14.9%
1171,1093153024,J. Bello,Jack Bello,Bello,Jack,TWP,Butler University,BUT,730283520,Butler,BBC,R,L,50,194,35.6%,40.6%,23.8%,35.6%,23.8%,15.8%,27.7%,26.7%,16.8%,12.9%
1173,1279295744,G. Greger,Gavin Greger,Greger,Gavin,CF,Bryant University,BRY,730266880,Bryant,BBC,L,L,52,210,33.1%,31.3%,35.6%,35.6%,33.1%,20.0%,18.8%,18.1%,25.6%,17.5%
1173,1291311872,I. Cadena,Isaac Cadena,Cadena,Isaac,1B,Texas Christian University,TCU,5045,TCU,BBC,L,R,56,204,23.1%,41.3%,35.6%,35.6%,23.1%,10.6%,21.9%,21.9%,24.4%,21.3%
1175,1566704340,A. Duda,Aidan Duda,Duda,Aidan,C,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,44,134,35.6%,41.1%,23.3%,35.6%,23.3%,17.8%,31.5%,21.9%,15.1%,13.7%
1176,1195516928,C. Matlon,Caden Matlon,Matlon,Caden,C,University of Akron,AKR,540536064,Akron,BBC,R,R,48,162,35.6%,38.6%,25.8%,35.6%,25.8%,14.4%,33.3%,19.7%,20.5%,12.1%
1176,1336600320,A. Potestio,Anthony Potestio,Potestio,Anthony,SS,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,R,40,164,28.0%,36.4%,35.6%,35.6%,28.0%,11.4%,20.5%,21.2%,26.5%,20.5%
1176,1078579712,J. Bant,Jay Bant,Bant,Jay,1B,Monmouth University,MONM,4164,Monmouth,BBC,L,R,50,195,22.7%,41.7%,35.6%,35.6%,22.7%,12.1%,18.9%,26.5%,20.5%,22.0%
1179,1162007552,R. Franden,Ryan Franden,Franden,Ryan,1B,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,R,40,152,22.0%,42.4%,35.6%,35.6%,22.0%,11.9%,18.6%,30.5%,16.9%,22.0%
1179,1960026247,J. French,Jacob French,French,Jacob,RF,University of California,CAL,730152448,California,BBC,L,R,53,195,27.7%,36.7%,35.6%,35.6%,27.7%,14.1%,19.2%,22.6%,23.7%,20.3%
1181,1099208448,L. McAllister,Levi McAllister,McAllister,Levi,C,University at Albany,ALBY,730280448,Albany,BBC,R,R,49,158,35.6%,38.5%,26.0%,35.6%,26.0%,23.1%,22.1%,21.2%,23.1%,10.6%
1182,1192543232,D. Watts,Dane Watts,Watts,Dane,LF,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,L,52,190,21.5%,43.0%,35.6%,35.6%,21.5%,14.1%,10.1%,30.2%,28.2%,17.4%
1183,1218484224,B. Barthol,Blake Barthol,Barthol,Blake,2B,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,L,R,69,252,29.4%,35.1%,35.6%,35.6%,29.4%,14.4%,22.7%,19.1%,25.3%,18.6%
1183,1771426309,C. Yeaman,Colin Yeaman,Yeaman,Colin,SS,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,60,247,35.6%,39.2%,25.3%,35.6%,25.3%,16.0%,28.4%,22.2%,24.2%,9.3%
1185,1310684928,C. Bodine,Caden Bodine,Bodine,Caden,C,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,S,R,67,245,31.6%,41.3%,27.1%,35.6%,23.1%,18.2%,23.1%,22.7%,19.1%,16.9%
1185,1122512640,B. Calloway,Bryce Calloway,Calloway,Bryce,TWP,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,54,205,35.6%,46.7%,17.8%,35.6%,17.8%,20.7%,25.2%,28.1%,14.8%,11.1%
1185,1192075994,T. Kamerer,Tyler Kamerer,Kamerer,Tyler,2B,Marshall University,MRSH,730333696,Marshall,BBC,R,R,59,210,35.6%,41.7%,22.8%,35.6%,22.8%,20.0%,27.2%,21.7%,18.3%,12.8%
1185,1237557163,K. Scobey,KJ Scobey,Scobey,KJ,3B,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,56,191,35.6%,47.4%,17.0%,35.6%,17.0%,17.0%,28.9%,31.1%,13.3%,9.6%
1189,1313787904,C. Shpur,Caleb Shpur,Shpur,Caleb,CF,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,58,240,35.5%,43.6%,20.9%,35.5%,20.9%,18.5%,28.4%,25.6%,17.5%,10.0%
1190,1189127680,S. Meier,Steven Meier,Meier,Steven,CF,Troy University,TROY,730378496,Troy,BBC,L,L,57,213,20.5%,44.0%,35.5%,35.5%,20.5%,12.0%,18.1%,25.3%,24.7%,19.9%
1191,1342167540,B. Bakes,Brayden Bakes,Bakes,Brayden,P,Illinois State University,ILST,730258944,Illinois State,BBC,L,R,46,166,33.1%,31.4%,35.5%,35.5%,33.1%,16.5%,19.8%,20.7%,25.6%,17.4%
