Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,InZone%,High%,VMid%,Low%,UpHalf%,LowHalf%,Inside%,HMid%,Outside%,InHalf%,OutHalf%
1424,1100324865,A. Horvath,Andrew Horvath,Horvath,Andrew,C,University of Akron,AKR,540536064,Akron,BBC,R,R,53,236,819,47.3%,27.2%,30.7%,42.1%,41.9%,58.1%,24.8%,23.9%,51.3%,34.5%,65.5%
1425,1230312950,B. Loyd,Ben Loyd,Loyd,Ben,SS,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,L,R,50,214,746,47.3%,28.8%,29.8%,41.4%,43.1%,56.9%,25.2%,27.0%,47.8%,38.4%,61.6%
1426,1304737025,R. McKay,Ryan McKay,McKay,Ryan,2B,Michigan State University,MSU,1551,Michigan State,BBC,L,R,54,254,1032,47.3%,31.2%,29.5%,39.3%,46.3%,53.7%,25.1%,23.0%,51.9%,37.1%,62.9%
1426,1529112206,J. Legrande,Jon Legrande,Legrande,Jon,LF,St. John's University (NY),SJU,4285,St. John's,BBC,L,L,52,222,753,47.3%,34.3%,28.4%,37.3%,49.9%,50.1%,23.7%,24.1%,52.2%,35.9%,64.1%
1428,1097334050,C. Fralick,Chase Fralick,Fralick,Chase,C,Auburn University,AUB,5466,Auburn,BBC,L,R,58,250,971,47.3%,35.7%,26.8%,37.4%,49.4%,50.6%,28.0%,23.8%,48.2%,40.0%,60.0%
1429,1257342976,I. Landry,Isaiah Landry,Landry,Isaiah,CF,Alabama State University,ALST,4765,Alabama State,BBC,R,R,53,225,790,47.4%,26.8%,29.0%,44.1%,40.6%,59.4%,24.5%,23.3%,52.2%,36.4%,63.6%
1430,1184440064,T. Sanders,Travis Sanders,Sanders,Travis,2B,Baylor University,BAY,3033,Baylor,BBC,R,R,47,195,798,47.4%,30.7%,28.6%,40.7%,43.7%,56.3%,26.5%,24.6%,48.9%,38.1%,61.9%
1431,1530212273,J. Allen,J.C. Allen,Allen,J.C.,3B,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,48,218,848,47.4%,27.5%,28.5%,44.0%,39.7%,60.3%,21.7%,26.4%,51.9%,33.2%,66.8%
1432,1233282048,J. Steidl,Josh Steidl,Steidl,Josh,1B,Jacksonville University,JAC,730335488,Jacksonville,BBC,L,R,54,240,970,47.4%,26.6%,32.0%,41.4%,39.5%,60.5%,24.0%,23.5%,52.5%,34.7%,65.3%
1433,1260750336,G. Swansen,Gabe Swansen,Swansen,Gabe,LF,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,52,186,695,47.4%,30.8%,27.9%,41.3%,45.2%,54.8%,27.9%,25.4%,46.7%,40.1%,59.9%
1434,1176534272,B. Robichaux,Ben Robichaux,Robichaux,Ben,2B,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,R,43,164,633,47.4%,26.0%,29.0%,45.0%,39.8%,60.2%,28.1%,26.5%,45.5%,41.0%,59.0%
1435,1236352914,D. Borner,Drew Borner,Borner,Drew,2B,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,38,145,535,47.4%,30.5%,29.7%,39.8%,46.8%,53.2%,21.5%,24.3%,54.2%,33.9%,66.1%
1436,1276857856,A. Salgado,AJ Salgado,Salgado,AJ,RF,UCLA,UCLA,5048,UCLA,BBC,L,R,64,282,1089,47.4%,34.1%,28.8%,37.0%,48.1%,51.9%,31.1%,23.0%,45.9%,43.0%,57.0%
1436,1761291999,A. Cappell,AJ Cappell,Cappell,AJ,2B,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,37,129,468,47.4%,30.3%,27.7%,42.0%,42.0%,58.0%,21.2%,20.8%,58.0%,31.8%,68.2%
1438,1476164141,T. Smith,Tyler Smith,Smith,Tyler,C,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,S,R,52,232,929,47.4%,27.9%,28.9%,43.1%,41.4%,58.6%,27.1%,22.7%,50.1%,39.0%,61.0%
1439,1140999168,L. Nixon,Luke Nixon,Nixon,Luke,2B,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,R,56,254,970,47.4%,23.0%,29.4%,47.6%,37.9%,62.1%,22.2%,24.3%,53.5%,33.6%,66.4%
1440,1287364608,D. Berkland,Drew Berkland,Berkland,Drew,LF,University of Minnesota,MINN,4864,Minnesota,BBC,R,R,52,240,956,47.4%,28.9%,28.9%,42.1%,42.9%,57.1%,26.0%,24.6%,49.4%,37.2%,62.8%
1441,1105460480,T. Rodriguez,Taer Rodriguez,Rodriguez,Taer,3B,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,36,164,624,47.4%,20.7%,31.9%,47.4%,33.4%,66.6%,15.9%,22.1%,62.0%,26.4%,73.6%
1442,1268046592,K. Schuessler,Kimble Schuessler,Schuessler,Kimble,1B,University of Texas,TEX,245,Texas,BBC,R,R,58,260,972,47.4%,29.3%,28.7%,41.9%,42.5%,57.5%,25.7%,22.5%,51.8%,36.9%,63.1%
1443,1162532096,T. Lopez,Tracer Lopez,Lopez,Tracer,2B,Texas Tech University,TTU,2350,Texas Tech,BBC,L,R,53,243,865,47.4%,28.3%,30.9%,40.8%,43.4%,56.6%,20.3%,24.2%,55.5%,31.7%,68.3%
1444,1341412096,C. Kleinman,Casey Kleinman,Kleinman,Casey,SS,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,42,180,647,47.4%,28.9%,25.6%,45.5%,42.9%,57.1%,22.7%,27.4%,49.8%,35.2%,64.8%
1445,1104574208,C. Ott,Colby Ott,Ott,Colby,1B,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,53,198,697,47.4%,30.6%,23.5%,45.9%,41.6%,58.4%,28.0%,22.5%,49.6%,36.6%,63.4%
1446,1648612133,N. Noonan,Nevan Noonan,Noonan,Nevan,1B,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,59,266,981,47.4%,31.3%,31.2%,37.6%,45.1%,54.9%,18.3%,25.2%,56.5%,31.3%,68.7%
1447,1100524800,C. Johnson,Camden Johnson,Johnson,Camden,3B,Wichita State University,WICH,730203904,Wichita State,BBC,L,R,56,273,978,47.4%,27.9%,28.0%,44.1%,40.0%,60.0%,26.5%,23.2%,50.3%,39.2%,60.8%
1448,1297521920,M. Sprockett,Michael Sprockett,Sprockett,Michael,C,Belmont University,BEL,730190336,Belmont,BBC,L,R,53,216,748,47.4%,32.4%,28.3%,39.3%,45.9%,54.1%,25.9%,24.6%,49.6%,37.9%,62.1%
1449,1248850176,B. DeLamielleure,Blake DeLamielleure,DeLamielleure,Blake,RF,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,56,247,914,47.5%,29.6%,30.5%,39.9%,43.0%,57.0%,19.4%,27.2%,53.4%,32.3%,67.7%
1450,1631460682,C. Robson,Colin Robson,Robson,Colin,CF,Rice University,RICE,2352,Rice,BBC,L,R,43,151,535,47.5%,31.5%,29.4%,39.2%,46.7%,53.3%,21.8%,22.4%,55.7%,31.5%,68.5%
1451,1310479104,J. Kendro,Jake Kendro,Kendro,Jake,SS,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,48,144,585,47.5%,30.0%,27.6%,42.4%,42.2%,57.8%,23.9%,25.3%,50.8%,36.0%,64.0%
1452,1170236928,E. Brown,Eli Brown,Brown,Eli,LF,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,52,205,775,47.5%,31.0%,28.6%,40.5%,45.1%,54.9%,25.1%,23.2%,51.6%,34.2%,65.8%
1453,1306879489,D. Ruiz,Damian Ruiz,Ruiz,Damian,RF,Lamar University,LAM,730162432,Lamar,BBC,R,R,56,274,1052,47.5%,29.7%,27.9%,42.4%,42.2%,57.8%,25.3%,23.2%,51.6%,36.1%,63.9%
1454,1278153216,B. Wilmes,Ben Wilmes,Wilmes,Ben,LF,University of Iowa,IOWA,1232,Iowa,BBC,R,R,52,234,935,47.5%,28.8%,30.8%,40.4%,43.3%,56.7%,24.5%,26.5%,49.0%,37.5%,62.5%
1454,1410969802,F. Forgione,Freddy Forgione,Forgione,Freddy,1B,Binghamton University,BING,730155776,Binghamton,BBC,R,R,55,242,939,47.5%,28.9%,31.5%,39.6%,43.6%,56.4%,23.5%,21.4%,55.1%,32.9%,67.1%
1456,1576437199,W. Maginnis,William Maginnis,Maginnis,William,1B,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,56,257,935,47.5%,36.3%,26.3%,37.4%,49.9%,50.1%,28.8%,24.8%,46.4%,41.9%,58.1%
1457,1099740416,T. Peterson,Tyler Peterson,Peterson,Tyler,SS,Seattle University,SEA,4504,Seattle,BBC,L,R,52,209,664,47.5%,29.2%,27.5%,43.3%,41.6%,58.4%,19.0%,27.3%,53.7%,33.2%,66.8%
