Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,InZone%,High%,VMid%,Low%,UpHalf%,LowHalf%,Inside%,HMid%,Outside%,InHalf%,OutHalf%
240,1561076993,M. Harrison,Marcus Harrison,Harrison,Marcus,3B,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,45,164,671,42.7%,29.8%,26.0%,44.2%,41.5%,58.5%,22.8%,20.8%,56.4%,31.3%,68.7%
241,1310781952,K. Freeman,Kaleb Freeman,Freeman,Kaleb,2B,Georgia State University,GAST,730239744,Georgia State,BBC,S,R,56,276,1176,42.7%,33.9%,26.9%,39.2%,47.4%,52.6%,27.1%,22.4%,50.6%,37.7%,62.3%
242,1084019968,D. Gonzalez Jr.,Dorian Gonzalez Jr.,Gonzalez Jr.,Dorian,2B,University of Miami,MIA,236,Miami,BBC,L,R,62,268,986,42.7%,32.2%,28.7%,39.1%,46.4%,53.6%,26.3%,22.1%,51.7%,36.3%,63.7%
243,1086008064,L. Boedicker,Lex Boedicker,Boedicker,Lex,1B,University of Central Florida,UCF,730256640,Central Florida,BBC,L,R,49,219,816,42.7%,29.4%,25.4%,45.2%,42.2%,57.8%,29.0%,24.1%,46.9%,39.1%,60.9%
244,1115512064,J. Quinlan,John Quinlan,Quinlan,John,LF,Cornell University,COR,730298624,Cornell,BBC,S,R,34,156,629,42.7%,32.6%,28.6%,38.8%,48.1%,51.9%,22.1%,22.4%,55.5%,35.5%,64.5%
245,1238257920,T. Bethel,Tate Bethel,Bethel,Tate,3B,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,52,215,789,42.7%,24.6%,24.9%,50.5%,34.9%,65.1%,22.4%,23.3%,54.4%,34.1%,65.9%
246,1142746368,S. Gwynn,Seth Gwynn,Gwynn,Seth,CF,University of California,CAL,730152448,California,BBC,R,R,43,165,574,42.7%,28.9%,28.0%,43.1%,42.9%,57.1%,23.5%,27.0%,49.6%,35.9%,64.1%
247,1117733120,E. Genther,Eric Genther,Genther,Eric,RF,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,R,60,300,1093,42.7%,27.7%,30.8%,41.5%,42.1%,57.9%,24.2%,22.2%,53.6%,35.0%,65.0%
248,1287362048,J. Nerat,Joey Nerat,Nerat,Joey,RF,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,L,R,46,162,613,42.7%,31.4%,23.7%,44.9%,41.7%,58.3%,27.0%,25.2%,47.7%,40.2%,59.8%
249,1143040000,C. Bayne,Carson Bayne,Bayne,Carson,CF,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,54,222,783,42.7%,28.4%,25.5%,46.1%,40.4%,59.6%,19.5%,22.7%,57.8%,29.8%,70.2%
250,1263255296,N. Williams,Nick Williams,Williams,Nick,LF,Michigan State University,MSU,1551,Michigan State,BBC,R,R,53,215,844,42.8%,34.2%,27.1%,38.8%,46.3%,53.7%,30.1%,21.9%,48.1%,41.7%,58.3%
251,1099921152,T. Gollert,Taeg Gollert,Gollert,Taeg,1B,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,47,220,807,42.8%,25.8%,27.4%,46.8%,38.4%,61.6%,24.1%,22.7%,53.2%,34.8%,65.2%
252,1302032129,T. Rogers,TJ Rogers,Rogers,TJ,SS,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,52,225,899,42.8%,29.8%,26.6%,43.7%,43.0%,57.0%,21.4%,23.3%,55.3%,32.2%,67.8%
253,1174782976,J. Holman,Jack Holman,Holman,Jack,1B,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,L,R,46,209,810,42.8%,32.5%,26.8%,40.7%,46.4%,53.6%,27.9%,23.8%,48.3%,40.1%,59.9%
254,1287363072,R. Moore,Reese Moore,Moore,Reese,C,University of Iowa,IOWA,1232,Iowa,BBC,L,R,56,241,935,42.8%,31.5%,25.6%,42.9%,43.8%,56.2%,23.6%,20.8%,55.6%,33.0%,67.0%
255,1042959841,T. Rover,Tommy Rover,Rover,Tommy,3B,Youngstown State University,YSU,730284544,Youngstown State,BBC,S,R,47,223,814,42.8%,32.9%,29.6%,37.6%,44.5%,55.5%,23.1%,22.2%,54.7%,34.1%,65.9%
256,1504137946,B. Baughcum,Brant Baughcum,Baughcum,Brant,3B,Mercer University,MER,730240512,Mercer,BBC,R,R,60,273,911,42.8%,32.1%,29.5%,38.5%,48.5%,51.5%,29.6%,25.0%,45.4%,43.1%,56.9%
257,1100789760,B. Wooldridge,Braydon Wooldridge,Wooldridge,Braydon,TWP,UC Davis,UCD,730153984,UC Davis,BBC,L,L,53,221,804,42.8%,29.9%,27.0%,43.1%,43.6%,56.4%,28.4%,23.6%,48.0%,39.8%,60.2%
258,1201258496,C. Misch,Connor Misch,Misch,Connor,1B,Xavier University,XAV,5464,Xavier,BBC,R,L,59,264,1014,42.8%,32.2%,24.6%,43.2%,44.4%,55.6%,23.7%,22.6%,53.6%,34.5%,65.5%
259,1099815424,J. Gurevitch,Jack Gurevitch,Gurevitch,Jack,1B,University of San Diego,USD,5320,San Diego,BBC,L,R,56,277,1050,42.8%,32.7%,26.7%,40.5%,47.3%,52.7%,41.6%,21.3%,37.1%,51.9%,48.1%
260,1901925793,M. Urbaniak,Mikey Urbaniak,Urbaniak,Mikey,C,Longwood University,LONG,730219264,Longwood,BBC,L,R,46,201,884,42.8%,30.5%,25.2%,44.3%,42.2%,57.8%,23.8%,22.9%,53.3%,34.7%,65.3%
261,1132720128,C. Fisher,Cal Fisher,Fisher,Cal,3B,Florida State University,FSU,101,Florida State,BBC,R,R,53,225,897,42.8%,26.4%,27.4%,46.2%,39.1%,60.9%,27.2%,20.7%,52.1%,36.8%,63.2%
262,1155640832,N. Humphreys,Nathan Humphreys,Humphreys,Nathan,CF,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,L,R,59,278,1061,42.8%,29.7%,27.0%,43.3%,40.4%,59.6%,22.6%,26.3%,51.1%,35.4%,64.6%
263,1285054209,S. Swenson,Sean Swenson,Swenson,Sean,1B,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,54,236,879,42.8%,33.4%,27.8%,38.8%,48.2%,51.8%,24.0%,20.8%,55.2%,34.8%,65.2%
264,1193185792,L. Sutter,Logan Sutter,Sutter,Logan,1B,Purdue University,PUR,730353152,Purdue,BBC,R,R,54,242,940,42.9%,26.7%,26.2%,47.1%,38.9%,61.1%,27.3%,23.3%,49.4%,38.0%,62.0%
264,1952408633,M. Wall,Micajah Wall,Wall,Micajah,C,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,51,195,751,42.9%,31.1%,26.4%,42.5%,42.2%,57.8%,23.1%,23.3%,53.7%,35.2%,64.8%
264,1460638543,R. Wideman,Ryan Wideman,Wideman,Ryan,CF,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,60,283,991,42.9%,34.0%,27.1%,38.9%,48.1%,51.9%,27.1%,23.9%,49.0%,38.1%,61.9%
267,1417547191,G. Watkins,Grant Watkins,Watkins,Grant,1B,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,56,257,983,42.9%,25.2%,28.9%,45.9%,39.8%,60.2%,25.9%,23.5%,50.6%,37.0%,63.0%
268,1300572628,C. Suto,Cam Suto,Suto,Cam,1B,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,L,58,249,934,42.9%,29.5%,25.3%,45.2%,41.6%,58.4%,19.3%,23.4%,57.3%,30.4%,69.6%
269,1098524416,C. Parker,Cade Parker,Parker,Cade,SS,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,59,241,978,42.9%,26.1%,25.5%,48.4%,38.6%,61.4%,23.7%,21.2%,55.1%,33.8%,66.2%
270,1178085632,F. Ingersoll,Fisher Ingersoll,Ingersoll,Fisher,SS,Nicholls State University,NICH,730284032,Nicholls State,BBC,L,R,41,155,637,42.9%,32.0%,27.8%,40.2%,43.4%,56.6%,25.1%,23.5%,51.4%,36.5%,63.5%
271,1548091457,J. Maddox,Jake Maddox,Maddox,Jake,1B,Belmont University,BEL,730190336,Belmont,BBC,L,R,46,163,635,42.9%,30.9%,28.1%,41.0%,45.7%,54.3%,25.0%,20.1%,54.9%,33.6%,66.4%
272,1749071205,Z. Leite,Zach Leite,Leite,Zach,1B,Old Dominion University,ODU,3090,Old Dominion,BBC,L,L,51,205,778,42.9%,27.7%,25.3%,47.0%,41.2%,58.8%,28.0%,22.7%,49.3%,39.0%,61.0%
273,1030273503,G. MacArthur,Grant MacArthur,MacArthur,Grant,1B,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,54,235,936,42.9%,38.2%,24.7%,37.1%,50.8%,49.2%,25.5%,22.2%,52.3%,36.2%,63.8%
274,1043429509,S. Strosnider,Sawyer Strosnider,Strosnider,Sawyer,RF,Texas Christian University,TCU,5045,TCU,BBC,L,L,56,251,918,42.9%,30.4%,27.7%,41.9%,44.8%,55.2%,30.6%,23.4%,46.1%,41.9%,58.1%
275,1468376832,W. Cook,Will Cook,Cook,Will,1B,Wright State University,WRST,5390,Wright State,BBC,L,R,46,166,645,43.0%,28.9%,27.2%,43.9%,43.6%,56.4%,28.4%,21.4%,50.2%,37.5%,62.5%
276,1093308160,A. Garza,Alejandro Garza,Garza,Alejandro,3B,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,295,1015,43.0%,28.2%,26.9%,45.0%,42.0%,58.0%,25.0%,21.6%,53.4%,34.8%,65.2%
277,1872942440,L. Gregorio,Logan Gregorio,Gregorio,Logan,LF,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,L,R,54,260,932,43.0%,27.3%,27.3%,45.4%,42.0%,58.0%,17.9%,25.0%,57.2%,27.9%,72.1%
278,1758840332,J. Natili,Jack Natili,Natili,Jack,C,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,54,244,946,43.0%,33.7%,25.9%,40.4%,46.4%,53.6%,27.2%,22.6%,50.3%,39.2%,60.8%
279,1735774107,E. Bennett,Elgin Bennett,Bennett,Elgin,LF,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,L,L,43,133,480,43.0%,24.7%,28.7%,46.6%,37.9%,62.1%,20.2%,24.0%,55.7%,32.6%,67.4%
280,1094741504,W. Linberg,Will Linberg,Linberg,Will,RF,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,L,L,42,147,631,43.0%,31.1%,28.8%,40.1%,44.8%,55.2%,21.7%,24.2%,54.1%,33.0%,67.0%
280,1464025085,T. Shaw,Tyler Shaw,Shaw,Tyler,SS,Villanova University,VILL,730278400,Villanova,BBC,R,R,45,173,635,43.0%,31.9%,26.9%,41.2%,45.4%,54.6%,25.8%,25.6%,48.6%,37.2%,62.8%
282,1204040192,C. Hayslip,Camden Hayslip,Hayslip,Camden,RF,UAB,UAB,730345984,UAB,BBC,L,L,50,206,758,43.0%,30.2%,27.8%,41.9%,41.7%,58.3%,23.0%,24.3%,52.7%,34.5%,65.5%
283,1167172608,T. Townsend,Tommy Townsend,Townsend,Tommy,LF,Butler University,BUT,730283520,Butler,BBC,L,L,44,183,737,43.0%,23.6%,30.4%,46.0%,36.8%,63.2%,20.3%,25.8%,53.9%,32.6%,67.4%
284,1143009280,M. Winslow,Macon Winslow,Winslow,Macon,C,Duke University,DUKE,730336256,Duke,BBC,R,R,57,245,943,43.0%,22.5%,24.8%,52.7%,35.1%,64.9%,26.9%,24.0%,49.1%,37.2%,62.8%
285,1299825664,T. Shulman,Tyler Shulman,Shulman,Tyler,3B,Harvard University,HARV,5450,Harvard,BBC,L,R,36,140,495,43.0%,30.3%,26.0%,43.7%,43.0%,57.0%,22.7%,21.3%,56.0%,31.7%,68.3%
286,1101076736,R. Moroney,Reece Moroney,Moroney,Reece,SS,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,58,287,1194,43.0%,32.4%,29.3%,38.2%,45.9%,54.1%,25.7%,18.9%,55.4%,35.3%,64.7%
287,1342167995,M. Wolfe,Matt Wolfe,Wolfe,Matt,SS,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,50,199,847,43.0%,29.8%,25.7%,44.5%,42.9%,57.1%,27.1%,21.5%,51.3%,38.9%,61.1%
288,1506711324,C. Arroyo,Chris Arroyo,Arroyo,Chris,1B,University of Virginia,UVA,5415,Virginia,BBC,L,L,49,217,819,43.0%,28.7%,24.2%,47.1%,40.3%,59.7%,22.6%,23.2%,54.2%,33.0%,67.0%
289,1092991488,B. Compton,Brandon Compton,Compton,Brandon,LF,Arizona State University,ASU,5035,Arizona State,BBC,L,L,59,261,1036,43.0%,26.7%,28.8%,44.5%,40.2%,59.8%,26.6%,22.7%,50.7%,36.9%,63.1%
290,1752317238,C. Cleveland,Cole Cleveland,Cleveland,Cole,CF,Florida International University,FIU,4468,Florida International,BBC,L,R,46,168,694,43.0%,33.8%,25.1%,41.1%,46.3%,53.7%,30.7%,22.0%,47.2%,42.6%,57.4%
291,1142656000,L. Ismalli,Lucas Ismalli,Ismalli,Lucas,1B,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,47,209,818,43.1%,29.0%,25.0%,45.9%,40.8%,59.2%,25.9%,21.8%,52.3%,35.8%,64.2%
292,1208727296,D. Listi,Dom Listi,Listi,Dom,LF,Clemson University,CLEM,730358784,Clemson,BBC,L,L,61,292,1249,43.1%,33.1%,27.8%,39.2%,47.3%,52.7%,21.3%,22.0%,56.7%,31.7%,68.3%
293,1083995904,J. Davis,Jakobi Davis,Davis,Jakobi,CF,Cornell University,COR,730298624,Cornell,BBC,L,L,34,148,616,43.1%,29.3%,28.8%,41.8%,43.8%,56.3%,25.3%,22.4%,52.3%,35.6%,64.4%
294,1162533632,C. Nickens,Cameron Nickens,Nickens,Cameron,LF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,59,293,1055,43.1%,31.4%,29.5%,39.1%,45.5%,54.5%,27.0%,21.3%,51.8%,36.3%,63.7%
295,1116254208,C. Rogan,Charlie Rogan,Rogan,Charlie,1B,George Washington University,GW,730249216,George Washington,BBC,L,R,54,237,840,43.1%,38.1%,30.9%,31.0%,53.1%,46.9%,31.8%,22.2%,46.0%,43.2%,56.8%
296,1300201985,M. Holton,Mason Holton,Holton,Mason,TWP,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,56,267,1032,43.1%,30.4%,28.4%,41.2%,44.0%,56.0%,22.3%,22.8%,54.9%,33.1%,66.9%
297,1193756928,C. Murray Jr.,Casey Murray Jr.,Murray Jr.,Casey,CF,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,274,1017,43.1%,28.9%,27.2%,44.0%,42.8%,57.2%,23.4%,22.5%,54.1%,33.2%,66.8%
298,1357729151,C. Turner,Cy Turner,Turner,Cy,RF,University of Memphis,MEM,730172160,Memphis,BBC,L,R,42,126,567,43.1%,28.7%,27.4%,43.8%,39.7%,60.3%,21.5%,24.6%,53.9%,32.8%,67.2%
299,1264275200,L. Pringle,Lucas Pringle,Pringle,Lucas,C,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,L,R,49,191,713,43.1%,33.4%,31.1%,35.6%,48.6%,51.4%,21.5%,23.7%,54.9%,30.6%,69.4%
300,1559287645,P. McLellan,Patrick McLellan,McLellan,Patrick,3B,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,43,203,741,43.1%,30.0%,27.4%,42.6%,43.3%,56.7%,23.5%,19.8%,56.7%,33.0%,67.0%
301,1760227824,M. Risley,Miles Risley,Risley,Miles,CF,University of Iowa,IOWA,1232,Iowa,BBC,R,R,56,251,959,43.1%,32.5%,26.8%,40.7%,44.3%,55.7%,22.3%,21.8%,55.8%,31.8%,68.2%
302,1084417280,A. Kean,Alex Kean,Kean,Alex,1B,Morehead State University,MORE,730158080,Morehead State,BBC,L,R,51,228,887,43.1%,27.5%,27.0%,45.5%,40.1%,59.9%,19.6%,24.9%,55.5%,30.3%,69.7%
303,1191785728,C. Yearsley,Cole Yearsley,Yearsley,Cole,LF,Winthrop University,WIN,730294784,Winthrop,BBC,L,R,48,149,555,43.1%,34.6%,26.6%,38.8%,47.8%,52.2%,20.1%,22.8%,57.1%,30.1%,69.9%
303,1192513280,A. Smart,Andrew Smart,Smart,Andrew,1B,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,42,178,658,43.1%,31.9%,26.6%,41.5%,45.5%,54.5%,24.3%,23.4%,52.4%,37.0%,63.0%
305,1400143090,J. Morton,Joey Morton,Morton,Joey,1B,Campbell University,CAMP,730187776,Campbell,BBC,L,L,53,230,891,43.1%,27.1%,28.1%,44.8%,40.5%,59.5%,25.1%,23.3%,51.6%,35.4%,64.6%
306,1099145984,R. Galvan,Rylan Galvan,Galvan,Rylan,C,University of Texas,TEX,245,Texas,BBC,R,R,56,239,1070,43.1%,29.3%,26.3%,44.4%,41.7%,58.3%,24.2%,21.1%,54.7%,34.3%,65.7%
307,1139934976,E. Brown,Ely Brown,Brown,Ely,CF,Mercer University,MER,730240512,Mercer,BBC,L,L,60,286,1080,43.1%,33.8%,25.3%,40.9%,46.2%,53.8%,24.4%,24.7%,50.9%,35.2%,64.8%
308,1111769088,S. Griffith,Sam Griffith,Griffith,Sam,2B,Oakland University,OAK,5386,Oakland,BBC,R,R,59,242,904,43.1%,31.8%,28.3%,39.9%,45.0%,55.0%,26.5%,20.9%,52.6%,37.0%,63.0%
309,1165448448,S. Werchan,Seth Werchan,Werchan,Seth,CF,Virginia Commonwealth University,VCU,730179328,VCU,BBC,L,L,50,207,775,43.2%,35.6%,26.6%,37.8%,49.0%,51.0%,23.4%,23.2%,53.4%,34.7%,65.3%
310,1098311936,C. Morabito,Chris Morabito,Morabito,Chris,LF,Bucknell University,BUCK,730214144,Bucknell,BBC,L,R,44,181,716,43.2%,33.5%,29.1%,37.4%,47.5%,52.5%,26.0%,22.7%,51.2%,36.1%,63.9%
311,1233030622,T. Hawsey,Trey Hawsey,Hawsey,Trey,1B,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,L,49,193,737,43.2%,29.4%,25.6%,45.1%,40.7%,59.3%,26.7%,26.7%,46.5%,38.5%,61.5%
312,1771372567,R. Rigdon,Rustan Rigdon,Rigdon,Rustan,LF,Vanderbilt University,VAN,5046,Vanderbilt,BBC,S,R,53,217,946,43.2%,31.9%,24.0%,44.1%,42.9%,57.1%,25.6%,25.2%,49.2%,37.2%,62.8%
313,1390395142,S. Inoue,Shintaro Inoue,Inoue,Shintaro,2B,Kansas State University,KSU,730270464,Kansas State,BBC,L,R,58,256,1000,43.2%,24.4%,26.0%,49.6%,36.5%,63.5%,24.0%,25.9%,50.1%,37.4%,62.6%
314,1310817024,C. Jackson,Core Jackson,Jackson,Core,SS,University of Utah,UTAH,730328320,Utah,BBC,L,R,48,238,861,43.2%,27.7%,27.2%,45.2%,41.5%,58.5%,29.4%,26.9%,43.7%,43.2%,56.8%
315,1885561482,S. Yamaguchi,Sean Yamaguchi,Yamaguchi,Sean,3B,University of Nevada,NEV,4784,Nevada,BBC,R,R,51,242,827,43.2%,26.8%,27.3%,46.0%,38.1%,61.9%,22.6%,21.8%,55.6%,34.3%,65.7%
316,1428244453,J. Mislan,Jack Mislan,Mislan,Jack,LF,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,45,188,698,43.2%,31.8%,28.8%,39.4%,45.2%,54.8%,23.3%,22.0%,54.8%,34.1%,65.9%
317,1056312556,Z. Thompson,Zack Thompson,Thompson,Zack,C,Mercer University,MER,730240512,Mercer,BBC,R,R,53,187,607,43.2%,33.7%,24.5%,41.8%,45.6%,54.4%,24.3%,24.0%,51.7%,34.7%,65.3%
318,1746936435,M. Bailey,Myles Bailey,Bailey,Myles,1B,Florida State University,FSU,101,Florida State,BBC,L,R,56,245,975,43.2%,28.9%,25.9%,45.3%,42.3%,57.7%,28.7%,23.3%,48.1%,38.7%,61.3%
319,1266488832,C. Blauser,Cooper Blauser,Blauser,Cooper,2B,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,R,R,61,278,1077,43.2%,29.0%,27.7%,43.3%,44.0%,56.0%,29.0%,21.7%,49.3%,39.0%,61.0%
320,1100573952,A. Teel,Aidan Teel,Teel,Aidan,CF,University of Virginia,UVA,5415,Virginia,BBC,L,R,50,233,862,43.2%,28.9%,28.9%,42.2%,41.1%,58.9%,26.0%,22.7%,51.3%,37.8%,62.2%
321,1031592629,E. Wilson,Ethan Wilson,Wilson,Ethan,CF,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,58,258,992,43.2%,30.8%,27.7%,41.6%,43.2%,56.8%,24.7%,23.9%,51.4%,36.3%,63.7%
322,1163782059,B. Fowler,Bryce Fowler,Fowler,Bryce,RF,University of Alabama,ALA,730206976,Alabama,BBC,L,L,59,283,1063,43.2%,30.9%,26.2%,42.9%,42.6%,57.4%,26.2%,24.4%,49.4%,37.6%,62.4%
323,1836125891,J. Lee,Jacob Lee,Lee,Jacob,C,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,53,246,968,43.2%,31.4%,24.9%,43.8%,43.8%,56.2%,20.2%,22.1%,57.7%,30.6%,69.4%
324,1253443072,K. Frett,Kishon Frett,Frett,Kishon,LF,Florida International University,FIU,4468,Florida International,BBC,R,R,57,269,1043,43.2%,32.6%,27.0%,40.4%,46.1%,53.9%,24.8%,24.3%,50.8%,37.2%,62.8%
325,1237557163,K. Scobey,KJ Scobey,Scobey,KJ,3B,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,56,221,788,43.2%,31.8%,26.5%,41.7%,45.9%,54.1%,23.1%,22.5%,54.3%,33.5%,66.5%
326,1132702208,B. Smith,Boston Smith,Smith,Boston,C,Wright State University,WRST,5390,Wright State,BBC,L,R,59,282,1119,43.2%,32.5%,24.9%,42.5%,45.9%,54.1%,27.0%,23.9%,49.1%,37.7%,62.3%
327,1732831224,B. Fraasman,Brayden Fraasman,Fraasman,Brayden,RF,North Carolina State University,NCST,730216448,North Carolina State,BBC,R,R,54,234,816,43.2%,25.2%,23.2%,51.6%,36.3%,63.7%,26.7%,24.3%,49.0%,37.8%,62.2%
328,1320088320,A. Cain,Andrew Cain,Cain,Andrew,1B,University of Arizona,ARIZ,232,Arizona,BBC,L,R,49,180,695,43.2%,26.2%,27.4%,46.4%,39.4%,60.6%,27.8%,21.7%,50.5%,38.7%,61.3%
329,1306903808,L. West,Landon West,West,Landon,C,Rice University,RICE,2352,Rice,BBC,R,R,55,213,802,43.2%,27.2%,26.4%,46.4%,41.0%,59.0%,25.0%,24.5%,50.4%,36.4%,63.6%
330,1071999889,M. Ross,Max Ross,Ross,Max,RF,Santa Clara University,SCU,730297600,Santa Clara,BBC,L,R,42,167,658,43.2%,37.6%,30.2%,32.2%,54.1%,45.9%,25.2%,21.2%,53.6%,33.3%,66.7%
331,1330454017,N. Jouras,Noah Jouras,Jouras,Noah,C,Davidson College,DAV,730363136,Davidson,BBC,R,R,51,228,877,43.2%,29.6%,29.1%,41.3%,43.6%,56.4%,22.3%,20.3%,57.4%,32.8%,67.2%
332,1178499389,B. Lawson,Brendan Lawson,Lawson,Brendan,1B,University of Florida,FLA,730168320,Florida,BBC,L,R,60,271,1084,43.2%,28.1%,28.1%,43.9%,43.8%,56.2%,26.0%,23.9%,50.1%,38.1%,61.9%
333,1085273600,M. Self,Mason Self,Self,Mason,TWP,Radford University,RAD,730267392,Radford,BBC,R,R,46,138,573,43.2%,34.6%,30.6%,34.8%,50.1%,49.9%,24.0%,24.1%,51.9%,35.0%,65.0%
334,1759880696,T. Vogler,Tate Vogler,Vogler,Tate,3B,Columbia University,CLMB,730319104,Columbia,BBC,L,R,40,135,551,43.3%,33.5%,28.5%,38.1%,47.9%,52.1%,27.4%,25.0%,47.7%,39.6%,60.4%
335,1239325952,R. Drumm,Ryan Drumm,Drumm,Ryan,LF,Butler University,BUT,730283520,Butler,BBC,R,R,54,221,827,43.3%,23.8%,28.0%,48.3%,36.3%,63.7%,23.2%,21.6%,55.2%,33.5%,66.5%
336,1184442368,B. Arendt,Bryan Arendt,Arendt,Bryan,C,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,55,222,797,43.3%,29.3%,26.1%,44.7%,42.0%,58.0%,25.8%,23.0%,51.2%,36.6%,63.4%
337,1085400832,M. Whooley,Michael Whooley,Whooley,Michael,3B,Villanova University,VILL,730278400,Villanova,BBC,R,R,50,234,853,43.3%,31.7%,26.9%,41.4%,44.8%,55.2%,20.7%,23.1%,56.1%,31.1%,68.9%
338,1309506304,A. Williamson,Andrew Williamson,Williamson,Andrew,RF,University of Central Florida,UCF,730256640,Central Florida,BBC,L,L,55,261,1001,43.3%,29.5%,26.5%,44.0%,41.6%,58.4%,29.3%,21.6%,49.1%,40.0%,60.0%
339,1085400064,R. Sprock,Ryan Sprock,Sprock,Ryan,TWP,Elon University,ELON,730252544,Elon,BBC,R,R,57,263,1007,43.3%,26.7%,26.7%,46.6%,38.8%,61.2%,24.3%,24.0%,51.8%,36.0%,64.0%
340,1291203328,C. McChesney,Crew McChesney,McChesney,Crew,CF,Brigham Young University,BYU,730257152,BYU,BBC,L,R,52,242,927,43.3%,30.0%,28.0%,42.0%,44.6%,55.4%,22.4%,23.0%,54.6%,32.8%,67.2%
341,1132962304,L. Iverson,Luke Iverson,Iverson,Luke,RF,Utah Valley University,UVU,730263552,Utah Valley,BBC,S,R,60,308,1147,43.3%,26.5%,27.7%,45.8%,40.0%,60.0%,21.4%,21.9%,56.7%,32.8%,67.2%
342,1298764288,H. Hines,Hunter Hines,Hines,Hunter,1B,Mississippi State University,MSST,5080,Mississippi State,BBC,L,R,57,250,978,43.3%,29.3%,27.0%,43.7%,42.8%,57.2%,25.9%,22.4%,51.8%,35.5%,64.5%
343,1332976640,M. Lombardi,Michael Lombardi,Lombardi,Michael,TWP,Tulane University,TULN,730354176,Tulane,BBC,R,R,51,174,694,43.3%,33.2%,29.0%,37.8%,46.1%,53.9%,23.1%,25.1%,51.8%,31.8%,68.2%
344,1227161344,M. Gray,Murf Gray,Gray,Murf,3B,Fresno State,FRES,730384384,Fresno State,BBC,R,R,60,279,985,43.3%,33.4%,23.6%,43.0%,44.4%,55.6%,28.6%,24.4%,46.9%,41.2%,58.8%
344,1662602223,J. Ince,Jeffrey Ince,Ince,Jeffrey,2B,Samford University,SAM,730386432,Samford,BBC,S,R,56,274,1029,43.3%,30.2%,26.3%,43.4%,41.4%,58.6%,36.3%,22.7%,41.0%,46.6%,53.4%
346,1174670336,T. Gill,Ty Gill,Gill,Ty,2B,Purdue University,PUR,730353152,Purdue,BBC,L,R,51,159,582,43.3%,31.4%,28.5%,40.1%,45.6%,54.4%,23.2%,22.6%,54.2%,34.6%,65.4%
347,1582802158,T. Broussard,Tre Broussard,Broussard,Tre,CF,University of Houston,HOU,3030,Houston,BBC,L,L,54,241,818,43.3%,32.8%,27.4%,39.8%,47.7%,52.3%,31.1%,23.7%,45.2%,41.5%,58.5%
348,1310653952,J. Wagoner,Jake Wagoner,Wagoner,Jake,C,Seattle University,SEA,4504,Seattle,BBC,R,R,46,186,560,43.4%,24.5%,25.2%,50.3%,36.8%,63.2%,23.3%,24.5%,52.1%,36.6%,63.4%
349,1297563392,A. Fawley,Austin Fawley,Fawley,Austin,C,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,51,215,926,43.4%,30.4%,25.8%,43.8%,42.0%,58.0%,28.4%,22.3%,49.2%,40.0%,60.0%
