Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,Swing#,Miss#,Strike#,InPlay#,Foul#,InZone#,Chase#,CallStrk#
1707,1297347328,A. Guzman,Adonys Guzman,Guzman,Adonys,C,University of Arizona,ARIZ,232,Arizona,BBC,R,R,62,271,1012,455,101,591,204,150,433,121,136
1707,1193756928,C. Murray Jr.,Casey Murray Jr.,Murray Jr.,Casey,CF,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,274,1017,465,113,653,197,155,433,175,188
1707,1251440128,T. Batusich,Ty Batusich,Batusich,Ty,P,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,L,R,58,277,1061,420,55,605,202,163,433,122,185
1707,1483997883,E. Plyler,Ethan Plyler,Plyler,Ethan,SS,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,57,258,911,423,83,552,189,151,433,109,129
1707,1504306724,C. Maryniak,Connor Maryniak,Maryniak,Connor,SS,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,58,255,1001,445,109,610,161,175,433,154,165
1707,1258560319,S. Smith,Sawyer Smith,Smith,Sawyer,SS,University of Kansas,KU,730360064,Kansas,BBC,L,R,60,253,973,435,123,580,155,157,433,135,145
1713,1210662400,D. Bade,Devan Bade,Bade,Devan,3B,Binghamton University,BING,730155776,Binghamton,BBC,R,R,55,258,984,435,85,588,186,164,434,121,153
1713,1084685312,J. Melendez,Jayden Melendez,Melendez,Jayden,C,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,54,237,963,399,116,573,135,148,434,111,174
1713,1153410304,R. Zuckerman,Ryan Zuckerman,Zuckerman,Ryan,3B,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,55,255,999,446,175,610,137,134,434,145,164
1713,1301144832,A. Duffey,Alex Duffey,Duffey,Alex,C,Elon University,ELON,730252544,Elon,BBC,L,R,55,243,974,376,92,567,153,131,434,114,191
1713,1093154816,A. Nessler,AJ Nessler,Nessler,AJ,LF,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,L,R,55,255,925,373,57,525,187,129,434,79,152
1713,1294345728,S. Stephenson,Sam Stephenson,Stephenson,Sam,SS,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,56,270,997,407,109,570,163,135,434,92,163
1713,1297508864,H. Friese,Hayden Friese,Friese,Hayden,1B,Western Carolina University,WCU,730278144,Western Carolina,BBC,L,R,57,276,1020,398,48,595,205,145,434,84,197
1713,1402749004,R. Pruitt,Ryan Pruitt,Pruitt,Ryan,CF,University of South Florida,USF,2292,South Florida,BBC,L,L,56,257,947,389,79,561,185,125,434,99,172
1721,1166182912,J. Hyde,Jake Hyde,Hyde,Jake,1B,Duke University,DUKE,730336256,Duke,BBC,L,R,58,269,1082,445,111,614,162,172,435,137,169
1721,1143047680,D. Carey,Dylan Carey,Carey,Dylan,SS,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,62,271,986,504,130,613,181,193,435,160,109
1721,1332977920,M. O'Shaughnessy,Michael O'Shaughnessy,O'Shaughnessy,Michael,3B,Davidson College,DAV,730363136,Davidson,BBC,L,R,56,274,1025,441,98,600,173,170,435,120,159
1721,1162562304,T. Barth,Tommy Barth,Barth,Tommy,LF,University of Kansas,KU,730360064,Kansas,BBC,R,L,58,252,964,405,110,565,164,131,435,111,160
1721,1314869504,B. Frye,Bradley Frye,Frye,Bradley,SS,Mercer University,MER,730240512,Mercer,BBC,R,R,59,276,962,469,88,623,208,173,435,149,154
