Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,XBH,K,BB,AVG,AB,InZoneSwing%,Chase%,Contact%,wOBA LHP,wOBA RHP,1PSwing% vs Hard Empty,1PSwing% vs CH Empty,2K Whiff vs LHP Hard,2K Whiff vs LHP OS,2K Whiff vs RHP Hard,2K Whiff vs RHP OS
87,1162316032,M. DiMartini,Michael DiMartini,DiMartini,Michael,CF,University of Dayton,DAY,730194688,Dayton,BBC,R,R,32,51,27,.403,238,75.0%,29.3%,69.2%,.420,.501,36%,100%,23.3%,15.4%,28.8%,29.8%
87,1140709632,H. Stokely,Hunter Stokely,Stokely,Hunter,1B,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,27,59,28,.324,238,76.2%,31.8%,68.5%,.367,.441,49%,69%,25.6%,42.9%,28.2%,37.2%
87,1143051776,B. Boser,Bobby Boser,Boser,Bobby,3B,University of Florida,FLA,730168320,Florida,BBC,R,R,30,72,28,.336,238,70.5%,28.4%,70.4%,.424,.455,38%,36%,23.1%,29.6%,36.5%,32.8%
87,1204990720,B. Martin-Grudzielanek,Bryce Martin-Grudzielanek,Martin-Grudzielanek,Bryce,SS,University of Southern California,USC,5047,USC,BBC,R,R,16,61,23,.294,238,62.1%,28.4%,73.6%,.371,.342,31%,10%,28.6%,29.2%,18.7%,23.7%
87,1348018397,J. Hauge,Jackson Hauge,Hauge,Jackson,RF,University of Kansas,KU,730360064,Kansas,BBC,R,R,33,56,32,.294,238,68.0%,25.4%,73.9%,.363,.433,33%,27%,12.5%,27.6%,22.8%,37.7%
87,1162550784,M. Strong,Mason Strong,Strong,Mason,C,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,33,27,23,.366,238,73.7%,29.2%,81.6%,.385,.454,28%,60%,28.6%,14.3%,13.2%,16.2%
87,1287073536,A. Zorn,Adin Zorn,Zorn,Adin,LF,University of Dayton,DAY,730194688,Dayton,BBC,R,R,25,44,18,.319,238,71.8%,27.7%,75.2%,.355,.382,30%,60%,26.7%,16.7%,23.1%,28.9%
100,1132962304,L. Iverson,Luke Iverson,Iverson,Luke,RF,Utah Valley University,UVU,730263552,Utah Valley,BBC,S,R,26,80,40,.283,237,64.9%,23.6%,73.0%,.451,.420,35%,53%,5.6%,50.0%,25.9%,38.6%
100,1310879232,J. Paino,Josh Paino,Paino,Josh,3B,Clemson University,CLEM,730358784,Clemson,BBC,R,R,21,87,29,.249,237,70.3%,29.0%,71.1%,.410,.320,35%,36%,14.3%,15.0%,23.0%,45.6%
100,1336589568,J. Advincula,Jarren Advincula,Advincula,Jarren,2B,University of California,CAL,730152448,California,BBC,L,R,25,29,22,.342,237,69.9%,31.5%,87.1%,.481,.355,32%,36%,9.5%,25.0%,24.4%,16.7%
