Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,XBH,K,BB,AVG,AB,InZoneSwing%,Chase%,Contact%,wOBA LHP,wOBA RHP,1PSwing% vs Hard Empty,1PSwing% vs CH Empty,2K Whiff vs LHP Hard,2K Whiff vs LHP OS,2K Whiff vs RHP Hard,2K Whiff vs RHP OS
2325,1671393892,F. Santana,Fabian Santana,Santana,Fabian,C,Alabama State University,ALST,4765,Alabama State,BBC,R,R,7,13,11,.290,124,67.0%,26.0%,90.5%,.295,.356,28%,100%,0.0%,22.2%,11.1%,16.7%
2325,1593724959,D. Larkins,Dylan Larkins,Larkins,Dylan,RF,Georgetown University,GTWN,2330,Georgetown,BBC,L,L,3,26,26,.242,124,57.6%,17.0%,81.7%,.328,.310,30%,50%,0.0%,57.1%,22.2%,18.2%
2325,1342169367,C. Colyer,CJ Colyer,Colyer,CJ,1B,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,19,46,9,.306,124,70.1%,28.5%,66.7%,.340,.427,43%,20%,33.3%,20.0%,34.6%,52.2%
2325,1569233885,R. Galvan,Rene Galvan,Galvan,Rene,LF,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,L,L,14,39,24,.266,124,65.8%,22.0%,66.4%,.380,.374,38%,27%,7.7%,36.4%,34.3%,42.3%
2340,1235490304,K. Hager,Kevin Hager,Hager,Kevin,SS,Cornell University,COR,730298624,Cornell,BBC,R,R,9,21,20,.276,123,68.0%,19.5%,79.0%,.472,.340,41%,20%,0.0%,33.3%,7.9%,26.8%
2340,1330601216,M. Little,Morgan Little,Little,Morgan,1B,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,L,R,5,31,17,.220,123,64.9%,15.0%,76.6%,.344,.254,27%,43%,25.0%,10.0%,21.4%,25.0%
2340,1123075328,C. Adams,Christian Adams,Adams,Christian,1B,University of Georgia,UGA,226,Georgia,BBC,L,R,15,38,18,.293,123,65.4%,19.5%,76.3%,.563,.326,24%,9%,23.1%,30.0%,29.2%,17.2%
2340,1336576512,T. Patty,Tyshon Patty,Patty,Tyshon,3B,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,8,13,27,.276,123,55.1%,12.6%,92.0%,.366,.353,19%,33%,10.0%,0.0%,14.3%,20.0%
2340,1327900928,D. Rivers,Davis Rivers,Rivers,Davis,C,Texas Tech University,TTU,2350,Texas Tech,BBC,L,R,16,46,12,.220,123,60.0%,28.4%,65.8%,.170,.360,37%,22%,0.0%,70.0%,27.5%,38.9%
2340,1194289152,J. Rader,Jeremy Rader,Rader,Jeremy,2B,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,7,25,22,.244,123,65.6%,22.3%,81.3%,.287,.350,28%,0%,0.0%,50.0%,13.6%,36.4%
2340,1213485568,M. Chatelle,Matthew Chatelle,Chatelle,Matthew,C,Rutgers University,RUTG,730229248,Rutgers,BBC,R,R,10,28,18,.268,123,59.7%,22.4%,81.0%,.330,.347,41%,50%,7.7%,20.0%,20.0%,29.6%
2340,1299826688,T. Rhodes,Terrence Rhodes,Rhodes,Terrence,2B,Norfolk State University,NORF,3904,Norfolk State,BBC,L,R,11,35,8,.244,123,78.7%,23.8%,79.8%,.256,.324,17%,-,20.0%,66.7%,33.3%,12.5%
2340,1334587904,T. Smith,Tyler Smith,Smith,Tyler,1B,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,L,R,15,23,22,.293,123,61.1%,14.8%,80.5%,.500,.403,33%,100%,-,33.3%,0.0%,0.0%
2340,1197247744,N. Libed,Nico Libed,Libed,Nico,LF,University of San Diego,USD,5320,San Diego,BBC,R,R,6,28,24,.244,123,51.8%,15.2%,83.6%,.354,.308,17%,-,14.3%,42.9%,15.6%,8.7%
2340,1132723712,E. Goforth,Evan Goforth,Goforth,Evan,3B,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,12,9,7,.276,123,71.2%,21.6%,90.1%,.356,.345,50%,50%,0.0%,0.0%,11.8%,6.7%
2340,1184450816,D. Lewis,David Lewis,Lewis,David,3B,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,13,45,23,.228,123,63.6%,24.0%,71.4%,.394,.305,22%,43%,15.8%,31.8%,33.3%,50.0%
2340,1700211719,R. Longo,Ricco Longo,Longo,Ricco,3B,Washington State University,WSU,4505,Washington State,BBC,R,R,10,23,16,.244,123,62.2%,19.0%,84.3%,.301,.330,21%,0%,16.7%,5.6%,10.3%,17.0%
2340,1360777184,J. Minarik,Jake Minarik,Minarik,Jake,RF,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,16,29,7,.317,123,65.7%,22.3%,77.7%,.500,.383,35%,30%,40.0%,20.0%,7.4%,35.0%
2340,1793130965,K. Schulte,Kooper Schulte,Schulte,Kooper,SS,University of Iowa,IOWA,1232,Iowa,BBC,R,R,9,35,9,.268,123,65.1%,25.0%,74.4%,.413,.265,27%,33%,0.0%,42.9%,15.8%,46.9%
2340,1976265199,J. Smith,Jackson Smith,Smith,Jackson,1B,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,L,R,12,33,24,.285,123,57.7%,15.2%,78.9%,.473,.364,28%,9%,25.0%,33.3%,17.4%,20.7%
2340,1203487455,B. Root,Beau Root,Root,Beau,LF,University of Connecticut,CONN,5486,Connecticut,BBC,L,L,9,29,17,.341,123,58.1%,22.6%,81.4%,.416,.414,15%,43%,6.7%,20.0%,16.3%,29.7%
2340,1906889799,O. Coil,Owen Coil,Coil,Owen,RF,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,L,R,14,35,13,.252,123,75.9%,32.5%,65.9%,.221,.375,41%,50%,50.0%,42.9%,28.6%,44.8%
2358,1305030656,J. Sutton,Jonah Sutton,Sutton,Jonah,C,University of Memphis,MEM,730172160,Memphis,BBC,R,R,8,35,19,.205,122,62.3%,21.6%,69.2%,.406,.297,31%,33%,22.2%,40.0%,24.3%,39.4%
2358,1261687040,T. Zwirecki,Thomas Zwirecki,Zwirecki,Thomas,C,Canisius College,CAN,730218752,Canisius,BBC,R,R,19,24,17,.320,122,50.9%,9.8%,85.7%,.498,.428,38%,-,40.0%,0.0%,100.0%,20.0%
2358,1115512064,J. Quinlan,John Quinlan,Quinlan,John,LF,Cornell University,COR,730298624,Cornell,BBC,S,R,12,26,26,.246,122,65.9%,20.9%,79.4%,.268,.385,38%,8%,14.3%,37.5%,11.4%,14.3%
2358,1094741504,W. Linberg,Will Linberg,Linberg,Will,RF,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,L,L,12,27,22,.320,122,62.2%,20.3%,81.4%,.422,.377,15%,0%,12.5%,28.6%,11.6%,23.3%
2358,1162659328,A. Gauna,Andrew Gauna,Gauna,Andrew,RF,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,13,20,6,.311,122,65.9%,26.6%,81.9%,.320,.441,48%,40%,21.4%,0.0%,6.3%,39.1%
2358,1153438464,J. Kernodle,Jake Kernodle,Kernodle,Jake,1B,Princeton University,PRIN,730198784,Princeton,BBC,R,R,3,33,19,.213,122,62.9%,20.8%,74.2%,.206,.292,34%,50%,28.6%,57.1%,31.3%,26.9%
2358,1216253696,J. Kelly,Jordan Kelly,Kelly,Jordan,RF,Princeton University,PRIN,730198784,Princeton,BBC,L,R,5,50,17,.148,122,61.7%,30.6%,59.0%,.168,.214,22%,31%,60.0%,66.7%,30.2%,40.9%
2358,1087549952,E. Lazio,Eli Lazio,Lazio,Eli,1B,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,11,28,14,.270,122,70.2%,25.5%,76.2%,.332,.330,27%,11%,33.3%,33.3%,21.1%,30.3%
2358,1195546880,C. Diggins,Chase Diggins,Diggins,Chase,2B,University of Kansas,KU,730360064,Kansas,BBC,R,R,7,19,20,.262,122,67.1%,15.2%,85.8%,.329,.348,23%,33%,14.3%,33.3%,13.6%,26.1%
2358,1310976000,I. Collier,Ian Collier,Collier,Ian,C,Texas State University,TXST,5420,Texas State,BBC,R,R,9,46,16,.238,122,62.3%,27.4%,67.1%,.250,.363,19%,0%,35.7%,33.3%,31.0%,44.1%
2358,1272690432,T. Lindwedel,Tony Lindwedel,Lindwedel,Tony,C,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,10,44,11,.230,122,68.1%,29.1%,70.9%,.380,.267,37%,0%,18.2%,36.4%,39.3%,45.2%
2358,1238157568,E. Ickes,Elijah Ickes,Ickes,Elijah,SS,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,11,27,13,.303,122,69.5%,22.8%,76.8%,.519,.270,33%,33%,9.1%,25.0%,21.4%,66.7%
2358,1178799872,T. Legendre,Tyler Legendre,Legendre,Tyler,RF,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,15,30,24,.303,122,62.0%,17.0%,84.4%,.377,.426,8%,0%,16.7%,-,40.0%,25.0%
2358,1698176328,B. Grizzaffi,Bryce Grizzaffi,Grizzaffi,Bryce,C,Lamar University,LAM,730162432,Lamar,BBC,R,R,3,13,18,.287,122,56.0%,19.6%,85.7%,.314,.344,31%,50%,0.0%,14.3%,12.5%,25.0%
2358,1124793499,M. Falk,Matt Falk,Falk,Matt,C,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,10,32,24,.262,122,58.9%,15.5%,82.8%,.269,.377,44%,0%,42.9%,25.0%,38.5%,16.7%
2358,1364277410,J. Martin,Jameson Martin,Martin,Jameson,3B,University of Minnesota,MINN,4864,Minnesota,BBC,R,R,9,39,22,.213,122,54.9%,18.3%,74.6%,.402,.310,13%,0%,14.8%,30.8%,15.0%,51.9%
2358,1372708664,C. McLemore,Collin McLemore,McLemore,Collin,2B,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,3,26,15,.262,122,56.0%,18.8%,87.2%,.278,.334,18%,-,0.0%,25.0%,28.6%,11.1%
2358,1877482377,J. Hudson,Jordan Hudson,Hudson,Jordan,LF,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,7,39,11,.246,122,61.9%,28.4%,69.8%,.347,.293,26%,100%,0.0%,50.0%,16.7%,42.9%
2358,1551542065,E. Williams,Eric Williams,Williams,Eric,2B,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,13,21,19,.344,122,83.3%,18.2%,89.2%,.383,.361,60%,50%,0.0%,50.0%,0.0%,25.0%
2377,1118859776,M. Spear,Matt Spear,Spear,Matt,C,University of Michigan,MICH,2290,Michigan,BBC,L,R,7,33,19,.231,121,62.5%,18.5%,76.9%,.332,.335,14%,0%,16.7%,71.4%,21.4%,21.4%
2377,1202710784,G. Boree,Gunner Boree,Boree,Gunner,2B,Brown University,BRWN,730236160,Brown,BBC,R,R,12,57,25,.215,121,64.7%,17.4%,63.3%,.308,.362,39%,50%,20.0%,0.0%,34.2%,48.1%
2377,1092979456,G. Myro,Gunnar Myro,Myro,Gunnar,CF,UNLV,UNLV,730161664,UNLV,BBC,R,R,7,21,11,.264,121,65.3%,24.9%,79.1%,.330,.294,22%,50%,25.0%,16.7%,7.4%,33.3%
2377,1195565057,H. Snyder,Hunter Snyder,Snyder,Hunter,3B,Columbia University,CLMB,730319104,Columbia,BBC,L,R,10,22,20,.306,121,64.3%,20.8%,78.4%,.507,.334,31%,29%,22.2%,57.1%,4.4%,24.0%
2377,1116084736,M. Chavez,Matthew Chavez,Chavez,Matthew,C,California Baptist University,CBU,5091,California Baptist,BBC,R,R,5,22,5,.281,121,72.3%,32.0%,81.8%,.331,.287,38%,0%,9.1%,25.0%,11.4%,16.2%
2377,1251300352,I. Takemoto,Itsuki Takemoto,Takemoto,Itsuki,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,R,9,26,10,.256,121,69.4%,30.1%,75.5%,.348,.264,32%,83%,0.0%,50.0%,26.3%,23.1%
2377,1224924160,J. Cannizzaro,Jack Cannizzaro,Cannizzaro,Jack,C,James Madison University,JMU,730340096,James Madison,BBC,R,R,5,19,16,.198,121,60.6%,25.2%,85.7%,.261,.250,26%,22%,0.0%,0.0%,20.7%,16.7%
2377,1125365504,B. Reed,Blake Reed,Reed,Blake,C,Ohio University,OHIO,730298368,Ohio,BBC,R,R,12,24,14,.322,121,64.1%,19.9%,80.8%,.360,.400,33%,0%,7.7%,15.4%,5.9%,33.3%
2377,1205939200,T. Cox,Tyler Cox,Cox,Tyler,CF,Hofstra University,HOF,730245120,Hofstra,BBC,L,R,9,28,28,.281,121,61.7%,17.1%,77.4%,.444,.355,26%,0%,14.3%,33.3%,6.5%,21.1%
2377,1559255931,D. Meche,Davis Meche,Meche,Davis,3B,McNeese State University,MCNS,730285056,McNeese State,BBC,L,R,12,20,11,.281,121,79.8%,29.0%,83.7%,.469,.337,38%,57%,0.0%,0.0%,16.0%,21.6%
2377,1421562378,S. Beck,Sam Beck,Beck,Sam,SS,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,4,27,16,.240,121,67.8%,27.6%,81.9%,.248,.303,31%,50%,18.2%,18.2%,15.8%,27.0%
2377,1498084241,T. Payne II,Tevis Payne II,Payne II,Tevis,C,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,7,21,21,.264,121,56.8%,16.1%,85.0%,.416,.298,15%,33%,0.0%,12.5%,11.1%,27.3%
2377,1210182431,T. Marsala,Thomas Marsala,Marsala,Thomas,LF,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,L,R,10,30,10,.281,121,70.1%,32.4%,78.3%,.271,.355,34%,33%,37.5%,14.3%,25.6%,33.3%
2377,1493011308,D. Jackson,Daniel Jackson,Jackson,Daniel,RF,University of Georgia,UGA,226,Georgia,BBC,R,R,17,44,19,.240,121,58.5%,16.9%,69.4%,.208,.523,17%,25%,33.3%,47.4%,22.9%,18.8%
2377,1236352914,D. Borner,Drew Borner,Borner,Drew,2B,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,9,21,13,.306,121,67.8%,23.3%,87.0%,.229,.384,21%,50%,40.0%,0.0%,16.0%,9.7%
2377,1343189705,E. Miller,Ethan Miller,Miller,Ethan,C,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,13,17,12,.347,121,64.3%,24.7%,91.2%,.428,.403,11%,0%,0.0%,33.3%,9.1%,14.3%
2377,1550029332,G. Werdesheim,Grant Werdesheim,Werdesheim,Grant,CF,Princeton University,PRIN,730198784,Princeton,BBC,R,R,3,50,11,.174,121,62.5%,30.1%,67.2%,.192,.232,32%,100%,28.6%,11.1%,36.4%,47.4%
2394,1250235392,A. Benes,Adam Benes,Benes,Adam,1B,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,11,30,12,.242,120,68.7%,27.7%,73.0%,.316,.329,25%,33%,22.2%,12.5%,29.2%,26.3%
2394,1207760896,M. Heavner,Matt Heavner,Heavner,Matt,3B,North Carolina State University,NCST,730216448,North Carolina State,BBC,R,R,4,15,13,.225,120,64.7%,24.7%,85.5%,.276,.281,43%,50%,15.4%,12.5%,14.3%,22.2%
2394,1263687424,J. Lopez,Jayden Lopez,Lopez,Jayden,LF,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,R,7,48,19,.217,120,71.0%,15.2%,61.9%,.428,.268,61%,0%,22.2%,33.3%,62.5%,60.9%
2394,1136384256,C. Gibbs,Casey Gibbs,Gibbs,Casey,2B,Longwood University,LONG,730219264,Longwood,BBC,S,R,7,37,14,.217,120,59.7%,23.5%,78.6%,.360,.281,24%,13%,6.7%,0.0%,36.6%,25.0%
2394,1210138368,B. Mercado,Brock Mercado,Mercado,Brock,C,UNC Asheville,UNCA,1570,UNC Asheville,BBC,L,R,5,25,16,.225,120,58.2%,23.0%,78.7%,.389,.266,25%,14%,0.0%,37.5%,10.3%,22.0%
2394,1210139136,B. McKenzie,Brody McKenzie,McKenzie,Brody,CF,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,10,30,27,.300,120,59.0%,21.8%,80.7%,.513,.397,24%,14%,0.0%,22.2%,18.2%,32.3%
2394,1336286208,P. Ilitch,Patrick Ilitch,Ilitch,Patrick,LF,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,16,42,7,.233,120,77.4%,33.3%,61.4%,.412,.298,60%,60%,25.0%,33.3%,46.4%,52.4%
2394,1730104270,J. Caballero,Jaden Caballero,Caballero,Jaden,LF,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,2,17,9,.233,120,65.3%,19.6%,87.3%,.223,.279,39%,0%,0.0%,0.0%,16.7%,22.2%
2394,1865789400,A. Ramirez,Andrew Ramirez,Ramirez,Andrew,SS,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,8,13,17,.283,120,67.5%,32.2%,85.1%,.276,.397,16%,0%,7.7%,10.5%,10.9%,13.3%
2394,1729489540,T. Higgins,Trey Higgins,Higgins,Trey,LF,Samford University,SAM,730386432,Samford,BBC,S,R,14,41,26,.258,120,73.5%,25.2%,64.3%,.573,.376,41%,36%,28.6%,0.0%,35.3%,34.8%
2394,1919727431,Z. Gingrich,Zachary Gingrich,Gingrich,Zachary,LF,Texas State University,TXST,5420,Texas State,BBC,L,R,16,55,21,.225,120,59.3%,20.6%,63.4%,.395,.342,29%,20%,25.0%,35.7%,38.9%,38.9%
2394,1174043694,H. Lutterman,Hudson Lutterman,Lutterman,Hudson,3B,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,14,24,11,.208,120,68.9%,31.2%,79.2%,.234,.340,32%,25%,5.0%,36.0%,13.0%,25.0%
2394,1901458397,J. Woita,Jase Woita,Woita,Jase,LF,University of South Carolina,SCAR,730348544,South Carolina,BBC,L,R,12,27,17,.300,120,68.4%,22.1%,75.1%,.114,.435,29%,0%,16.7%,30.0%,15.8%,28.2%
2394,1019713603,T. Koch,Tommy Koch,Koch,Tommy,C,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,4,32,26,.192,120,66.0%,21.9%,72.7%,.264,.279,39%,33%,0.0%,0.0%,19.0%,47.1%
2394,1449230617,N. Hodge,Nathan Hodge,Hodge,Nathan,3B,UTSA,UTSA,730373120,UTSA,BBC,R,R,9,18,14,.308,120,63.6%,22.4%,85.1%,.357,.386,45%,25%,6.7%,10.0%,20.0%,27.3%
2394,1729552872,C. Hessemyer,Cayden Hessemyer,Hessemyer,Cayden,2B,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,R,R,8,23,10,.333,120,70.4%,25.6%,79.8%,.449,.319,56%,50%,0.0%,50.0%,17.9%,36.4%
2410,1084027648,K. Griffin,Korbin Griffin,Griffin,Korbin,LF,Ball State University,BALL,730195456,Ball State,BBC,L,L,12,29,7,.261,119,72.0%,22.0%,74.7%,.414,.305,29%,44%,14.3%,33.3%,21.4%,37.1%
2410,1239328256,O. Carlson,Owen Carlson,Carlson,Owen,2B,Cornell University,COR,730298624,Cornell,BBC,L,R,3,24,16,.269,119,69.9%,18.2%,80.8%,.240,.321,39%,29%,0.0%,37.5%,13.8%,32.4%
2410,1239187968,J. Hower,Jackson Hower,Hower,Jackson,RF,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,8,24,4,.218,119,73.9%,34.0%,73.0%,.248,.295,48%,27%,0.0%,16.7%,9.5%,40.0%
2410,1085755136,K. Higgins,Kade Higgins,Higgins,Kade,RF,University of Southern California,USC,5047,USC,BBC,L,R,9,40,9,.261,119,69.2%,25.1%,70.7%,.384,.291,20%,60%,33.3%,38.5%,20.9%,34.9%
2410,1080320768,B. Drost,Brody Drost,Drost,Brody,RF,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,L,10,38,14,.277,119,65.1%,16.1%,72.6%,.302,.368,25%,11%,28.6%,100.0%,22.6%,36.8%
2410,1333122048,K. Jimenez,Kenneth Jimenez,Jimenez,Kenneth,C,University of Houston,HOU,3030,Houston,BBC,R,R,5,24,33,.227,119,45.3%,14.4%,86.1%,.376,.351,18%,0%,7.7%,15.4%,15.7%,9.5%
2410,1246655744,T. Gordon,Tyler Gordon,Gordon,Tyler,3B,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,R,7,23,9,.269,119,70.7%,25.8%,86.3%,.344,.319,32%,14%,0.0%,50.0%,12.9%,23.8%
2410,1131535104,S. Silas,Sam Silas,Silas,Sam,1B,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,R,R,6,30,11,.286,119,57.3%,25.0%,78.8%,.299,.367,19%,17%,15.4%,21.4%,19.0%,31.3%
2410,1094685440,D. Bishop,David Bishop,Bishop,David,1B,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,11,31,12,.235,119,68.1%,29.5%,73.3%,.264,.330,47%,25%,16.7%,37.5%,13.6%,66.7%
2410,1130289664,Z. Tallerman,Zach Tallerman,Tallerman,Zach,1B,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,10,30,6,.261,119,70.3%,24.5%,76.3%,.159,.370,27%,0%,7.7%,66.7%,14.3%,34.6%
2410,1306795264,N. Bright,Noah Bright,Bright,Noah,C,Michigan State University,MSU,1551,Michigan State,BBC,R,R,7,32,18,.277,119,65.7%,22.7%,76.8%,.281,.346,28%,0%,36.4%,16.7%,28.1%,20.0%
2410,1143053568,B. Yeatts,Bentley Yeatts,Yeatts,Bentley,3B,Longwood University,LONG,730219264,Longwood,BBC,R,R,5,27,15,.227,119,60.4%,22.8%,78.3%,.430,.269,38%,0%,50.0%,33.3%,18.5%,17.1%
2410,1269406976,C. Nelson,Cole Nelson,Nelson,Cole,LF,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,17,54,13,.235,119,64.9%,32.8%,59.6%,.304,.417,35%,50%,29.4%,60.0%,24.3%,47.2%
2410,1178719488,T. Gambill,Tate Gambill,Gambill,Tate,CF,Brigham Young University,BYU,730257152,BYU,BBC,L,L,12,25,16,.336,119,62.8%,15.8%,80.1%,.434,.406,34%,29%,7.7%,14.3%,21.9%,26.9%
2410,1033035425,E. Brand,Ethan Brand,Brand,Ethan,3B,Towson University,TOWS,730318336,Towson,BBC,R,R,8,31,21,.269,119,62.6%,17.0%,78.7%,.254,.357,13%,0%,33.3%,50.0%,22.2%,31.8%
2410,1709369560,B. Rogers,Braydon Rogers,Rogers,Braydon,2B,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,14,28,18,.244,119,58.6%,18.7%,83.7%,.418,.312,15%,14%,5.0%,25.0%,36.4%,17.6%
2410,1465566123,E. Gipson,Eli Gipson,Gipson,Eli,SS,Indiana State University,INST,730350080,Indiana State,BBC,R,R,6,43,19,.244,119,57.6%,23.2%,74.3%,.270,.348,19%,0%,54.5%,40.0%,20.5%,40.0%
2410,1386159189,D. Mullins,Dalton Mullins,Mullins,Dalton,LF,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,L,L,7,22,15,.252,119,71.3%,19.1%,81.5%,.300,.318,31%,44%,20.0%,33.3%,31.6%,46.2%
2410,1020564839,S. Lee,Sam Lee,Lee,Sam,LF,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,R,R,1,30,6,.193,119,73.7%,24.1%,78.8%,.249,.192,53%,25%,42.9%,50.0%,16.7%,50.0%
2410,1078030211,A. Amburgey,Austin Amburgey,Amburgey,Austin,1B,Valparaiso University,VALP,730369536,Valparaiso,BBC,L,R,5,32,8,.218,119,64.4%,36.3%,71.6%,.146,.301,32%,56%,50.0%,36.4%,21.7%,25.9%
2410,1209046581,R. Glassford,Ronan Glassford,Glassford,Ronan,LF,Canisius College,CAN,730218752,Canisius,BBC,L,L,5,30,14,.193,119,69.4%,27.6%,72.7%,.345,.231,38%,100%,100.0%,33.3%,27.3%,33.3%
2410,1587154519,C. Butera,Christian Butera,Butera,Christian,3B,Brown University,BRWN,730236160,Brown,BBC,R,R,14,41,13,.303,119,70.4%,26.8%,65.6%,.534,.352,46%,33%,12.5%,16.7%,18.9%,48.6%
2432,1310479104,J. Kendro,Jake Kendro,Kendro,Jake,SS,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,9,37,14,.195,118,63.2%,19.6%,70.1%,.321,.270,18%,20%,20.0%,40.0%,35.3%,24.3%
2432,1117733376,R. Butler,Rob Butler,Butler,Rob,C,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,12,41,15,.263,118,69.9%,25.9%,68.3%,.425,.343,29%,50%,23.1%,22.2%,20.8%,38.9%
2432,1192538113,F. Gomez Jr.,Franklin Gomez Jr.,Gomez Jr.,Franklin,CF,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,7,31,34,.271,118,57.0%,10.7%,79.3%,.269,.409,8%,0%,100.0%,-,33.3%,20.0%
2432,1162490624,C. Smith-Johnson,Christian Smith-Johnson,Smith-Johnson,Christian,RF,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,R,R,5,26,8,.254,118,75.9%,28.5%,76.7%,.410,.255,48%,60%,25.0%,20.0%,20.8%,50.0%
2432,1207804160,S. McGahan,Shea McGahan,McGahan,Shea,C,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,13,20,35,.263,118,54.8%,15.7%,84.1%,.376,.398,20%,100%,6.7%,0.0%,13.8%,6.7%
2432,1096344505,C. Bland,Cermodrick Bland,Bland,Cermodrick,RF,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,8,30,21,.356,118,62.6%,14.3%,80.2%,.392,.409,35%,0%,25.0%,60.0%,11.1%,63.6%
2432,1599055261,J. Jones,Jace Jones,Jones,Jace,C,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,8,31,23,.246,118,76.2%,22.4%,83.0%,.407,.313,67%,0%,40.0%,0.0%,0.0%,-
2432,1890388154,J. McKillop,John McKillop,McKillop,John,1B,Army West Point,ARMY,4744,Army,BBC,L,R,8,32,11,.271,118,70.4%,28.4%,75.3%,.282,.314,47%,60%,0.0%,75.0%,15.4%,29.6%
2440,1292501504,T. Waugh,Tyler Waugh,Waugh,Tyler,LF,UAB,UAB,730345984,UAB,BBC,L,R,6,22,29,.231,117,52.4%,14.0%,86.2%,.319,.368,16%,17%,23.1%,14.3%,4.9%,11.8%
2440,1100118528,E. Hott,Ethan Hott,Hott,Ethan,CF,Stanford University,STAN,730251264,Stanford,BBC,R,R,12,19,10,.342,117,67.0%,26.2%,80.4%,.439,.385,28%,17%,0.0%,0.0%,11.1%,40.7%
2440,1084406528,T. Curry,Thomas Curry,Curry,Thomas,C,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,14,33,16,.308,117,69.3%,26.5%,71.4%,.604,.394,38%,0%,0.0%,25.0%,33.3%,22.9%
2440,1278156800,C. Wildman,Caden Wildman,Wildman,Caden,RF,Cornell University,COR,730298624,Cornell,BBC,R,R,10,30,18,.282,117,69.7%,19.5%,73.4%,.374,.349,42%,40%,14.3%,33.3%,23.5%,42.3%
2440,1162053632,D. Carpentier,Dean Carpentier,Carpentier,Dean,1B,University of Southern California,USC,5047,USC,BBC,R,R,9,30,16,.231,117,69.1%,20.4%,76.2%,.274,.333,33%,50%,0.0%,25.0%,19.4%,37.9%
2440,1271032320,R. Stallman,Reed Stallman,Stallman,Reed,LF,Mississippi State University,MSST,5080,Mississippi State,BBC,L,R,19,42,15,.265,117,60.0%,20.6%,69.1%,.541,.386,22%,63%,50.0%,33.3%,31.0%,26.3%
