Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,4Seam%,Sink2Seam%,Cutter%,Slider%,Curve%,Change%,Split%,Sweeper%,Unknown%,FastSink%,Soft%,Break%
274,1310313472,J. carpenter,Jesiah Carpenter,carpenter,Jesiah,CF,UMBC,UMBC,730210304,UMBC,BBC,R,R,46,209,731,55.8%,2.4%,6.2%,26.5%,2.3%,5.3%,1.5%,0.0%,27.2%,58.3%,35.5%,28.8%
275,1161345536,R. Davis,Ryan Davis,Davis,Ryan,3B,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,R,R,45,180,512,55.8%,2.3%,0.6%,23.3%,4.7%,13.4%,0.0%,0.0%,66.4%,58.1%,41.3%,27.9%
276,1124743168,D. Damore,Dante Damore,Damore,Dante,1B,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,52,248,925,55.8%,4.2%,3.6%,26.1%,5.3%,5.0%,0.0%,0.0%,63.6%,59.9%,36.5%,31.5%
277,1176049408,E. Meier,Evan Meier,Meier,Evan,CF,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,51,189,617,55.8%,3.6%,4.4%,26.0%,3.9%,6.4%,0.0%,0.0%,37.0%,59.4%,36.2%,29.8%
278,1220504064,T. Gaspar,Taylor Gaspar,Gaspar,Taylor,RF,Stonehill College,SC,730238464,Stonehill,BBC,R,R,48,214,753,55.8%,1.7%,0.3%,17.7%,13.0%,11.0%,0.6%,0.0%,52.9%,57.5%,42.3%,30.7%
279,1097643008,B. Williams,Brody Williams,Williams,Brody,C,Kent State University,KENT,730315008,Kent State,BBC,R,R,51,232,854,55.7%,4.2%,6.3%,20.6%,5.6%,5.9%,1.4%,0.0%,50.0%,60.0%,33.7%,26.5%
280,1734858759,B. French,Blaine French,French,Blaine,RF,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,L,L,42,180,708,55.7%,6.0%,1.6%,19.5%,5.5%,11.2%,0.5%,0.0%,38.3%,61.7%,36.7%,25.0%
281,1238221056,T. Ferroggiaro,Thomas Ferroggiaro,Ferroggiaro,Thomas,3B,Santa Clara University,SCU,730297600,Santa Clara,BBC,S,R,39,177,720,55.7%,4.6%,3.2%,12.3%,5.3%,18.5%,0.3%,0.0%,18.8%,60.3%,36.4%,17.6%
282,1139915009,B. Garner,Bradley Garner,Garner,Bradley,RF,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,52,250,972,55.7%,1.1%,2.0%,25.8%,2.8%,12.3%,0.0%,0.4%,11.9%,56.8%,41.2%,29.0%
283,1201266944,L. Scales,Luke Scales,Scales,Luke,3B,Bellarmine University,BU,730167552,Bellarmine,BBC,R,R,54,234,883,55.7%,6.3%,1.7%,25.5%,4.8%,5.5%,0.7%,0.0%,31.5%,62.0%,36.4%,30.2%
284,1309504768,J. Martinez,Jace Martinez,Martinez,Jace,SS,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,R,R,50,211,905,55.7%,3.1%,8.1%,19.7%,5.4%,8.0%,0.0%,0.0%,38.9%,58.8%,33.1%,25.1%
285,1310312448,A. Cohall,Aidan Cohall,Cohall,Aidan,LF,Stonehill College,SC,730238464,Stonehill,BBC,L,R,46,207,699,55.7%,2.6%,0.9%,14.0%,10.2%,15.7%,0.9%,0.0%,50.9%,58.3%,40.8%,24.2%
286,1296199425,S. Leonard,Samuel Leonard,Leonard,Samuel,SS,Alcorn State University,ALCN,5376,Alcorn State,BBC,R,R,47,170,400,55.7%,0.0%,1.1%,17.0%,10.2%,15.9%,0.0%,0.0%,78.0%,55.7%,43.2%,27.3%
287,1320576000,J. Williams,Jayden Williams,Williams,Jayden,CF,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,44,184,646,55.6%,5.1%,3.9%,20.2%,5.8%,9.3%,0.0%,0.0%,60.2%,60.7%,35.4%,26.1%
288,1616456315,O. Wilson,Owen Wilson,Wilson,Owen,SS,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,45,186,721,55.6%,1.9%,5.6%,26.3%,3.2%,4.5%,0.2%,2.8%,10.3%,57.5%,36.9%,32.3%
289,1310888704,W. Cresswell,Will Cresswell,Cresswell,Will,C,Washington State University,WSU,4505,Washington State,BBC,R,R,43,184,687,55.6%,0.9%,4.6%,22.1%,7.9%,8.5%,0.3%,0.0%,4.5%,56.6%,38.9%,30.0%
290,1621316682,J. Pagano,Joey Pagano,Pagano,Joey,LF,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,L,R,46,199,756,55.6%,3.8%,2.9%,16.4%,7.2%,12.0%,1.6%,0.4%,9.7%,59.4%,37.6%,24.0%
291,1298788096,J. Cauthron,Jackson Cauthron,Cauthron,Jackson,C,Ohio University,OHIO,730298368,Ohio,BBC,L,R,49,214,771,55.6%,2.0%,2.9%,19.0%,8.4%,12.1%,0.0%,0.0%,36.4%,57.7%,39.5%,27.4%
292,1257343232,B. Cleary,Ben Cleary,Cleary,Ben,SS,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,49,219,855,55.6%,8.0%,6.2%,19.7%,4.5%,6.0%,0.0%,0.0%,16.7%,63.6%,30.2%,24.2%
293,1190090496,W. Baumhofer,Will Baumhofer,Baumhofer,Will,RF,College of Charleston,COFC,730177792,College of Charleston,BBC,L,R,59,262,1017,55.6%,1.7%,3.6%,18.7%,8.0%,12.1%,0.3%,0.0%,5.4%,57.3%,39.1%,26.7%
294,1007910647,L. Matthews,Luke Matthews,Matthews,Luke,SS,Kent State University,KENT,730315008,Kent State,BBC,R,R,43,202,697,55.6%,4.0%,1.5%,22.4%,6.7%,8.2%,1.5%,0.0%,42.5%,59.6%,38.9%,29.2%
295,1952408633,M. Wall,Micajah Wall,Wall,Micajah,C,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,51,195,751,55.6%,2.1%,5.6%,24.9%,3.5%,8.3%,0.0%,0.0%,19.3%,57.8%,36.6%,28.4%
296,1089571840,J. Doyle,Jacob Doyle,Doyle,Jacob,RF,University of Nevada,NEV,4784,Nevada,BBC,R,R,53,220,785,55.6%,2.0%,5.1%,22.5%,7.0%,7.7%,0.0%,0.0%,0.5%,57.6%,37.3%,29.6%
297,1339593216,C. Jacobs,Clay Jacobs,Jacobs,Clay,RF,Ball State University,BALL,730195456,Ball State,BBC,L,R,56,183,666,55.6%,4.9%,0.4%,16.9%,5.1%,16.2%,0.9%,0.0%,14.9%,60.5%,39.2%,22.0%
298,1876394548,N. Werk,Nicholas Werk,Werk,Nicholas,LF,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,47,167,636,55.5%,2.9%,0.7%,25.2%,7.6%,7.1%,0.7%,0.2%,35.7%,58.4%,40.8%,33.0%
299,1318580992,B. Yaworski,Bo Yaworski,Yaworski,Bo,1B,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,L,L,46,208,602,55.5%,8.2%,1.1%,16.5%,7.1%,11.5%,0.0%,0.0%,69.8%,63.7%,35.2%,23.6%
300,1083995904,J. Davis,Jakobi Davis,Davis,Jakobi,CF,Cornell University,COR,730298624,Cornell,BBC,L,L,34,148,616,55.5%,2.6%,3.9%,15.6%,6.3%,15.2%,0.3%,0.5%,5.2%,58.0%,38.0%,22.4%
301,1327585536,K. Langley,Kyle Langley,Langley,Kyle,LF,James Madison University,JMU,730340096,James Madison,BBC,L,L,52,215,805,55.5%,5.3%,1.9%,17.2%,8.5%,10.7%,1.0%,0.0%,0.1%,60.8%,37.3%,25.6%
302,1093167104,K. Douglas,Kameron Douglas,Douglas,Kameron,TWP,Alabama State University,ALST,4765,Alabama State,BBC,R,R,59,277,1089,55.5%,1.6%,1.5%,19.5%,15.2%,6.5%,0.3%,0.0%,37.7%,57.1%,41.4%,34.7%
303,1301451265,L. Haskell,Logan Haskell,Haskell,Logan,LF,Binghamton University,BING,730155776,Binghamton,BBC,R,R,47,202,826,55.4%,7.4%,3.9%,23.4%,3.4%,6.4%,0.0%,0.0%,15.5%,62.9%,33.2%,26.8%
304,1232301313,J. Torres,Jose Torres,Torres,Jose,C,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,57,204,762,55.4%,5.8%,1.8%,17.6%,7.2%,11.1%,0.8%,0.1%,7.0%,61.2%,37.0%,25.0%
305,1893896015,A. Ritzer,Alex Ritzer,Ritzer,Alex,2B,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,R,47,192,734,55.4%,2.6%,2.5%,15.3%,10.8%,12.7%,0.4%,0.3%,0.4%,58.0%,39.5%,26.4%
306,1204866561,K. Durschlag,Konni Durschlag,Durschlag,Konni,CF,High Point University,HP,730321152,High Point,BBC,R,R,56,283,1106,55.4%,6.3%,4.2%,22.0%,4.9%,7.1%,0.1%,0.0%,3.6%,61.7%,34.1%,26.9%
307,1157355776,B. Rocha,Bubba Rocha,Rocha,Bubba,LF,California Baptist University,CBU,5091,California Baptist,BBC,R,R,46,200,845,55.4%,2.6%,1.3%,17.0%,10.2%,12.6%,0.8%,0.1%,0.2%,58.0%,40.7%,27.3%
