Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,4Seam%,Sink2Seam%,Cutter%,Slider%,Curve%,Change%,Split%,Sweeper%,Unknown%,FastSink%,Soft%,Break%
852,1077998080,C. Campbell,Cole Campbell,Campbell,Cole,C,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,53,248,919,50.0%,6.4%,4.8%,23.8%,5.2%,7.2%,1.7%,1.0%,47.3%,56.4%,38.8%,30.0%
852,1936686658,N. Beckley,Nathan Beckley,Beckley,Nathan,1B,Youngstown State University,YSU,730284544,Youngstown State,BBC,L,R,53,209,788,50.0%,0.6%,3.3%,20.6%,9.4%,14.9%,1.2%,0.0%,35.3%,50.6%,46.1%,30.0%
852,1303156481,B. Burress,Braden Burress,Burress,Braden,LF,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,61,257,957,50.0%,8.4%,6.5%,22.5%,5.0%,7.0%,0.5%,0.0%,2.5%,58.4%,35.1%,27.6%
852,1196300536,R. Lordier,Ryan Lordier,Lordier,Ryan,2B,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,47,192,625,50.0%,7.6%,3.4%,25.2%,3.8%,9.2%,0.8%,0.0%,58.1%,57.6%,38.9%,29.0%
852,1243572201,J. Batts,Justin Batts,Batts,Justin,1B,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,38,147,479,50.0%,0.0%,0.0%,21.9%,6.3%,21.9%,0.0%,0.0%,93.3%,50.0%,50.0%,28.1%
852,1626227274,B. Bradford,Blake Bradford,Bradford,Blake,3B,University of West Georgia,UOWG,730308864,West Georgia,BBC,S,L,45,159,534,50.0%,9.9%,3.3%,9.3%,6.6%,20.3%,0.5%,0.0%,65.9%,59.9%,36.8%,15.9%
852,1573312151,R. Watson,Rex Watson,Watson,Rex,RF,University of San Diego,USD,5320,San Diego,BBC,L,L,54,234,890,50.0%,1.3%,5.3%,26.0%,6.0%,10.6%,0.3%,0.5%,1.1%,51.2%,43.4%,32.5%
863,1680543305,P. Wight,Parker Wight,Wight,Parker,1B,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,L,R,53,238,945,49.9%,2.3%,1.6%,27.0%,2.6%,16.1%,0.4%,0.0%,0.0%,52.3%,46.1%,29.6%
864,1992035244,L. Pimentel-Guerrero,Luis Pimentel-Guerrero,Pimentel-Guerrero,Luis,LF,Sacramento State University,SAC,730293760,Sacramento State,BBC,S,R,57,243,917,49.9%,3.4%,3.3%,13.2%,8.7%,21.2%,0.4%,0.0%,9.8%,53.3%,43.4%,21.9%
865,1207756288,B. Buzzeo,Blake Buzzeo,Buzzeo,Blake,2B,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,58,246,869,49.9%,5.1%,6.2%,27.8%,6.0%,4.4%,0.5%,0.0%,6.0%,55.1%,38.7%,33.8%
866,1196254208,T. Stauss,Ty Stauss,Stauss,Ty,LF,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,L,R,53,237,859,49.9%,7.3%,2.6%,12.3%,8.9%,19.0%,0.0%,0.0%,11.9%,57.2%,40.2%,21.1%
867,1110077952,W. Zapp,Walker Zapp,Zapp,Walker,C,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,51,231,845,49.9%,2.1%,3.3%,23.6%,11.9%,8.9%,0.0%,0.3%,16.3%,52.1%,44.7%,35.8%
868,1395883646,D. Smith,Dante Smith,Smith,Dante,RF,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,R,44,199,734,49.9%,5.9%,6.5%,14.9%,6.1%,16.4%,0.2%,0.0%,28.7%,55.8%,37.7%,21.0%
869,1178073344,A. Taurek,Aiden Taurek,Taurek,Aiden,LF,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,61,273,944,49.9%,3.2%,4.1%,26.9%,5.5%,9.5%,1.0%,0.0%,0.6%,53.1%,42.9%,32.4%
870,1314869504,B. Frye,Bradley Frye,Frye,Bradley,SS,Mercer University,MER,730240512,Mercer,BBC,R,R,59,276,962,49.9%,1.1%,2.7%,25.1%,7.7%,12.9%,0.6%,0.0%,3.5%,51.0%,46.3%,32.8%
871,1099810304,W. Peifer,Wyatt Peifer,Peifer,Wyatt,3B,James Madison University,JMU,730340096,James Madison,BBC,S,R,55,239,860,49.9%,3.6%,1.9%,17.2%,10.3%,16.3%,0.8%,0.0%,0.0%,53.5%,44.7%,27.6%
872,1104654848,J. Sokolove,JT Sokolove,Sokolove,JT,CF,Michigan State University,MSU,1551,Michigan State,BBC,R,R,53,238,857,49.9%,8.9%,3.6%,20.7%,6.4%,8.0%,0.6%,1.9%,2.7%,58.8%,37.6%,29.0%
873,1870143898,J. Sanchez,Jacob Sanchez,Sanchez,Jacob,1B,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,52,241,916,49.9%,4.8%,3.1%,24.1%,7.6%,10.2%,0.2%,0.0%,9.4%,54.7%,42.2%,31.7%
874,1342167387,C. Bailey,Carter Bailey,Bailey,Carter,SS,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,53,213,852,49.9%,5.3%,1.6%,27.3%,6.7%,9.1%,0.0%,0.0%,7.3%,55.2%,43.2%,34.1%
875,1098309632,R. Bussey,Reggie Bussey,Bussey,Reggie,CF,The Ohio State University,OSU,4144,Ohio State,BBC,L,L,45,179,756,49.9%,12.0%,3.7%,10.6%,6.7%,15.3%,0.9%,0.8%,0.0%,61.9%,34.4%,18.1%
876,1281745664,J. Overbeek,Josh Overbeek,Overbeek,Josh,3B,University of Nebraska,NEB,4865,Nebraska,BBC,S,R,52,201,746,49.9%,4.0%,2.8%,13.1%,7.6%,21.4%,1.1%,0.0%,0.0%,53.9%,43.3%,20.8%
877,1310781952,K. Freeman,Kaleb Freeman,Freeman,Kaleb,2B,Georgia State University,GAST,730239744,Georgia State,BBC,S,R,56,276,1176,49.9%,5.5%,2.2%,15.2%,8.1%,18.8%,0.4%,0.0%,5.5%,55.4%,42.5%,23.3%
878,1240386048,R. Porter,Ryan Porter,Porter,Ryan,P,Cornell University,COR,730298624,Cornell,BBC,R,R,31,110,376,49.9%,4.4%,3.3%,23.5%,6.9%,10.8%,0.3%,0.8%,4.0%,54.3%,42.4%,31.3%
879,1342166725,J. Polledo,Jeter Polledo,Polledo,Jeter,SS,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,52,203,687,49.9%,6.3%,0.3%,27.4%,6.3%,7.8%,1.7%,0.3%,49.5%,56.2%,43.5%,34.0%
880,1137369344,J. Luetzow,Johnny Luetzow,Luetzow,Johnny,C,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,43,174,642,49.8%,10.3%,4.2%,22.6%,3.8%,9.1%,0.2%,0.0%,18.1%,60.1%,35.7%,26.4%
880,1334094066,R. Ventura,Ranciel Ventura,Ventura,Ranciel,SS,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,50,218,737,49.8%,5.3%,4.6%,25.9%,5.7%,8.7%,0.0%,0.0%,64.3%,55.1%,40.3%,31.6%
882,1204964096,T. Drake,Tyson Drake,Drake,Tyson,LF,Tarleton State University,TAR,730236416,Tarleton State,BBC,L,L,56,271,1003,49.8%,1.3%,1.3%,20.1%,6.6%,20.5%,0.1%,0.1%,24.7%,51.1%,47.5%,26.9%
883,1207798016,A. Lewis II,Andreaus Lewis,Lewis II,Andreaus,C,Manhattan College,MAN,730363648,Manhattan,BBC,L,R,45,177,633,49.8%,4.0%,5.3%,25.9%,4.0%,10.1%,0.8%,0.0%,61.0%,53.8%,40.9%,30.0%
884,1544322135,B. Corn,Brayden Corn,Corn,Brayden,CF,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,57,273,1001,49.8%,4.6%,4.8%,25.3%,4.0%,11.3%,0.0%,0.3%,3.9%,54.4%,40.9%,29.5%
885,1648774913,A. Raymond,Andrew Raymond,Raymond,Andrew,C,George Mason University,GMU,730265088,George Mason,BBC,L,R,51,215,798,49.8%,8.7%,3.1%,25.0%,4.9%,7.4%,0.9%,0.1%,12.4%,58.5%,38.3%,30.0%
886,1099693419,B. Iredale,Brent Iredale,Iredale,Brent,3B,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,65,280,1184,49.8%,3.4%,6.5%,21.0%,7.0%,11.1%,1.3%,0.0%,2.3%,53.2%,40.4%,28.0%
887,1132712448,C. Sorg,Casey Sorg,Sorg,Casey,CF,Bellarmine University,BU,730167552,Bellarmine,BBC,S,R,55,248,928,49.8%,5.5%,2.2%,17.1%,7.5%,16.8%,1.0%,0.0%,27.7%,55.3%,42.5%,24.6%
888,1176126464,R. Robinson,Ryder Robinson,Robinson,Ryder,SS,Brigham Young University,BYU,730257152,BYU,BBC,S,R,55,270,1117,49.8%,3.5%,4.1%,17.9%,7.4%,15.9%,1.1%,0.1%,0.0%,53.3%,42.6%,25.6%
889,1239285248,T. Aiken,TJ Aiken,Aiken,TJ,LF,Old Dominion University,ODU,3090,Old Dominion,BBC,L,L,43,173,714,49.8%,4.4%,1.7%,25.4%,5.6%,11.9%,1.2%,0.0%,10.2%,54.1%,44.1%,31.0%
890,1310440960,J. Jaffe,Jordan Jaffe,Jaffe,Jordan,1B,University of Richmond,RICH,730171904,Richmond,BBC,R,R,52,252,890,49.8%,5.8%,2.0%,27.5%,7.0%,6.7%,0.7%,0.5%,6.4%,55.5%,42.4%,35.0%
891,1657988572,L. Lowe,Logan Lowe,Lowe,Logan,SS,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,50,226,864,49.8%,5.1%,3.3%,11.0%,25.2%,4.9%,0.4%,0.5%,3.9%,54.8%,41.9%,36.6%
892,1100332032,K. Alexander,Kyree Alexander,Alexander,Kyree,3B,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,48,201,677,49.7%,6.4%,5.6%,18.4%,11.2%,7.1%,1.5%,0.0%,42.1%,56.1%,38.3%,29.6%
893,1390395142,S. Inoue,Shintaro Inoue,Inoue,Shintaro,2B,Kansas State University,KSU,730270464,Kansas State,BBC,L,R,58,256,1000,49.7%,8.0%,3.4%,20.2%,5.3%,12.7%,0.3%,0.2%,4.1%,57.8%,38.8%,25.8%
894,1944131337,W. Waters,Wylie Waters,Waters,Wylie,1B,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,R,52,214,773,49.7%,2.7%,2.5%,22.8%,10.5%,10.9%,0.9%,0.0%,2.5%,52.4%,45.1%,33.3%
895,1402749004,R. Pruitt,Ryan Pruitt,Pruitt,Ryan,CF,University of South Florida,USF,2292,South Florida,BBC,L,L,56,257,947,49.7%,5.8%,3.2%,20.3%,9.1%,11.4%,0.4%,0.0%,2.1%,55.6%,41.2%,29.3%
896,1093154816,A. Nessler,AJ Nessler,Nessler,AJ,LF,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,L,R,55,255,925,49.7%,7.7%,4.9%,17.9%,5.3%,13.3%,1.0%,0.1%,0.4%,57.5%,37.6%,23.3%
897,1293479424,T. Thompson-Allen,Terrick Thompson-Allen,Thompson-Allen,Terrick,CF,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,54,218,774,49.7%,7.6%,1.8%,18.6%,7.3%,12.9%,1.6%,0.4%,8.5%,57.3%,40.8%,26.4%
898,1576437199,W. Maginnis,William Maginnis,Maginnis,William,1B,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,56,257,935,49.7%,5.5%,2.4%,28.0%,5.0%,9.4%,0.0%,0.0%,6.4%,55.2%,42.4%,33.0%
899,1297547264,T. Kamaka,Titan Kamaka,Kamaka,Titan,2B,Mercer University,MER,730240512,Mercer,BBC,R,R,52,234,884,49.7%,0.9%,3.7%,26.1%,4.3%,14.1%,1.2%,0.0%,2.8%,50.6%,45.6%,30.4%
900,1341664768,C. Becker,Colten Becker,Becker,Colten,LF,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,L,53,236,962,49.7%,5.4%,3.8%,13.6%,9.6%,17.8%,0.0%,0.0%,28.9%,55.1%,41.1%,23.2%
900,1550029332,G. Werdesheim,Grant Werdesheim,Werdesheim,Grant,CF,Princeton University,PRIN,730198784,Princeton,BBC,R,R,39,144,530,49.7%,8.0%,5.8%,20.3%,8.2%,5.5%,1.6%,1.0%,3.2%,57.7%,36.5%,29.4%
902,1360077437,N. Arias,Nick Arias,Arias,Nick,SS,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,50,226,901,49.7%,2.9%,7.4%,25.7%,5.2%,9.0%,0.1%,0.0%,11.1%,52.6%,40.1%,31.0%
903,1202698496,B. Lohry,Bradke Lohry,Lohry,Bradke,SS,University of South Florida,USF,2292,South Florida,BBC,R,R,55,238,959,49.7%,5.9%,4.0%,26.9%,7.0%,6.2%,0.3%,0.0%,1.8%,55.6%,40.3%,33.9%
904,1310533888,K. Kepley,Kane Kepley,Kepley,Kane,CF,University of North Carolina,UNC,730181888,North Carolina,BBC,L,L,61,309,1238,49.7%,4.5%,6.9%,17.4%,8.6%,11.6%,1.2%,0.1%,0.0%,54.2%,38.9%,26.1%
905,1189127936,J. Stransky,Justin Stransky,Stransky,Justin,C,Fresno State,FRES,730384384,Fresno State,BBC,R,R,60,272,939,49.7%,2.0%,7.5%,24.5%,6.0%,9.4%,0.1%,0.9%,1.8%,51.6%,40.9%,31.3%
906,1100740096,E. Swidler,Ethan Swidler,Swidler,Ethan,C,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,49,223,901,49.7%,4.2%,5.7%,25.0%,5.7%,8.9%,0.8%,0.0%,1.4%,53.8%,40.4%,30.7%
907,1235305472,M. Williams,Max Williams,Williams,Max,CF,Florida State University,FSU,101,Florida State,BBC,L,L,57,261,893,49.7%,4.5%,2.8%,17.7%,6.7%,18.2%,0.5%,0.0%,0.8%,54.2%,43.0%,24.4%
908,1243930112,J. Fithian,Jalen Fithian,Fithian,Jalen,CF,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,53,255,813,49.7%,4.6%,5.2%,26.7%,5.0%,8.4%,0.5%,0.0%,45.9%,54.2%,40.5%,31.7%
909,1306732288,D. Grego,Dylan Grego,Grego,Dylan,SS,Ball State University,BALL,730195456,Ball State,BBC,S,R,58,276,1044,49.7%,3.6%,1.4%,18.2%,6.2%,20.5%,0.6%,0.0%,16.7%,53.2%,45.4%,24.4%
910,1465368002,B. Johnson,Blaize Johnson,Johnson,Blaize,LF,UNC Asheville,UNCA,1570,UNC Asheville,BBC,L,R,41,159,595,49.6%,2.6%,2.8%,10.7%,20.2%,13.2%,0.7%,0.0%,4.5%,52.3%,44.9%,31.0%
911,1279825152,J. Power,Jack Power,Power,Jack,1B,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,L,R,58,268,989,49.6%,0.9%,2.9%,23.0%,9.7%,13.8%,0.1%,0.0%,30.9%,50.5%,46.6%,32.7%
912,1166939648,T. Martin,Tommy Martin,Martin,Tommy,RF,Yale University,YALE,730334464,Yale,BBC,S,R,43,190,711,49.6%,5.6%,4.5%,23.2%,6.7%,9.1%,1.1%,0.2%,10.1%,55.2%,40.2%,30.0%
913,1682487759,M. Bolton,Matt Bolton,Bolton,Matt,CF,Binghamton University,BING,730155776,Binghamton,BBC,L,R,55,269,1052,49.6%,7.6%,3.6%,19.4%,3.5%,15.9%,0.0%,0.3%,15.9%,57.2%,39.2%,23.3%
914,1292628036,A. Martinez,Andrey Martinez,Martinez,Andrey,RF,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,54,238,784,49.6%,5.6%,1.1%,30.5%,6.6%,6.1%,0.5%,0.0%,51.9%,55.2%,43.8%,37.1%
915,1342167225,C. Longmeier,Charlie Longmeier,Longmeier,Charlie,LF,University of Evansville,EVAN,730327808,Evansville,BBC,L,L,52,229,907,49.6%,10.6%,3.4%,15.7%,4.8%,14.4%,0.8%,0.7%,3.1%,60.2%,36.4%,21.2%
916,1202571776,S. Collins,Sky Collins,Collins,Sky,CF,Fresno State,FRES,730384384,Fresno State,BBC,R,R,58,242,802,49.6%,1.6%,8.3%,25.1%,3.8%,11.0%,0.0%,0.6%,1.1%,51.2%,40.5%,29.5%
917,1408080086,C. Magoulick,Charley Magoulick,Magoulick,Charley,1B,Rider University,RID,730174976,Rider,BBC,L,L,48,193,652,49.5%,3.2%,3.2%,22.1%,7.2%,14.0%,0.9%,0.0%,66.0%,52.7%,44.1%,29.3%
918,1029774878,T. Chun,Tanner Chun,Chun,Tanner,LF,Tulane University,TULN,730354176,Tulane,BBC,R,R,55,201,795,49.5%,1.9%,5.4%,27.4%,5.0%,8.0%,0.0%,2.6%,2.8%,51.5%,43.1%,35.1%
919,1236375552,H. Feinberg,Harrison Feinberg,Feinberg,Harrison,LF,Northeastern University,NE,343,Northeastern,BBC,R,R,58,257,1005,49.5%,2.6%,4.1%,24.5%,7.8%,10.0%,0.0%,1.4%,15.5%,52.1%,43.8%,33.7%
920,1107635456,D. Haab,Daniel Haab,Haab,Daniel,RF,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,52,222,752,49.5%,5.5%,4.2%,21.8%,11.5%,7.2%,0.3%,0.0%,1.6%,55.1%,40.7%,33.3%
921,1549740470,N. Book,Nolan Book,Book,Nolan,SS,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,50,218,677,49.5%,3.6%,5.5%,28.2%,4.8%,8.1%,0.2%,0.0%,38.3%,53.1%,41.4%,33.0%
922,1080345344,K. Holm,Kai Holm,Holm,Kai,SS,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,51,227,848,49.5%,8.3%,6.2%,20.8%,4.4%,10.1%,0.7%,0.0%,14.5%,57.8%,36.0%,25.2%
923,1230312950,B. Loyd,Ben Loyd,Loyd,Ben,SS,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,L,R,50,214,746,49.5%,5.2%,2.3%,19.0%,7.7%,16.1%,0.2%,0.0%,16.9%,54.7%,43.1%,26.8%
924,1170236928,E. Brown,Eli Brown,Brown,Eli,LF,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,52,205,775,49.5%,0.2%,5.7%,27.6%,8.2%,8.8%,0.0%,0.0%,34.1%,49.7%,44.6%,35.8%
925,1058192003,C. Schrack,Carson Schrack,Schrack,Carson,2B,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,L,R,44,181,671,49.5%,9.5%,4.3%,16.1%,6.1%,14.4%,0.2%,0.0%,9.1%,59.0%,36.7%,22.1%
926,1323961088,A. Soldra,AJ Soldra,Soldra,AJ,CF,Seton Hall University,HALL,730272512,Seton Hall,BBC,L,L,54,259,1017,49.5%,6.5%,4.1%,15.3%,9.7%,14.3%,0.6%,0.0%,5.8%,55.9%,40.0%,25.1%
927,1153726208,B. Simpson,Brayden Simpson,Simpson,Brayden,3B,High Point University,HP,730321152,High Point,BBC,R,R,58,279,1066,49.5%,5.0%,3.2%,27.1%,6.3%,8.8%,0.2%,0.0%,4.8%,54.5%,42.4%,33.4%
928,1238031872,J. Lambdin,Jake Lambdin,Lambdin,Jake,SS,Xavier University,XAV,5464,Xavier,BBC,R,R,59,276,1105,49.5%,6.9%,5.3%,21.6%,5.9%,10.5%,0.1%,0.3%,0.0%,56.3%,38.3%,27.7%
929,1185610752,Z. Peters,Zach Peters,Peters,Zach,RF,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,54,226,872,49.5%,1.2%,2.9%,25.0%,10.6%,10.9%,0.0%,0.0%,16.5%,50.7%,46.4%,35.6%
930,1122150400,K. Fossum,Kyle Fossum,Fossum,Kyle,RF,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,57,274,1101,49.4%,0.1%,5.5%,29.3%,5.7%,9.8%,0.1%,0.0%,35.2%,49.6%,44.9%,34.9%
930,1029547586,H. Federico,Hayden Federico,Federico,Hayden,LF,University of Mississippi,MISS,5322,Ole Miss,BBC,S,R,55,232,882,49.4%,12.2%,2.7%,14.5%,6.1%,13.8%,0.6%,0.7%,0.2%,61.6%,35.7%,21.4%
932,1195454208,J. Nadeau,Justin Nadeau,Nadeau,Justin,CF,University of Florida,FLA,730168320,Florida,BBC,L,R,51,199,805,49.4%,10.3%,4.1%,16.2%,7.1%,11.9%,1.0%,0.0%,2.0%,59.7%,36.2%,23.3%
933,1318652416,T. Cohen,Trevor Cohen,Cohen,Trevor,RF,Rutgers University,RUTG,730229248,Rutgers,BBC,L,L,57,273,962,49.4%,5.1%,2.6%,15.9%,8.5%,17.8%,0.3%,0.3%,0.5%,54.6%,42.8%,24.7%
934,1144614656,L. Lawrence,Luke Lawrence,Lawrence,Luke,2B,University of Kentucky,UK,5362,Kentucky,BBC,L,R,57,268,957,49.4%,10.4%,6.5%,18.1%,6.3%,8.9%,0.4%,0.0%,1.7%,59.8%,33.7%,24.3%
935,1774004064,A. Martin,A.J. Martin,Martin,A.J.,2B,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,52,249,875,49.4%,4.6%,2.3%,25.7%,7.7%,9.5%,0.6%,0.1%,2.6%,54.0%,43.7%,33.6%
936,1030419949,T. DePerno,Ty DePerno,DePerno,Ty,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,50,197,769,49.4%,1.9%,1.6%,27.3%,4.8%,14.1%,0.7%,0.3%,4.7%,51.3%,47.1%,32.3%
937,1193792412,D. Vachini,Dante Vachini,Vachini,Dante,LF,Cal Poly,CP,5487,Cal Poly,BBC,L,R,61,258,973,49.4%,5.6%,2.8%,20.8%,7.5%,12.8%,0.8%,0.4%,0.1%,54.9%,42.3%,28.7%
938,1310371584,P. McDonald,Parker McDonald,McDonald,Parker,3B,Samford University,SAM,730386432,Samford,BBC,R,R,53,221,857,49.4%,2.5%,3.5%,28.3%,5.8%,10.3%,0.1%,0.0%,7.4%,51.9%,44.6%,34.1%
939,1198036992,Z. Daudet,Zach Daudet,Daudet,Zach,1B,Cal Poly,CP,5487,Cal Poly,BBC,R,R,53,236,875,49.4%,6.5%,2.1%,23.4%,7.1%,9.4%,1.3%,0.9%,0.2%,55.9%,42.0%,31.4%
940,1279228928,S. Solorzano,Steve Solorzano,Solorzano,Steve,TWP,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,50,234,894,49.4%,2.3%,4.2%,25.0%,4.0%,14.4%,0.5%,0.2%,2.5%,51.7%,44.1%,29.3%
941,1143040000,C. Bayne,Carson Bayne,Bayne,Carson,CF,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,54,222,783,49.4%,2.9%,7.9%,24.7%,5.8%,9.0%,0.0%,0.4%,0.1%,52.3%,39.8%,30.8%
942,1166182912,J. Hyde,Jake Hyde,Hyde,Jake,1B,Duke University,DUKE,730336256,Duke,BBC,L,R,58,269,1082,49.4%,6.9%,4.5%,18.2%,4.6%,15.6%,0.6%,0.1%,0.4%,56.2%,39.2%,23.1%
943,1191720192,L. Bushey,Liam Bushey,Bushey,Liam,1B,Western Illinois University,WIU,730370560,Western Illinois,BBC,L,R,48,227,848,49.3%,6.9%,4.0%,17.6%,3.8%,16.2%,2.2%,0.0%,46.5%,56.2%,39.8%,21.3%
944,1294172160,B. Kender,Billy Kender,Kender,Billy,2B,Bucknell University,BUCK,730214144,Bucknell,BBC,R,R,45,202,829,49.3%,2.2%,5.4%,24.2%,9.6%,9.0%,0.4%,0.0%,3.1%,51.6%,43.1%,33.7%
945,1316990464,G. Terry,Gavin Terry,Terry,Gavin,LF,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,L,L,43,198,643,49.3%,15.2%,0.0%,14.5%,6.5%,13.0%,0.7%,0.7%,78.5%,64.5%,35.5%,21.7%
946,1795910842,N. Castellon,Nate Castellon,Castellon,Nate,SS,Cal Poly,CP,5487,Cal Poly,BBC,R,R,61,265,886,49.3%,9.9%,3.5%,21.1%,4.7%,9.4%,0.9%,1.1%,0.1%,59.2%,37.3%,27.0%
947,1192263870,C. Chaplain,Cooper Chaplain,Chaplain,Cooper,2B,Little Rock,UALR,730217472,Little Rock,BBC,L,R,61,272,944,49.3%,2.5%,2.4%,21.7%,8.5%,14.6%,1.0%,0.0%,6.7%,51.8%,45.9%,30.2%
948,1260855040,L. Masiuk,Luke Masiuk,Masiuk,Luke,RF,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,53,230,871,49.2%,3.6%,7.0%,26.5%,3.2%,10.3%,0.3%,0.0%,16.3%,52.8%,40.2%,29.6%
949,1071999889,M. Ross,Max Ross,Ross,Max,RF,Santa Clara University,SCU,730297600,Santa Clara,BBC,L,R,42,167,658,49.2%,10.8%,3.9%,14.6%,6.2%,14.3%,1.0%,0.0%,9.6%,60.0%,36.1%,20.8%
950,1099815424,J. Gurevitch,Jack Gurevitch,Gurevitch,Jack,1B,University of San Diego,USD,5320,San Diego,BBC,L,R,56,277,1050,49.2%,1.5%,2.7%,20.0%,8.5%,16.9%,0.7%,0.5%,1.9%,50.7%,46.6%,29.0%
951,1085403392,D. Krupinski,Dom Krupinski,Krupinski,Dom,3B,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,L,R,58,267,1105,49.2%,5.7%,3.8%,18.0%,6.2%,16.5%,0.5%,0.0%,7.0%,55.0%,41.2%,24.2%
952,1857228116,J. Ward,James Ward,Ward,James,3B,Radford University,RAD,730267392,Radford,BBC,R,R,56,260,934,49.2%,2.2%,3.1%,26.5%,8.8%,9.9%,0.3%,0.0%,5.6%,51.4%,45.6%,35.4%
953,1184450048,K. Mallory Jr.,Kenny Mallory Jr.,Mallory Jr.,Kenny,1B,Elon University,ELON,730252544,Elon,BBC,L,L,56,235,949,49.2%,11.9%,4.0%,17.0%,5.0%,12.3%,0.6%,0.0%,0.6%,61.1%,34.9%,22.0%
954,1304694272,J. Raifstanger,Jayder Raifstanger,Raifstanger,Jayder,3B,St. John's University (NY),SJU,4285,St. John's,BBC,L,R,52,259,1011,49.2%,13.5%,5.6%,13.0%,5.5%,12.4%,0.8%,0.1%,13.0%,62.7%,31.7%,18.5%
955,1177548800,A. Thielman,Avery Thielman,Thielman,Avery,1B,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,47,206,803,49.2%,7.6%,4.4%,30.8%,5.1%,2.8%,0.2%,0.0%,45.8%,56.8%,38.9%,35.9%
956,1481789585,J. Dutton,JJ Dutton,Dutton,JJ,RF,Morehead State University,MORE,730158080,Morehead State,BBC,R,R,52,235,842,49.2%,8.4%,0.8%,26.7%,5.4%,9.0%,0.5%,0.0%,21.3%,57.6%,41.6%,32.1%
957,1725006698,A. Irizarry,Alex Irizarry,Irizarry,Alex,SS,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,L,R,52,241,852,49.2%,6.7%,8.7%,19.4%,3.3%,12.7%,0.0%,0.0%,64.9%,55.9%,35.5%,22.7%
958,1280063232,R. Willbanks,Reed Willbanks,Willbanks,Reed,CF,Little Rock,UALR,730217472,Little Rock,BBC,R,R,59,212,837,49.2%,3.3%,1.7%,26.9%,8.1%,10.4%,0.4%,0.0%,7.2%,52.5%,45.8%,35.0%
959,1327586816,A. Greco,Anthony Greco,Greco,Anthony,1B,College of William & Mary,WM,730232064,William & Mary,BBC,L,R,53,226,845,49.1%,1.8%,6.4%,18.9%,6.4%,16.0%,0.4%,0.8%,9.9%,51.0%,42.6%,26.1%
960,1235332096,T. Adelman,Trent Adelman,Adelman,Trent,RF,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,49,206,737,49.1%,10.6%,4.9%,23.1%,5.7%,6.0%,0.4%,0.0%,5.6%,59.8%,35.3%,28.9%
