Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,AB,HR,HR%,HR/FB,HRDst,FBDst,HRPull,HRCtr,HROpp
58,1236375552,H. Feinberg,Harrison Feinberg,Feinberg,Harrison,LF,Northeastern University,NE,343,Northeastern,BBC,R,R,58,257,208,18,7.0%,15.5%,400.08,336.8,5,2,2
58,1126276608,D. Cuvet,Daniel Cuvet,Cuvet,Daniel,3B,University of Miami,MIA,236,Miami,BBC,R,R,61,269,226,18,6.7%,15.4%,388.57,325.6,9,3,5
58,1338133248,C. Miller,Cody Miller,Miller,Cody,SS,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,58,285,236,18,6.3%,13.6%,390.11,322.7,13,3,2
58,1192564993,C. Hynek,Colin Hynek,Hynek,Colin,C,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,52,227,174,18,7.9%,15.5%,398.12,325.4,11,4,2
58,1310831104,M. Russo,Matthew Russo,Russo,Matthew,1B,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,R,63,300,245,18,6.0%,15.5%,394.15,332.6,9,6,3
58,1202704384,N. Rodriguez,Nick Rodriguez,Rodriguez,Nick,2B,Missouri State University,MOSU,5382,Missouri State,BBC,L,R,55,266,228,18,6.8%,14.1%,386.17,333.2,9,4,4
58,1279221760,C. Thibodeaux,Cardell Thibodeaux,Thibodeaux,Cardell,LF,Southern University,SOU,4767,Southern,BBC,L,L,49,238,189,18,7.6%,16.1%,360.77,309.3,4,1,1
58,1092992512,R. Kucherak,Ryan Kucherak,Kucherak,Ryan,SS,Northwestern University,NW,730247680,Northwestern,BBC,R,R,52,224,194,18,8.0%,18.0%,399.17,340.1,10,6,2
58,1122512640,B. Calloway,Bryce Calloway,Calloway,Bryce,TWP,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,54,244,205,18,7.4%,18.6%,413.95,338.9,5,5,6
58,1143051776,B. Boser,Bobby Boser,Boser,Bobby,3B,University of Florida,FLA,730168320,Florida,BBC,R,R,61,287,238,18,6.3%,19.6%,399.59,344.8,4,8,6
58,1207476224,J. Sweeney,Johnny Sweeney,Sweeney,Johnny,1B,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,R,57,260,194,18,6.9%,16.7%,391.56,333.0,11,6,1
58,1287473664,R. Daniels,Ryan Daniels,Daniels,Ryan,2B,University of Connecticut,CONN,5486,Connecticut,BBC,L,R,54,252,203,18,7.1%,16.1%,395.72,328.0,15,2,1
58,1310843392,R. Velazquez,Raymond Velazquez,Velazquez,Raymond,3B,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,50,215,172,18,8.4%,16.1%,394.79,317.8,9,6,1
58,1060162120,D. Francis Jr.,Dale Francis Jr.,Francis Jr.,Dale,1B,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,53,229,195,18,7.9%,18.0%,391.58,346.8,9,6,2
58,1616187675,T. Davis,Tague Davis,Davis,Tague,TWP,University of Louisville,LOU,5467,Louisville,BBC,L,L,64,264,219,18,6.8%,16.2%,403.95,336.0,11,2,5
58,1661336148,D. Toigo,Dean Toigo,Toigo,Dean,RF,UNLV,UNLV,730161664,UNLV,BBC,L,R,54,255,220,18,7.1%,15.3%,404.75,335.1,13,5,0
58,1872942440,L. Gregorio,Logan Gregorio,Gregorio,Logan,LF,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,L,R,54,260,231,18,6.9%,15.0%,402.00,337.0,8,4,3
85,1176027648,A. Raygoza,Armani Raygoza,Raygoza,Armani,1B,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,L,R,53,247,211,17,6.9%,14.7%,410.66,339.3,6,4,5
85,1155640832,N. Humphreys,Nathan Humphreys,Humphreys,Nathan,CF,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,L,R,59,278,224,17,6.1%,13.6%,390.92,337.7,11,3,3
85,1246725888,E. Pelc,Eddy Pelc,Pelc,Eddy,CF,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,L,58,268,212,17,6.3%,14.0%,394.42,334.9,13,2,1
85,1300003584,C. Garner,Carson Garner,Garner,Carson,3B,Murray State University,MURR,730188032,Murray State,BBC,R,R,61,294,225,17,5.8%,13.0%,380.53,339.6,11,3,1
85,1142570752,E. King Jr.,Eddie King Jr.,King Jr.,Eddie,RF,University of Louisville,LOU,5467,Louisville,BBC,R,R,55,224,189,17,7.6%,14.7%,399.90,344.5,12,4,1
85,1293170944,T. OBrien,Timmy OBrien,OBrien,Timmy,1B,Bradley University,BRAD,730253312,Bradley,BBC,R,R,51,219,185,17,7.8%,23.6%,398.29,345.0,8,3,3
85,1294968064,E. Carmichael,Easton Carmichael,Carmichael,Easton,C,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,60,274,243,17,6.2%,13.9%,381.10,321.2,13,1,3
85,1324325632,J. Donohoe,Jesse Donohoe,Donohoe,Jesse,3B,Georgia State University,GAST,730239744,Georgia State,BBC,L,R,56,263,209,17,6.5%,13.5%,401.42,342.5,8,7,1
85,1236944640,A. Lodise,Alex Lodise,Lodise,Alex,SS,Florida State University,FSU,101,Florida State,BBC,R,R,58,275,241,17,6.2%,14.3%,392.31,347.5,8,3,6
85,1332977920,M. O'Shaughnessy,Michael O'Shaughnessy,O'Shaughnessy,Michael,3B,Davidson College,DAV,730363136,Davidson,BBC,L,R,56,274,218,17,6.2%,14.4%,396.17,333.9,11,3,1
85,1297576704,C. Canon,Cider Canon,Canon,Cider,RF,Davidson College,DAV,730363136,Davidson,BBC,R,R,48,239,202,17,7.1%,17.0%,404.86,326.6,6,6,1
85,1196790784,G. Gallaher,Gavin Gallaher,Gallaher,Gavin,3B,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,61,281,237,17,6.0%,12.9%,394.63,329.7,9,6,2
85,1099180800,J. Palmese,Jamie Palmese,Palmese,Jamie,CF,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,58,266,229,17,6.4%,15.0%,394.76,322.6,10,5,2
85,1237790208,J. Schroeder,John Schroeder,Schroeder,John,LF,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,R,R,57,249,219,17,6.8%,17.7%,390.95,330.2,6,5,5
85,1153713664,B. Vondohlen,Brett Vondohlen,Vondohlen,Brett,1B,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,55,237,220,17,7.2%,20.7%,382.66,316.7,14,2,1
85,1258110720,H. Povey,Harrison Povey,Povey,Harrison,CF,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,L,R,59,268,239,17,6.3%,11.6%,400.50,326.8,14,3,0
85,1093167104,K. Douglas,Kameron Douglas,Douglas,Kameron,TWP,Alabama State University,ALST,4765,Alabama State,BBC,R,R,59,277,233,17,6.1%,14.7%,404.56,296.7,1,6,1
85,1204444928,R. Zaborowski,Ryland Zaborowski,Zaborowski,Ryland,1B,University of Georgia,UGA,226,Georgia,BBC,R,R,45,184,146,17,9.2%,21.3%,399.80,357.3,6,8,3
85,1251440384,J. McAlister,Josh McAlister,McAlister,Josh,2B,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,46,200,171,17,8.5%,20.5%,429.88,366.3,6,7,4
85,1241783808,M. Sanford,Mitchell Sanford,Sanford,Mitchell,RF,University of Mississippi,MISS,5322,Ole Miss,BBC,L,R,64,298,249,17,5.7%,15.3%,392.37,335.4,9,6,2
85,1257458688,C. Tinney,Carson Tinney,Tinney,Carson,C,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,48,205,158,17,8.3%,18.5%,419.37,346.1,10,6,1
85,1174785792,A. Aroz,Anson Aroz,Aroz,Anson,LF,University of Oregon,ORE,4807,Oregon,BBC,S,R,57,257,199,17,6.6%,13.4%,397.77,334.3,13,4,0
85,1174874880,J. Tiroly,Joe Tiroly,Tiroly,Joe,2B,Rider University,RID,730174976,Rider,BBC,R,R,51,235,197,17,7.2%,15.6%,382.73,339.6,5,0,2
85,1162384896,G. Fitzwater,Grayson Fitzwater,Fitzwater,Grayson,1B,Virginia Military Institute,VMI,730173440,VMI,BBC,L,L,52,253,206,17,6.7%,13.2%,392.79,332.0,11,3,2
85,1099815424,J. Gurevitch,Jack Gurevitch,Gurevitch,Jack,1B,University of San Diego,USD,5320,San Diego,BBC,L,R,56,277,229,17,6.1%,16.8%,373.57,324.9,7,5,5
85,1285784320,L. Frei,Landon Frei,Frei,Landon,2B,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,61,294,246,17,5.8%,12.7%,392.25,342.2,12,4,0
85,1299973888,J. Casey,Jake Casey,Casey,Jake,RF,Kent State University,KENT,730315008,Kent State,BBC,L,R,56,269,208,17,6.3%,14.2%,409.77,322.2,6,1,2
85,1172733844,A. Richter,Alex Richter,Richter,Alex,3B,Ball State University,BALL,730195456,Ball State,BBC,L,R,58,271,201,17,6.3%,13.7%,389.33,330.0,8,2,2
85,1836125891,J. Lee,Jacob Lee,Lee,Jacob,C,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,53,246,205,17,6.9%,14.7%,402.96,325.2,8,8,0
85,1255400842,K. O'Connor,Keegan O'Connor,O'Connor,Keegan,LF,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,54,226,204,17,7.5%,21.3%,390.70,345.1,9,2,5
115,1132962304,L. Iverson,Luke Iverson,Iverson,Luke,RF,Utah Valley University,UVU,730263552,Utah Valley,BBC,S,R,60,308,237,16,5.2%,19.8%,392.91,349.5,7,4,2
115,1089871104,J. Nati,Jimmy Nati,Nati,Jimmy,2B,Stanford University,STAN,730251264,Stanford,BBC,R,R,52,229,203,16,7.0%,14.8%,396.41,326.1,14,2,0
115,1298764288,H. Hines,Hunter Hines,Hines,Hunter,1B,Mississippi State University,MSST,5080,Mississippi State,BBC,L,R,57,250,211,16,6.4%,15.1%,386.17,332.8,14,1,1
115,1310781952,K. Freeman,Kaleb Freeman,Freeman,Kaleb,2B,Georgia State University,GAST,730239744,Georgia State,BBC,S,R,56,276,209,16,5.8%,15.7%,400.04,339.7,10,4,2
115,1172414720,J. Osterhouse,Justin Osterhouse,Osterhouse,Justin,2B,Fort Wayne,PFW,730231552,Fort Wayne,BBC,L,R,52,243,195,16,6.6%,18.8%,393.75,322.6,3,0,0
115,1294963968,D. Faurot,Drew Faurot,Faurot,Drew,2B,Florida State University,FSU,101,Florida State,BBC,S,R,58,251,218,16,6.4%,17.0%,381.91,330.9,7,4,5
115,1299328000,C. Vest,Cooper Vest,Vest,Cooper,1B,Brigham Young University,BYU,730257152,BYU,BBC,L,L,55,261,220,16,6.1%,13.8%,381.53,324.3,11,1,4
115,1323379456,S. Miller,Sam Miller,Miller,Sam,SS,Columbia University,CLMB,730319104,Columbia,BBC,R,R,49,241,216,16,6.6%,17.8%,390.53,337.7,9,4,3
115,1262664192,K. Milewski,Kevin Milewsky,Milewski,Kevin,C,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,52,233,188,16,6.9%,16.0%,386.67,335.9,11,1,1
115,1332976128,J. Hopko,Jack Hopko,Hopko,Jack,LF,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,L,59,278,226,16,5.8%,15.4%,386.07,331.9,9,2,5
