Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,1B%,x1B%,x1B%Df,2B%,x2B%,x2B%Df,3B%,x3B%,x3B%Df,HR%,xHR%,xHR%Df,XBH%,xXBH%,xXBH%Df
978,1152961280,E. Talt,Easton Talt,Talt,Easton,RF,Oregon State University,ORST,3111,Oregon State,BBC,L,R,64,284,11.3%,11.1%,0.2%,4.2%,3.7%,0.5%,1.1%,0.6%,0.5%,2.8%,2.6%,0.2%,8.1%,5.1%,3.0%
979,1124743168,D. Damore,Dante Damore,Damore,Dante,1B,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,52,248,15.7%,14.0%,1.8%,6.0%,4.0%,2.0%,0.0%,0.5%,-0.5%,2.4%,2.6%,-0.2%,8.5%,5.8%,2.6%
980,1263372544,L. Arnold,Luke Arnold,Arnold,Luke,SS,Wright State University,WRST,5390,Wright State,BBC,R,R,58,245,13.5%,12.7%,0.8%,3.7%,3.5%,0.2%,0.8%,0.4%,0.4%,3.3%,2.6%,0.7%,7.8%,5.3%,2.5%
981,1578374661,M. Brousseau,Mack Brousseau,Brousseau,Mack,C,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,46,208,10.6%,11.7%,-1.1%,3.8%,4.3%,-0.5%,1.9%,0.4%,1.5%,3.4%,2.6%,0.8%,9.1%,6.3%,2.9%
982,1310893312,H. Didawick,Harrison Didawick,Didawick,Harrison,LF,University of Virginia,UVA,5415,Virginia,BBC,L,L,44,167,13.2%,15.2%,-2.0%,1.2%,4.3%,-3.1%,0.6%,0.6%,<0.1%,3.6%,2.6%,1.0%,5.4%,6.1%,-0.8%
983,1297504512,J. Waller,Jackson Waller,Waller,Jackson,CF,University of Nevada,NEV,4784,Nevada,BBC,R,R,57,258,17.8%,17.3%,0.6%,5.0%,5.5%,-0.4%,1.2%,0.5%,0.6%,2.3%,2.6%,-0.2%,8.5%,7.9%,0.6%
984,1099182338,J. LaFleur,John LaFleur,LaFleur,John,LF,College of the Holy Cross,HC,730310656,Holy Cross,BBC,L,R,44,196,15.8%,17.1%,-1.3%,4.1%,5.1%,-1.0%,0.5%,0.6%,-0.1%,3.6%,2.6%,1.0%,8.2%,6.8%,1.4%
985,1310307840,M. Elko,Michael Elko,Elko,Michael,2B,University of Richmond,RICH,730171904,Richmond,BBC,L,R,45,186,16.1%,20.4%,-4.3%,5.4%,4.7%,0.7%,0.5%,0.5%,0.1%,2.7%,2.6%,0.1%,8.6%,6.1%,2.5%
986,1072858790,J. Jelic,Jason Jelic,Jelic,Jason,C,Xavier University,XAV,5464,Xavier,BBC,L,R,57,222,9.0%,10.0%,-1.0%,4.5%,3.9%,0.6%,0.9%,0.4%,0.5%,2.7%,2.6%,0.1%,8.1%,5.6%,2.5%
987,1084481280,K. Peer,Kaden Peer,Peer,Kaden,CF,University of Missouri,MIZZ,4806,Missouri,BBC,L,R,47,204,17.6%,14.7%,2.9%,3.4%,4.2%,-0.7%,0.5%,0.5%,-0.0%,2.5%,2.6%,-0.1%,6.4%,5.8%,0.6%
988,1142418688,A. Dearing,Austin Dearing,Dearing,Austin,LF,Florida International University,FIU,4468,Florida International,BBC,L,R,52,217,14.3%,16.2%,-1.9%,5.5%,5.0%,0.5%,0.9%,0.6%,0.3%,3.7%,2.6%,1.1%,10.1%,7.1%,3.0%
989,1310888704,W. Cresswell,Will Cresswell,Cresswell,Will,C,Washington State University,WSU,4505,Washington State,BBC,R,R,43,184,17.4%,15.5%,1.9%,7.1%,5.8%,1.2%,0.5%,0.4%,0.1%,2.7%,2.6%,0.2%,10.3%,7.4%,2.9%
990,1269407488,R. Novak,Ryan Novak,Novak,Ryan,LF,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,L,L,56,257,11.7%,13.2%,-1.5%,5.1%,3.6%,1.4%,1.9%,0.7%,1.2%,3.1%,2.5%,0.6%,10.1%,5.2%,5.0%
991,1436319825,L. Nunes,Landon Nunes,Nunes,Landon,RF,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,R,48,186,14.0%,10.7%,3.3%,3.8%,2.7%,1.1%,0.0%,0.4%,-0.4%,2.2%,2.5%,-0.4%,5.9%,4.5%,1.4%
992,1162593536,S. Sakaino,Shunsuke Sakaino,Sakaino,Shunsuke,2B,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,R,56,263,19.0%,10.8%,8.2%,3.4%,3.2%,0.2%,0.0%,0.3%,-0.3%,1.5%,2.5%,-1.0%,4.9%,4.8%,0.2%
993,1263483648,B. Ahalt,Brett Ahalt,Ahalt,Brett,CF,Towson University,TOWS,730318336,Towson,BBC,L,R,53,213,15.0%,16.4%,-1.4%,6.1%,4.5%,1.6%,0.9%,0.4%,0.5%,2.3%,2.5%,-0.2%,9.4%,6.5%,2.9%
994,1342167225,C. Longmeier,Charlie Longmeier,Longmeier,Charlie,LF,University of Evansville,EVAN,730327808,Evansville,BBC,L,L,52,229,15.7%,17.9%,-2.1%,5.7%,4.9%,0.8%,0.4%,0.6%,-0.2%,3.1%,2.5%,0.5%,9.2%,6.6%,2.6%
995,1342167966,M. Galvin,Max Galvin,Galvin,Max,LF,University of Miami,MIA,236,Miami,BBC,L,L,60,255,18.0%,16.2%,1.8%,7.1%,5.8%,1.2%,0.0%,0.7%,-0.7%,3.1%,2.5%,0.6%,10.2%,8.2%,2.0%
996,1626754400,J. Murphy,James Murphy,Murphy,James,SS,High Point University,HP,730321152,High Point,BBC,R,R,54,241,10.4%,11.8%,-1.4%,3.7%,5.1%,-1.3%,0.4%,0.3%,0.1%,5.4%,2.5%,2.9%,9.5%,6.0%,3.5%
997,1167202048,D. Ayers,David Ayers,Ayers,David,CF,Butler University,BUT,730283520,Butler,BBC,L,R,49,179,11.7%,11.6%,0.1%,3.4%,4.0%,-0.7%,1.7%,0.5%,1.2%,3.4%,2.5%,0.8%,8.4%,6.0%,2.4%
998,1086062336,C. Westenburg,Conner Westenburg,Westenburg,Conner,CF,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,47,234,17.9%,16.7%,1.2%,3.0%,4.1%,-1.1%,3.8%,0.4%,3.4%,3.0%,2.5%,0.5%,9.8%,6.0%,3.9%
999,1176553216,L. Waters,Luke Waters,Waters,Luke,LF,Old Dominion University,ODU,3090,Old Dominion,BBC,R,R,49,225,17.8%,17.7%,0.1%,2.7%,5.2%,-2.5%,0.9%,0.4%,0.5%,2.2%,2.5%,-0.3%,5.8%,7.2%,-1.5%
1000,1717584400,J. Crews,Justen Crews,Crews,Justen,CF,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,52,195,19.0%,10.1%,8.9%,4.6%,1.3%,3.3%,1.0%,0.4%,0.6%,3.6%,2.5%,1.1%,9.2%,3.5%,5.7%
1001,1341347072,P. Knott,Preston Knott,Knott,Preston,LF,Northwestern University,NW,730247680,Northwestern,BBC,L,R,52,233,10.3%,12.8%,-2.5%,7.3%,4.6%,2.7%,0.4%,0.9%,-0.4%,2.1%,2.5%,-0.4%,9.9%,6.6%,3.3%
1002,1119242496,J. Whitlinger,Jake Whitlinger,Whitlinger,Jake,CF,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,48,221,16.3%,19.2%,-2.9%,4.1%,3.7%,0.4%,0.0%,0.4%,-0.4%,2.7%,2.5%,0.2%,6.8%,5.4%,1.4%
1003,1297438720,E. Lopez,Eli Lopez,Lopez,Eli,2B,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,52,244,19.7%,17.7%,1.9%,4.9%,4.7%,0.3%,0.8%,0.6%,0.2%,0.8%,2.5%,-1.7%,6.6%,6.5%,0.1%
1004,1432662328,C. Malamazian,Cooper Malamazian,Malamazian,Cooper,3B,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,50,199,16.1%,15.1%,1.0%,8.5%,5.0%,3.6%,1.0%,0.5%,0.5%,2.0%,2.5%,-0.5%,11.6%,6.9%,4.6%
1005,1596377367,B. Wyche,Bruce Wyche,Wyche,Bruce,RF,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,51,232,13.8%,16.0%,-2.2%,3.0%,5.0%,-1.9%,0.9%,0.5%,0.4%,3.9%,2.5%,1.4%,7.8%,6.5%,1.3%
1006,1109524736,E. Berch,Eli Berch,Berch,Eli,C,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,R,R,52,217,14.3%,16.5%,-2.3%,4.1%,4.4%,-0.3%,0.0%,0.4%,-0.4%,2.3%,2.5%,-0.2%,6.5%,6.2%,0.3%
1007,1184455168,M. Knight,Malakhi Knight,Knight,Malakhi,CF,University of Washington,WASH,3110,Washington,BBC,R,R,50,206,15.5%,12.2%,3.3%,2.9%,5.5%,-2.5%,0.0%,0.4%,-0.4%,2.4%,2.5%,-0.1%,5.3%,7.0%,-1.6%
1008,1718460975,K. Ray,Keaton Ray,Ray,Keaton,LF,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,L,L,48,191,14.1%,11.9%,2.3%,5.2%,4.2%,1.0%,0.0%,0.6%,-0.6%,0.5%,2.5%,-2.0%,5.8%,6.0%,-0.3%
1009,1306802432,J. Roder,Joe Roder,Roder,Joe,1B,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,L,49,212,14.6%,12.7%,2.0%,7.5%,4.1%,3.5%,0.5%,0.6%,-0.1%,2.4%,2.5%,-0.1%,10.4%,6.0%,4.4%
1010,1280568832,J. Gustafson,Jaden Gustafson,Gustafson,Jaden,LF,Wichita State University,WICH,730203904,Wichita State,BBC,L,L,54,208,18.8%,20.7%,-1.9%,4.3%,5.3%,-1.0%,1.4%,0.7%,0.8%,1.4%,2.5%,-1.0%,7.2%,7.2%,-0.0%
1011,1320360704,D. Baker,Davis Baker,Baker,Davis,SS,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,L,41,201,10.9%,15.1%,-4.1%,8.5%,4.6%,3.9%,0.5%,0.5%,-0.0%,4.0%,2.5%,1.5%,12.9%,6.5%,6.4%
1012,1184274176,K. Garis,Keegan Garis,Garis,Keegan,LF,Indiana State University,INST,730350080,Indiana State,BBC,L,R,49,216,12.5%,12.9%,-0.4%,4.2%,3.6%,0.6%,0.5%,0.4%,0.1%,4.2%,2.5%,1.7%,8.8%,4.9%,3.9%
1013,1720481395,A. Anderson,AJ Anderson,Anderson,AJ,SS,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,39,159,18.9%,15.0%,3.9%,3.1%,3.9%,-0.7%,0.6%,0.8%,-0.2%,0.6%,2.5%,-1.8%,4.4%,6.1%,-1.6%
1014,1188602368,A. Whitley,Aaron Whitley,Whitley,Aaron,CF,University of Richmond,RICH,730171904,Richmond,BBC,R,R,51,256,17.2%,17.0%,0.2%,7.0%,5.1%,1.9%,0.4%,0.5%,-0.1%,3.1%,2.5%,0.7%,10.5%,6.7%,3.8%
1015,1293479424,T. Thompson-Allen,Terrick Thompson-Allen,Thompson-Allen,Terrick,CF,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,54,218,13.8%,14.0%,-0.2%,4.6%,2.6%,2.0%,0.9%,0.5%,0.5%,2.3%,2.5%,-0.2%,7.8%,4.7%,3.1%
1016,1084399872,D. Parker Jr.,Darnell Parker Jr.,Parker Jr.,Darnell,SS,Campbell University,CAMP,730187776,Campbell,BBC,R,R,54,255,13.7%,13.4%,0.3%,4.3%,5.6%,-1.3%,0.0%,0.3%,-0.3%,3.1%,2.5%,0.7%,7.5%,6.8%,0.7%
1017,1890491822,J. Campbell,Jay Campbell,Campbell,Jay,3B,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,55,232,16.4%,14.9%,1.4%,6.9%,5.7%,1.2%,1.3%,0.5%,0.8%,2.2%,2.5%,-0.3%,10.3%,7.1%,3.3%
1018,1251438849,M. Lytle,Mason Lytle,Lytle,Mason,CF,UTSA,UTSA,730373120,UTSA,BBC,R,R,62,309,21.4%,18.9%,2.4%,7.1%,7.5%,-0.4%,0.0%,0.7%,-0.7%,3.2%,2.5%,0.8%,10.4%,9.2%,1.1%
1019,1278153216,B. Wilmes,Ben Wilmes,Wilmes,Ben,LF,University of Iowa,IOWA,1232,Iowa,BBC,R,R,52,234,15.8%,16.1%,-0.3%,6.8%,5.1%,1.7%,0.4%,0.5%,-0.1%,3.0%,2.5%,0.5%,10.3%,6.8%,3.4%
1020,1813453419,J. Durso,Joe Durso,Durso,Joe,C,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,54,225,16.4%,11.0%,5.5%,4.9%,4.5%,0.4%,0.0%,0.4%,-0.4%,2.2%,2.5%,-0.2%,7.1%,6.2%,0.9%
1021,1671286171,J. Long,Jake Long,Long,Jake,LF,University of Utah,UTAH,730328320,Utah,BBC,L,R,45,193,18.1%,17.7%,0.5%,4.1%,4.1%,<0.1%,0.0%,0.6%,-0.6%,0.5%,2.5%,-1.9%,4.7%,6.2%,-1.5%
1022,1186793728,A. Perez,Aaron Perez,Perez,Aaron,1B,Utah Tech University,UTU,730318592,Utah Tech,BBC,L,L,53,218,22.0%,19.2%,2.8%,3.2%,4.7%,-1.5%,0.0%,0.5%,-0.5%,3.7%,2.5%,1.2%,6.9%,6.7%,0.2%
1023,1099971072,P. Fultz,Patrick Fultz,Fultz,Patrick,3B,Wright State University,WRST,5390,Wright State,BBC,L,R,59,290,20.7%,15.4%,5.3%,3.8%,4.1%,-0.3%,0.0%,0.3%,-0.3%,2.4%,2.5%,-0.0%,6.2%,5.5%,0.7%
1024,1176351744,B. Church,Braxton Church,Church,Braxton,C,Appalachian State University,APP,730240256,Appalachian State,BBC,L,R,52,233,12.0%,12.7%,-0.6%,6.4%,3.9%,2.5%,0.4%,0.5%,-0.1%,1.3%,2.4%,-1.2%,8.2%,5.3%,2.9%
1025,1304709376,C. Sanderson,Case Sanderson,Sanderson,Case,1B,University of Nebraska,NEB,4865,Nebraska,BBC,L,L,56,238,19.7%,20.4%,-0.7%,3.8%,5.1%,-1.3%,0.8%,0.6%,0.2%,1.3%,2.4%,-1.2%,5.9%,6.8%,-0.9%
1026,1304426498,E. Paulsen,Erik Paulsen,Paulsen,Erik,TWP,Stony Brook University,STON,730249984,Stony Brook,BBC,L,L,49,230,18.7%,20.6%,-1.9%,7.4%,6.0%,1.4%,0.0%,0.8%,-0.8%,3.9%,2.4%,1.5%,11.3%,7.8%,3.5%
1027,1293775872,M. Scherrman,Matt Scherrman,Scherrman,Matt,3B,Creighton University,CREI,730243840,Creighton,BBC,R,R,53,211,17.1%,16.0%,1.0%,4.7%,4.1%,0.6%,0.5%,0.4%,0.1%,2.8%,2.4%,0.4%,8.1%,5.9%,2.1%
1028,1162558208,N. Chronis,Nate Chronis,Chronis,Nate,C,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,57,234,16.2%,15.6%,0.6%,5.1%,5.1%,<0.1%,0.0%,0.6%,-0.6%,2.1%,2.4%,-0.3%,7.3%,6.4%,0.8%
1029,1173523200,J. Spinosa,JC Spinosa,Spinosa,JC,SS,Canisius College,CAN,730218752,Canisius,BBC,R,R,45,203,13.3%,11.2%,2.1%,3.0%,4.0%,-1.1%,1.5%,0.4%,1.0%,2.5%,2.4%,<0.1%,6.9%,5.4%,1.5%
1030,1194036224,H. Simmons,Hunter Simmons,Simmons,Hunter,P,Baylor University,BAY,3033,Baylor,BBC,R,R,54,239,18.4%,15.4%,3.0%,6.3%,6.1%,0.1%,0.4%,0.7%,-0.3%,1.3%,2.4%,-1.2%,7.9%,7.9%,<0.1%
1031,1162557440,L. McCollum,LeTrey McCollum,McCollum,LeTrey,CF,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,54,256,23.0%,20.6%,2.5%,3.9%,3.8%,0.1%,1.6%,0.5%,1.1%,2.3%,2.4%,-0.1%,7.8%,5.6%,2.2%
1032,1168911894,B. Hollins,Beau Hollins,Hollins,Beau,1B,University of South Carolina,SCAR,730348544,South Carolina,BBC,S,L,45,178,18.5%,17.2%,1.3%,5.1%,4.6%,0.4%,0.6%,0.5%,0.1%,3.4%,2.4%,0.9%,9.0%,6.8%,2.2%
1033,1123647744,A. Ciufo,Andrew Ciufo,Ciufo,Andrew,SS,Clemson University,CLEM,730358784,Clemson,BBC,R,R,60,244,13.9%,14.1%,-0.2%,4.1%,3.9%,0.2%,0.4%,0.3%,0.1%,2.5%,2.4%,<0.1%,7.0%,5.3%,1.7%
1034,1154033664,J. Jackson,Jake Jackson,Jackson,Jake,CF,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,58,238,11.8%,14.0%,-2.2%,6.7%,4.9%,1.8%,1.7%,0.6%,1.1%,1.7%,2.4%,-0.7%,10.1%,6.9%,3.2%
1035,1336234240,R. Hendricks,Rhett Hendricks,Hendricks,Rhett,RF,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,47,183,19.1%,17.1%,2.0%,4.9%,3.0%,1.9%,0.5%,0.3%,0.2%,3.3%,2.4%,0.9%,8.7%,5.0%,3.8%
1036,1155006976,T. Wood,Tye Wood,Wood,Tye,LF,University of New Mexico,UNM,730153472,New Mexico,BBC,S,L,46,203,15.3%,14.2%,1.1%,6.9%,3.9%,3.0%,0.5%,0.5%,<0.1%,2.5%,2.4%,<0.1%,9.9%,5.4%,4.5%
1037,1162078209,C. Williams,Cooper Williams,Williams,Cooper,2B,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,L,R,46,197,16.8%,13.4%,3.3%,5.1%,4.1%,1.0%,1.0%,0.6%,0.4%,3.6%,2.4%,1.1%,9.6%,6.1%,3.5%
1038,1245115136,D. Johnson,Dylan Johnson,Johnson,Dylan,C,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,59,257,14.8%,14.6%,0.2%,6.6%,5.4%,1.3%,0.0%,0.4%,-0.4%,2.7%,2.4%,0.3%,9.3%,6.8%,2.5%
1039,1334269952,C. Hendrickson,Carter Hendrickson,Hendrickson,Carter,LF,Xavier University,XAV,5464,Xavier,BBC,R,L,59,278,15.1%,15.2%,-0.1%,4.7%,4.2%,0.5%,0.0%,0.3%,-0.3%,2.5%,2.4%,0.1%,7.2%,5.4%,1.8%
1040,1263652608,N. Hosie,Nick Hosie,Hosie,Nick,C,Bradley University,BRAD,730253312,Bradley,BBC,L,R,46,177,14.1%,14.8%,-0.7%,5.6%,5.1%,0.5%,0.0%,0.6%,-0.6%,2.3%,2.4%,-0.1%,7.9%,7.2%,0.7%
1041,1143044864,L. Hanson,Luke Hanson,Hanson,Luke,3B,University of Virginia,UVA,5415,Virginia,BBC,R,R,48,190,16.3%,16.4%,-0.1%,2.1%,5.4%,-3.3%,0.0%,0.5%,-0.5%,1.6%,2.4%,-0.8%,3.7%,6.6%,-2.9%
1042,1163965026,D. Reynolds,Drew Reynolds,Reynolds,Drew,1B,University of Maine,ME,730275840,Maine,BBC,L,R,46,206,12.1%,12.7%,-0.6%,6.8%,4.0%,2.7%,1.9%,0.5%,1.4%,1.9%,2.4%,-0.5%,10.7%,5.8%,4.8%
1043,1084498176,C. Miller,Chris Miller,Miller,Chris,LF,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,34,126,15.9%,12.0%,3.9%,2.4%,5.4%,-3.0%,0.0%,0.2%,-0.2%,0.8%,2.4%,-1.6%,3.2%,6.7%,-3.5%
1044,1085388800,A. Havrilla,AJ Havrilla,Havrilla,AJ,1B,Marshall University,MRSH,730333696,Marshall,BBC,R,R,58,257,14.0%,15.2%,-1.2%,6.2%,6.3%,-0.1%,0.0%,0.5%,-0.5%,1.9%,2.4%,-0.4%,8.2%,7.0%,1.2%
1045,1957652832,F. Stewart,Finnegan Stewart,Stewart,Finnegan,RF,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,53,202,16.8%,20.4%,-3.5%,5.9%,5.5%,0.4%,0.5%,0.5%,<0.1%,2.0%,2.4%,-0.4%,8.4%,7.5%,0.9%
1046,1967952971,W. Espinal,Wilbert Espinal,Espinal,Wilbert,RF,Alabama State University,ALST,4765,Alabama State,BBC,L,L,51,214,15.4%,15.0%,0.4%,5.1%,4.7%,0.4%,0.0%,0.5%,-0.5%,3.7%,2.4%,1.3%,8.9%,6.1%,2.8%
1047,1197618176,L. Stulga,Luke Stulga,Stulga,Luke,CF,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,55,221,17.2%,14.6%,2.6%,5.9%,5.1%,0.8%,0.0%,0.4%,-0.4%,3.2%,2.4%,0.8%,9.0%,7.0%,2.1%
1048,1309417216,G. Royer,Gianni Royer,Royer,Gianni,CF,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,53,238,16.4%,17.0%,-0.6%,8.0%,6.1%,1.9%,1.3%,0.6%,0.6%,1.3%,2.4%,-1.1%,10.5%,7.8%,2.7%
1049,1029547586,H. Federico,Hayden Federico,Federico,Hayden,LF,University of Mississippi,MISS,5322,Ole Miss,BBC,S,R,55,232,14.7%,15.2%,-0.6%,2.6%,4.0%,-1.4%,0.0%,0.5%,-0.5%,1.7%,2.4%,-0.7%,4.3%,5.4%,-1.1%
1050,1196806913,L. Russell,Landon Russell,Russell,Landon,CF,Stetson University,STET,730261504,Stetson,BBC,R,R,62,254,15.7%,15.3%,0.4%,1.2%,3.3%,-2.1%,1.2%,0.4%,0.8%,1.6%,2.4%,-0.8%,3.9%,5.2%,-1.3%
1051,1189311669,M. Zito,Michael Zito,Zito,Michael,SS,Rice University,RICE,2352,Rice,BBC,R,R,54,220,16.8%,16.1%,0.7%,3.6%,4.6%,-1.0%,0.5%,0.5%,-0.0%,2.3%,2.4%,-0.1%,6.4%,6.3%,0.1%
1052,1204964096,T. Drake,Tyson Drake,Drake,Tyson,LF,Tarleton State University,TAR,730236416,Tarleton State,BBC,L,L,56,271,12.2%,8.4%,3.8%,3.0%,2.1%,0.9%,2.6%,0.5%,2.1%,4.4%,2.4%,2.1%,10.0%,4.3%,5.7%
1053,1257366784,S. DeCarlo,Sam DeCarlo,DeCarlo,Sam,SS,University of Washington,WASH,3110,Washington,BBC,R,R,57,253,18.6%,14.6%,4.0%,2.0%,4.4%,-2.4%,0.4%,0.5%,-0.1%,3.2%,2.4%,0.8%,5.5%,6.2%,-0.6%
1054,1232373760,T. Sudbrook,Troy Sudbrook,Sudbrook,Troy,3B,University of Toledo,TOL,5388,Toledo,BBC,L,R,61,281,15.7%,19.3%,-3.6%,5.3%,4.4%,1.0%,0.7%,0.6%,0.1%,2.5%,2.4%,0.1%,8.5%,6.4%,2.2%
1055,1202571776,S. Collins,Sky Collins,Collins,Sky,CF,Fresno State,FRES,730384384,Fresno State,BBC,R,R,58,242,18.6%,16.3%,2.2%,2.5%,2.9%,-0.4%,1.7%,0.4%,1.2%,2.5%,2.4%,0.1%,6.6%,5.0%,1.6%
1056,1307084288,A. Magpoc,Adam Magpoc,Magpoc,Adam,LF,Boston College,BC,227,Boston College,BBC,S,R,55,227,12.3%,16.8%,-4.5%,4.8%,4.2%,0.7%,0.4%,0.5%,-0.1%,1.3%,2.4%,-1.0%,6.6%,5.8%,0.8%
1057,1278171392,J. Purify,Jarren Purify,Purify,Jarren,2B,Clemson University,CLEM,730358784,Clemson,BBC,R,R,57,264,16.3%,14.6%,1.7%,3.8%,4.6%,-0.8%,1.1%,0.5%,0.6%,2.3%,2.4%,-0.1%,7.2%,5.9%,1.3%
1058,1682487759,M. Bolton,Matt Bolton,Bolton,Matt,CF,Binghamton University,BING,730155776,Binghamton,BBC,L,R,55,269,21.6%,17.8%,3.8%,4.8%,3.6%,1.2%,0.0%,0.6%,-0.6%,2.6%,2.4%,0.2%,7.4%,5.5%,2.0%
1059,1099810304,W. Peifer,Wyatt Peifer,Peifer,Wyatt,3B,James Madison University,JMU,730340096,James Madison,BBC,S,R,55,239,13.4%,14.7%,-1.3%,4.2%,4.0%,0.2%,0.0%,0.4%,-0.4%,2.5%,2.4%,0.2%,6.7%,5.6%,1.1%
1060,1266603520,T. Dooley,Ty Dooley,Dooley,Ty,SS,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,L,R,54,223,14.8%,12.9%,1.9%,4.0%,3.8%,0.2%,0.0%,0.4%,-0.4%,2.7%,2.4%,0.3%,6.7%,4.9%,1.8%
1061,1303483649,C. Egrie,CJ Egrie,Egrie,CJ,RF,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,55,261,14.9%,13.7%,1.2%,5.4%,5.0%,0.3%,1.1%,0.4%,0.7%,1.9%,2.4%,-0.4%,8.4%,5.9%,2.5%
1062,1529112206,J. Legrande,Jon Legrande,Legrande,Jon,LF,St. John's University (NY),SJU,4285,St. John's,BBC,L,L,52,222,21.6%,16.8%,4.8%,3.6%,4.7%,-1.1%,2.3%,0.6%,1.6%,3.2%,2.4%,0.8%,9.0%,6.4%,2.6%
1063,1075959040,A. Smith,Austin Smith,Smith,Austin,TWP,University of San Diego,USD,5320,San Diego,BBC,L,L,54,249,20.9%,18.1%,2.8%,7.2%,6.2%,1.1%,0.4%,0.7%,-0.3%,2.4%,2.3%,0.1%,10.0%,8.1%,2.0%
1064,1093167104,K. Douglas,Kameron Douglas,Douglas,Kameron,TWP,Alabama State University,ALST,4765,Alabama State,BBC,R,R,59,277,15.5%,16.7%,-1.2%,5.8%,5.2%,0.6%,0.7%,0.4%,0.3%,6.1%,2.3%,3.8%,12.6%,6.6%,6.0%
1065,1264072192,M. Echazarreta,Miggy Echazarreta,Echazarreta,Miggy,RF,High Point University,HP,730321152,High Point,BBC,L,R,53,254,16.5%,13.3%,3.3%,6.7%,3.6%,3.1%,0.4%,0.5%,-0.1%,1.6%,2.3%,-0.8%,8.7%,4.7%,4.0%
1066,1334287616,G. Roessler,Gabe Roessler,Roessler,Gabe,SS,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,59,288,14.6%,14.1%,0.5%,5.2%,5.1%,0.1%,0.3%,0.4%,-0.0%,3.1%,2.3%,0.8%,8.7%,6.3%,2.4%
1067,1123968768,J. Lobliner,Jayden Lobliner,Lobliner,Jayden,C,University of San Diego,USD,5320,San Diego,BBC,R,R,52,219,16.4%,16.1%,0.3%,5.5%,5.9%,-0.4%,0.5%,0.4%,0.1%,2.7%,2.3%,0.4%,8.7%,7.6%,1.1%
1068,1556013354,D. Willis,Dawson Willis,Willis,Dawson,3B,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,60,239,13.0%,13.1%,-0.1%,4.6%,4.2%,0.4%,0.0%,0.3%,-0.3%,2.5%,2.3%,0.2%,7.1%,5.9%,1.2%
1069,1162484992,T. Hodge,Ty Hodge,Hodge,Ty,SS,UTSA,UTSA,730373120,UTSA,BBC,R,R,58,237,16.5%,17.6%,-1.1%,5.1%,6.0%,-0.9%,0.0%,0.5%,-0.5%,2.5%,2.3%,0.2%,7.6%,7.3%,0.3%
1070,1093308160,A. Garza,Alejandro Garza,Garza,Alejandro,3B,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,295,23.7%,20.2%,3.5%,5.4%,4.8%,0.6%,0.0%,0.4%,-0.4%,2.0%,2.3%,-0.3%,7.5%,6.7%,0.8%
1071,1229994703,J. Schark,Jack Schark,Schark,Jack,2B,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,59,261,17.2%,16.2%,1.0%,5.0%,5.4%,-0.4%,0.4%,0.3%,0.1%,3.4%,2.3%,1.1%,8.8%,6.9%,1.9%
