Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,1B%,x1B%,x1B%Df,2B%,x2B%,x2B%Df,3B%,x3B%,x3B%Df,HR%,xHR%,xHR%Df,XBH%,xXBH%,xXBH%Df
31,1174782976,J. Holman,Jack Holman,Holman,Jack,1B,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,L,R,46,209,9.1%,9.8%,-0.7%,5.3%,4.6%,0.6%,0.5%,0.8%,-0.3%,4.3%,7.4%,-3.1%,10.0%,10.5%,-0.4%
32,1307928832,D. McCann,David McCann,McCann,David,C,Virginia Tech,VT,2293,Virginia Tech,BBC,L,R,52,194,10.3%,14.1%,-3.7%,6.2%,5.0%,1.1%,0.5%,0.8%,-0.3%,5.7%,7.4%,-1.7%,12.4%,10.9%,1.5%
33,1255400842,K. O'Connor,Keegan O'Connor,O'Connor,Keegan,LF,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,54,226,14.6%,15.1%,-0.5%,6.2%,6.1%,0.1%,0.4%,0.7%,-0.3%,7.5%,7.3%,0.2%,14.2%,12.7%,1.4%
34,1342168904,G. Sparr,Grayson Sparr,Sparr,Grayson,LF,Stonehill College,SC,730238464,Stonehill,BBC,R,R,50,207,18.4%,11.7%,6.7%,3.9%,3.2%,0.7%,0.5%,0.4%,<0.1%,4.8%,7.3%,-2.5%,9.2%,8.9%,0.3%
35,1331919360,M. White,Mason White,White,Mason,SS,University of Arizona,ARIZ,232,Arizona,BBC,L,R,65,302,12.9%,11.6%,1.4%,5.6%,5.1%,0.5%,2.6%,0.8%,1.9%,6.6%,7.3%,-0.7%,14.9%,11.2%,3.7%
36,1829147418,D. Cardenas,Diego Cardenas,Cardenas,Diego,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,54,251,12.7%,11.4%,1.3%,5.6%,4.8%,0.8%,0.0%,0.7%,-0.7%,7.6%,7.3%,0.3%,13.1%,10.0%,3.1%
37,1083259648,B. Ankeney,Beau Ankeney,Ankeney,Beau,1B,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,57,274,16.8%,14.5%,2.3%,4.7%,4.8%,-0.0%,0.4%,0.5%,-0.1%,8.0%,7.2%,0.8%,13.1%,10.4%,2.7%
38,1794591419,G. Gallagher,Grant Gallagher,Gallagher,Grant,3B,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,58,256,7.8%,7.2%,0.7%,3.9%,2.7%,1.2%,0.4%,0.4%,-0.0%,7.8%,7.2%,0.6%,12.1%,7.5%,4.6%
39,1089571840,J. Doyle,Jacob Doyle,Doyle,Jacob,RF,University of Nevada,NEV,4784,Nevada,BBC,R,R,53,220,10.9%,10.4%,0.5%,4.5%,5.2%,-0.7%,0.5%,0.4%,0.1%,5.9%,7.2%,-1.3%,10.9%,11.0%,-0.1%
40,1092992512,R. Kucherak,Ryan Kucherak,Kucherak,Ryan,SS,Northwestern University,NW,730247680,Northwestern,BBC,R,R,52,224,11.2%,12.1%,-0.9%,5.4%,6.1%,-0.8%,0.4%,0.6%,-0.2%,8.0%,7.1%,0.9%,13.8%,12.0%,1.8%
41,1240386048,R. Porter,Ryan Porter,Porter,Ryan,P,Cornell University,COR,730298624,Cornell,BBC,R,R,31,110,12.7%,12.1%,0.7%,10.9%,6.9%,4.0%,0.0%,0.5%,-0.5%,6.4%,7.1%,-0.8%,17.3%,13.4%,3.8%
42,1153726208,B. Simpson,Brayden Simpson,Simpson,Brayden,3B,High Point University,HP,730321152,High Point,BBC,R,R,58,279,16.1%,16.8%,-0.7%,8.6%,6.3%,2.3%,0.0%,0.6%,-0.6%,7.9%,7.1%,0.8%,16.5%,11.8%,4.7%
43,1297354752,M. Neville,Mason Neville,Neville,Mason,CF,University of Oregon,ORE,4807,Oregon,BBC,L,L,57,280,7.5%,9.3%,-1.8%,5.7%,4.7%,1.0%,0.0%,0.8%,-0.8%,9.3%,7.1%,2.2%,15.0%,9.8%,5.2%
44,1294967552,J. LaViolette,Jace LaViolette,LaViolette,Jace,CF,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,L,56,262,9.2%,8.3%,0.8%,3.4%,3.8%,-0.4%,0.0%,0.7%,-0.7%,6.9%,7.0%,-0.2%,10.3%,8.7%,1.6%
45,1207773440,G. Jay,Grant Jay,Jay,Grant,C,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,59,277,11.2%,10.5%,0.7%,6.1%,4.8%,1.3%,0.4%,0.7%,-0.3%,6.9%,7.0%,-0.1%,13.4%,9.9%,3.4%
46,1285784320,L. Frei,Landon Frei,Frei,Landon,2B,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,61,294,13.6%,14.0%,-0.4%,4.4%,5.3%,-0.9%,0.0%,0.6%,-0.6%,5.8%,7.0%,-1.2%,10.2%,10.8%,-0.6%
47,1193185792,L. Sutter,Logan Sutter,Sutter,Logan,1B,Purdue University,PUR,730353152,Purdue,BBC,R,R,54,242,14.5%,13.2%,1.3%,9.1%,5.0%,4.1%,0.0%,0.6%,-0.6%,6.2%,7.0%,-0.8%,15.3%,10.2%,5.1%
48,1872942440,L. Gregorio,Logan Gregorio,Gregorio,Logan,LF,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,L,R,54,260,14.6%,13.4%,1.2%,7.3%,6.0%,1.3%,0.4%,1.0%,-0.7%,6.9%,6.9%,-0.0%,14.6%,12.4%,2.2%
49,1236375552,H. Feinberg,Harrison Feinberg,Feinberg,Harrison,LF,Northeastern University,NE,343,Northeastern,BBC,R,R,58,257,16.3%,12.7%,3.6%,5.4%,5.7%,-0.3%,0.8%,0.6%,0.1%,7.0%,6.9%,0.1%,13.2%,10.7%,2.5%
50,1335543552,J. Correa,Juan Correa,Correa,Juan,1B,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,48,218,13.8%,13.7%,<0.1%,4.1%,4.3%,-0.1%,0.5%,0.4%,<0.1%,7.3%,6.9%,0.4%,11.9%,10.4%,1.5%
51,1310843392,R. Velazquez,Raymond Velazquez,Velazquez,Raymond,3B,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,50,215,16.3%,16.9%,-0.6%,4.2%,5.1%,-0.9%,0.0%,0.6%,-0.6%,8.4%,6.9%,1.5%,12.6%,10.1%,2.5%
52,1207825152,C. Jennings,Collin Jennings,Jennings,Collin,RF,University of Illinois,ILL,730163456,Illinois,BBC,L,R,48,194,9.3%,11.2%,-1.9%,5.2%,4.2%,0.9%,1.0%,0.8%,0.2%,8.2%,6.9%,1.4%,14.4%,9.9%,4.5%
