Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,AB,GB/FB,Ground%,Fly%,Line%,Popup%,Bunt%,Ground#,Fly#,Line#,Popup#,Bunt#
55,1093147136,L. Steele,Lucas Steele,Steele,Lucas,C,Auburn University,AUB,5466,Auburn,BBC,S,R,46,159,0.37,27.0%,38.9%,26.2%,7.9%,0.8%,34,49,33,10,1
55,1287355904,M. Mihalakis,Maddox Mihalakis,Mihalakis,Maddox,3B,University of Arizona,ARIZ,232,Arizona,BBC,L,R,63,240,0.37,27.0%,36.0%,30.7%,6.3%,1.1%,51,68,58,12,2
55,1577654543,A. Walters,Andrew Walters,Walters,Andrew,3B,California Baptist University,CBU,5091,California Baptist,BBC,R,R,52,169,0.37,27.0%,41.3%,23.0%,8.7%,0.0%,34,52,29,11,0
58,1310584064,M. Serna,Mateo Serna,Serna,Mateo,C,University of Missouri,MIZZ,4806,Missouri,BBC,S,R,51,177,0.37,27.1%,44.1%,22.0%,6.8%,1.7%,32,52,26,8,2
58,1850271363,L. Cockrill,LT Cockrill,Cockrill,LT,C,University of Delaware,DEL,730203136,Delaware,BBC,R,R,42,156,0.37,27.1%,34.7%,28.8%,9.3%,0.0%,32,41,34,11,0
60,1254818495,L. Penfield,Landon Penfield,Penfield,Landon,3B,College of Charleston,COFC,730177792,College of Charleston,BBC,L,R,56,206,0.38,27.3%,41.6%,23.6%,7.5%,0.6%,44,67,38,12,1
61,1153211136,T. Liolios,Trent Liolios,Liolios,Trent,1B,Northwestern University,NW,730247680,Northwestern,BBC,L,R,51,167,0.38,27.3%,46.9%,15.6%,10.2%,0.8%,35,60,20,13,1
62,1263466240,S. Warfield,Spencer Warfield,Warfield,Spencer,CF,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,48,152,0.38,27.4%,36.8%,20.8%,15.1%,0.9%,29,39,22,16,1
63,1190621440,N. Bach,Nate Bach,Bach,Nate,1B,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,57,206,0.38,27.5%,44.9%,16.7%,10.9%,2.2%,38,62,23,15,3
64,1279285504,L. Walton,Luke Walton,Walton,Luke,LF,University of Toledo,TOL,5388,Toledo,BBC,L,L,61,216,0.38,27.6%,38.5%,20.7%,13.2%,0.0%,48,67,36,23,0
65,1813453419,J. Durso,Joe Durso,Durso,Joe,C,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,54,190,0.38,27.7%,38.3%,24.1%,9.9%,0.7%,39,54,34,14,1
66,1287367168,R. Weingartner,Ryan Weingartner,Weingartner,Ryan,SS,Penn State University,PSU,5326,Penn State,BBC,R,R,56,224,0.38,27.7%,49.2%,17.5%,5.6%,0.6%,49,87,31,10,1
67,1598492570,J. Riera,Jesus Riera,Riera,Jesus,SS,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,53,182,0.38,27.7%,40.5%,20.9%,10.8%,5.4%,41,60,31,16,8
68,1281514496,P. Airhart,Parker Airhart,Airhart,Parker,C,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,44,142,0.38,27.7%,38.6%,26.7%,6.9%,1.0%,28,39,27,7,1
69,1281951232,S. Dardar,Seth Dardar,Dardar,Seth,1B,Kansas State University,KSU,730270464,Kansas State,BBC,L,R,50,184,0.38,27.8%,41.7%,24.3%,6.3%,0.0%,40,60,35,9,0
70,1162384896,G. Fitzwater,Grayson Fitzwater,Fitzwater,Grayson,1B,Virginia Military Institute,VMI,730173440,VMI,BBC,L,L,52,206,0.39,27.8%,36.4%,18.2%,17.6%,1.7%,49,64,32,31,3
71,1085400832,M. Whooley,Michael Whooley,Whooley,Michael,3B,Villanova University,VILL,730278400,Villanova,BBC,R,R,50,192,0.39,27.8%,34.2%,29.1%,8.9%,0.0%,44,54,46,14,0
72,1287473664,R. Daniels,Ryan Daniels,Daniels,Ryan,2B,University of Connecticut,CONN,5486,Connecticut,BBC,L,R,54,203,0.39,27.9%,36.4%,26.7%,9.1%,1.2%,46,60,44,15,2
73,1242501120,J. Niles,Josh Niles,Niles,Josh,3B,Canisius College,CAN,730218752,Canisius,BBC,R,R,39,117,0.39,27.9%,41.9%,20.9%,9.3%,0.0%,24,36,18,8,0
74,1331919360,M. White,Mason White,White,Mason,SS,University of Arizona,ARIZ,232,Arizona,BBC,L,R,65,257,0.39,27.9%,42.1%,19.8%,10.2%,0.5%,55,83,39,20,1
75,1264004096,T. OConnor,Tommy OConnor,OConnor,Tommy,1B,University of Cincinnati,CIN,5465,Cincinnati,BBC,L,L,50,173,0.39,27.9%,37.8%,21.6%,12.6%,0.9%,31,42,24,14,1
76,1184713216,J. Kang,Jordan Kang,Kang,Jordan,2B,Harvard University,HARV,5450,Harvard,BBC,R,R,34,105,0.39,27.9%,38.2%,27.9%,5.9%,4.4%,19,26,19,4,3
77,1297497344,J. Utermark,Judd Utermark,Utermark,Judd,3B,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,64,252,0.39,28.0%,37.9%,25.5%,8.7%,0.0%,45,61,41,14,0
78,1162524416,A. Schuldt,Andrew Schuldt,Schuldt,Andrew,C,Campbell University,CAMP,730187776,Campbell,BBC,R,R,56,194,0.39,28.0%,37.9%,25.8%,8.3%,0.8%,37,50,34,11,1
79,1195526400,S. Cox,Seth Cox,Cox,Seth,TWP,University of Memphis,MEM,730172160,Memphis,BBC,R,R,42,104,0.39,28.0%,34.1%,28.0%,9.8%,0.0%,23,28,23,8,0
80,1289243136,G. Kilen,Gavin Kilen,Kilen,Gavin,2B,University of Tennessee,TENN,730153728,Tennessee,BBC,L,R,53,210,0.39,28.1%,35.7%,28.1%,8.1%,0.5%,52,66,52,15,1
81,1324040960,C. ONeal,Connor ONeal,ONeal,Connor,C,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,R,52,168,0.39,28.2%,41.9%,21.0%,8.9%,0.0%,35,52,26,11,0
