Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,SLAA,SL+,FrmRAA,FrmCntRAA,StrkFrmd,BallFrmd
1133,1077730304,J. Niles,Jalen Niles,Niles,Jalen,SS,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,54,192,539,2.21,107.7%,-0.27,-0.69,1,1
1134,1516420551,S. Solitaria,Sawyer Solitaria,Solitaria,Sawyer,1B,Kent State University,KENT,730315008,Kent State,BBC,R,R,54,241,902,2.23,104.2%,-0.28,-0.09,6,2
1135,1116254208,C. Rogan,Charlie Rogan,Rogan,Charlie,1B,George Washington University,GW,730249216,George Washington,BBC,L,R,54,237,840,2.25,102.3%,-0.29,0.15,14,9
1136,1212105473,C. Sefcik,Cal Sefcik,Sefcik,Cal,LF,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,56,247,896,2.25,101.3%,-0.28,-0.41,6,8
1137,1153721600,M. Breidenbach,Mason Breidenbach,Breidenbach,Mason,RF,Bradley University,BRAD,730253312,Bradley,BBC,L,R,49,227,866,2.25,102.1%,-0.29,0.74,9,4
1138,1171241377,J. Trivisonno,Joe Trivisonno,Trivisonno,Joe,CF,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,L,L,46,196,670,2.25,117.7%,-0.29,-0.21,1,2
1139,1322648320,N. Sturino,Nick Sturino,Sturino,Nick,LF,Fairfield University,FAIR,730380544,Fairfield,BBC,L,R,57,250,985,2.25,104.6%,-0.29,0.10,7,6
1140,1702076794,P. Whitehead,Payton Whitehead,Whitehead,Payton,3B,University of Maine,ME,730275840,Maine,BBC,R,R,44,183,689,2.27,104.5%,-0.26,0.41,3,3
1141,1152891904,M. Ilgenfritz,Matt Ilgenfritz,Ilgenfritz,Matt,3B,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,46,168,555,2.27,106.9%,-0.28,-1.29,5,1
1142,1294950400,P. Brennan,Payton Brennan,Brennan,Payton,CF,UCLA,UCLA,5048,UCLA,BBC,L,R,50,225,792,2.27,101.7%,-0.30,-0.54,12,14
1143,1303098368,C. Rodriguez-Velez,Carlos Rodriguez-Velez,Rodriguez-Velez,Carlos,LF,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,L,L,53,226,644,2.27,108.2%,-0.29,-0.80,3,1
1144,1297676033,C. Hain,Carter Hain,Hain,Carter,1B,Oakland University,OAK,5386,Oakland,BBC,R,R,60,262,1032,2.28,101.6%,-0.25,0.64,11,13
1145,1336589568,J. Advincula,Jarren Advincula,Advincula,Jarren,2B,University of California,CAL,730152448,California,BBC,L,R,55,267,860,2.28,101.7%,-0.30,-0.55,9,6
1146,1238255872,L. Mistone,Luke Mistone,Mistone,Luke,1B,Murray State University,MURR,730188032,Murray State,BBC,R,R,61,283,914,2.29,102.7%,-0.28,0.08,2,2
1147,1257413888,F. Carney,Frankie Carney,Carney,Frankie,CF,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,45,204,841,2.29,102.1%,-0.30,-0.11,8,9
1148,1336353280,C. Brueggemann,Colin Brueggemann,Brueggemann,Colin,1B,Oklahoma State University,OKST,4245,Oklahoma State,BBC,L,R,55,242,1004,2.31,101.6%,-0.30,0.10,10,5
1149,1091989248,J. Yakubinis,J.D. Yakubinis,Yakubinis,J.D.,C,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,56,229,841,2.31,101.5%,-0.27,0.25,14,13
1150,1626754400,J. Murphy,James Murphy,Murphy,James,SS,High Point University,HP,730321152,High Point,BBC,R,R,54,241,861,2.33,102.0%,-0.27,-1.54,10,5
1151,1211102208,E. Paton,Eli Paton,Paton,Eli,3B,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,R,57,254,847,2.33,105.0%,-0.30,0.22,5,2
1152,1342168152,B. Grieve,Bode Grieve,Grieve,Bode,RF,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,46,184,707,2.34,101.7%,-0.27,-0.77,19,13
1153,1304737025,R. McKay,Ryan McKay,McKay,Ryan,2B,Michigan State University,MSU,1551,Michigan State,BBC,L,R,54,254,1032,2.36,101.2%,-0.31,0.18,10,6
1154,1254273792,T. Hansen,Trevor Hansen,Hansen,Trevor,3B,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,47,195,647,2.36,104.4%,-0.28,-0.39,5,4
1155,1556323154,R. Caballero,Rocco Caballero,Caballero,Rocco,SS,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,51,230,796,2.37,104.3%,-0.28,-0.03,5,3
1156,1238179072,L. Devenport,Logen Devenport,Devenport,Logen,CF,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,46,215,872,2.37,102.8%,-0.29,0.29,4,2
1157,1178185729,I. Shirey,Ike Shirey,Shirey,Ike,SS,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,54,224,837,2.38,103.8%,-0.29,0.05,2,3
1158,1304398080,C. Tuupo,Chandler Tuupo,Tuupo,Chandler,1B,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,L,L,51,255,1002,2.40,101.9%,-0.31,-0.02,21,17
1159,1097548032,A. Townsend,Arderrius Townsend,Townsend,Arderrius,RF,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,46,198,660,2.41,114.5%,-0.29,-0.43,2,1
1160,1323828224,A. DeMartino,Alec DeMartino,DeMartino,Alec,RF,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,57,248,996,2.42,101.5%,-0.25,-0.92,4,6
1161,1617354666,C. Thorndyke,Colby Thorndyke,Thorndyke,Colby,1B,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,L,R,64,249,865,2.43,102.3%,-0.31,-0.12,9,5
1162,1306903552,S. Pugh,Samson Pugh,Pugh,Samson,CF,Texas State University,TXST,5420,Texas State,BBC,R,R,57,219,799,2.43,102.0%,-0.28,-0.70,7,4
1163,1174782976,J. Holman,Jack Holman,Holman,Jack,1B,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,L,R,46,209,810,2.45,103.1%,-0.32,0.12,8,5
1164,1202679552,E. Funkhouser,Evan Funkhouser,Funkhouser,Evan,SS,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,59,227,844,2.46,108.6%,-0.29,-0.90,2,2
1165,1995792238,C. Moran,CJ Moran,Moran,CJ,1B,San Diego State University,SDSU,730218496,San Diego State,BBC,L,R,44,192,712,2.47,102.6%,-0.32,-0.16,11,5
1166,1664740599,K. Knutson,Keegan Knutson,Knutson,Keegan,2B,University of Missouri,MIZZ,4806,Missouri,BBC,R,R,44,173,634,2.47,102.4%,-0.32,-0.45,4,3
1167,1297354496,G. Miranda,Gabe Miranda,Miranda,Gabe,1B,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,L,55,273,1144,2.47,102.9%,-0.32,-1.39,11,9
1168,1099691776,W. Sykes,Wells Sykes,Sykes,Wells,RF,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,63,228,747,2.49,102.0%,-0.29,-0.29,11,8
1169,1156909056,J. Lewis,Jeriah Lewis,Lewis,Jeriah,CF,San Jose State University,SJSU,730206720,San Jose State,BBC,L,R,59,258,1021,2.49,105.1%,-0.32,-0.65,3,3
1170,1325859990,D. Osoria,Dariel Osoria,Osoria,Dariel,2B,University of Kansas,KU,730360064,Kansas,BBC,R,R,52,242,981,2.49,101.7%,-0.31,-0.32,7,2
1171,1279343872,J. Kail,Jack Kail,Kail,Jack,2B,Columbia University,CLMB,730319104,Columbia,BBC,L,R,49,228,790,2.50,102.4%,-0.32,-0.34,9,4
1172,1732831224,B. Fraasman,Brayden Fraasman,Fraasman,Brayden,RF,North Carolina State University,NCST,730216448,North Carolina State,BBC,R,R,54,234,816,2.51,102.4%,-0.29,-0.36,7,3
1173,1162555136,R. Brome,Ryan Brome,Brome,Ryan,1B,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,R,42,198,762,2.53,103.3%,-0.33,0.50,8,4
1174,1336234240,R. Hendricks,Rhett Hendricks,Hendricks,Rhett,RF,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,47,183,672,2.53,108.6%,-0.30,-0.29,3,0
1175,1291342848,P. Daniel,Pete Daniel,Daniel,Pete,SS,Belmont University,BEL,730190336,Belmont,BBC,R,R,51,234,815,2.55,102.6%,-0.30,-0.47,9,8
1176,1268910485,L. Thiele,Luke Thiele,Thiele,Luke,3B,Washington State University,WSU,4505,Washington State,BBC,R,R,48,199,758,2.55,103.8%,-0.29,-0.32,8,4
1177,1184455168,M. Knight,Malakhi Knight,Knight,Malakhi,CF,University of Washington,WASH,3110,Washington,BBC,R,R,50,206,794,2.57,102.5%,-0.33,-0.44,9,9
1178,1153413120,K. Eddington,Kyle Eddington,Eddington,Kyle,SS,UMBC,UMBC,730210304,UMBC,BBC,R,R,45,157,518,2.58,104.5%,-0.30,-0.02,3,3
1179,1202718208,E. Dempsey,Evan Dempsey,Dempsey,Evan,TWP,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,L,R,60,267,940,2.58,102.5%,-0.33,-0.33,9,5
1180,1299826688,T. Rhodes,Terrence Rhodes,Rhodes,Terrence,2B,Norfolk State University,NORF,3904,Norfolk State,BBC,L,R,36,138,363,2.58,124.8%,-0.33,-0.09,5,2
1181,1015433523,C. Bear,Chris Bear,Bear,Chris,SS,University of Maine,ME,730275840,Maine,BBC,R,R,49,231,883,2.58,102.6%,-0.30,0.02,5,2
1182,1310055424,B. Benton,Braden Benton,Benton,Braden,1B,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,51,201,786,2.59,105.5%,-0.33,-0.49,9,4
1183,1327586560,D. Holmes,Derek Holmes,Holmes,Derek,2B,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,54,235,830,2.59,101.9%,-0.33,-0.53,10,9
1184,1275128576,T. Allen,Ty Allen,Allen,Ty,RF,Belmont University,BEL,730190336,Belmont,BBC,R,R,60,266,1034,2.60,101.7%,-0.32,-0.41,10,13
1185,1093947904,B. Schaaf,Blake Schaaf,Schaaf,Blake,SS,Georgetown University,GTWN,2330,Georgetown,BBC,L,R,55,233,804,2.62,103.3%,-0.34,0.62,9,8
1186,1243383808,J. Chirello,Jackson Chirello,Chirello,Jackson,RF,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,L,R,44,193,846,2.62,102.3%,-0.34,0.09,7,6
1187,1162352384,C. Barr,Chris Barr,Barr,Chris,LF,Army West Point,ARMY,4744,Army,BBC,S,R,50,243,885,2.63,102.5%,-0.32,-0.82,19,13
1188,1377615650,J. Zebig,Jack Zebig,Zebig,Jack,SS,University of Illinois,ILL,730163456,Illinois,BBC,L,R,54,254,991,2.63,101.4%,-0.34,-0.22,14,9
1189,1162522624,J. Lauinger,John Lauinger,Lauinger,John,LF,Oakland University,OAK,5386,Oakland,BBC,R,R,59,275,1043,2.63,101.7%,-0.29,0.43,13,15
1190,1200305408,R. Farber,Ryne Farber,Farber,Ryne,SS,Texas State University,TXST,5420,Texas State,BBC,S,R,58,269,1082,2.63,101.2%,-0.34,0.66,11,10
1191,1324040192,B. Chance,Bryce Chance,Chance,Bryce,CF,Mississippi State University,MSST,5080,Mississippi State,BBC,R,R,58,242,885,2.64,101.6%,-0.30,-0.58,13,13
1192,1334287616,G. Roessler,Gabe Roessler,Roessler,Gabe,SS,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,59,288,1033,2.65,102.8%,-0.33,-0.31,5,3
1193,1342167303,C. Munster,Cayden Munster,Munster,Cayden,1B,Fresno State,FRES,730384384,Fresno State,BBC,L,R,52,205,809,2.66,102.6%,-0.34,-0.14,7,8
1194,1141496832,A. Stucky,Andrew Stucky,Stucky,Andrew,C,UTSA,UTSA,730373120,UTSA,BBC,R,R,52,225,916,2.66,101.8%,-0.32,-0.26,8,8
1195,1334094066,R. Ventura,Ranciel Ventura,Ventura,Ranciel,SS,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,50,218,737,2.66,115.4%,-0.32,-0.65,2,2
1196,1615972193,C. Marion,Charlie Marion,Marion,Charlie,RF,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,L,R,56,257,997,2.67,104.3%,-0.34,-0.39,9,5
1197,1097665536,C. Mitchelle,Christian Mitchelle,Mitchelle,Christian,TWP,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,53,223,773,2.67,101.8%,-0.32,-0.36,8,5
1198,1198411264,A. Vining,Ashby Vining,Vining,Ashby,C,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,47,217,675,2.68,126.0%,-0.32,-0.33,3,0
1199,1048984355,L. Weidner,Landon Weidner,Weidner,Landon,RF,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,46,183,626,2.69,120.2%,-0.32,-0.28,2,1
1200,1430338383,J. Martinez,Jake Martinez,Martinez,Jake,CF,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,44,193,665,2.71,102.3%,-0.34,-0.80,8,6
1201,1099860992,C. Taggart,Casen Taggart,Taggart,Casen,1B,University of Washington,WASH,3110,Washington,BBC,L,R,50,226,1015,2.72,101.7%,-0.37,-0.04,17,11
1202,1670962097,A. Riess,Axel Riess,Riess,Axel,CF,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,35,125,485,2.72,106.0%,-0.32,-0.67,1,1
1203,1167698432,R. Kozar,Rees Kozar,Kozar,Rees,C,Niagara University,NIAG,730156544,Niagara,BBC,R,R,39,167,551,2.72,110.4%,-0.34,-0.31,3,0
1204,1232373760,T. Sudbrook,Troy Sudbrook,Sudbrook,Troy,3B,University of Toledo,TOL,5388,Toledo,BBC,L,R,61,281,1013,2.74,102.4%,-0.35,-0.35,15,10
1205,1297553152,W. Furniss,Will Furniss,Furniss,Will,1B,University of Mississippi,MISS,5322,Ole Miss,BBC,L,R,58,250,1009,2.74,101.8%,-0.35,-2.18,8,7
1206,1258112000,M. Sargent,Myles Sargent,Sargent,Myles,2B,University of Maine,ME,730275840,Maine,BBC,R,R,47,188,624,2.75,107.2%,-0.34,-0.32,4,4
1207,1060162120,D. Francis Jr.,Dale Francis Jr.,Francis Jr.,Dale,1B,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,53,229,815,2.76,106.9%,-0.34,-0.02,2,3
1208,1304090880,F. Sarota,Filip Sarota,Sarota,Filip,LF,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,58,256,843,2.77,111.9%,-0.33,-0.38,3,0
1209,1138184704,R. Mendoza,Rey Mendoza,Mendoza,Rey,LF,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,L,L,49,227,804,2.78,119.5%,-0.36,-0.34,2,0
1210,1199283200,A. Rivas,Alexander Rivas,Rivas,Andrew,1B,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,L,52,215,847,2.78,104.8%,-0.36,-0.49,5,1
1211,1136254858,D. Lee,Darryl Lee,Lee,Darryl,CF,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,L,L,57,255,955,2.78,113.1%,-0.36,-0.30,2,1
1212,1081438208,G. Ganun,Gavin Ganun,Ganun,Gavin,LF,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,49,212,893,2.78,108.1%,-0.33,-0.15,4,2
1213,1152902912,O. Prince,Owen Prince,Prince,Owen,CF,Virginia Military Institute,VMI,730173440,VMI,BBC,L,R,53,272,1068,2.79,101.5%,-0.36,-0.40,21,20
1214,1145240064,T. Salvaggio,TJ Salvaggio,Salvaggio,TJ,SS,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,54,257,923,2.80,102.8%,-0.32,-0.09,7,2
1215,1250738591,T. Mainolfi,Ty Mainolfi,Mainolfi,Ty,2B,University of Dayton,DAY,730194688,Dayton,BBC,L,L,55,221,799,2.80,102.5%,-0.35,-0.42,10,6
1216,1255817984,G. Palfrey,Griffin Palfrey,Palfrey,Griffin,TWP,Columbia University,CLMB,730319104,Columbia,BBC,R,R,49,238,850,2.81,102.3%,-0.33,-1.46,11,8
1217,1286782976,W. Hodo,Will Hodo,Hodo,Will,1B,University of Alabama,ALA,730206976,Alabama,BBC,L,R,59,259,990,2.81,101.3%,-0.36,0.11,8,5
1218,1199226219,B. Leonard,Brayden Leonard,Leonard,Brayden,2B,Villanova University,VILL,730278400,Villanova,BBC,R,R,50,216,719,2.82,102.1%,-0.33,-0.59,8,7
1219,1310404864,A. Lopez,Adrian Lopez,Lopez,Adrian,LF,University of Southern California,USC,5047,USC,BBC,R,R,58,251,946,2.83,102.5%,-0.30,-0.35,15,8
1220,1132856543,M. Rollison,Matthew Rollison,Rollison,Matthew,3B,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,51,189,589,2.83,106.4%,-0.32,0.08,4,2
1221,1212114688,C. Schebler,Charlie Schebler,Schebler,Charlie,2B,University of Akron,AKR,540536064,Akron,BBC,L,R,42,179,702,2.84,103.0%,-0.37,-1.23,5,3
1222,1032174369,B. Johnston,Brodie Johnston,Johnston,Brodie,3B,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,R,56,240,934,2.86,102.5%,-0.35,-0.91,9,4
1223,1745682930,O. Silliman,Owen Silliman,Silliman,Owen,CF,Canisius College,CAN,730218752,Canisius,BBC,R,R,41,184,666,2.86,117.7%,-0.34,-0.26,1,0
1224,1410969802,F. Forgione,Freddy Forgione,Forgione,Freddy,1B,Binghamton University,BING,730155776,Binghamton,BBC,R,R,55,242,939,2.87,102.6%,-0.33,-0.22,5,5
1225,1110077952,W. Zapp,Walker Zapp,Zapp,Walker,C,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,51,231,845,2.87,103.4%,-0.36,-0.02,14,6
1226,1186324992,J. Bellows,Jess Bellows,Bellows,Jess,CF,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,45,179,621,2.88,108.7%,-0.34,-0.10,4,1
1227,1213318400,T. Campbell,Tyler Campbell,Campbell,Tyler,LF,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,36,160,576,2.88,128.5%,-0.35,-0.24,1,0
1228,1241783808,M. Sanford,Mitchell Sanford,Sanford,Mitchell,RF,University of Mississippi,MISS,5322,Ole Miss,BBC,L,R,64,298,1133,2.89,102.5%,-0.37,0.19,7,5
1229,1248459776,K. Durnin,Kam Durnin,Durnin,Kam,SS,Wichita State University,WICH,730203904,Wichita State,BBC,R,R,56,249,948,2.90,102.3%,-0.34,-0.85,11,8
1230,1806377050,K. Branch,Kyle Branch,Branch,Kyle,2B,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,60,253,969,2.91,101.5%,-0.36,-0.55,15,17
1231,1162558208,N. Chronis,Nate Chronis,Chronis,Nate,C,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,57,234,902,2.91,102.1%,-0.32,0.02,16,12
1232,1263100160,R. Liddington,Robbie Liddington,Liddington,Robbie,1B,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,L,50,241,824,2.92,113.8%,-0.37,-0.34,2,1
1233,1095700736,C. Worcester,Chris Worcester,Worcester,Chris,2B,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,51,257,926,2.93,103.6%,-0.36,0.08,8,4
1234,1263556864,N. Husovsky,Nick Husovsky,Husovsky,Nick,2B,Ball State University,BALL,730195456,Ball State,BBC,R,R,58,261,912,2.94,107.5%,-0.33,-0.58,4,2
1235,1182010880,R. Gerety,Ryan Gerety,Gerety,Ryan,RF,Northeastern University,NE,343,Northeastern,BBC,L,L,59,268,1006,2.94,103.3%,-0.38,-0.17,5,2
1236,1281944576,J. Green,Jackson Green,Green,Jackson,LF,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,52,208,772,2.95,108.4%,-0.36,-0.56,3,2
1237,1271061504,K. Ratliff,Kyle Ratliff,Ratliff,Kyle,RF,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,51,209,840,2.96,103.4%,-0.35,-0.71,11,6
1238,1263647744,J. Thorbahn,Jack Thorbahn,Thorbahn,Jack,1B,Stonehill College,SC,730238464,Stonehill,BBC,L,R,52,240,822,2.96,110.6%,-0.38,-0.35,2,2
1239,1165637632,J. Altman,Jake Altman,Altman,Jake,3B,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,R,48,174,604,2.98,105.0%,-0.38,-0.42,3,3
1240,1325548544,C. Loyal,Cooper Loyal,Loyal,Cooper,SS,University at Albany,ALBY,730280448,Albany,BBC,R,R,53,223,792,2.99,105.5%,-0.36,-0.19,6,6
1241,1216102144,R. Gump,Rocco Gump,Gump,Rocco,3B,Northwestern State University,NWST,730255872,Northwestern State,BBC,L,R,56,266,954,2.99,106.7%,-0.39,-0.42,5,1
1242,1332976128,J. Hopko,Jack Hopko,Hopko,Jack,LF,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,L,59,278,1059,3.00,101.9%,-0.39,-0.74,15,11
1243,1277834752,A. Graeber,Aaron Graeber,Graeber,Aaron,RF,University of Delaware,DEL,730203136,Delaware,BBC,R,L,52,252,901,3.01,104.2%,-0.40,-0.73,8,6
1244,1295194360,C. Isom-McCall,Charlie Isom-McCall,Isom-McCall,Charlie,2B,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,57,259,858,3.01,109.7%,-0.34,0.57,3,5
1245,1477116653,D. Aponte,Diego Aponte,Aponte,Diego,1B,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,L,L,45,194,466,3.01,127.4%,-0.39,-0.25,3,0
1246,1162597120,S. Panaro,Santino Panaro,Panaro,Santino,CF,University of Utah,UTAH,730328320,Utah,BBC,L,L,44,183,576,3.02,103.7%,-0.39,-0.10,7,7
1247,1174874880,J. Tiroly,Joe Tiroly,Tiroly,Joe,2B,Rider University,RID,730174976,Rider,BBC,R,R,51,235,832,3.02,108.4%,-0.36,-0.43,2,3
1248,1143122944,N. Romano,Nicholas Romano,Romano,Nicholas,3B,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,S,R,51,215,869,3.02,107.0%,-0.39,-0.00,4,1
1249,1310639872,N. Bergamotto,Nick Bergamotto,Bergamotto,Nick,2B,Siena College,SIE,730382592,Siena,BBC,R,R,46,194,714,3.04,110.9%,-0.37,-0.23,1,2
1250,1325168384,J. Gonzalez,Jayson Gonzalez,Gonzalez,Jayson,SS,Iona College,IONA,730242048,Iona,BBC,R,R,39,181,603,3.04,116.1%,-0.37,-0.40,2,0
1251,1306802176,L. Luskey,Luke Luskey,Luskey,Luke,1B,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,40,172,681,3.06,111.4%,-0.36,-0.24,4,0
1252,1322403840,C. Brady,Cavan Brady,Brady,Cavan,SS,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,47,208,646,3.07,115.4%,-0.36,-0.54,2,1
1253,1176373760,T. Bickers,Tyler Bickers,Bickers,Tyler,2B,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,58,278,1121,3.09,103.6%,-0.40,-0.14,6,6
1254,1342166643,A. Quiller,Ashton Quiller,Quiller,Ashton,CF,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,L,53,220,770,3.09,104.1%,-0.36,-0.05,7,3
1255,1187663360,A. Seguine,Alex Seguine,Seguine,Alex,SS,Little Rock,UALR,730217472,Little Rock,BBC,R,R,59,271,1059,3.09,103.6%,-0.37,-0.47,4,6
1256,1341347072,P. Knott,Preston Knott,Knott,Preston,LF,Northwestern University,NW,730247680,Northwestern,BBC,L,R,52,233,878,3.09,102.6%,-0.40,0.56,12,8
1257,1282371943,J. Katsaboulas,Jonah Katsaboulas,Katsaboulas,Jonah,3B,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,53,227,736,3.10,113.5%,-0.36,-0.33,5,1
1258,1104495104,M. Heusohn,Marcus Heusohn,Heusohn,Marcus,1B,McNeese State University,MCNS,730285056,McNeese State,BBC,L,L,48,212,871,3.11,102.5%,-0.40,0.22,8,6
1259,1224787200,L. Patton,Liam Patton,Patton,Liam,C,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,50,214,780,3.11,102.8%,-0.35,-0.28,8,3
1260,1221084416,B. Murtha,Brock Murtha,Murtha,Brock,2B,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,48,212,769,3.12,102.5%,-0.35,-0.24,12,7
1261,1162109952,C. Newman,Carter Newman,Newman,Carter,SS,Longwood University,LONG,730219264,Longwood,BBC,R,R,41,167,657,3.12,102.6%,-0.36,0.05,9,5
1262,1342168872,A. Puder,Adam Puder,Puder,Adam,SS,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,47,161,545,3.12,106.9%,-0.37,-0.33,3,1
1263,1529112206,J. Legrande,Jon Legrande,Legrande,Jon,LF,St. John's University (NY),SJU,4285,St. John's,BBC,L,L,52,222,753,3.12,104.7%,-0.40,0.41,12,3
1264,1436319825,L. Nunes,Landon Nunes,Nunes,Landon,RF,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,R,48,186,731,3.12,108.0%,-0.40,-1.48,8,6
1265,1330724096,T. Takats,TJ Takats,Takats,TJ,CF,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,L,L,40,194,761,3.13,111.7%,-0.40,-0.35,5,2
1266,1232652032,M. Lareau,Michael Lareau,Lareau,Michael,CF,Belmont University,BEL,730190336,Belmont,BBC,L,L,53,197,709,3.14,103.8%,-0.40,-0.13,3,1
1267,1018032643,A. Wright,Aydin Wright,Wright,Aydin,C,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,39,172,608,3.14,103.7%,-0.36,0.04,4,2
1268,1203917596,J. Wakefield,Josh Wakefield,Wakefield,Josh,RF,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,L,50,228,884,3.14,104.2%,-0.40,-0.33,6,4
1269,1212862976,S. Lancia,Steven Lancia,Lancia,Steven,C,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,48,211,833,3.14,106.7%,-0.37,0.47,3,3
1270,1197179904,J. Eichelberger,Joseph Eichelberger,Eichelberger,Joseph,RF,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,50,224,708,3.15,118.7%,-0.40,0.09,4,1
1271,1093156096,M. Rose,Matt Rose,Rose,Matt,3B,University of South Florida,USF,2292,South Florida,BBC,R,R,44,174,602,3.19,104.6%,-0.42,-0.79,5,2
1272,1072675317,M. Webb,Myles Webb,Webb,Myles,LF,Longwood University,LONG,730219264,Longwood,BBC,R,R,52,234,837,3.20,102.9%,-0.38,-0.71,8,5
1273,1085403136,R. Kennell,Ryan Kennell,Kennell,Ryan,SS,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,52,241,940,3.21,102.8%,-0.37,-0.26,4,7
1274,1263704320,B. Harrity,Brendan Harrity,Harrity,Brendan,3B,Western Michigan University,WMU,730165248,Western Michigan,BBC,S,R,50,209,772,3.21,106.9%,-0.41,-1.14,3,3
1275,1132728832,A. Paskell,Anthony Paskell,Paskell,Anthony,CF,Rider University,RID,730174976,Rider,BBC,R,R,37,171,549,3.21,110.8%,-0.39,-0.30,2,2
1276,1990938318,R. Sasaki,Rintaro Sasaki,Sasaki,Rintaro,1B,Stanford University,STAN,730251264,Stanford,BBC,L,R,52,236,869,3.22,102.3%,-0.42,0.23,12,11
