Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,SLAA,SL+,FrmRAA,FrmCntRAA,StrkFrmd,BallFrmd
104,1100740096,E. Swidler,Ethan Swidler,Swidler,Ethan,C,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,49,223,901,-10.20,94.2%,1.22,1.60,8,17
105,1331919360,M. White,Mason White,White,Mason,SS,University of Arizona,ARIZ,232,Arizona,BBC,L,R,65,302,1141,-10.18,93.5%,1.31,1.79,8,6
106,1190621184,D. Dickinson,Daniel Dickinson,Dickinson,Daniel,2B,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,68,305,1265,-10.18,96.4%,1.22,2.32,10,19
107,1101481984,T. Kemp,Tyriq Kemp,Kemp,Tyriq,SS,Baylor University,BAY,3033,Baylor,BBC,L,R,55,242,894,-10.17,93.7%,1.31,1.79,8,9
108,1028338326,J. Davis,Jared Davis,Davis,Jared,2B,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,54,239,844,-10.12,94.0%,1.20,2.07,6,12
109,1301146368,M. King,Matt King,King,Matt,SS,Arizona State University,ASU,5035,Arizona State,BBC,R,R,56,250,870,-10.11,90.5%,1.22,1.85,4,9
110,1016906882,R. Bonomolo Jr.,Richie Bonomolo Jr.,Bonomolo Jr.,Richie,CF,University of Alabama,ALA,730206976,Alabama,BBC,R,R,59,260,1058,-10.07,95.4%,1.20,2.37,3,12
111,1162551808,R. Martin,Roman Martin,Martin,Roman,3B,UCLA,UCLA,5048,UCLA,BBC,R,R,65,300,1211,-10.07,96.5%,1.28,1.41,13,8
112,1184529408,N. Groves,Nick Groves,Groves,Nick,CF,University of Illinois,ILL,730163456,Illinois,BBC,L,R,42,203,873,-10.03,94.2%,1.29,1.61,7,15
113,1132720128,C. Fisher,Cal Fisher,Fisher,Cal,3B,Florida State University,FSU,101,Florida State,BBC,R,R,53,225,897,-9.98,91.1%,1.19,1.22,0,4
114,1094657536,L. Cantwell,Luke Cantwell,Cantwell,Luke,1B,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,L,R,55,272,1056,-9.93,94.7%,1.28,1.61,8,13
115,1176069376,R. Villeneuve,Robin Villeneuve,Villeneuve,Robin,1B,Texas Tech University,TTU,2350,Texas Tech,BBC,R,L,52,226,885,-9.88,92.3%,1.17,1.33,6,6
116,1101468928,J. Smith,JP Smith,Smith,JP,1B,Sacramento State University,SAC,730293760,Sacramento State,BBC,R,R,58,271,1001,-9.84,88.9%,1.19,1.57,7,11
117,1096596224,Z. Skinner,Zak Skinner,Skinner,Zak,3B,Lamar University,LAM,730162432,Lamar,BBC,R,R,57,263,999,-9.84,91.4%,1.21,1.94,6,10
118,1152914688,K. Vu,Kien Vu,Vu,Kien,RF,Arizona State University,ASU,5035,Arizona State,BBC,L,L,50,216,858,-9.81,92.8%,1.26,2.24,5,10
119,1156893184,S. Cox,Shane Cox,Cox,Shane,1B,University of Memphis,MEM,730172160,Memphis,BBC,R,R,52,215,790,-9.79,93.2%,1.18,1.77,8,13
120,1230703360,B. Dowd,Brayden Dowd,Dowd,Brayden,CF,University of Southern California,USC,5047,USC,BBC,L,L,58,279,1083,-9.75,94.0%,1.26,1.43,7,15
121,1898890507,C. Dulin,Caden Dulin,Dulin,Caden,2B,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,48,218,817,-9.68,93.1%,1.16,1.17,6,16
122,1316274176,T. Johnson,Ty Johnson,Johnson,Ty,CF,Baylor University,BAY,3033,Baylor,BBC,L,R,53,219,845,-9.67,94.2%,1.24,0.68,7,14
123,1093162496,C. Borba,Casey Borba,Borba,Casey,3B,University of Texas,TEX,245,Texas,BBC,R,R,51,200,854,-9.66,96.0%,1.14,2.07,6,13
124,1311156224,I. Barkett,Isaiah Barkett,Barkett,Isaiah,3B,Stetson University,STET,730261504,Stetson,BBC,R,R,54,256,978,-9.62,93.9%,1.17,1.41,3,9
125,1273111808,K. West,Kyle West,West,Kyle,LF,West Virginia University,WVU,5327,West Virginia,BBC,L,R,59,236,974,-9.61,93.3%,1.24,1.78,9,10
126,1099807744,T. Schmalzle,TJ Schmalzle,Schmalzle,TJ,CF,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,57,252,966,-9.58,85.2%,1.12,0.65,3,9
127,1322709329,J. Taylor,Jackson Taylor,Taylor,Jackson,2B,Indiana State University,INST,730350080,Indiana State,BBC,L,R,52,188,663,-9.57,92.7%,1.23,2.37,6,12
128,1079752704,L. Ellis,Lee Ellis,Ellis,Lee,SS,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,38,175,663,-9.50,91.4%,1.16,1.56,7,12
129,1262020096,M. Namie,Mitch Namie,Namie,Mitch,LF,New Mexico State University,NMSU,730302720,New Mexico State,BBC,L,R,55,258,979,-9.46,91.9%,1.22,1.57,16,12
130,1085388800,A. Havrilla,AJ Havrilla,Havrilla,AJ,1B,Marshall University,MRSH,730333696,Marshall,BBC,R,R,58,257,1091,-9.45,96.0%,1.15,2.30,11,19
131,1289245184,M. Voit,Mitch Voit,Voit,Mitch,2B,University of Michigan,MICH,2290,Michigan,BBC,R,R,56,261,922,-9.44,92.8%,1.13,0.70,7,13
132,1310689792,C. McHugh,Chris McHugh,McHugh,Chris,1B,North Carolina State University,NCST,730216448,North Carolina State,BBC,R,R,53,236,851,-9.36,94.2%,1.11,1.83,8,10
133,1093158912,H. Cooke,Henry Cooke,Cooke,Henry,C,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,52,187,683,-9.36,92.7%,1.14,1.20,1,4
134,1310593536,C. Grady,Clay Grady,Grady,Clay,SS,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,55,206,768,-9.32,95.0%,1.13,1.01,5,16
135,1342167540,B. Bakes,Brayden Bakes,Bakes,Brayden,P,Illinois State University,ILST,730258944,Illinois State,BBC,L,R,46,194,697,-9.26,90.3%,1.19,1.85,8,5
136,1192537344,J. Urban,Joseph Urban,Urban,Joseph,CF,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,53,204,725,-9.23,92.0%,1.12,0.99,2,8
137,1233722368,D. Contreras,Daniel Contreras,Contreras,Daniel,C,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,53,228,741,-9.22,89.6%,1.11,1.10,3,10
138,1082402560,R. Austin,RJ Austin,Austin,RJ,CF,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,R,59,267,1041,-9.17,95.1%,1.08,0.65,9,15
