Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,Swing%,Miss%,Contact%,Strike%,InPlay%,Foul%,InZone%,Chase%,CallStrk%,SwStrk%,P/PA,MxPPA,CompLoc%,NonCompLoc%
18,1890388154,J. McKillop,John McKillop,McKillop,John,1B,Army West Point,ARMY,4744,Army,BBC,L,R,40,134,489,44.8%,24.7%,75.3%,60.9%,40.2%,35.2%,40.1%,28.4%,29.3%,11.0%,3.65,8,77.9%,22.1%
19,1144614912,J. Morris,Judah Morris,Morris,Judah,1B,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,56,262,1072,38.8%,20.9%,79.1%,55.9%,37.0%,42.1%,40.1%,22.6%,27.5%,8.1%,4.09,10,73.7%,26.3%
20,1084687616,B. Cyr,Blake Cyr,Cyr,Blake,LF,University of Florida,FLA,730168320,Florida,BBC,R,R,59,242,897,46.2%,26.1%,73.9%,60.6%,37.7%,36.2%,40.2%,26.5%,26.9%,12.0%,3.71,9,73.0%,27.0%
21,1718460975,K. Ray,Keaton Ray,Ray,Keaton,LF,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,L,L,48,191,717,44.5%,28.2%,71.8%,57.9%,39.2%,32.6%,40.2%,25.4%,24.1%,12.6%,3.75,8,76.3%,23.7%
22,1238203392,J. Hernandez,Jaylen Hernandez,Hernandez,Jaylen,LF,Winthrop University,WIN,730294784,Winthrop,BBC,L,R,60,294,1113,32.6%,14.3%,85.7%,55.4%,52.9%,32.8%,40.2%,18.5%,33.8%,4.7%,3.79,9,75.4%,24.6%
23,1162540800,T. Turner,Trent Turner,Turner,Trent,SS,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,58,275,978,44.7%,16.9%,83.1%,60.0%,49.2%,33.9%,40.2%,24.5%,27.7%,7.6%,3.56,8,74.2%,25.8%
24,1828778419,B. Watters,Bino Watters,Watters,Bino,LF,University of Notre Dame,ND,225,Notre Dame,BBC,L,L,44,202,855,37.8%,18.3%,81.7%,58.5%,43.3%,38.4%,40.3%,28.1%,33.1%,6.9%,4.23,10,77.3%,22.7%
25,1169252608,S. Kane,Sam Kane,Kane,Sam,CF,Seattle University,SEA,4504,Seattle,BBC,R,R,52,234,841,45.9%,24.1%,75.9%,62.2%,40.4%,35.5%,40.3%,30.8%,29.3%,11.1%,3.59,9,76.3%,23.7%
26,1279228928,S. Solorzano,Steve Solorzano,Solorzano,Steve,TWP,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,50,234,894,40.0%,18.4%,81.6%,58.7%,42.2%,39.4%,40.4%,24.0%,31.2%,7.4%,3.82,10,74.0%,26.0%
27,1236950016,H. Mitchell,Henry Mitchell,Mitchell,Henry,SS,U.S. Naval Academy,NAVY,508,Navy,BBC,S,R,50,187,697,39.3%,25.2%,74.8%,59.8%,40.5%,34.3%,40.4%,25.2%,33.6%,9.9%,3.73,10,77.2%,22.8%
28,1310534400,L. Holland,Luke Holland,Holland,Luke,LF,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,41,172,668,45.7%,42.0%,58.0%,62.7%,27.2%,30.8%,40.5%,28.8%,31.4%,19.2%,3.88,8,75.6%,24.4%
29,1237037056,R. Christiansen,Ryan Christiansen,Christiansen,Ryan,RF,Sacramento State University,SAC,730293760,Sacramento State,BBC,L,R,57,249,1014,48.6%,34.9%,65.1%,62.0%,28.6%,36.5%,40.6%,32.1%,26.1%,17.0%,4.07,10,75.7%,24.3%
30,1226678528,L. Jenkins,Luke Jenkins,Jenkins,Luke,LF,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,L,R,43,167,601,41.3%,26.2%,73.8%,59.9%,43.5%,30.2%,40.7%,26.1%,31.7%,10.8%,3.60,8,76.2%,23.8%
31,1162350848,T. Dalley,Ty Dalley,Dalley,Ty,RF,Mercer University,MER,730240512,Mercer,BBC,L,R,60,281,954,52.5%,28.7%,71.3%,62.3%,39.5%,31.7%,40.7%,35.6%,20.1%,15.1%,3.40,10,77.6%,22.4%
32,1297354752,M. Neville,Mason Neville,Neville,Mason,CF,University of Oregon,ORE,4807,Oregon,BBC,L,L,57,280,1162,35.0%,26.5%,73.5%,55.0%,38.6%,34.9%,40.7%,19.1%,30.7%,9.3%,4.15,9,75.7%,24.3%
33,1153296384,T. Thach,Tanner Thach,Thach,Tanner,1B,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,L,L,58,277,1021,49.4%,19.4%,80.6%,63.0%,39.9%,40.7%,40.7%,35.1%,26.9%,9.6%,3.69,9,74.8%,25.2%
34,1310843392,R. Velazquez,Raymond Velazquez,Velazquez,Raymond,3B,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,50,215,844,36.7%,20.3%,79.7%,55.7%,46.8%,32.9%,40.8%,19.6%,30.0%,7.5%,3.93,8,74.4%,25.6%
35,1085408256,A. Manning,Andrew Manning,Manning,Andrew,RF,U.S. Naval Academy,NAVY,508,Navy,BBC,L,R,50,206,780,39.9%,30.5%,69.5%,59.5%,41.8%,27.7%,40.8%,22.1%,32.6%,12.2%,3.79,11,76.8%,23.2%
36,1176352256,J. Lehman,Justin Lehman,Lehman,Justin,TWP,Army West Point,ARMY,4744,Army,BBC,L,R,50,164,558,48.7%,22.8%,77.2%,61.6%,43.4%,33.8%,40.8%,30.7%,25.2%,11.1%,3.40,9,76.1%,23.9%
37,1310334464,C. Campbell,Cade Campbell,Campbell,Cade,3B,University of California,CAL,730152448,California,BBC,R,R,51,215,811,54.9%,27.6%,72.4%,66.3%,34.2%,38.2%,40.8%,38.9%,25.4%,15.2%,3.77,9,76.3%,23.7%
38,1099693419,B. Iredale,Brent Iredale,Iredale,Brent,3B,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,65,280,1184,37.0%,27.2%,72.8%,54.3%,33.1%,39.7%,40.9%,17.6%,27.5%,10.1%,4.23,11,76.6%,23.4%
39,1344799621,S. Christiansen,Sam Christiansen,Christiansen,Sam,RF,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,L,L,55,231,979,37.6%,30.2%,69.8%,53.3%,30.2%,39.7%,40.9%,14.6%,25.1%,11.3%,4.24,9,78.1%,21.9%
40,1170584832,E. Vogelsong,Elijah Vogelsong,Vogelsong,Elijah,LF,Marshall University,MRSH,730333696,Marshall,BBC,L,L,59,251,1024,32.2%,22.7%,77.3%,54.0%,41.8%,35.5%,40.9%,17.9%,32.1%,7.3%,4.08,10,77.9%,22.1%
41,1162511360,C. Krauss,Chayton Krauss,Krauss,Chayton,1B,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,58,263,1034,49.7%,28.0%,72.0%,64.3%,34.4%,37.5%,40.9%,34.3%,29.0%,13.9%,3.93,11,75.3%,24.7%
42,1038434680,X. McAfee,Xander McAfee,McAfee,Xander,RF,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,48,202,718,48.1%,23.8%,76.2%,63.5%,40.9%,35.4%,40.9%,33.4%,29.6%,11.4%,3.55,9,73.9%,26.1%
43,1176406528,M. Petersen,Mika Petersen,Petersen,Mika,CF,Brown University,BRWN,730236160,Brown,BBC,L,L,39,170,616,48.5%,15.7%,84.3%,64.7%,45.2%,39.1%,40.9%,35.7%,31.3%,7.6%,3.62,12,76.3%,23.7%
44,1310468353,M. Martin,Maximus Martin,Martin,Maximus,SS,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,56,243,930,43.8%,31.4%,68.6%,60.0%,37.3%,31.2%,40.9%,27.4%,28.9%,13.8%,3.83,12,73.5%,26.5%
45,1998981725,K. Smith,Kaden Smith,Smith,Kaden,LF,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,50,241,885,43.2%,20.7%,79.3%,59.7%,42.7%,36.6%,40.9%,25.3%,29.0%,8.9%,3.67,9,74.6%,25.4%
46,1314887424,D. Burress,Drew Burress,Burress,Drew,CF,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,60,290,1165,36.8%,20.0%,80.0%,54.2%,43.8%,36.1%,41.0%,19.5%,27.4%,7.4%,4.02,10,74.9%,25.1%
47,1292547072,M. Mugan,Michael Mugan,Mugan,Michael,CF,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,54,265,954,43.5%,19.8%,80.2%,63.1%,46.7%,33.5%,41.0%,27.8%,33.5%,8.6%,3.60,10,78.2%,21.8%
48,1269477888,J. Arcamone,Jack Arcamone,Arcamone,Jack,C,University of Richmond,RICH,730171904,Richmond,BBC,L,R,52,242,974,41.6%,23.5%,76.5%,58.5%,35.3%,41.2%,41.0%,20.5%,27.7%,9.8%,4.02,9,74.0%,26.0%
49,1581218190,P. Martin,Parker Martin,Martin,Parker,3B,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,L,R,55,245,897,45.4%,16.0%,84.0%,59.3%,45.0%,39.1%,41.1%,28.6%,25.4%,7.2%,3.66,9,75.2%,24.8%
50,1278282752,A. Gouveia,Alex Gouveia,Gouveia,Alex,3B,UC Davis,UCD,730153984,UC Davis,BBC,R,R,49,190,690,39.1%,17.0%,83.0%,62.5%,52.6%,30.4%,41.1%,29.5%,37.9%,6.7%,3.63,9,75.2%,24.8%
51,1236944640,A. Lodise,Alex Lodise,Lodise,Alex,SS,Florida State University,FSU,101,Florida State,BBC,R,R,58,275,1002,52.4%,26.9%,73.1%,61.0%,35.8%,37.3%,41.1%,33.5%,17.6%,14.1%,3.64,8,75.1%,24.9%
52,1162536192,B. Anderson,Brandon Anderson,Anderson,Brandon,3B,Purdue University,PUR,730353152,Purdue,BBC,L,R,53,250,942,39.8%,15.5%,84.5%,57.1%,44.8%,39.7%,41.1%,22.1%,27.9%,6.2%,3.77,12,71.7%,28.3%
53,1166182912,J. Hyde,Jake Hyde,Hyde,Jake,1B,Duke University,DUKE,730336256,Duke,BBC,L,R,58,269,1082,41.1%,24.9%,75.1%,56.7%,36.4%,38.7%,41.1%,22.0%,26.5%,10.3%,4.02,9,76.6%,23.4%
54,1263954688,J. Ford,Jermel Ford,Ford,Jermel,TWP,Alcorn State University,ALCN,5376,Alcorn State,BBC,L,L,44,144,327,48.6%,17.0%,83.0%,64.7%,66.0%,17.0%,41.1%,31.3%,24.8%,8.3%,2.27,8,75.9%,24.1%
55,1190568704,T. Minnick,Tyler Minnick,Minnick,Tyler,C,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,55,243,870,46.4%,15.3%,84.7%,61.6%,45.3%,39.4%,41.1%,30.5%,28.2%,7.1%,3.58,12,73.2%,26.8%
56,1080116854,J. Lewis,Jordan Lewis,Lewis,Jordan,LF,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,53,227,916,43.0%,31.5%,68.5%,59.3%,34.3%,34.3%,41.1%,24.9%,28.2%,13.5%,4.04,10,72.4%,27.6%
57,1297497344,J. Utermark,Judd Utermark,Utermark,Judd,3B,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,64,287,1030,53.3%,38.6%,61.4%,63.0%,29.3%,32.1%,41.2%,34.3%,20.8%,20.6%,3.59,8,75.3%,24.7%
58,1274480640,J. Quinn-Irons,James Quinn-Irons,Quinn-Irons,James,CF,George Mason University,GMU,730265088,George Mason,BBC,R,R,61,298,1087,41.8%,21.6%,78.4%,56.9%,43.4%,35.0%,41.2%,25.1%,25.9%,9.0%,3.65,9,74.1%,25.9%
59,1829147418,D. Cardenas,Diego Cardenas,Cardenas,Diego,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,54,251,967,45.7%,34.8%,65.2%,57.8%,32.1%,33.0%,41.2%,27.1%,22.3%,15.9%,3.85,10,75.2%,24.8%
60,1153211136,T. Liolios,Trent Liolios,Liolios,Trent,1B,Northwestern University,NW,730247680,Northwestern,BBC,L,R,51,194,754,47.7%,28.3%,71.7%,62.5%,35.6%,36.1%,41.2%,30.0%,28.2%,13.5%,3.89,14,76.8%,23.2%
61,1099188480,S. King,Skylar King,King,Skylar,CF,West Virginia University,WVU,5327,West Virginia,BBC,L,L,59,258,923,44.6%,17.0%,83.0%,60.6%,44.7%,38.3%,41.3%,30.5%,28.5%,7.6%,3.58,9,77.3%,22.7%
62,1188416000,S. Smith,Sean Smith,Smith,Sean,LF,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,47,203,768,40.5%,25.1%,74.9%,57.9%,40.2%,34.7%,41.3%,21.7%,28.9%,10.2%,3.78,10,74.9%,25.1%
63,1211099136,C. Saum,Charlie Saum,Saum,Charlie,C,Stanford University,STAN,730251264,Stanford,BBC,R,R,43,173,649,50.1%,31.4%,68.6%,61.8%,31.7%,36.9%,41.3%,31.1%,23.5%,15.7%,3.75,9,72.6%,27.4%
64,1323379456,S. Miller,Sam Miller,Miller,Sam,SS,Columbia University,CLMB,730319104,Columbia,BBC,R,R,49,241,829,49.7%,22.6%,77.4%,64.2%,43.0%,34.5%,41.3%,32.0%,28.8%,11.2%,3.44,10,76.8%,23.2%
65,1232652032,M. Lareau,Michael Lareau,Lareau,Michael,CF,Belmont University,BEL,730190336,Belmont,BBC,L,L,53,197,709,45.3%,29.3%,70.7%,61.0%,38.0%,32.7%,41.3%,30.2%,28.3%,13.3%,3.60,9,78.5%,21.5%
66,1304358144,K. Wolff,Kyle Wolff,Wolff,Kyle,1B,Boston College,BC,227,Boston College,BBC,R,L,56,248,892,48.0%,18.9%,81.1%,61.4%,40.4%,40.7%,41.3%,29.1%,25.9%,9.1%,3.60,10,75.7%,24.3%
67,1222785280,B. Watkins,Brock Watkins,Watkins,Brock,2B,Brigham Young University,BYU,730257152,BYU,BBC,R,R,48,204,777,52.0%,37.9%,62.1%,63.5%,31.2%,30.9%,41.3%,31.0%,23.9%,19.7%,3.81,9,75.2%,24.8%
68,1269467136,P. Bonds,Peyton Bonds,Bonds,Peyton,CF,Rutgers University,RUTG,730229248,Rutgers,BBC,R,R,56,258,855,48.7%,19.7%,80.3%,64.3%,43.5%,36.8%,41.3%,34.9%,30.5%,9.6%,3.31,11,76.6%,23.4%
69,1093146112,C. Mizell,Coleman Mizell,Mizell,Coleman,LF,University of Alabama,ALA,730206976,Alabama,BBC,L,L,48,192,794,36.0%,25.5%,74.5%,55.4%,39.2%,35.3%,41.3%,14.4%,30.3%,9.2%,4.14,9,77.4%,22.6%
70,1334298880,N. Furcht,Noah Furcht,Furcht,Noah,RF,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,58,257,961,46.3%,34.6%,65.4%,61.1%,33.7%,31.7%,41.3%,29.0%,27.5%,16.0%,3.74,8,74.4%,25.6%
71,1885806529,C. Kitchens,Cole Kitchens,Kitchens,Cole,P,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,53,244,852,50.9%,22.6%,77.4%,67.8%,43.5%,33.9%,41.3%,38.5%,34.3%,11.5%,3.49,10,70.2%,29.8%
72,1135887616,R. Gonzalez,Roberto Gonzalez,Gonzalez,Roberto,CF,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,L,R,45,206,777,37.3%,18.6%,81.4%,58.6%,49.3%,32.1%,41.4%,21.5%,33.9%,6.9%,3.77,9,75.1%,24.9%
73,1218024704,J. Collins,Jack Collins,Collins,Jack,C,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,281,1148,41.6%,25.1%,74.9%,59.8%,35.8%,39.1%,41.4%,23.0%,31.0%,10.5%,4.09,9,74.0%,26.0%
74,1273111808,K. West,Kyle West,West,Kyle,LF,West Virginia University,WVU,5327,West Virginia,BBC,L,R,59,236,974,41.4%,25.8%,74.2%,56.5%,35.2%,39.0%,41.4%,24.7%,25.6%,10.7%,4.13,8,75.7%,24.3%
75,1092672512,J. Jones,Jared Jones,Jones,Jared,1B,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,68,326,1279,45.7%,29.4%,70.6%,60.0%,33.5%,37.1%,41.4%,29.0%,26.2%,13.4%,3.92,10,75.7%,24.3%
76,1251438849,M. Lytle,Mason Lytle,Lytle,Mason,CF,UTSA,UTSA,730373120,UTSA,BBC,R,R,62,309,973,50.1%,11.9%,88.1%,63.9%,52.0%,36.1%,41.4%,31.6%,27.8%,6.0%,3.15,12,75.8%,24.2%
77,1210139136,B. McKenzie,Brody McKenzie,McKenzie,Brody,CF,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,46,178,706,36.7%,19.3%,80.7%,56.8%,38.6%,42.1%,41.4%,21.8%,31.8%,7.1%,3.97,9,73.6%,26.4%
78,1010860020,R. Luft,Riley Luft,Luft,Riley,RF,Appalachian State University,APP,730240256,Appalachian State,BBC,R,R,42,158,580,48.8%,25.8%,74.2%,64.1%,39.6%,34.6%,41.4%,32.3%,30.0%,12.6%,3.67,8,77.8%,22.2%
79,1057497695,T. Clay,Todd Clay,Clay,Todd,3B,UAB,UAB,730345984,UAB,BBC,R,R,53,239,1019,36.6%,13.9%,86.1%,57.6%,44.2%,41.8%,41.5%,20.5%,33.1%,5.1%,4.26,10,77.7%,22.3%
80,1255842560,A. Birge,Alex Birge,Birge,Alex,C,University of California,CAL,730152448,California,BBC,L,R,44,178,788,38.2%,31.2%,68.8%,56.6%,28.2%,40.5%,41.5%,22.5%,29.8%,11.9%,4.43,10,77.7%,22.3%
81,1391146306,N. Franco,Noah Franco,Franco,Noah,TWP,Texas Christian University,TCU,5045,TCU,BBC,L,L,56,250,962,48.1%,31.3%,68.7%,63.3%,33.7%,35.0%,41.5%,33.3%,29.3%,15.1%,3.85,12,78.9%,21.1%
82,1973066250,R. Finn,Rory Finn,Finn,Rory,1B,University of Delaware,DEL,730203136,Delaware,BBC,R,R,43,162,663,39.2%,42.3%,57.7%,58.4%,28.8%,28.8%,41.5%,25.8%,31.5%,16.6%,4.09,8,76.8%,23.2%
83,1030419949,T. DePerno,Ty DePerno,DePerno,Ty,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,50,197,769,41.9%,21.4%,78.6%,57.2%,38.8%,39.8%,41.5%,23.6%,26.4%,9.0%,3.90,11,75.8%,24.2%
84,1277834752,A. Graeber,Aaron Graeber,Graeber,Aaron,RF,University of Delaware,DEL,730203136,Delaware,BBC,R,L,52,252,901,53.5%,34.4%,65.6%,64.6%,34.0%,31.5%,41.6%,38.3%,23.7%,18.4%,3.58,9,76.2%,23.8%
85,1101830656,J. Ference,Jacob Ference,Ference,Jacob,C,University of Virginia,UVA,5415,Virginia,BBC,R,R,39,157,677,44.3%,27.0%,73.0%,59.5%,30.7%,42.3%,41.6%,27.3%,27.3%,12.0%,4.31,10,75.9%,24.1%
86,1162555136,R. Brome,Ryan Brome,Brome,Ryan,1B,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,R,42,198,762,44.4%,24.9%,75.1%,56.7%,37.9%,37.3%,41.6%,22.7%,22.2%,11.0%,3.85,8,74.2%,25.8%
87,1114233856,O. Walewander,Owen Walewander,Walewander,Owen,C,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,45,170,647,42.5%,19.6%,80.4%,58.7%,41.8%,38.5%,41.6%,25.9%,28.2%,8.3%,3.81,9,73.9%,26.1%
88,1843543813,C. Gunderson,Cody Gunderson,Gunderson,Cody,1B,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,45,195,823,40.9%,27.0%,73.0%,56.7%,32.0%,40.9%,41.6%,22.0%,26.7%,11.1%,4.22,8,74.1%,25.9%
89,1126276608,D. Cuvet,Daniel Cuvet,Cuvet,Daniel,3B,University of Miami,MIA,236,Miami,BBC,R,R,61,269,1012,54.1%,26.5%,73.5%,62.1%,33.1%,40.4%,41.6%,35.6%,17.4%,14.3%,3.76,10,72.6%,27.4%
90,1207821568,C. Stelly,Caleb Stelly,Stelly,Caleb,CF,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,57,246,973,42.9%,25.7%,74.3%,59.0%,38.6%,35.7%,41.6%,24.1%,28.1%,11.0%,3.96,13,75.3%,24.7%
91,1336579840,H. Ford,Henry Ford,Ford,Henry,RF,University of Virginia,UVA,5415,Virginia,BBC,R,R,50,231,782,49.1%,19.0%,81.0%,61.9%,46.6%,34.4%,41.6%,31.8%,25.1%,9.3%,3.39,8,77.5%,22.5%
92,1174785792,A. Aroz,Anson Aroz,Aroz,Anson,LF,University of Oregon,ORE,4807,Oregon,BBC,S,R,57,257,1000,46.5%,23.9%,76.1%,59.0%,35.1%,41.1%,41.6%,27.6%,23.3%,11.1%,3.89,10,77.2%,22.8%
93,1314888960,G. Harrelson,Gage Harrelson,Harrelson,Gage,RF,Florida State University,FSU,101,Florida State,BBC,L,L,58,288,1176,44.4%,26.6%,73.4%,59.2%,34.5%,38.9%,41.7%,24.7%,25.6%,11.8%,4.08,11,79.3%,20.7%
94,1165892864,C. Titus,Coleson Titus,Titus,Coleson,3B,Army West Point,ARMY,4744,Army,BBC,R,R,50,209,814,46.3%,17.8%,82.2%,62.5%,37.4%,44.8%,41.7%,30.1%,30.0%,8.2%,3.89,10,77.2%,22.8%
94,1256946688,D. Coppedge,David Coppedge,Coppedge,David,3B,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,55,257,930,41.8%,23.4%,76.6%,59.5%,44.5%,32.1%,41.7%,26.0%,30.3%,9.8%,3.62,9,75.1%,24.9%
96,1617354666,C. Thorndyke,Colby Thorndyke,Thorndyke,Colby,1B,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,L,R,64,249,865,50.3%,27.4%,72.6%,62.7%,36.1%,36.6%,41.7%,32.5%,24.9%,13.8%,3.47,9,76.7%,23.3%
97,1385713296,W. Cowan,Will Cowan,Cowan,Will,RF,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,49,210,820,39.0%,14.4%,85.6%,57.9%,48.1%,37.5%,41.7%,19.7%,31.0%,5.6%,3.90,9,74.5%,25.5%
98,1337263872,C. Warehime,Cole Warehime,Warehime,Cole,RF,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,52,236,909,40.3%,21.0%,79.0%,58.7%,42.9%,36.1%,41.7%,21.5%,29.9%,8.5%,3.85,9,76.5%,23.5%
99,1263372544,L. Arnold,Luke Arnold,Arnold,Luke,SS,Wright State University,WRST,5390,Wright State,BBC,R,R,58,245,892,46.3%,26.9%,73.1%,59.4%,38.3%,34.9%,41.7%,26.9%,24.4%,12.4%,3.64,10,74.7%,25.3%
100,1896537632,B. Harrison,Bear Harrison,Harrison,Bear,C,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,44,180,748,37.2%,29.9%,70.1%,56.7%,35.3%,34.9%,41.7%,20.1%,31.1%,11.1%,4.16,9,77.1%,22.9%
