Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,GS,G_C,G_1B,G_2B,G_3B,G_SS,G_IF,G_OF,G_LF,G_CF,G_RF
2134,1244177920,C. Ketchup,Chandler Ketchup,Ketchup,Chandler,LF,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,L,R,36,29,0,0,0,0,0,0,36,13,13,11
2134,1074489600,S. OConnor,Sheehan O'Connor,OConnor,Sheehan,2B,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,36,34,0,0,26,2,10,36,0,0,0,0
2134,1162314240,C. Dick,Cardel Dick,Dick,Cardel,C,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,36,29,35,0,0,1,0,1,0,0,0,0
2134,1299826688,T. Rhodes,Terrence Rhodes,Rhodes,Terrence,2B,Norfolk State University,NORF,3904,Norfolk State,BBC,L,R,36,35,0,0,21,1,15,36,0,0,0,0
2134,1332037888,C. Rains,Colin Rains,Rains,Colin,RF,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,36,35,0,0,0,0,0,0,36,0,0,36
2134,1310446336,A. Covas,Alejandro Covas,Covas,Alejandro,LF,Kent State University,KENT,730315008,Kent State,BBC,R,R,36,36,0,0,0,0,0,0,36,36,0,0
2134,1299825664,T. Shulman,Tyler Shulman,Shulman,Tyler,3B,Harvard University,HARV,5450,Harvard,BBC,L,R,36,35,0,0,0,36,0,36,0,0,0,0
2134,1318015232,M. Thomas,Mattie Thomas,Thomas,Mattie,1B,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,L,L,36,28,0,36,0,0,0,36,0,0,0,0
2134,1081438208,G. Ganun,Gavin Ganun,Ganun,Gavin,LF,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,36,36,0,20,0,0,0,20,16,15,0,2
2134,1100786688,C. Whitton,Cooper Whitton,Whitton,Cooper,RF,University of Washington,WASH,3110,Washington,BBC,R,R,36,16,0,0,0,0,0,0,36,10,7,19
2134,1162501632,L. Vaughan,Logan Vaughan,Vaughan,Logan,C,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,S,R,36,27,36,0,0,0,0,0,0,0,0,0
2134,1210120448,L. Szepek,Luke Szepek,Szepek,Luke,C,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,36,35,36,0,0,0,0,0,0,0,0,0
2134,1785164581,C. Wagner,Cole Wagner,Wagner,Cole,1B,Penn State University,PSU,5326,Penn State,BBC,L,L,36,35,0,33,0,0,0,33,15,13,0,3
2134,1162550784,M. Strong,Mason Strong,Strong,Mason,C,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,36,36,35,0,0,0,0,0,1,1,0,0
2134,1021106031,K. Northrop,Kyler Northrop,Northrop,Kyler,3B,Washington State University,WSU,4505,Washington State,BBC,R,R,36,31,0,0,0,35,0,35,1,1,0,0
2134,1433797377,T. Harries,Tyler Harries,Harries,Tyler,SS,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,36,33,0,0,10,11,17,36,0,0,0,0
2134,1704555416,M. Pierson,Michael Pierson,Pierson,Michael,1B,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,L,R,36,35,0,36,0,0,0,36,0,0,0,0
2134,1853805478,P. Frehner,Payton Frehner,Frehner,Payton,1B,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,36,36,0,36,0,0,0,36,0,0,0,0
2134,1498084241,T. Payne II,Tevis Payne II,Payne II,Tevis,C,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,36,33,27,0,0,0,0,0,9,1,0,8
2134,1590045009,Z. Goodwin,Zak Goodwin,Goodwin,Zak,C,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,L,R,36,35,36,0,0,0,0,0,0,0,0,0
2134,1768741199,T. Reaves,Tanner Reaves,Reaves,Tanner,3B,Louisiana State University,LSU,5323,Louisiana State,BBC,L,R,36,19,0,0,9,35,0,36,0,0,0,0
2134,1693707875,C. Walsh,Connor Walsh,Walsh,Connor,2B,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,36,29,0,0,36,0,0,36,0,0,0,0
2134,1568244346,M. Ceccarelli,Mason Ceccarelli,Ceccarelli,Mason,LF,U.S. Naval Academy,NAVY,508,Navy,BBC,L,R,36,30,0,0,0,0,0,0,36,13,20,8
2134,1729489540,T. Higgins,Trey Higgins,Higgins,Trey,LF,Samford University,SAM,730386432,Samford,BBC,S,R,36,36,0,0,0,0,0,0,36,35,2,0
2134,1428244453,J. Mislan,Jack Mislan,Mislan,Jack,LF,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,36,36,0,0,0,0,0,0,36,36,0,0
2134,1029265660,E. Farina,Ethan Farina,Farina,Ethan,2B,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,36,36,0,0,28,8,0,36,1,0,1,0
2134,1919727431,Z. Gingrich,Zachary Gingrich,Gingrich,Zachary,LF,Texas State University,TXST,5420,Texas State,BBC,L,R,36,34,0,0,0,0,0,0,36,36,0,0
2134,1393762000,C. Carter,Cameron Carter,Carter,Cameron,CF,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,L,L,36,29,0,0,0,0,0,0,36,16,23,0
2134,1835124967,C. Jenkins,Carter Jenkins,Jenkins,Carter,3B,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,36,34,0,1,0,35,0,36,0,0,0,0
2134,1667195766,B. Mabeus,Burke-Lee Mabeus,Mabeus,Burke-Lee,C,University of Oregon,ORE,4807,Oregon,BBC,S,R,36,28,36,1,0,0,0,1,4,1,0,3
2134,1478941944,A. Rayment,Andrew Rayment,Rayment,Andrew,CF,Santa Clara University,SCU,730297600,Santa Clara,BBC,L,R,36,30,0,0,0,0,0,0,36,3,33,0
2134,1466904534,S. Farr,Sawyer Farr,Farr,Sawyer,2B,Texas A&M University,TXAM,3032,Texas A&M,BBC,S,R,36,31,0,0,15,0,0,15,21,21,0,0
2134,1569233885,R. Galvan,Rene Galvan,Galvan,Rene,LF,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,L,L,36,34,0,0,0,0,0,0,36,36,0,3
2134,1692814189,M. Brignon,Major Brignon,Brignon,Major,SS,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,36,30,0,0,1,0,35,36,0,0,0,0
2134,1234223540,M. Floyd,Mac Floyd,Floyd,Mac,TWP,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,36,31,0,0,0,0,0,0,31,21,5,8
2134,1924928180,N. Shenefelt,Nick Shenefelt,Shenefelt,Nick,1B,Princeton University,PRIN,730198784,Princeton,BBC,L,R,36,32,0,27,0,0,0,27,0,0,0,0
2134,1604565064,C. Greer,Cade Greer,Greer,Cade,RF,University of Memphis,MEM,730172160,Memphis,BBC,R,L,36,31,0,0,0,0,0,0,36,0,28,9
2134,1676399105,S. Droz,Sergio Droz,Droz,Sergio,TWP,UMBC,UMBC,730210304,UMBC,BBC,R,R,36,27,0,0,6,0,25,29,0,0,0,0
2201,1287355904,M. Mihalakis,Maddox Mihalakis,Mihalakis,Maddox,3B,University of Arizona,ARIZ,232,Arizona,BBC,L,R,35,35,0,2,0,35,0,35,0,0,0,0
2201,1083610112,K. Diggs,Kendall Diggs,Diggs,Kendall,RF,University of Arkansas,ARK,3375,Arkansas,BBC,L,R,35,17,0,0,0,0,0,0,35,2,0,33
2201,1237919488,S. Larranaga,Simon Larranaga,Larranaga,Simon,RF,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,35,33,0,4,0,0,0,4,32,0,0,32
2201,1237406976,J. Pearson,Josh Pearson,Pearson,Josh,RF,Louisiana State University,LSU,5323,Louisiana State,BBC,L,R,35,26,0,0,0,0,0,0,35,10,0,28
2201,1165893120,T. Dunn,Tyler Dunn,Dunn,Tyler,1B,Bucknell University,BUCK,730214144,Bucknell,BBC,L,L,35,35,0,35,0,0,0,35,0,0,0,0
2201,1302031616,N. Barksdale,Nathan Barksdale,Barksdale,Nathan,RF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,35,11,0,0,0,0,0,0,35,0,0,35
2201,1162575872,C. Castle,Cortlan Castle,Castle,Cortlan,C,Baylor University,BAY,3033,Baylor,BBC,R,R,35,32,35,0,0,0,0,0,0,0,0,0
2201,1287041280,A. Marcello,Andrew Marcello,Marcello,Andrew,CF,Canisius College,CAN,730218752,Canisius,BBC,R,R,35,31,0,0,0,0,0,0,35,9,17,9
2201,1153311232,D. Wyatt,Danny Wyatt,Wyatt,Danny,3B,UMBC,UMBC,730210304,UMBC,BBC,R,R,35,33,13,0,0,15,0,15,7,7,0,0
2201,1260855296,G. Bozzo,Gregory Bozzo,Bozzo,Gregory,C,Northeastern University,NE,343,Northeastern,BBC,R,R,35,34,35,0,0,0,0,0,0,0,0,0
2201,1184655360,S. Seidel,Sam Seidel,Seidel,Sam,2B,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,L,R,35,35,0,0,35,0,0,35,0,0,0,0
2201,1239326464,E. Brown,Ethan Brown,Brown,Ethan,1B,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,35,35,0,35,0,0,0,35,0,0,0,0
2201,1299457280,J. Oster,Jonah Oster,Oster,Jonah,2B,Campbell University,CAMP,730187776,Campbell,BBC,R,R,35,35,0,1,33,2,0,35,0,0,0,0
2201,1167698432,R. Kozar,Rees Kozar,Kozar,Rees,C,Niagara University,NIAG,730156544,Niagara,BBC,R,R,35,35,16,0,0,0,0,0,19,2,0,18
2201,1099961344,B. Wills,Brock Wills,Wills,Brock,LF,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,L,R,35,33,0,0,0,0,0,0,35,35,0,0
2201,1238208512,D. Maxcey,Dylan Maxcey,Maxcey,Dylan,C,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,35,28,35,0,0,0,0,0,0,0,0,0
2201,1269401344,J. Dilley,Jacob Dilley,Dilley,Jacob,C,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,35,33,35,0,0,0,0,0,0,0,0,0
2201,1179084800,B. Venables,Ben Venables,Venables,Ben,SS,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,35,33,0,0,0,0,35,35,0,0,0,0
2201,1251197184,J. Sample,Jaryn Sample,Sample,Jaryn,3B,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,35,35,0,0,0,35,0,35,0,0,0,0
2201,1123075328,C. Adams,Christian Adams,Adams,Christian,1B,University of Georgia,UGA,226,Georgia,BBC,L,R,35,29,0,22,16,0,0,35,0,0,0,0
2201,1246276096,S. Lane,Sean Lane,Lane,Sean,1B,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,35,32,0,35,0,0,0,35,0,0,0,0
2201,1237410560,J. Stevenson,Josh Stevenson,Stevenson,Josh,CF,University of South Alabama,USA,730298880,South Alabama,BBC,L,L,35,29,0,0,0,0,0,0,35,4,8,24
2201,1133497600,K. Banks Jr.,Kalum Banks Jr.,Banks Jr.,Kalum,1B,Alcorn State University,ALCN,5376,Alcorn State,BBC,S,R,35,35,0,35,0,0,0,35,0,0,0,0
2201,1085401344,B. Birchmeier,Brady Birchmeier,Birchmeier,Brady,1B,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,35,35,0,35,0,0,0,35,0,0,0,0
2201,1176353280,G. Frei,Gehrig Frei,Frei,Gehrig,1B,Mississippi State University,MSST,5080,Mississippi State,BBC,S,R,35,32,0,4,4,1,0,9,26,26,0,0
2201,1145600512,D. Villescas,Diego Villescas,Villescas,Diego,SS,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,35,33,0,0,0,0,35,35,0,0,0,0
2201,1273111808,K. West,Kyle West,West,Kyle,LF,West Virginia University,WVU,5327,West Virginia,BBC,L,R,35,33,0,0,0,0,0,0,35,35,0,0
2201,1334289408,C. Akers,Chris Akers,Akers,Chris,C,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,35,33,35,0,0,0,0,0,0,0,0,0
2201,1315911936,T. Otto,Thomas Otto,Otto,Thomas,C,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,35,29,35,0,0,0,0,0,0,0,0,0
2201,1197247744,N. Libed,Nico Libed,Libed,Nico,LF,University of San Diego,USD,5320,San Diego,BBC,R,R,35,31,15,0,9,0,0,9,14,14,0,0
2201,1259966464,C. Cumiskey,Casey Cumiskey,Cumiskey,Casey,SS,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,35,34,0,0,0,1,34,35,0,0,0,0
2201,1263954688,J. Ford,Jermel Ford,Ford,Jermel,TWP,Alcorn State University,ALCN,5376,Alcorn State,BBC,L,L,35,26,0,0,0,0,0,0,21,20,0,1
2201,1325732096,M. Wolf,Mason Wolf,Wolf,Mason,C,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,35,34,35,0,0,0,0,0,0,0,0,0
2201,1334320384,T. Castro,Tyler Castro,Castro,Tyler,1B,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,L,R,35,31,0,35,0,0,0,35,1,1,0,0
2201,1324412160,D. Chargo,Dylan Chargo,Chargo,Dylan,3B,Fort Wayne,PFW,730231552,Fort Wayne,BBC,S,R,35,26,0,18,0,18,0,35,0,0,0,0
2201,1306896896,N. Miller,Noah Miller,Miller,Noah,C,University of Michigan,MICH,2290,Michigan,BBC,R,R,35,21,35,0,0,0,0,0,0,0,0,0
2201,1307929088,H. Miller,Hayden Miller,Miller,Hayden,3B,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,35,32,0,19,0,11,0,30,7,2,0,5
2201,1592256711,A. Pyle,Andrew Pyle,Pyle,Andrew,C,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,35,29,35,0,0,0,0,0,0,0,0,0
2201,1266571264,Z. Henry,Zach Henry,Henry,Zach,CF,Little Rock,UALR,730217472,Little Rock,BBC,L,R,35,35,0,0,0,0,0,0,35,0,35,1
2201,1555546133,P. Basler,Peyton Basler,Basler,Peyton,2B,University of Missouri,MIZZ,4806,Missouri,BBC,S,R,35,31,0,0,25,6,4,35,0,0,0,0
2201,1569551095,C. Daniel,Conlan Daniel,Daniel,Conlan,CF,Wright State University,WRST,5390,Wright State,BBC,R,R,35,33,0,0,0,0,0,0,35,0,35,0
2201,1342167149,J. Ferguson,Jake Ferguson,Ferguson,Jake,SS,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,35,34,0,0,1,0,34,35,0,0,0,0
2201,1558675664,A. Rodriguez,Adrian Rodriguez,Rodriguez,Adrian,3B,University of Texas,TEX,245,Texas,BBC,S,B,35,35,0,0,14,14,0,27,8,8,0,0
2201,1286931297,J. Brennan,Jack Brennan,Brennan,Jack,SS,Fordham University,FOR,730324992,Fordham,BBC,R,R,35,28,0,0,0,0,35,35,0,0,0,0
2201,1438782375,R. Lapekas,Reid Lapekas,Lapekas,Reid,LF,Fordham University,FOR,730324992,Fordham,BBC,R,R,35,31,0,0,8,0,0,8,28,27,0,3
2201,1528976272,M. Wray,Mason Wray,Wray,Mason,C,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,35,26,35,0,0,0,0,0,0,0,0,0
2201,1026347039,J. Bullock,Jabril Bullock,Bullock,Jabril,2B,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,35,35,0,0,19,1,17,35,0,0,0,0
2201,1533253617,A. Wade,Alex Wade,Wade,Alex,RF,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,35,26,0,0,0,0,0,0,35,4,4,27
2201,1680173170,A. Cadroy,Austin Cadroy,Cadroy,Austin,SS,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,35,24,0,0,0,0,35,35,0,0,0,0
2201,1342169428,A. Lemon,Austin Lemon,Lemon,Austin,LF,Villanova University,VILL,730278400,Villanova,BBC,S,R,35,35,0,0,0,0,0,0,35,13,11,17
2201,1030419949,T. DePerno,Ty DePerno,DePerno,Ty,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,35,35,35,0,0,0,0,0,0,0,0,0
2201,1112215423,J. Radosevich,Jake Radosevich,Radosevich,Jake,C,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,35,35,35,0,0,0,0,0,0,0,0,0
2201,1667683494,X. Melendez,Xavier Melendez,Melendez,Xavier,1B,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,35,33,0,27,9,0,0,35,0,0,0,0
2201,1591455079,J. Flaggert,Jarrett Flaggert,Flaggert,Jarrett,3B,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,R,R,35,32,0,3,0,34,0,35,0,0,0,0
2201,1662938658,N. Johnson,Nate Johnson,Johnson,Nate,1B,Tulane University,TULN,730354176,Tulane,BBC,S,R,35,16,0,18,1,19,0,35,0,0,0,0
2201,1750819940,M. Bell,Mikey Bell,Bell,Mikey,RF,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,35,35,0,1,0,3,0,4,31,0,0,31
2201,1234177521,M. Ineich,Matt Ineich,Ineich,Matt,2B,Ohio University,OHIO,730298368,Ohio,BBC,L,R,35,35,0,0,20,1,14,35,0,0,0,0
2201,1361665055,E. Espinal,Edian Espinal,Espinal,Edian,2B,University of Central Florida,UCF,730256640,Central Florida,BBC,S,R,35,33,0,0,35,0,0,35,0,0,0,0
2201,1342167868,S. Esposito,Scott Esposito,Esposito,Scott,C,Marist College,MRST,730374656,Marist,BBC,R,R,35,35,35,0,0,0,0,0,0,0,0,0
2201,1493011308,D. Jackson,Daniel Jackson,Jackson,Daniel,RF,University of Georgia,UGA,226,Georgia,BBC,R,R,35,28,12,2,0,0,0,2,21,8,0,14
2201,1264887845,C. Meidroth,Connor Meidroth,Meidroth,Connor,2B,University of San Diego,USD,5320,San Diego,BBC,R,R,35,33,0,0,31,0,6,35,0,0,0,0
2201,1463705968,A. Becker,Andrew Becker,Becker,Andrew,LF,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,L,L,35,34,0,0,0,0,0,0,35,34,0,1
2201,1877482377,J. Hudson,Jordan Hudson,Hudson,Jordan,LF,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,35,33,0,0,0,0,0,0,35,35,0,0
2201,1005138026,K. Davis,Kanious Davis,Davis,Kanious,P,Alcorn State University,ALCN,5376,Alcorn State,BBC,R,R,35,20,0,0,0,20,0,20,0,0,0,0
2201,1790354833,L. Parmentier,Luke Parmentier,Parmentier,Luke,3B,Alabama State University,ALST,4765,Alabama State,BBC,R,R,35,35,0,0,0,35,0,35,0,0,0,0
2201,1670962097,A. Riess,Axel Riess,Riess,Axel,CF,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,35,33,0,0,0,0,0,0,35,2,34,0
2201,1257568210,G. Caban,Gregory Caban,Caban,Gregory,C,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,L,R,35,28,35,0,0,0,0,0,0,0,0,0
2201,1401023066,M. Simpson,Maddix Simpson,Simpson,Maddix,3B,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,35,34,0,1,0,22,13,35,0,0,0,0
2201,1663218167,P. Contreras,Paul Contreras,Contreras,Paul,RF,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,35,34,0,0,0,0,0,0,35,0,0,35
2201,1763126197,E. Menzel,Evan Menzel,Menzel,Evan,3B,University of Maine,ME,730275840,Maine,BBC,L,R,35,34,0,0,5,27,3,35,0,0,0,0
2271,1280568832,J. Gustafson,Jaden Gustafson,Gustafson,Jaden,LF,Wichita State University,WICH,730203904,Wichita State,BBC,L,L,34,32,0,0,0,0,0,0,34,34,0,1
2271,1243327232,K. Schmidt,Kent Schmidt,Schmidt,Kent,1B,Georgia Tech,GT,100,Georgia Tech,BBC,L,R,34,34,0,34,0,0,0,34,0,0,0,0
2271,1341740032,R. Dooley,Ryan Dooley,Dooley,Ryan,RF,James Madison University,JMU,730340096,James Madison,BBC,L,R,34,34,0,0,0,0,0,0,34,2,0,33
2271,1340706048,E. Adrianza,Ehinger Adrianza,Adrianza,Ehinger,3B,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,L,R,34,26,0,0,0,34,0,34,0,0,0,0
2271,1297528064,E. Guevara,Eric Guevara,Guevara,Eric,3B,Auburn University,AUB,5466,Auburn,BBC,R,R,34,32,0,0,0,33,0,33,1,1,0,0
2271,1125364992,A. Rausch,AJ Rausch,Rausch,AJ,CF,University of Michigan,MICH,2290,Michigan,BBC,R,R,34,24,0,0,0,0,0,0,34,5,20,18
2271,1153328384,R. Tate Jr.,Robert Tate Jr.,Tate Jr.,Robert,SS,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,34,33,0,0,0,0,34,34,0,0,0,0
2271,1159260160,E. Weeks,Eric Weeks,Weeks,Eric,2B,Canisius College,CAN,730218752,Canisius,BBC,R,R,34,27,0,0,18,3,0,21,13,1,0,12
2271,1235490304,K. Hager,Kevin Hager,Hager,Kevin,SS,Cornell University,COR,730298624,Cornell,BBC,R,R,34,34,0,0,0,0,34,34,0,0,0,0
2271,1083995904,J. Davis,Jakobi Davis,Davis,Jakobi,CF,Cornell University,COR,730298624,Cornell,BBC,L,L,34,34,0,0,0,0,0,0,34,0,34,0
2271,1079913216,P. Hackworth,Patrick Hackworth,Hackworth,Patrick,2B,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,R,34,31,0,0,21,0,0,21,15,11,0,4
2271,1166939904,M. Imhoff,Max Imhoff,Imhoff,Max,C,Yale University,YALE,730334464,Yale,BBC,R,R,34,30,34,0,0,0,0,0,0,0,0,0
2271,1255329280,C. Kelly,Conor Kelly,Kelly,Conor,1B,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,L,R,34,34,0,30,0,0,1,31,4,3,0,1
2271,1249079808,C. French,Carter French,French,Carter,LF,University of North Carolina,UNC,730181888,North Carolina,BBC,L,L,34,29,0,0,0,0,0,0,34,33,1,0
2271,1176005632,O. Estabrook,Owen Estabrook,Estabrook,Owen,C,Columbia University,CLMB,730319104,Columbia,BBC,R,R,34,33,34,0,0,0,0,0,0,0,0,0
2271,1270695936,R. Wallace,Rhogue Wallace,Wallace,Rhogue,RF,Presbyterian College,PRE,730184192,Presbyterian,BBC,S,R,34,23,0,0,0,0,0,0,34,2,10,26
2271,1310792960,S. Guerra,Sergio Guerra,Guerra,Sergio,C,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,34,34,34,0,0,0,0,0,0,0,0,0
2271,1184713216,J. Kang,Jordan Kang,Kang,Jordan,2B,Harvard University,HARV,5450,Harvard,BBC,R,R,34,32,0,0,28,9,0,34,0,0,0,0
2271,1289244160,J. Kim,Jonathan Kim,Kim,Jonathan,RF,University of Michigan,MICH,2290,Michigan,BBC,L,L,34,25,0,0,0,0,0,0,34,10,4,24
2271,1100792832,J. Lucky,Jaylon Lucky,Lucky,Jaylon,LF,Southern University,SOU,4767,Southern,BBC,R,R,34,31,0,18,0,0,0,18,17,17,0,0
2271,1318257408,J. George,Jamal George,George,Jamal,RF,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,34,17,0,0,6,0,0,6,30,16,0,15
2271,1093148160,T. Duffield,Trey Duffield,Duffield,Trey,RF,Rice University,RICE,2352,Rice,BBC,R,R,34,23,0,0,0,0,0,0,33,6,10,19
2271,1201246976,L. Molessa,Leewood Molessa,Molessa,Leewood,1B,UMBC,UMBC,730210304,UMBC,BBC,R,R,34,34,0,34,0,0,0,34,0,0,0,0
2271,1180853248,J. Powell,Joe Powell,Powell,Joe,C,Mississippi State University,MSST,5080,Mississippi State,BBC,R,R,34,33,34,0,0,0,0,0,0,0,0,0
2271,1117999872,A. Rakas,Alex Rakas,Rakas,Alex,2B,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,L,R,34,34,0,0,34,0,0,34,0,0,0,0
2271,1310373632,E. Fouraker,Eric Fouraker,Fouraker,Eric,C,University of North Florida,UNF,730296832,North Florida,BBC,R,R,34,15,34,0,0,0,0,0,0,0,0,0
2271,1278224128,T. Lethert,Teige Lethert,Lethert,Teige,C,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,L,R,34,28,34,0,0,0,0,0,0,0,0,0
2271,1239285248,T. Aiken,TJ Aiken,Aiken,TJ,LF,Old Dominion University,ODU,3090,Old Dominion,BBC,L,L,34,31,0,0,0,0,0,0,34,26,12,0
2271,1287080960,D. Smith,Drew Smith,Smith,Drew,2B,University of Oregon,ORE,4807,Oregon,BBC,R,R,34,29,0,0,4,5,0,9,30,0,3,27
2271,1085266944,C. Bernardini,Cristian Bernardini,Bernardini,Cristian,RF,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,34,7,0,0,0,0,0,0,34,3,0,31
2271,1213346304,T. DeLaGarza,Trinidad DeLaGarza,DeLaGarza,Trinidad,2B,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,34,32,0,0,8,25,1,34,0,0,0,0
2271,1254915584,M. Pena,Matthew Pena,Pena,Matthew,1B,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,L,L,34,32,0,34,0,0,0,34,0,0,0,0
2271,1165978624,Z. Von Schlegell,Zan Von Schlegell,Von Schlegell,Zan,3B,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,34,30,0,0,0,30,10,34,0,0,0,0
2271,1105477376,N. Gordon,Noah Gordon,Gordon,Noah,C,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,34,30,34,0,0,0,0,0,0,0,0,0
2271,1243693056,T. Harmon,Trevor Harmon,Harmon,Trevor,1B,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,34,31,1,33,0,0,0,33,0,0,0,0
2271,1141322960,E. Steadman,Eli Steadman,Steadman,Eli,CF,James Madison University,JMU,730340096,James Madison,BBC,L,R,34,30,0,0,0,0,0,0,34,5,26,5
2271,1671393892,F. Santana,Fabian Santana,Santana,Fabian,C,Alabama State University,ALST,4765,Alabama State,BBC,R,R,34,31,22,0,2,9,0,10,3,3,0,0
2271,1216805330,L. Zulaica,Louie Zulaica,Zulaica,Louie,2B,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,34,22,0,0,32,2,3,34,0,0,0,0
2271,1835996792,K. Maduro,Kendrey Maduro,Maduro,Kendrey,3B,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,34,30,0,1,0,30,3,34,0,0,0,0
2271,1621316682,J. Pagano,Joey Pagano,Pagano,Joey,LF,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,L,R,34,33,0,0,0,0,0,0,34,34,0,0
2271,1342167124,K. Bowman,Kenan Bowman,Bowman,Kenan,RF,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,34,14,0,0,0,0,0,0,34,9,2,27
2271,1850271363,L. Cockrill,LT Cockrill,Cockrill,LT,C,University of Delaware,DEL,730203136,Delaware,BBC,R,R,34,34,34,0,0,0,0,0,0,0,0,0
2271,1159443274,B. Rodriguez,BJ Rodriguez,Rodriguez,BJ,TWP,Fresno State,FRES,730384384,Fresno State,BBC,L,L,34,3,0,0,0,0,0,0,22,19,3,0
2271,1342170307,C. Constable,Cole Constable,Constable,Cole,C,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,34,33,30,0,0,0,0,0,4,0,0,4
