Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,PMenOn,P/PKAtt,PitcherPKAtt,PitcherPK,PitcherPKErr,P1B,P/PK1Att,PK1Att,PK1,PK1Err,P2B,P/PK2Att,PK2Att,PK2,PK2Err,P3B,P/PK3Att,PK3Att,PK3,PK3Err
66,1865432168,P. Leon,Pedro Leon,Leon,Pedro,P,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,384,32.0,12,3,0,245,24.5,10,1,0,216,216.0,1,1,0,160,160.0,1,1,0
66,1271444225,R. Hunsaker,Riely Hunsaker,Hunsaker,Riely,P,Lamar University,LAM,730162432,Lamar,BBC,R,R,409,14.6,28,3,1,286,11.9,24,3,1,161,40.3,4,0,0,73,-,0,0,0
66,1455688467,D. Fletcher,Derrell Fletcher,Fletcher,Derrell,P,Grambling State University,GRAM,5378,Grambling State,BBC,R,R,212,35.3,6,3,0,128,25.6,5,2,0,119,-,0,0,0,92,92.0,1,1,0
66,1566818527,C. Kenyon,Cole Kenyon,Kenyon,Cole,P,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,342,14.3,24,3,0,224,14.0,16,1,0,168,21.0,8,2,0,118,-,0,0,0
66,1828166148,M. Sharman,Michael Sharman,Sharman,Michael,P,University of Tennessee,TENN,730153728,Tennessee,BBC,R,L,147,2.9,51,3,0,95,1.9,49,3,0,47,47.0,1,0,0,19,19.0,1,0,0
66,1521776654,G. Kuzniewski,Gavin Kuzniewski,Kuzniewski,Gavin,P,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,491,13.3,37,3,0,311,10.7,29,3,0,252,31.5,8,0,0,80,-,0,0,0
66,1077270893,B. Dockan,Brady Dockan,Dockan,Brady,P,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,L,L,230,11.0,21,3,0,173,9.1,19,2,0,86,43.0,2,1,0,34,-,0,0,0
66,1230322309,D. Wright,Davis Wright,Wright,Davis,P,Western Carolina University,WCU,730278144,Western Carolina,BBC,L,L,675,13.2,51,3,1,421,9.0,47,3,1,312,78.0,4,0,0,207,-,0,0,0
66,1385534146,J. Hembree,Jake Hembree,Hembree,Jake,P,Georgia State University,GAST,730239744,Georgia State,BBC,L,L,414,12.5,33,3,0,305,10.2,30,3,0,213,71.0,3,0,0,111,-,0,0,0
66,1602557566,S. Garcia,Santiago Garcia,Garcia,Santiago,P,University of Oregon,ORE,4807,Oregon,BBC,L,L,199,15.3,13,3,1,131,10.9,12,3,0,108,108.0,1,0,1,61,-,0,0,0
66,1195569929,D. Osborne,Dylan Osborne,Osborne,Dylan,TWP,University of Southern California,USC,5047,USC,BBC,L,L,258,7.6,34,3,0,179,6.9,26,2,0,123,15.4,8,1,0,51,-,0,0,0
66,1530795525,M. Kaplan,Max Kaplan,Kaplan,Max,P,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,L,339,16.1,21,3,0,262,13.1,20,3,0,140,140.0,1,0,0,49,-,0,0,0
66,1929209290,C. Albright,Cody Albright,Albright,Cody,P,UNLV,UNLV,730161664,UNLV,BBC,R,R,253,6.7,38,3,1,156,5.0,31,2,1,101,14.4,7,1,0,75,-,0,0,0
66,1342168084,J. Ciancimino,Joey Ciancimino,Ciancimino,Joey,P,Monmouth University,MONM,4164,Monmouth,BBC,R,R,413,16.5,25,3,0,271,15.1,18,1,0,239,39.8,6,2,0,120,120.0,1,0,0
