Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,Inn,FieldOpp,Chances,PO,A,E,ThrowE,FieldE,DropE,FLD%,DP
1,1187923968,N. Anderson,Nate Anderson,Anderson,Nate,LF,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,L,L,58,479.2,184,112,112,0,0,0,0,0,1.000,0
1,1297514496,J. Rinehart,Jace Rinehart,Rinehart,Jace,LF,West Virginia University,WVU,5327,West Virginia,BBC,R,R,50,368.0,118,77,77,0,0,0,0,0,1.000,0
1,1310684928,C. Bodine,Caden Bodine,Bodine,Caden,C,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,S,R,66,555.1,17,623,575,48,0,0,0,0,1.000,1
1,1310533888,K. Kepley,Kane Kepley,Kepley,Kane,CF,University of North Carolina,UNC,730181888,North Carolina,BBC,L,L,61,534.0,226,167,164,3,0,0,0,0,1.000,0
1,1275170560,R. Silva,Riley Silva,Silva,Riley,CF,University of Nebraska,NEB,4865,Nebraska,BBC,L,R,51,356.1,149,104,102,2,0,0,0,0,1.000,0
1,1236375552,H. Feinberg,Harrison Feinberg,Feinberg,Harrison,LF,Northeastern University,NE,343,Northeastern,BBC,R,R,58,503.0,190,102,100,2,0,0,0,0,1.000,2
1,1313787904,C. Shpur,Caleb Shpur,Shpur,Caleb,CF,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,58,501.1,247,183,182,1,0,0,0,0,1.000,0
1,1186324992,J. Bellows,Jess Bellows,Bellows,Jess,CF,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,41,329.1,119,58,57,1,0,0,0,0,1.000,0
1,1259966976,A. Robbins,Aiden Robbins,Robbins,Aiden,RF,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,53,444.1,164,102,99,3,0,0,0,0,1.000,1
1,1084498176,C. Miller,Chris Miller,Miller,Chris,LF,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,31,247.0,122,61,61,0,0,0,0,0,1.000,0
1,1188602368,A. Whitley,Aaron Whitley,Whitley,Aaron,CF,University of Richmond,RICH,730171904,Richmond,BBC,R,R,51,435.2,214,146,144,2,0,0,0,0,1.000,0
1,1309347584,P. Berstein,Philip Berstein,Berstein,Philip,RF,University of Richmond,RICH,730171904,Richmond,BBC,L,R,43,355.2,122,91,87,4,0,0,0,0,1.000,1
1,1117733120,E. Genther,Eric Genther,Genther,Eric,RF,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,R,58,483.2,139,89,86,3,0,0,0,0,1.000,2
1,1110710016,J. Tyer,Jackson Tyer,Tyer,Jackson,CF,University of Delaware,DEL,730203136,Delaware,BBC,R,R,49,402.2,169,119,118,1,0,0,0,0,1.000,0
1,1281390848,J. Zimbardo,Jared Zimbardo,Zimbardo,Jared,CF,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,41,334.1,122,84,83,1,0,0,0,0,1.000,1
1,1318652416,T. Cohen,Trevor Cohen,Cohen,Trevor,RF,Rutgers University,RUTG,730229248,Rutgers,BBC,L,L,57,490.0,140,102,97,5,0,0,0,0,1.000,3
1,1257459968,J. Freeman,Jackson Freeman,Freeman,Jackson,RF,Northwestern University,NW,730247680,Northwestern,BBC,L,R,52,427.1,184,119,114,5,0,0,0,0,1.000,1
1,1202725120,L. Knight,Lawson Knight,Knight,Lawson,CF,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,50,366.0,183,118,116,2,0,0,0,0,1.000,0
1,1162563328,G. Zuccaro,Giano Zuccaro,Zuccaro,Giano,LF,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,L,L,43,340.1,142,72,70,2,0,0,0,0,1.000,0
1,1239206656,M. Lively,Matthew Lively,Lively,Matthew,CF,The Citadel,CIT,730366720,The Citadel,BBC,R,R,40,336.0,163,112,111,1,0,0,0,0,1.000,0
1,1099180800,J. Palmese,Jamie Palmese,Palmese,Jamie,CF,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,58,496.1,210,157,155,2,0,0,0,0,1.000,0
1,1162522624,J. Lauinger,John Lauinger,Lauinger,John,LF,Oakland University,OAK,5386,Oakland,BBC,R,R,58,498.2,234,123,119,4,0,0,0,0,1.000,2
1,1231043840,T. Yaghoubi,Tank Yaghoubi,Yaghoubi,Tank,CF,Elon University,ELON,730252544,Elon,BBC,L,L,56,460.1,222,145,143,2,0,0,0,0,1.000,1
1,1233722368,D. Contreras,Daniel Contreras,Contreras,Daniel,C,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,52,440.2,13,391,367,24,0,0,0,0,1.000,3
1,1100719360,M. Bucciero,Matt Bucciero,Bucciero,Matt,RF,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,58,505.2,150,136,129,7,0,0,0,0,1.000,4
1,1099877632,J. Keenan,Jimmy Keenan,Keenan,Jimmy,C,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,41,302.1,7,389,366,23,0,0,0,0,1.000,1
1,1093157376,H. Yost,Hayden Yost,Yost,Hayden,CF,University of Florida,FLA,730168320,Florida,BBC,L,L,57,449.2,200,142,140,2,0,0,0,0,1.000,0
1,1220504064,T. Gaspar,Taylor Gaspar,Gaspar,Taylor,RF,Stonehill College,SC,730238464,Stonehill,BBC,R,R,45,366.1,184,112,111,1,0,0,0,0,1.000,0
1,1220193792,C. Davalan,Charles Davalan,Davalan,Charles,LF,University of Arkansas,ARK,3375,Arkansas,BBC,L,R,64,546.2,194,101,97,4,0,0,0,0,1.000,0
1,1196846336,T. McAndrews,Tommy McAndrews,McAndrews,Tommy,C,Fordham University,FOR,730324992,Fordham,BBC,R,R,40,345.1,6,307,276,31,0,0,0,0,1.000,1
1,1306900480,C. Schneider,Cam Schneider,Schneider,Cam,LF,Fresno State,FRES,730384384,Fresno State,BBC,R,R,50,352.2,118,51,50,1,0,0,0,0,1.000,0
1,1100573952,A. Teel,Aidan Teel,Teel,Aidan,CF,University of Virginia,UVA,5415,Virginia,BBC,L,R,50,433.2,185,119,116,3,0,0,0,0,1.000,1
1,1330527744,B. Watson,Ben Watson,Watson,Ben,LF,Virginia Tech,VT,2293,Virginia Tech,BBC,L,L,50,421.0,188,98,96,2,0,0,0,0,1.000,0
1,1281620736,C. Reeder,Canon Reeder,Reeder,Canon,CF,Oregon State University,ORST,3111,Oregon State,BBC,R,R,55,451.2,184,121,117,4,0,0,0,0,1.000,1
1,1305110272,G. Cooper,George Cooper,Cooper,George,2B,Harvard University,HARV,5450,Harvard,BBC,R,R,42,344.0,117,92,61,31,0,0,0,0,1.000,7
1,1204866561,K. Durschlag,Konni Durschlag,Durschlag,Konni,CF,High Point University,HP,730321152,High Point,BBC,R,R,54,433.0,201,127,125,2,0,0,0,0,1.000,1
1,1264072192,M. Echazarreta,Miggy Echazarreta,Echazarreta,Miggy,RF,High Point University,HP,730321152,High Point,BBC,L,R,53,432.0,153,105,104,1,0,0,0,0,1.000,0
1,1088450304,D. Pedanou,David Pedanou,Pedanou,David,CF,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,47,367.1,155,107,106,1,0,0,0,0,1.000,0
1,1177008896,B. Pado,Blagen Pado,Pado,Blagen,RF,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,48,280.2,83,53,53,0,0,0,0,0,1.000,0
1,1214275584,J. Nelson,James Nelson,Nelson,James,RF,Longwood University,LONG,730219264,Longwood,BBC,L,L,44,360.0,120,68,68,0,0,0,0,0,1.000,0
1,1292550400,T. Moore,Tristan Moore,Moore,Tristan,LF,University of New Orleans,UNO,5380,New Orleans,BBC,L,L,53,440.1,166,78,77,1,0,0,0,0,1.000,0
1,1320576000,J. Williams,Jayden Williams,Williams,Jayden,CF,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,44,334.2,156,95,92,3,0,0,0,0,1.000,0
1,1251438592,R. Moerman,Ryan Moerman,Moerman,Ryan,LF,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,48,401.0,128,76,74,2,0,0,0,0,1.000,1
1,1207923712,C. Parcell,Charlie Parcell,Parcell,Charlie,CF,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,L,L,54,435.0,242,136,134,2,0,0,0,0,1.000,0
1,1237410560,J. Stevenson,Josh Stevenson,Stevenson,Josh,CF,University of South Alabama,USA,730298880,South Alabama,BBC,L,L,35,260.1,103,63,63,0,0,0,0,0,1.000,0
1,1257342976,I. Landry,Isaiah Landry,Landry,Isaiah,CF,Alabama State University,ALST,4765,Alabama State,BBC,R,R,53,423.0,179,113,113,0,0,0,0,0,1.000,0
1,1184439808,E. Lambros,Elijah Lambros,Lambros,Elijah,CF,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,55,457.2,233,148,147,1,0,0,0,0,1.000,1
1,1083614720,C. Jans,Chase Jans,Jans,Chase,LF,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,38,306.2,137,72,71,1,0,0,0,0,1.000,0
1,1257331968,L. Leto,Luke Leto,Leto,Luke,CF,University of Toledo,TOL,5388,Toledo,BBC,L,R,60,504.1,263,173,170,3,0,0,0,0,1.000,2
1,1297563392,A. Fawley,Austin Fawley,Fawley,Austin,C,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,50,426.0,3,522,506,16,0,0,0,0,1.000,2
1,1182582784,T. Hillier,Three Hillier,Hillier,Three,C,High Point University,HP,730321152,High Point,BBC,L,R,40,312.0,11,281,256,25,0,0,0,0,1.000,1
1,1180845312,K. Ashworth,Kyle Ashworth,Ashworth,Kyle,RF,Long Beach State University,LBSU,730224128,Long Beach State,BBC,L,R,52,450.0,161,110,105,5,0,0,0,0,1.000,1
1,1207751680,A. Champagne,Alex Champagne,Champagne,Alex,CF,Long Beach State University,LBSU,730224128,Long Beach State,BBC,L,R,53,460.0,224,142,142,0,0,0,0,0,1.000,0
1,1263684864,J. Badawi,Jacob Badawi,Badawi,Jacob,RF,UC Riverside,UCRV,730281728,UC Riverside,BBC,R,R,37,237.1,118,56,54,2,0,0,0,0,1.000,0
1,1122462464,B. Gumpf,Brady Gumpf,Gumpf,Brady,RF,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,45,310.0,98,61,61,0,0,0,0,0,1.000,0
1,1198540800,R. Johnson,Rett Johnson,Johnson,Rett,LF,University of South Alabama,USA,730298880,South Alabama,BBC,L,R,45,387.2,145,88,87,1,0,0,0,0,1.000,0
1,1226674944,C. Hale,Connor Hale,Hale,Connor,CF,Villanova University,VILL,730278400,Villanova,BBC,L,L,44,319.2,178,131,127,4,0,0,0,0,1.000,3
1,1281731072,P. Coley,Parker Coley,Coley,Parker,RF,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,40,326.1,111,82,75,7,0,0,0,0,1.000,4
1,1330724096,T. Takats,TJ Takats,Takats,TJ,CF,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,L,L,39,324.2,156,105,103,2,0,0,0,0,1.000,1
1,1167270144,J. Taussig,James Taussig,Taussig,James,RF,UTSA,UTSA,730373120,UTSA,BBC,L,R,52,426.2,145,98,97,1,0,0,0,0,1.000,1
1,1279297280,C. Scanlon,Christian Scanlon,Scanlon,Christian,RF,Merrimack College,MRMK,730295552,Merrimack,BBC,L,L,49,400.1,154,112,111,1,0,0,0,0,1.000,2
1,1137355264,T. Neuer,Trenton Neuer,Neuer,Trenton,LF,Ohio University,OHIO,730298368,Ohio,BBC,R,R,45,351.2,171,104,101,3,0,0,0,0,1.000,1
1,1291197952,K. Edwards,Kam Edwards,Edwards,Kameron,CF,Lindenwood University,LU,730322176,Lindenwood,BBC,L,L,49,422.0,200,128,127,1,0,0,0,0,1.000,0
1,1274237696,C. Andrews,Chris Andrews,Andrews,Chris,LF,Monmouth University,MONM,4164,Monmouth,BBC,R,R,52,437.2,211,107,105,2,0,0,0,0,1.000,0
