Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,OFAst,LFAst,CFAst,RFAst,OFAstTo1B,OFAstTo2B,OFAstTo3B,OFAstToHome,OFThrowE
532,1306865920,M. Thomas,Martavius Thomas,Thomas,Martavius,CF,Grambling State University,GRAM,5378,Grambling State,BBC,S,R,1,0,1,0,0,0,0,0,0
532,1317925888,C. Plowman,Cole Plowman,Plowman,Cole,RF,McNeese State University,MCNS,730285056,McNeese State,BBC,L,L,1,0,0,1,0,0,0,0,0
532,1198505728,E. Rodriguez,Elijah Rodriguez,Rodriguez,Elijah,LF,UNLV,UNLV,730161664,UNLV,BBC,L,L,1,1,0,0,0,0,0,0,0
532,1207801601,B. Daniels,Brock Daniels,Daniels,Brock,LF,University of Missouri,MIZZ,4806,Missouri,BBC,L,R,1,1,0,0,0,0,0,0,0
532,1162600448,G. Kash,Gavin Kash,Kash,Gavin,1B,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,R,1,1,0,0,0,0,0,0,0
532,1124857600,T. Evans,Ty Evans,Evans,Ty,RF,University of Florida,FLA,730168320,Florida,BBC,R,R,1,0,0,1,0,0,0,0,0
532,1075197696,A. Downs,Aaron Downs,Downs,Aaron,LF,Mississippi State University,MSST,5080,Mississippi State,BBC,R,R,1,1,0,0,0,0,0,0,0
532,1324040192,B. Chance,Bryce Chance,Chance,Bryce,CF,Mississippi State University,MSST,5080,Mississippi State,BBC,R,R,1,0,1,0,0,0,0,0,0
532,1085103360,B. Jackson,Blake Jackson,Jackson,Blake,LF,University of South Carolina,SCAR,730348544,South Carolina,BBC,L,L,1,1,0,0,0,0,0,0,0
532,1292066560,E. Petry,Ethan Petry,Petry,Ethan,RF,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,1,0,0,1,0,0,0,0,0
